,,,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,050900 - Marketing and Distribution              ,7,26.96,248,3,11.59,106,9,30.91,297,5,17.33,159,3,11.44,102,11,37.18,358,5,20.82,195,4,11.81,108,11,32.68,315,5,19.23,180,3,10.75,104,9,34.48,331,6,23.63,220,2,8.18,79,11,37.64,358
,,051100 - Real Estate                             ,4,11.70,113,,,,4,13.99,135,3,9.02,87,,,,4,15.01,145,4,11.50,111,,,,4,12.63,122,4,10.36,100,,,,4,12.54,121,2,6.42,62,,,,3,6.94,67
,,051400 - Office Technology/Office Computer Applic,4,8.92,96,1,3.63,35,3,8.76,79,2,4.33,49,1,2.69,26,3,8.82,80,1,3.42,33,1,1.35,13,2,5.08,49,2,2.50,36,1,3.42,33,2,6.42,62,2,2.79,39,1,2.69,26,2,6.32,61
,,051800 - Customer Service                        ,,,,,,,,,,1,0.05,4,,,,,,,,,,,,,,,,1,0.09,5,,,,,,,2,0.56,28,,,,,,
,,059900 - Other Business and Management           ,1,2.28,22,,,,1,2.59,25,1,1.76,17,,,,1,2.69,26,,,,,,,1,1.35,13,1,2.18,21,,,,1,2.07,20,1,2.90,28,,,,2,4.63,45
,,"060100 - Media and Communications, General       ",1,1.35,13,,,,1,1.55,15,1,2.69,26,,,,1,3.32,32,2,5.78,56,,,,1,3.32,32,2,6.11,59,,,,2,6.63,64,2,6.53,63,,,,2,6.64,64
,,060200 - Journalism                              ,1,1.27,11,,,,1,0.58,5,1,0.69,6,,,,1,1.04,9,1,0.69,6,,,,1,0.93,8,1,0.93,8,,,,1,0.81,7,1,0.81,7,,,,1,0.81,7
,,060400 - Radio and Television                    ,2,2.78,24,,,,3,5.87,43,2,1.03,9,,,,3,4.66,34,3,2.14,19,,,,3,5.63,40,3,4.67,34,,,,3,3.96,28,3,4.96,36,,,,2,2.17,19
,,060410 - Radio                                   ,,,,,,,3,1.93,9,3,2.21,10,,,,,,,1,2.72,11,,,,,,,,,,,,,,,,,,,,,,,,
,,060420 - Television (including combined TV/Film/V,8,7.71,47,,,,7,5.23,30,8,11.35,68,,,,8,9.32,53,10,12.59,74,,,,8,11.97,68,10,12.54,75,,,,8,10.85,62,8,12.32,74,,,,6,10.00,57
,,061220 - Film Production                         ,,,,,,,1,0.82,6,,,,,,,1,1.78,13,,,,,,,1,1.23,9,,,,,,,1,1.51,11,,,,,,,1,2.06,15
,,061410 - Multimedia                              ,12,21.33,135,3,7.29,38,15,34.15,221,14,25.47,177,2,5.43,32,11,27.06,175,10,24.60,163,2,5.16,30,14,33.75,243,13,31.34,221,3,9.65,56,18,44.68,291,14,32.52,219,3,7.41,43,17,38.92,267
,,061430 - Website Design and Development          ,,,,,,,2,7.92,40,1,1.39,8,,,,2,6.05,30,,,,,,,2,5.26,32,1,1.03,6,,,,2,5.80,29,1,1.21,7,,,,2,4.00,21
,,061440 - Animation                               ,6,7.58,40,2,3.98,23,8,13.58,75,8,11.62,65,1,2.43,14,6,15.69,89,8,13.40,76,1,3.10,18,7,21.14,120,7,10.86,65,1,1.89,11,9,21.74,124,9,16.78,96,1,2.24,13,9,20.48,116
,,061460 - Computer Graphics and Digital Imagery   ,7,7.42,44,,,,7,8.96,51,6,6.75,39,,,,5,7.49,46,2,5.04,29,,,,5,8.23,47,5,6.42,37,,,,6,8.58,49,4,8.34,48,,,,3,2.83,16
,,"070100 - Information Technology, General         ",11,39.13,305,5,18.43,142,11,30.68,265,8,23.61,209,3,5.36,81,13,30.20,306,13,41.66,370,4,16.16,120,17,39.01,415,10,25.41,222,2,3.63,35,15,34.19,379,14,39.40,385,2,4.45,43,15,35.19,410
,,070200 - Computer Information Systems            ,1,5.18,25,,,,1,4.77,23,1,4.14,20,,,,1,4.77,23,1,5.60,27,,,,1,5.80,28,1,3.52,17,,,,1,4.14,20,1,5.18,25,,,,1,6.01,29
,,070210 - Software Applications                   ,1,2.98,29,1,3.94,19,3,9.72,59,2,6.45,45,1,3.32,16,3,8.00,52,2,7.78,48,1,3.11,15,2,5.70,40,2,4.98,36,1,4.35,21,3,12.12,72,2,6.74,46,1,4.14,20,2,6.83,46
,,070700 - Computer Software Development           ,,,,,,,,,,1,5.80,28,1,5.60,27,2,8.69,42,1,5.39,26,,,,1,2.45,16,1,3.90,20,,,,,,,1,4.77,23,,,,1,3.73,18
,,070710 - Computer Programming                    ,24,126.37,643,10,42.81,215,36,155.16,786,21,90.19,450,10,49.78,254,32,149.40,758,18,87.55,426,10,43.69,226,30,139.56,711,21,107.37,522,10,46.28,240,32,153.51,761,23,107.90,537,10,42.14,218,34,160.16,791
,,070800 - Computer Infrastructure and Support     ,1,1.03,6,1,2.07,12,2,3.78,22,1,1.37,8,1,1.21,7,2,2.58,15,1,2.40,14,1,1.38,8,2,2.58,15,1,0.86,5,1,1.55,9,2,2.58,15,1,1.54,9,1,1.03,6,1,1.03,6
,,070810 - Computer Networking                     ,18,62.43,359,6,13.32,78,21,52.85,304,16,45.91,271,6,14.94,96,21,61.18,375,17,55.83,346,5,11.66,66,19,54.23,323,16,46.35,280,5,11.50,66,18,52.82,294,11,32.84,192,5,10.11,60,17,51.62,298
,,080900 - Special Education                       ,3,2.66,23,,,,1,2.08,18,3,3.59,31,,,,1,1.39,12,3,2.90,25,,,,1,1.62,14,3,3.59,31,,,,1,1.45,14,3,2.55,22,,,,1,1.66,16
,,083500 - Physical Education                      ,8,20.34,155,2,8.51,48,10,19.43,146,8,9.58,93,1,3.73,36,14,21.27,167,9,11.03,100,2,7.13,44,11,18.23,154,5,8.52,76,1,2.18,21,9,16.64,139,4,7.48,76,1,3.52,34,7,13.66,127
,,083510 - Physical Fitness and Body Movement      ,13,20.69,201,10,12.71,150,28,40.64,425,24,28.85,313,11,11.89,146,31,43.19,473,30,35.25,388,17,17.52,191,47,60.02,619,38,34.22,362,21,19.15,211,55,57.10,601,42,38.74,412,21,17.21,184,62,67.81,695
,,083550 - Intercollegiate Athletics               ,13,48.46,150,7,26.65,100,13,45.47,187,10,32.11,126,2,1.79,26,14,49.50,202,12,38.82,144,2,1.85,27,18,47.60,207,13,37.26,138,2,2.06,30,24,59.79,227,16,44.50,159,1,0.27,4,17,49.33,167
,,083700 - Health Education                        ,7,19.53,182,5,9.04,89,5,14.66,136,6,19.07,160,2,5.59,54,6,16.08,139,5,17.78,151,3,5.48,53,9,26.54,249,6,14.44,120,3,5.59,54,10,26.06,235,6,18.56,159,2,5.81,56,8,25.22,226
,,085000 - Sign Language                           ,13,39.75,227,4,10.83,65,11,33.66,198,11,22.50,160,3,5.86,62,11,32.16,214,12,32.03,215,4,12.73,80,8,20.50,148,9,19.70,172,1,3.33,19,12,28.47,252,13,28.56,225,1,3.50,20,15,34.99,320
,,085010 - Sign Language Interpreting              ,11,18.03,111,,,,13,12.89,121,9,15.83,78,,,,11,9.17,84,11,11.19,73,,,,11,12.03,100,6,11.10,60,,,,10,14.74,115,9,14.69,95,,,,11,8.66,75
,,"090100 - Engineering, General (requires Calculus)",6,27.33,150,,,,7,22.20,137,6,25.30,129,,,,7,24.51,150,4,19.18,103,,,,10,48.43,265,12,55.35,285,2,7.37,43,11,42.12,249,12,52.35,284,1,3.96,23,13,53.69,318
,,093400 - Electronics and Electric Technology     ,1,1.24,6,1,5.78,24,3,10.04,47,2,3.11,15,1,7.95,33,3,18.60,85,2,10.98,52,2,11.80,49,6,35.71,164,8,35.03,178,3,15.32,71,6,29.32,145,6,29.27,145,3,17.62,77,8,31.38,195
,,095420 - Plastics and Composites                 ,,,,,,,1,0.86,10,,,,,,,1,2.24,25,1,2.18,25,,,,2,5.40,62,2,3.69,40,,,,2,4.49,51,2,4.91,51,1,1.80,21,2,5.19,59
,,095600 - Manufacturing and Industrial Technology ,2,2.43,23,,,,2,0.90,21,6,3.08,29,,,,4,5.50,65,3,7.79,75,,,,13,42.63,350,13,30.93,273,2,5.08,37,10,22.25,218,10,23.46,223,,,,7,19.59,195
,,"100100 - Fine Arts, General                      ",1,0.21,1,,,,,,,1,0.41,2,,,,,,,,,,,,,,,,1,0.62,3,,,,1,0.85,4,1,0.21,1,,,,1,0.41,2
,,100200 - Art                                     ,40,122.38,709,11,37.28,234,46,96.80,688,38,73.21,526,6,18.02,148,53,132.14,977,49,114.61,772,14,43.80,297,51,132.65,951,45,97.01,667,6,17.81,149,50,126.60,910,51,140.06,835,4,15.47,137,52,119.44,847
,,100230 - Ceramics                                ,6,4.48,21,,,,7,4.47,21,7,7.15,34,,,,7,5.84,37,10,8.10,41,,,,8,8.90,42,9,8.00,40,,,,8,8.74,41,5,6.18,29,,,,10,9.97,47
,,100400 - Music                                   ,70,119.77,"1,016",20,55.28,456,39,38.15,361,47,73.77,755,21,40.15,426,43,60.94,575,55,99.92,839,23,53.84,393,49,61.66,583,50,59.63,577,10,18.82,183,62,86.49,817,57,111.19,940,13,19.32,188,60,98.08,824
,,100500 - Commercial Music                        ,,,,,,,,,,3,3.17,22,,,,1,3.01,21,2,4.04,28,,,,1,3.01,21,1,1.72,12,,,,2,3.44,24,3,3.01,21,,,,1,0.72,5
,,100600 - Technical Theater                       ,10,10.88,69,1,0.40,3,8,8.28,49,8,9.13,58,1,1.37,9,10,9.64,56,9,9.89,55,6,3.33,23,11,12.89,79,8,14.42,80,,,,10,12.39,74,16,17.54,113,,,,11,16.83,94
,,100700 - Dramatic Arts                           ,20,52.90,280,6,15.58,83,15,35.60,194,15,34.78,216,4,9.59,52,18,34.53,224,17,46.46,258,8,14.78,86,16,36.45,232,17,50.40,265,3,8.85,46,18,41.40,254,18,47.60,228,7,23.90,103,22,58.31,307
,,100800 - Dance                                   ,10,7.70,52,,,,10,5.35,44,8,3.54,27,,,,9,4.84,43,11,6.25,36,1,0.97,7,10,4.58,42,5,2.26,20,,,,3,2.13,20,,,,,,,2,4.78,22
,,101100 - Photography                             ,2,5.29,51,,,,2,4.34,42,3,7.28,63,,,,2,3.17,25,3,6.47,58,,,,3,6.27,58,4,5.91,50,,,,4,7.09,63,3,6.09,53,,,,3,5.30,50
,,101200 - Applied Photography                     ,17,41.32,175,7,28.13,113,22,48.20,195,16,29.06,138,6,21.15,100,11,18.61,81,16,48.68,138,7,40.03,96,18,29.93,133,14,17.16,79,4,8.18,34,15,25.66,119,17,45.24,161,2,4.60,22,14,28.32,134
,,103000 - Graphic Art and Design                  ,2,2.35,11,,,,4,4.69,22,5,6.13,29,1,1.85,9,2,1.45,7,4,3.63,17,,,,1,2.13,10,3,2.35,11,,,,1,2.56,12,,,,,,,1,2.56,12
,,110200 - French                                  ,2,6.56,26,1,4.00,14,1,3.25,15,1,3.41,16,,,,,,,2,10.24,34,1,7.89,23,1,3.84,21,1,2.99,14,,,,1,4.32,21,1,4.05,19,,,,1,3.91,19
,,110500 - Spanish                                 ,25,154.31,620,22,136.38,542,9,40.57,192,9,30.81,223,5,15.76,154,7,40.48,184,10,74.18,263,19,187.43,593,8,40.45,192,6,28.21,133,3,16.59,80,9,36.83,181,11,83.17,282,3,17.41,84,17,113.83,436
,,110700 - Chinese                                 ,11,66.28,248,9,58.05,218,2,8.43,40,1,3.84,18,,,,1,5.33,25,7,61.17,194,6,55.20,166,1,3.84,18,2,5.97,28,,,,1,5.12,24,9,72.15,219,,,,1,5.55,26
,,110800 - Japanese                                ,2,9.65,44,,,,2,10.09,47,2,9.00,41,,,,2,11.30,53,2,7.46,34,,,,2,9.81,46,2,10.80,50,,,,3,14.29,67,2,7.47,35,,,,2,11.93,56
,,111200 - Arabic                                  ,1,4.39,20,,,,,,,1,1.66,8,,,,,,,1,2.28,11,,,,,,,,,,,,,,,,,,,,,,,,
,,"120100 - Health Occupations, General             ",,,,,,,,,,1,2.07,20,,,,1,1.14,11,1,2.59,25,,,,1,3.42,33,1,3.73,36,,,,1,2.90,28,1,3.94,38,,,,1,4.04,39
,,120800 - Medical Assisting                       ,3,8.09,59,1,4.39,32,2,6.86,50,2,7.82,57,1,4.94,36,2,8.50,62,2,8.36,61,1,5.07,37,2,9.74,71,2,7.41,54,1,5.35,39,2,10.70,78,3,16.05,117,2,10.56,77,3,13.31,97
,,121000 - Respiratory Care/Therapy                ,16,17.86,192,2,1.89,30,13,23.01,164,15,25.71,233,2,3.26,34,11,30.51,197,10,28.13,167,2,3.35,36,11,28.79,187,10,28.13,160,2,2.24,24,11,27.13,176,10,29.30,170,2,3.34,36,11,31.42,207
,,122100 - Pharmacy Technology                     ,1,1.01,16,,,,,,,1,1.12,16,,,,,,,1,1.47,21,,,,,,,1,0.98,14,,,,,,,1,1.57,22,,,,,,
,,122200 - Physical Therapist Assistant            ,14,33.68,163,,,,13,25.28,154,7,16.65,119,,,,9,27.13,170,10,39.38,199,,,,9,31.05,192,9,18.64,138,,,,9,26.47,165,10,32.60,165,,,,9,27.08,166
,,123010 - Registered Nursing                      ,11,34.48,92,,,,13,43.96,120,1,6.90,16,,,,13,44.77,104,14,37.79,115,1,1.45,14,13,38.67,110,4,5.37,49,1,2.28,22,13,34.86,119,12,24.02,89,1,2.90,28,14,41.92,142
,,125000 - Emergency Medical Services              ,,,,,,,,,,1,1.50,4,,,,,,,,,,,,,,,,,,,,,,1,4.21,12,,,,,,,,,
,,"126000 - Health Professions, Transfer Core Curric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.76,17,,,,,,
,,"130100 - Family and Consumer Sciences, General   ",5,17.18,166,2,6.68,65,3,10.56,102,3,11.79,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,130200 - Interior Design and Merchandising       ,8,12.20,69,2,4.86,30,3,5.01,38,2,2.21,14,,,,1,1.51,13,,,,,,,1,2.60,25,,,,,,,,,,,,,,,,,,
,,130500 - Child Development/Early Care and Educati,8,32.48,249,3,8.56,58,13,36.53,316,11,23.24,199,,,,9,24.46,217,7,18.34,150,,,,9,20.71,200,9,21.88,166,,,,9,22.71,212,8,27.22,204,,,,11,31.97,299
,,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,,,,,,,2,5.56,54,3,12.50,120,2,9.43,91,2,6.63,64,5,20.35,196,4,14.54,140,2,7.46,72,5,19.13,185,4,15.30,148,2,7.25,70,5,19.44,188
,,150100 - English                                 ,58,222.29,"1,501",19,69.47,484,72,351.67,"1,934",55,177.65,"1,226",13,51.72,355,66,324.17,"1,812",54,206.03,"1,375",13,58.82,371,71,345.33,"2,021",58,231.61,"1,515",13,56.55,364,68,328.09,"1,873",59,229.62,"1,542",14,62.79,410,61,303.39,"1,678"
,,150300 - Comparative Literature                  ,2,4.98,48,,,,2,3.82,33,3,4.97,48,,,,1,2.06,20,2,5.18,50,,,,1,2.37,23,3,5.27,51,,,,2,5.17,50,2,3.83,37,,,,2,5.18,50
,,150600 - Speech Communication                    ,40,118.52,892,16,42.97,339,42,104.73,773,40,82.35,668,13,32.62,269,47,118.63,986,43,114.39,975,17,39.66,365,52,130.01,"1,148",45,119.12,"1,024",18,52.56,452,46,122.71,"1,027",57,136.53,"1,265",27,71.74,665,63,160.01,"1,469"
,,150900 - Philosophy                              ,8,25.46,246,2,7.62,74,7,22.07,213,8,20.73,200,2,7.51,73,7,14.12,135,8,22.13,214,2,6.89,67,7,19.43,184,8,21.95,206,2,7.61,74,7,14.25,135,8,22.80,212,2,8.02,78,7,21.42,203
,,"160100 - Library Science, General                ",5,2.62,112,1,0.48,14,5,4.53,132,5,2.80,107,1,0.82,24,5,3.74,109,5,4.81,140,1,0.82,24,4,3.73,109,4,4.62,135,1,0.79,23,5,4.10,118,4,4.18,121,,,,2,1.74,51
,,"170100 - Mathematics, General                    ",64,342.46,"2,118",26,135.99,857,94,515.84,"3,154",53,266.47,"1,626",17,105.22,617,69,401.53,"2,512",52,272.49,"1,706",21,104.95,703,74,446.77,"2,773",52,299.59,"1,882",20,108.16,677,78,466.36,"2,834",57,326.00,"1,934",23,126.49,790,79,473.11,"2,886"
,,"190200 - Physics, General                        ",20,86.59,437,6,28.36,130,23,99.52,505,15,49.11,244,4,18.26,82,16,70.96,361,13,59.44,295,6,27.13,121,19,75.42,388,14,58.51,316,4,20.05,95,18,82.17,420,14,67.54,353,5,28.94,137,19,94.55,500
,,"190500 - Chemistry, General                      ",28,136.74,571,12,60.74,234,36,197.56,777,20,102.37,405,7,39.33,165,27,156.65,618,20,110.67,441,9,42.40,176,29,161.66,629,21,110.83,467,8,40.69,186,28,167.39,657,23,131.49,532,7,40.64,174,27,160.04,642
,,191100 - Astronomy                               ,3,9.15,88,2,7.46,72,7,20.80,199,3,11.71,113,2,8.18,79,6,20.57,197,3,11.81,114,2,7.56,73,6,18.85,182,4,13.68,132,3,8.60,83,8,24.35,235,5,16.26,157,2,7.98,77,7,24.23,234
,,191400 - Geology                                 ,4,13.46,79,,,,3,11.93,60,5,9.93,71,,,,4,14.68,100,6,11.49,83,,,,6,14.08,96,7,16.06,107,,,,6,16.46,109,6,14.79,99,,,,7,14.04,95
,,"200100 - Psychology, General                     ",27,91.20,883,10,29.92,302,25,83.05,799,25,73.85,722,11,32.09,334,25,82.70,783,24,79.57,755,9,27.69,269,24,81.75,761,23,78.73,743,9,28.45,276,23,84.97,805,25,91.24,857,9,31.27,304,23,89.03,851
,,210500 - Administration of Justice               ,15,25.62,268,10,14.10,147,16,28.58,325,25,109.78,362,2,2.00,21,8,18.33,169,6,13.83,144,1,1.14,11,7,13.59,124,5,10.45,97,1,0.73,7,8,16.56,156,7,17.53,161,,,,6,16.87,160
,,210550 - Police Academy                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17.07,160,1,1.90,25,8,21.18,209,10,21.08,229,,,,6,13.89,138
,,213300 - Fire Technology                         ,,,,,,,,,,4,0.99,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,213350 - Fire Academy                            ,,,,,,,,,,,,,,,,,,,3,30.22,31,,,,,,,,,,3,62.44,74,1,20.53,17,4,50.55,81,,,,3,40.47,48
,,"220100 - Social Sciences, General                ",1,5.49,25,,,,,,,1,3.07,14,,,,,,,1,3.07,14,,,,,,,,,,,,,,,,,,,,,,,,
,,220110 - Women's Studies                         ,4,6.07,58,1,0.72,7,2,3.21,31,4,5.38,52,1,0.93,9,3,4.25,41,4,4.87,47,1,0.93,9,3,4.05,39,4,6.73,65,1,1.35,13,3,5.39,52,4,6.32,61,2,2.79,27,4,6.83,66
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",1,3.11,30,,,,,,,1,3.32,32,,,,,,,1,2.32,20,1,1.44,14,,,,1,2.90,25,1,2.67,26,,,,1,3.52,34,1,3.29,32,,,
,,220200 - Anthropology                            ,10,45.38,315,3,10.15,98,14,54.77,391,9,44.06,279,3,9.53,92,14,55.96,381,10,48.47,305,3,8.39,81,15,62.47,422,11,49.05,314,4,15.85,124,17,73.89,472,11,48.18,311,4,16.47,131,18,79.69,512
,,220300 - Ethnic Studies                          ,12,27.18,257,3,8.53,80,11,22.30,219,11,22.84,209,3,10.01,89,15,35.78,329,13,33.54,316,3,9.99,97,16,38.14,360,17,42.58,404,5,17.31,168,19,62.18,584,23,69.51,662,6,19.67,191,20,58.00,554
,,220400 - Economics                               ,10,41.01,393,7,23.93,231,17,63.48,618,9,32.39,306,8,27.53,266,16,62.41,607,10,38.42,363,8,31.02,300,17,65.32,620,10,40.53,383,7,26.50,256,16,63.80,602,10,39.28,378,6,24.84,240,15,60.53,569
,,220500 - History                                 ,30,91.59,873,9,26.04,253,31,88.64,844,26,77.83,746,10,31.52,306,32,78.91,749,26,74.18,706,11,32.72,318,32,92.42,879,28,76.75,724,12,35.40,344,31,90.52,849,34,95.58,936,13,40.44,393,32,114.85,999
,,220600 - Geography                               ,7,32.34,194,2,5.66,55,6,26.90,150,6,25.72,153,1,2.57,25,6,19.42,126,6,24.40,143,1,2.10,10,6,25.12,161,6,23.92,153,1,2.10,10,5,21.21,127,6,28.60,200,,,,1,8.11,35
,,220700 - Political Science                       ,14,45.29,429,5,16.45,160,12,38.33,370,14,41.73,397,5,16.04,156,13,30.48,290,11,35.55,339,5,13.48,131,11,29.18,273,12,33.62,313,5,16.04,156,12,37.15,354,10,34.46,324,5,17.59,171,10,36.23,342
,,220800 - Sociology                               ,18,64.43,594,10,27.55,259,20,50.82,490,16,48.99,459,8,26.93,255,20,46.51,442,15,53.84,518,11,33.93,321,17,52.89,500,12,45.72,432,8,23.24,226,13,40.05,394,17,59.74,564,8,26.74,260,16,44.55,478
,,221020 - Global Studies                          ,1,2.07,20,,,,,,,1,2.78,27,1,1.54,15,,,,1,2.47,24,1,1.76,17,1,2.49,24,1,1.03,10,1,2.98,29,1,2.38,23,1,2.06,20,1,3.19,31,,,
,,493010 - Career Guidance and Orientation         ,14,28.01,333,5,9.63,107,17,34.49,456,13,24.70,313,5,12.48,140,18,43.19,547,14,25.29,362,5,7.60,85,16,32.61,428,14,21.46,318,5,9.33,105,18,38.68,508,11,23.36,343,5,11.21,127,12,23.37,306
,,493013 - Academic Guidance                       ,,,,,,,1,3.47,30,,,,,,,1,3.24,28,,,,,,,1,1.50,16,,,,,,,1,2.32,20,,,,,,,,,
,,493200 - General Work Experience                 ,6,5.60,25,,,,4,2.63,8,1,3.34,23,,,,6,3.78,16,1,3.77,26,,,,6,6.23,20,4,4.65,25,,,,6,3.78,15,4,5.35,27,,,,3,2.52,12
,Credit - Not Degree Applicable                     Total,,74,241.16,"4,306",48,176.30,"3,745",54,88.68,852,86,249.40,"3,929",62,243.68,"3,649",51,100.21,550,30,38.12,380,57,146.87,"2,878",47,59.48,607,33,31.63,299,64,158.08,"2,952",48,63.60,542,47,119.04,840,67,175.05,"2,932",53,60.86,536
,,051800 - Customer Service                        ,,,,,,,,,,1,0.11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,122200 - Physical Therapist Assistant            ,1,1.97,19,,,,,,,1,1.87,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,,,,,,,2,0.26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150100 - English                                 ,15,27.17,283,2,3.02,44,24,49.55,547,11,17.94,180,,,,15,32.72,342,13,22.70,232,2,4.25,62,18,30.35,357,9,11.29,153,2,3.77,55,13,18.87,272,7,11.56,157,2,3.98,58,14,23.60,335
,,152000 - Reading                                 ,1,0.73,7,,,,1,0.62,6,2,0.31,3,,,,1,0.25,4,,,,,,,1,0.61,8,,,,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",2,8.41,46,,,,2,6.58,36,1,3.94,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
