,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Deanza Total,,,"1,496","4,677.79","43,500","1,428","4,383.28","40,651",543,"1,723.56","16,321","1,531","4,586.18","42,846","1,402","4,069.00","37,733","1,357","3,843.79","35,711",528,"1,657.96","15,670","1,524","4,371.61","41,153","1,386","4,015.47","37,129","1,351","3,832.62","35,608",547,"1,716.79","16,262","1,447","4,276.33","39,561","1,351","4,087.75","37,874",587,"1,884.10","17,464","1,546","4,683.08","44,212","1,443","4,373.89","40,281","1,376","4,147.20","38,580",586,"1,938.90","18,063","1,547","4,791.84","44,323"
,,050200 - Accounting                              ,37,148.87,"1,391",34,136.02,"1,260",12,44.62,439,34,124.76,"1,139",29,113.93,"1,064",30,114.37,"1,066",12,44.44,429,27,102.76,945,31,118.01,"1,096",29,115.46,"1,079",12,46.76,448,30,116.84,"1,084",28,112.72,"1,040",12,48.53,470,29,121.00,"1,131",30,128.44,"1,196",29,124.91,"1,166",12,50.12,492,28,121.88,"1,132"
,,050210 - Tax Studies                             ,2,7.00,70,3,11.71,113,,,,2,7.65,76,2,6.41,62,2,6.70,66,,,,3,11.02,107,1,3.29,37,2,7.28,72,,,,2,6.00,61,2,5.72,57,,,,3,9.76,95,2,7.45,75,2,7.11,71,,,,3,9.80,95
,,050400 - Banking and Finance                     ,1,3.20,48,1,3.13,47,,,,1,3.82,43,1,3.74,42,1,3.56,40,,,,1,4.18,47,2,5.60,63,1,4.09,46,1,3.91,44,1,2.67,30,1,2.94,33,1,2.49,28,1,2.76,31,1,3.65,41,1,4.27,48,,,,1,3.56,40
,,050500 - Business Administration                 ,28,128.43,"1,181",23,113.46,"1,038",13,60.87,565,26,126.53,"1,146",21,91.86,826,22,104.30,956,11,48.26,448,27,123.61,"1,127",24,108.56,976,20,94.01,864,11,47.48,447,26,113.28,"1,029",24,111.99,"1,023",13,51.63,482,28,127.00,"1,165",25,118.63,"1,078",25,114.55,"1,040",11,52.84,475,29,136.05,"1,235"
,,050600 - Business Management                     ,6,22.41,216,4,10.50,108,1,1.30,19,5,16.75,154,6,14.22,142,4,9.23,87,,,,5,12.42,120,7,19.23,183,7,14.25,145,2,5.19,53,9,13.67,143,7,12.80,121,1,0.60,9,7,11.89,116,9,17.76,172,8,12.00,119,2,5.54,69,9,19.96,186
,,050640 - Small Business and Entrepreneurship     ,2,10.01,90,3,13.60,130,1,4.67,42,2,7.23,71,2,9.34,84,3,12.57,119,1,4.78,43,1,3.89,35,2,7.23,65,3,12.75,123,1,5.23,47,3,10.14,96,2,9.46,85,1,4.67,42,1,4.45,40,3,14.54,140,1,5.01,45,1,4.00,36,2,9.90,89
,,050900 - Marketing and Distribution              ,4,15.28,144,4,15.12,143,1,3.02,34,7,24.71,230,3,13.67,132,4,12.41,117,2,9.45,85,7,25.04,234,3,13.64,131,4,14.80,141,2,9.34,84,5,17.68,164,3,13.90,134,1,4.45,40,6,19.03,177,5,23.16,217,4,19.93,188,2,10.13,91,4,19.46,184
,,051100 - Real Estate                             ,4,19.48,219,4,19.66,221,4,15.48,174,5,26.23,295,4,17.61,198,6,17.43,196,3,7.47,84,6,18.68,210,7,17.08,192,7,16.35,184,4,8.00,90,7,15.11,170,7,17.79,200,5,10.50,118,7,15.83,178,8,13.16,148,8,12.29,138,5,7.21,81,7,12.44,139
,,060200 - Journalism                              ,5,7.33,60,10,6.94,66,,,,7,4.87,33,12,3.81,41,15,4.84,52,,,,8,2.48,37,10,4.67,40,10,3.33,34,,,,10,6.54,54,10,5.01,43,,,,8,4.74,35,10,6.46,63,9,4.33,49,,,,8,4.93,34
,,060420 - Television (including combined TV/Film/V,8,25.69,235,7,23.21,208,1,3.57,26,7,24.06,209,9,27.83,250,6,16.01,148,1,3.60,27,7,20.75,182,10,28.56,254,9,27.37,248,2,4.78,38,10,26.46,241,9,22.84,211,2,6.81,56,8,26.53,234,7,21.53,193,9,24.35,218,2,5.78,45,7,18.62,168
