,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Deanza Total,,,"1,496","4,677.79","43,500","1,428","4,383.28","40,651",543,"1,723.56","16,321","1,531","4,586.18","42,846","1,402","4,069.00","37,733","1,357","3,843.79","35,711",528,"1,657.96","15,670","1,524","4,371.61","41,153","1,386","4,015.47","37,129","1,351","3,832.62","35,608",547,"1,716.79","16,262","1,447","4,276.33","39,561","1,351","4,087.75","37,874",587,"1,884.10","17,464","1,546","4,683.08","44,212","1,443","4,373.89","40,281","1,376","4,147.20","38,580",586,"1,938.90","18,063","1,547","4,791.84","44,323"
,,100230 - Ceramics                                ,4,6.54,49,,,,1,2.67,20,5,8.80,66,5,9.20,69,5,8.67,65,1,3.15,23,7,9.33,70,8,12.93,97,8,12.27,92,1,3.27,26,8,12.94,97,7,12.67,95,3,2.76,22,8,10.82,81,8,12.27,92,8,12.67,95,3,3.29,24,7,10.92,82
,,100400 - Music                                   ,26,29.16,345,27,26.92,313,5,8.85,103,21,26.71,309,21,23.30,282,24,22.61,276,3,5.56,65,21,25.19,314,24,27.55,331,26,30.39,362,4,4.73,59,25,34.06,400,29,34.80,420,5,8.39,105,30,31.87,382,28,28.07,346,31,31.42,380,5,6.69,84,31,31.26,361
,,100700 - Dramatic Arts                           ,6,10.90,97,7,11.25,103,1,2.58,29,5,10.13,100,6,11.56,108,7,10.36,97,1,2.67,30,5,8.40,80,7,11.23,102,7,10.97,100,1,2.49,28,7,12.23,111,7,10.72,95,1,2.40,27,7,8.57,76,7,11.07,97,6,9.15,78,1,2.22,25,8,7.99,70
,,100800 - Dance                                   ,6,14.02,175,6,12.51,148,1,3.82,43,5,11.49,142,5,12.10,145,4,11.29,133,1,5.16,58,4,7.51,91,4,11.20,139,4,8.63,102,1,3.11,35,6,8.58,107,5,6.66,84,1,2.85,32,6,10.92,139,8,8.20,107,7,7.42,94,1,2.67,30,7,6.75,87
,,100900 - Applied Design                          ,4,10.40,78,6,13.86,104,1,3.73,28,4,10.67,80,4,9.73,73,4,10.00,75,1,3.60,27,4,11.19,84,4,10.67,80,4,10.00,75,1,3.20,24,5,13.87,104,4,11.46,86,1,3.33,25,4,10.68,80,5,13.20,99,4,9.99,71,1,3.33,25,5,13.34,100
,,101100 - Photography                             ,2,9.32,102,2,8.78,96,1,3.82,43,2,8.72,98,2,8.36,94,2,7.12,80,1,4.09,46,1,4.45,50,2,9.16,103,2,8.81,99,1,4.71,53,2,8.18,92,2,8.90,100,1,4.27,48,2,8.71,98,2,9.51,107,3,10.85,122,1,4.18,47,2,7.92,89
,,101200 - Applied Photography                     ,8,22.49,212,11,25.47,237,3,8.47,81,8,22.16,209,11,18.10,169,13,18.14,169,2,4.92,39,11,19.91,189,11,18.15,174,11,16.89,150,2,3.11,28,13,19.92,181,12,15.78,142,1,2.34,21,8,16.46,155,10,19.53,179,12,17.29,152,1,2.45,22,8,15.94,153
,,103000 - Graphic Art and Design                  ,5,19.47,146,5,20.01,150,1,4.67,35,6,24.26,182,5,21.34,160,7,24.26,182,2,9.20,69,5,17.33,130,6,23.06,173,6,22.41,168,2,7.87,59,6,24.13,181,8,28.54,214,2,7.73,58,5,18.79,141,6,22.94,172,8,29.08,218,2,7.87,59,5,18.00,135
,,110200 - French                                  ,2,9.35,84,2,8.01,72,,,,2,8.79,79,2,8.23,74,2,7.68,69,,,,2,7.89,71,2,8.35,75,2,6.68,60,,,,2,8.79,79,2,7.68,69,,,,2,7.23,65,2,7.12,64,2,7.01,63,,,,2,6.78,61
,,110300 - German                                  ,1,4.78,43,1,4.34,39,,,,2,7.12,64,1,4.67,42,1,3.67,33,,,,2,6.11,55,1,4.00,36,1,3.67,33,,,,1,4.78,43,1,3.67,33,,,,2,6.67,60,1,3.45,31,1,2.56,23,,,,2,6.57,59
,,110400 - Italian                                 ,1,4.55,41,2,8.90,80,,,,2,8.23,74,1,5.67,51,2,6.45,58,,,,2,7.34,66,1,3.89,35,2,6.00,54,,,,1,3.00,27,2,5.78,52,,,,2,7.34,66,1,4.00,36,2,6.34,57,,,,1,4.34,39
,,110500 - Spanish                                 ,6,22.13,199,5,19.25,173,,,,5,17.24,155,6,19.92,179,5,16.57,149,2,7.07,64,6,21.46,193,5,19.68,177,5,17.68,159,2,9.01,81,7,23.59,212,6,20.90,188,2,9.35,84,8,27.92,251,8,30.91,278,9,32.35,291,3,9.13,82,9,30.81,277
,,110600 - Russian                                 ,2,9.12,82,2,8.57,77,,,,2,8.57,77,2,8.78,79,2,7.90,71,,,,2,7.34,66,2,7.79,70,2,7.45,67,,,,2,7.45,67,2,7.34,66,,,,2,7.78,70,2,8.01,72,2,8.90,80,,,,2,7.78,70
,,110700 - Chinese                                 ,5,26.13,235,6,28.04,252,,,,6,24.42,223,5,21.79,199,6,22.37,204,1,4.16,38,6,24.39,226,6,20.93,194,7,21.61,199,1,3.78,34,5,18.72,171,6,21.08,192,1,4.12,37,7,27.38,253,6,18.66,170,6,23.70,215,1,5.23,47,5,22.58,203
,,110800 - Japanese                                ,5,19.23,173,5,19.13,172,1,2.96,27,5,17.24,155,3,10.89,98,3,9.90,89,,,,3,11.01,99,3,10.68,96,3,10.46,94,,,,3,10.45,94,3,10.45,94,,,,3,11.46,103,3,11.35,102,3,9.67,87,,,,3,10.68,96
,,"111700 - Asian, South Asian, and Pacific Islands ",1,4.23,38,1,3.00,27,,,,2,5.56,50,1,3.34,30,1,2.45,22,,,,2,5.79,52,1,3.89,35,1,4.67,42,,,,1,4.12,37,1,3.11,28,,,,2,7.78,70,1,4.89,44,1,4.78,43,,,,2,8.34,75
,,111720 - Vietnamese                              ,2,9.23,83,2,8.78,79,,,,2,8.90,80,2,7.67,69,2,7.90,71,,,,2,9.13,82,2,8.12,73,2,7.56,68,,,,2,7.45,67,2,5.78,52,,,,2,7.56,68,2,7.68,69,2,5.78,52,,,,2,7.01,63
,,111730 - Korean                                  ,4,17.24,155,4,15.69,141,,,,4,15.01,135,4,14.69,132,4,16.91,152,2,6.69,61,4,14.13,127,4,13.46,121,4,14.02,126,2,5.37,49,4,12.22,110,4,11.68,105,1,3.61,33,4,14.90,134,4,14.68,132,4,12.46,112,,,,4,13.02,117
,,119900 - Other Foreign Languages                 ,,,,,,,,,,1,2.22,20,,,,,,,,,,1,2.67,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,120500 - Medical Laboratory Technology           ,10,6.86,76,9,7.02,59,3,0.36,3,9,4.71,55,10,7.99,87,7,6.63,65,2,0.23,2,8,8.14,89,10,8.39,88,9,6.92,66,4,0.87,7,10,10.88,111,10,7.60,69,3,0.82,3,9,10.08,97,11,9.81,97,8,6.76,61,4,1.05,4,10,9.30,88
,,120510 - Phlebotomy                              ,1,2.40,12,1,3.00,15,1,1.27,19,1,0.13,2,1,0.27,4,1,0.93,14,1,0.93,14,,,,1,0.67,10,1,0.93,14,1,0.80,12,1,1.20,6,1,0.60,9,1,1.97,10,1,0.20,1,1,1.20,6,1,0.67,10,2,2.57,13,1,1.00,5
,,120800 - Medical Assisting                       ,30,35.33,529,36,39.75,585,10,6.40,103,24,33.89,542,30,29.40,479,33,31.45,514,7,5.67,93,28,30.63,487,24,23.57,380,31,25.89,427,8,5.75,94,25,28.10,410,30,27.99,463,5,6.36,89,24,37.92,598,21,27.25,417,29,32.02,517,10,8.12,111,26,38.83,602
,,120820 - Administrative Medical Assisting        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.78,7,,,,1,0.27,1,1,0.09,1,1,0.23,1,,,
,,123000 - Nursing                                 ,2,9.72,219,2,6.26,141,1,3.38,74,2,7.99,180,2,7.50,169,2,5.86,132,1,2.60,62,2,8.48,191,2,5.59,126,2,6.03,136,1,3.98,87,2,6.48,146,3,8.12,183,1,3.81,91,2,8.17,184,2,7.68,173,3,6.48,146,1,3.75,82,2,8.61,194
,,123010 - Registered Nursing                      ,35,43.83,392,35,40.20,376,2,0.54,12,35,39.43,348,35,38.04,331,35,34.12,320,,,,35,36.90,326,35,36.74,331,35,39.33,358,,,,35,43.76,400,35,43.81,402,,,,35,45.35,406,40,49.06,436,36,47.74,429,,,,36,46.14,409
,,127000 - Kinesiology                             ,4,16.90,151,4,17.47,157,3,10.23,92,4,17.68,159,4,18.13,163,4,18.13,163,4,15.35,138,4,18.35,165,3,12.57,113,3,14.34,129,3,12.79,115,3,14.46,130,2,8.79,79,3,11.68,105,3,13.69,123,3,13.90,125,2,8.90,80,3,12.90,116,4,18.80,169
,,130500 - Child Development/Early Care and Educati,36,82.02,861,33,74.39,731,11,28.94,278,34,76.20,779,31,66.27,655,29,62.65,607,11,25.61,271,31,65.19,684,26,55.04,555,26,47.63,481,10,21.04,206,27,52.40,531,25,52.68,547,11,22.31,223,30,63.93,661,32,65.90,687,36,72.13,762,12,30.16,292,33,71.73,768
,,130520 - Children with Special Needs             ,1,2.33,35,,,,1,2.00,30,1,2.20,33,1,2.13,32,1,1.33,20,1,1.93,29,1,2.00,30,1,0.73,11,1,2.53,38,,,,1,2.20,33,1,1.87,28,,,,1,2.33,35,1,1.73,26,1,1.87,28,,,,1,1.33,20
,,130560 - Parenting and Family Education          ,1,1.87,28,,,,,,,,,,1,1.27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,130580 - Child Development Administration and Man,1,3.65,41,3,7.16,103,,,,1,3.02,34,1,2.76,31,3,5.58,106,,,,1,2.22,25,1,1.87,21,2,0.96,32,,,,1,1.78,20,2,3.71,67,,,,1,2.40,27,1,2.40,27,3,5.33,95,,,,2,5.24,59
,,130590 - Infants and Toddlers                    ,,,,1,3.45,31,,,,1,3.11,28,,,,1,3.89,35,,,,1,4.56,41,,,,1,1.89,17,,,,1,2.78,25,1,3.78,34,,,,2,5.89,53,1,4.12,37,2,5.78,52,,,,1,4.56,41
,,"130600 - Nutrition, Foods, and Culinary Arts     ",8,23.71,290,9,27.36,344,6,15.08,186,11,30.12,367,10,27.52,341,8,24.63,287,4,13.70,154,10,33.54,371,9,23.26,301,8,23.66,310,7,20.03,244,8,21.22,261,9,24.93,320,7,15.81,192,11,31.39,373,9,26.85,325,10,29.80,370,7,20.31,253,11,29.76,354
,,140200 - Paralegal                               ,8,25.23,284,7,19.08,260,2,6.85,77,5,14.58,199,7,20.73,233,5,17.26,194,2,4.63,52,10,13.54,199,8,16.99,191,9,16.37,217,2,3.65,41,9,24.72,276,7,23.12,260,4,6.58,74,13,30.01,352,7,16.32,181,6,22.23,250,2,7.56,85,14,26.52,339
,,150100 - English                                 ,119,324.38,"2,950",78,221.38,"2,036",33,88.32,794,117,358.58,"3,273",98,283.60,"2,575",66,184.78,"1,694",33,94.25,850,118,360.10,"3,281",93,276.67,"2,511",72,199.11,"1,826",39,89.04,812,89,269.81,"2,457",64,200.76,"1,845",42,107.22,966,116,359.27,"3,271",92,277.55,"2,528",67,196.68,"1,806",43,113.76,"1,025",109,332.80,"3,026"
,,150110 - Linguistics                             ,1,4.45,50,2,8.36,94,,,,1,3.56,40,1,4.36,49,1,3.74,42,,,,1,3.65,41,1,4.09,46,1,3.56,40,,,,1,4.27,48,1,4.45,50,,,,1,3.56,40,1,4.27,48,1,4.45,50,,,,1,3.56,40
,,150300 - Comparative Literature                  ,7,15.92,179,4,10.49,118,,,,3,8.90,100,6,13.88,156,3,5.87,66,1,0.25,3,6,14.51,163,2,4.09,46,5,9.61,108,2,0.18,4,2,4.63,52,3,9.43,106,4,1.92,21,5,13.88,156,3,7.03,79,3,8.45,95,1,0.73,8,6,13.96,157
,,150600 - Speech Communication                    ,57,176.36,"1,585",58,172.52,"1,551",21,64.16,577,56,168.78,"1,517",55,166.52,"1,497",51,148.45,"1,335",21,65.49,589,58,168.50,"1,515",54,161.08,"1,448",46,140.74,"1,265",20,58.15,523,51,156.74,"1,409",48,147.61,"1,327",20,57.38,516,54,172.97,"1,555",51,155.40,"1,398",48,143.15,"1,287",19,53.27,479,56,178.57,"1,605"
,,150700 - Creative Writing                        ,2,6.56,59,6,7.14,72,1,3.00,27,2,6.68,60,2,6.01,54,5,7.69,80,2,4.40,41,2,6.34,57,2,6.56,59,4,6.45,70,3,3.87,36,2,6.34,57,4,6.48,66,1,3.34,30,2,6.12,55,2,6.57,59,5,7.31,73,2,3.23,29,2,5.56,50
,,150900 - Philosophy                              ,15,61.88,672,14,58.42,639,8,28.54,321,15,57.16,625,15,49.41,535,15,54.03,585,8,34.28,372,13,52.61,572,13,50.79,545,14,49.07,529,9,35.86,380,15,60.77,660,15,59.05,639,9,34.99,373,15,61.40,670,15,58.29,630,16,53.06,567,10,34.76,370,15,55.99,591
,,152000 - Reading                                 ,,,,,,,,,,1,3.23,29,,,,,,,,,,1,3.11,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,159900 - Other Humanities                        ,32,96.84,"1,089",30,90.93,"1,022",10,34.65,386,31,93.04,"1,046",29,87.53,984,27,82.54,928,18,39.16,441,36,102.26,"1,150",30,94.36,"1,061",26,82.75,930,13,43.85,493,31,95.09,"1,069",29,89.39,"1,005",18,54.35,611,34,112.59,"1,266",31,89.82,"1,010",29,90.73,"1,020",16,51.87,583,40,113.66,"1,266"
,,"160100 - Library Science, General                ",3,0.88,39,3,1.07,48,,,,3,0.67,30,3,0.82,37,3,0.83,37,,,,3,1.29,58,3,1.74,78,3,1.03,46,,,,4,1.43,64,3,1.72,77,,,,3,1.59,71,3,1.11,50,2,0.74,33,,,,3,1.20,54
,,"170100 - Mathematics, General                    ",155,593.53,"5,053",125,489.95,"4,175",57,214.23,"1,941",146,558.83,"4,723",131,468.90,"3,982",112,414.55,"3,483",53,203.07,"1,841",135,527.44,"4,480",109,436.78,"3,669",99,396.97,"3,313",51,191.09,"1,729",118,469.94,"4,050",117,448.65,"3,835",55,209.34,"1,895",141,561.15,"5,045",122,464.71,"4,178",116,437.59,"3,934",60,237.35,"2,114",151,601.61,"5,175"
,,"190200 - Physics, General                        ",23,102.00,683,24,102.90,684,3,10.32,107,23,94.97,655,22,97.51,665,22,103.70,697,3,10.58,110,19,82.02,587,21,89.72,603,23,99.93,655,3,13.05,119,24,121.29,830,23,110.80,733,3,12.51,113,21,105.76,716,25,117.42,798,23,114.92,757,3,11.79,101,24,112.72,763
,,"190500 - Chemistry, General                      ",40,186.82,"1,026",39,183.69,"1,005",14,64.90,357,30,151.05,834,31,139.53,770,30,139.18,772,10,39.75,222,32,153.14,850,33,151.28,833,38,158.90,875,12,53.35,310,36,171.26,935,36,170.57,941,12,58.61,321,31,158.74,888,34,175.24,956,36,177.96,971,12,60.19,331,34,171.25,961
,,191100 - Astronomy                               ,9,61.18,565,8,50.58,470,1,7.23,65,9,58.64,542,8,53.41,495,6,41.72,375,1,8.01,72,9,59.29,533,11,63.46,585,8,50.83,471,1,7.23,65,9,61.07,549,10,53.78,508,2,13.12,118,10,61.85,556,10,64.11,590,9,56.46,532,2,15.46,139,11,66.81,615
,,191400 - Geology                                 ,3,15.25,98,3,13.70,88,2,9.03,58,3,14.31,92,4,18.52,119,4,17.74,114,2,9.02,58,3,13.99,81,3,14.63,94,4,20.70,133,2,8.40,54,3,11.52,74,4,17.12,110,2,8.25,53,4,15.88,102,4,16.81,108,4,18.73,112,2,9.33,60,4,16.50,106
,,191900 - Oceangraphy                             ,2,6.23,70,2,5.43,61,1,3.38,38,1,3.56,40,1,2.22,25,1,2.94,33,1,3.65,41,1,3.74,42,1,3.38,38,1,3.29,37,1,3.11,35,1,2.49,28,1,2.31,26,1,3.74,42,1,2.94,33,1,3.02,34,1,3.38,38,1,3.56,40,1,2.22,25
,,199900 - Other Physical Sciences                 ,7,33.39,329,6,27.61,275,3,14.65,147,6,26.43,264,6,25.81,260,6,28.81,291,3,15.68,155,6,22.57,223,6,27.43,276,6,23.80,240,3,14.82,146,6,25.46,253,6,27.79,281,3,14.93,149,6,26.61,262,6,25.60,257,6,27.18,272,3,15.40,154,6,25.38,257
,,"200100 - Psychology, General                     ",47,187.48,"2,082",49,196.11,"2,048",16,71.25,801,48,181.63,"2,022",47,168.38,"1,843",48,180.54,"1,890",14,64.22,722,48,190.92,"2,106",48,180.07,"1,915",48,176.37,"1,853",19,67.25,759,53,190.06,"2,046",48,184.35,"1,937",19,80.25,902,48,190.09,"2,078",54,186.42,"2,022",47,180.16,"1,879",25,97.16,"1,091",50,199.40,"2,157"
,,210500 - Administration of Justice               ,30,48.48,546,30,44.60,502,6,7.19,81,31,43.50,489,22,25.89,291,24,31.31,352,3,5.07,57,21,28.00,315,20,28.12,316,23,25.61,288,6,10.05,113,27,30.94,348,20,28.46,320,8,8.18,92,18,21.44,241,18,30.15,339,11,23.31,262,6,7.47,84,18,25.62,288
,,210510 - Corrections                             ,,,,1,1.60,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.78,20,,,,,,,1,2.94,33,1,2.31,26
,,"210540 - Forensics, Evidence, and Investigation  ",,,,1,4.35,49,,,,,,,1,3.74,42,,,,,,,1,3.47,39,,,,1,2.49,28,,,,1,4.00,45,,,,,,,1,4.00,45,,,,1,3.91,44,,,,1,4.08,46
,,214000 - Legal and Community Interpretation      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.50,25
,,"220100 - Social Sciences, General                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.78,20
,,220110 - Women's Studies                         ,5,22.23,250,6,24.38,274,6,20.89,235,6,20.73,233,11,25.97,292,8,20.73,233,7,17.44,196,6,15.30,172,8,19.04,214,10,21.88,246,7,15.64,176,8,19.65,221,8,19.75,222,1,4.63,52,6,16.37,184,6,16.99,191,10,27.22,306,1,4.18,47,5,15.29,172
,,220120 - American Studies                        ,5,6.14,69,4,6.41,72,,,,3,6.07,71,4,5.24,59,3,6.01,69,,,,6,8.72,98,,,,,,,,,,,,,2,2.22,25,,,,6,13.87,156,,,,4,7.64,86,,,,5,15.47,174
,,220200 - Anthropology                            ,24,81.15,942,25,76.69,897,9,33.07,384,25,85.89,997,22,75.90,878,22,73.85,860,8,28.86,337,24,78.32,907,21,79.52,920,25,78.00,906,10,36.10,417,24,75.93,885,24,79.00,919,11,39.76,460,25,88.12,"1,017",23,80.63,937,23,77.72,903,12,46.51,536,26,92.73,"1,069"
,,220300 - Ethnic Studies                          ,32,85.22,970,42,93.58,"1,057",12,29.38,331,36,81.83,920,28,73.47,840,31,78.88,892,11,36.60,412,34,91.78,"1,033",31,85.71,981,26,90.82,"1,021",10,36.79,414,39,115.45,"1,299",33,113.00,"1,272",18,59.54,669,30,99.90,"1,123",39,142.67,"1,604",39,159.01,"1,787",22,88.15,991,34,135.26,"1,520"
,,220400 - Economics                               ,28,94.21,"1,059",31,101.87,"1,145",13,46.85,526,29,86.82,976,27,83.79,942,24,74.18,834,11,43.56,489,31,89.68,"1,008",30,89.84,"1,010",30,88.24,992,12,47.51,534,26,91.44,"1,028",28,95.19,"1,070",12,47.15,530,28,103.36,"1,162",26,95.78,"1,077",27,99.16,"1,115",13,52.02,585,26,99.86,"1,127"
,,220500 - History                                 ,24,83.33,937,25,94.18,"1,059",10,38.40,432,28,92.41,"1,039",22,72.67,817,22,75.43,848,11,35.94,404,30,82.38,926,23,67.51,759,23,71.77,807,11,43.49,489,22,82.54,928,25,82.29,925,12,45.36,510,31,104.05,"1,170",23,80.13,901,24,85.25,958,12,47.76,537,32,104.15,"1,171"
,,220600 - Geography                               ,7,30.88,347,7,29.27,329,5,18.40,207,8,30.87,347,7,29.91,336,7,25.72,289,5,20.11,226,7,25.89,291,7,26.07,293,7,27.84,313,5,22.24,250,7,30.79,346,7,28.30,318,5,20.55,231,7,30.25,340,7,30.43,342,6,25.98,292,5,22.33,251,7,30.40,342
,,220700 - Political Science                       ,23,69.74,658,21,66.11,620,7,32.91,296,20,57.70,541,18,56.42,526,21,62.16,576,7,30.10,277,15,45.67,436,17,47.14,440,19,47.56,442,7,29.26,271,19,64.29,599,17,71.95,670,7,29.56,272,17,64.67,604,17,53.62,502,16,60.33,568,8,37.75,348,13,56.40,532
,,220800 - Sociology                               ,12,44.29,498,14,46.34,521,5,19.66,221,15,51.69,581,13,46.35,521,16,47.48,534,5,19.65,221,13,44.20,497,14,47.04,529,15,45.10,507,6,24.01,270,14,44.76,503,15,48.11,541,6,18.42,207,13,43.41,488,15,53.47,601,13,45.20,508,7,25.17,283,13,46.95,528
,,221000 - International Studies                   ,1,1.87,21,1,1.96,22,,,,,,,,,,,,,,,,,,,,,,1,3.91,44,,,,2,8.01,90,2,9.34,105,,,,2,7.38,83,2,4.89,55,1,4.27,48,,,,2,8.54,96
,,221010 - Area Studies                            ,4,9.43,106,6,13.43,151,5,11.66,131,6,11.92,134,6,10.67,120,6,12.53,141,5,11.64,131,6,11.55,130,4,9.07,102,6,13.15,148,5,13.26,149,4,8.01,90,4,6.31,71,3,6.31,71,6,12.62,142,6,11.03,124,4,7.64,86,,,,4,7.92,89
,,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.22,10,,,,1,0.06,5,,,,1,0.18,8
,,493012 - Job Seeking/Changing Skills             ,9,19.52,287,5,11.82,168,2,4.71,53,8,15.82,229,11,20.01,309,5,12.93,173,5,8.69,130,7,14.92,212,10,16.23,297,5,12.45,166,5,7.87,114,12,21.37,368,5,12.81,172,5,6.76,100,6,13.58,203,9,16.24,296,4,10.71,140,5,8.71,126,6,12.36,181
,,493013 - Academic Guidance                       ,4,5.29,139,6,8.03,157,4,4.31,92,18,15.76,510,6,7.12,215,7,6.50,190,5,4.71,115,16,12.65,402,5,5.83,136,6,5.51,127,2,3.33,48,6,5.08,126,6,5.67,141,6,6.17,169,17,19.77,485,6,5.41,143,3,6.91,92,6,4.76,100,13,17.09,387
,,"493031 - Living Skills, Handicapped              ",1,0.53,6,,,,,,,,,,1,0.62,7,,,,,,,,,,1,0.80,9,,,,,,,1,1.16,13,,,,,,,,,,1,1.16,13,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",1,2.31,26,3,1.60,40,,,,,,,2,2.20,37,2,2.35,40,,,,,,,1,1.69,19,1,0.45,13,,,,1,1.78,20,3,3.07,66,2,3.67,69,2,5.30,83,1,2.13,24,1,0.38,11,,,,1,0.31,9
,,493072 - Leadership Skills Development           ,7,5.14,30,10,7.79,76,2,1.20,26,8,2.61,63,5,0.64,12,9,1.99,47,,,,7,3.41,77,6,1.42,30,10,2.90,60,,,,7,1.87,51,4,1.57,32,,,,10,6.72,125,7,2.62,69,7,2.42,46,1,0.13,3,5,5.41,76
,,493087 - English as a Second Language - Integrate,4,10.78,97,5,12.34,111,2,2.88,26,4,11.24,101,4,10.00,90,4,11.46,103,2,3.56,32,4,11.02,99,4,10.22,92,4,10.45,94,2,5.12,46,4,11.90,107,4,13.12,118,2,5.67,51,4,10.69,96,4,10.79,97,5,14.01,126,2,5.00,45,4,11.33,102
,Credit - Not Degree Applicable                     Total,,75,213.80,"1,779",64,200.89,"1,416",20,125.44,528,86,244.01,"1,943",65,193.64,"1,353",63,184.22,"1,190",17,119.46,396,89,218.16,"1,763",66,175.59,"1,158",56,151.56,939,18,98.81,302,74,176.87,"1,122",60,163.90,976,23,189.91,778,96,241.37,"2,012",75,219.69,"1,236",63,164.04,"1,028",21,145.97,424,95,259.16,"1,759"
,,095600 - Manufacturing and Industrial Technology ,,,,,,,,,,3,2.53,19,2,1.86,14,4,1.73,13,,,,3,1.47,11,3,1.33,10,3,3.21,24,,,,3,1.86,14,3,4.00,30,,,,3,2.67,20,3,2.53,19,3,2.40,18,,,,3,2.27,17
,,123010 - Registered Nursing                      ,2,0.20,3,,,,,,,1,0.93,14,2,0.94,14,3,1.34,20,,,,2,0.54,8,3,0.50,10,1,0.17,5,,,,1,0.03,1,1,0.13,2,,,,,,,2,0.10,2,1,0.03,1,,,,,,
,,150100 - English                                 ,18,27.20,404,11,17.13,257,2,2.94,44,31,51.10,761,15,24.07,361,12,19.20,288,2,3.00,45,36,61.25,911,16,26.54,398,13,20.95,314,2,2.67,40,16,25.92,389,10,16.54,248,3,4.73,71,37,66.76,993,17,26.80,402,10,14.92,224,3,4.54,68,34,61.93,923
,,"170100 - Mathematics, General                    ",10,21.80,324,5,11.51,146,,,,9,21.96,329,8,16.96,275,8,15.02,237,,,,5,9.45,170,4,8.06,145,4,6.71,120,,,,4,7.29,131,5,8.80,158,,,,2,3.67,66,4,8.79,158,5,8.34,150,,,,7,13.35,240
,,"493030 - Learning Skills, Handicapped            ",,,,1,0.03,1,,,,1,0.10,3,,,,1,0.13,4,,,,1,0.23,7,,,,1,0.13,4,,,,,,,1,0.17,5,,,,1,0.23,7,,,,1,0.13,4,,,,,,
,,"493031 - Living Skills, Handicapped              ",2,76.02,114,6,95.33,197,4,99.39,234,6,107.51,229,4,104.79,217,6,108.88,241,4,104.06,217,6,103.16,239,4,99.96,194,6,93.64,192,4,88.11,180,5,107.49,253,7,109.42,291,8,176.81,625,10,130.10,552,6,152.44,360,8,115.73,402,6,135.59,295,5,150.12,280
,,493084 - English as a Second Language - Writing  ,16,34.24,351,15,29.62,308,5,8.99,90,6,10.14,114,6,8.44,95,6,7.91,89,2,2.49,28,5,5.25,61,6,7.44,86,5,4.61,53,2,1.60,18,7,5.26,60,6,3.96,45,2,1.07,12,6,5.17,59,7,5.07,58,6,3.36,38,2,0.63,7,6,4.31,49
,,493085 - English as a Second Language - Reading  ,15,28.58,333,15,23.09,276,5,7.08,83,6,8.62,97,6,7.02,79,5,5.52,62,2,2.49,28,5,5.78,65,6,6.68,75,4,4.19,47,2,2.14,24,7,5.33,60,5,3.12,35,2,1.15,13,5,4.98,56,6,4.08,46,5,3.47,39,2,0.72,8,5,4.18,47
