,,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020
,,Median Wage 2 Years Before Award,Median Wage 2 Years After Award,Median Wage 5 Years After Award,Total Awards
Biotechnology and Biomedical Technology-043000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,910","$57,228","$79,399",81
,Chancellor's Office Approved Certificates Recipient                        ,"$27,792","$57,228","$65,885",75
,Locally Approved Certificates Recipient                                    ,"$17,908","$57,371","$78,521",41
Business Administration-050500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,621","$44,517","$65,531","5,005"
,Chancellor's Office Approved Certificates Recipient                        ,"$29,936","$46,770","$59,975",234
"Business and Commerce, General-050100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,690","$47,704","$61,806",772
,Chancellor's Office Approved Certificates Recipient                        ,"$35,306","$48,456","$60,006",187
,Locally Approved Certificates Recipient                                    ,"$29,665","$46,510","$54,143",72
Business Management-050600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$39,059","$53,733","$62,188",647
,Chancellor's Office Approved Certificates Recipient                        ,"$58,721","$65,992","$72,633",653
,Locally Approved Certificates Recipient                                    ,"$23,051","$44,674","$46,869",115
Cardiovascular Technician-121300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$31,956","$87,570","$105,708",152
,Chancellor's Office Approved Certificates Recipient                        ,"$32,307","$111,320","$124,422",23
Carpentry-095210,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$80,334","$106,299","$105,959",266
Certified Nurse Assistant-123030,,,,,
,Locally Approved Certificates Recipient                                    ,"$21,838","$37,342","$46,536",155
"Chemistry, General-190500",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,348","$27,083","$64,776",180
Child and Adolescent Development-130510,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,437","$36,388","$48,054",35
Child Development Administration and Management-130580,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,901","$32,883","$34,434",64
,Chancellor's Office Approved Certificates Recipient                        ,"$24,621","$39,109","$42,123",86
Child Development/Early Care and Education-130500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,376","$28,825","$38,696","1,772"
,Chancellor's Office Approved Certificates Recipient                        ,"$20,594","$28,599","$37,849","1,319"
,Locally Approved Certificates Recipient                                    ,"$21,738","$28,834","$33,945",888
Children with Special Needs-130520,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,542","$28,604","$37,673",39
,Chancellor's Office Approved Certificates Recipient                        ,"$20,423","$28,323","$36,753",48
,Locally Approved Certificates Recipient                                    ,"$18,273","$21,441","$38,973",48
Civil and Construction Management Technology-095700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$58,846","$85,478","$90,923",71
,Chancellor's Office Approved Certificates Recipient                        ,"$76,904","$85,387","$89,166",57
,Locally Approved Certificates Recipient                                    ,"$55,319","$86,758","$87,418",25
Clinical Medical Assisting-120810,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,625","$30,705","$45,312",45
,Chancellor's Office Approved Certificates Recipient                        ,"$15,298","$36,917","$43,692",143
Commercial Art-101300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,260","$35,552","$35,931",28
,Chancellor's Office Approved Certificates Recipient                        ,"$19,010","$27,923","$36,106",43
Commercial Music-100500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,605","$40,483","$43,376",100
,Chancellor's Office Approved Certificates Recipient                        ,"$16,348","$37,123","$42,276",88
,Locally Approved Certificates Recipient                                    ,"$13,491","$30,113","$43,152",45
Community Health Care Worker-126100,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$36,043","$34,159","$70,063",28
,Locally Approved Certificates Recipient                                    ,N/A,"$61,661",N/A,12
Computer Electronics-093410,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,064","$43,667","$59,650",51
,Chancellor's Office Approved Certificates Recipient                        ,"$13,688","$42,469","$48,604",31
Computer Graphics and Digital Imagery-061460,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,711","$33,283","$43,733",64
,Chancellor's Office Approved Certificates Recipient                        ,"$23,614","$41,167","$45,782",72
,Locally Approved Certificates Recipient                                    ,"$15,854","$45,087",N/A,27
Computer Information Systems-070200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$31,485","$48,190","$62,938",336
,Chancellor's Office Approved Certificates Recipient                        ,"$30,128","$48,510","$59,543",121
,Locally Approved Certificates Recipient                                    ,"$30,350","$43,128","$70,841",26
Computer Infrastructure and Support-070800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$35,610","$68,873","$92,796",111
,Chancellor's Office Approved Certificates Recipient                        ,"$45,197","$67,923","$99,194",50
,Locally Approved Certificates Recipient                                    ,"$54,810","$63,658","$95,243",33
Computer Networking-070810,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,853","$64,056","$77,649",354
,Chancellor's Office Approved Certificates Recipient                        ,"$35,170","$60,251","$73,630",301
,Locally Approved Certificates Recipient                                    ,"$43,563","$65,119","$81,462",169
Computer Programming-070710,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,501","$45,800","$75,985",230
,Chancellor's Office Approved Certificates Recipient                        ,"$28,105","$60,521","$73,039",207
,Locally Approved Certificates Recipient                                    ,"$39,056","$64,762","$85,925",87
Computer Science (Transfer)-070600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,759","$42,951","$74,055",392
,Chancellor's Office Approved Certificates Recipient                        ,"$12,340","$47,593","$79,021",23
Computer Software Development-070700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,430","$51,620","$89,562",26
,Chancellor's Office Approved Certificates Recipient                        ,"$16,865","$54,239","$105,859",29
Computer Support-070820,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$13,545","$45,047","$63,026",21
,Chancellor's Office Approved Certificates Recipient                        ,"$18,334","$59,090","$74,959",33
,Locally Approved Certificates Recipient                                    ,"$20,547","$44,462","$52,268",38
