,,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020
,,Median Wage 2 Years Before Award,Median Wage 2 Years After Award,Median Wage 5 Years After Award,Total Awards
,Associate or Baccalaureate Degree Recipient                                ,"$21,267","$47,739","$45,180",144
,Chancellor's Office Approved Certificates Recipient                        ,"$21,927","$46,880","$55,548",186
International Business and Trade-050800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,464","$41,063","$33,690",26
,Chancellor's Office Approved Certificates Recipient                        ,"$30,799","$59,056","$41,102",23
,Locally Approved Certificates Recipient                                    ,"$33,852","$61,952","$44,305",39
Japanese-110800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$12,253","$18,836","$34,860",23
Journalism-060200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,648","$30,140","$49,350",109
Kinesiology-127000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,191","$24,501","$43,665",275
Labor and Industrial Relations-051600,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$82,549","$74,310","$79,151",17
Landscape Design and Maintenance-010910,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,523","$52,141","$62,719",80
,Chancellor's Office Approved Certificates Recipient                        ,"$45,815","$56,414","$59,418",60
,Locally Approved Certificates Recipient                                    ,"$19,214","$39,051","$49,072",24
Language Arts-150200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,242","$29,590","$38,999",97
Laser and Optical Technology-093480,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$63,040","$90,069","$82,117",14
Legal and Community Interpretation-214000,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$37,319","$37,040","$50,010",34
"Liberal Arts and Sciences, General-490100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,934","$38,538","$55,883","6,588"
,Chancellor's Office Approved Certificates Recipient                        ,"$29,041","$75,751","$85,785",212
Liberal Studies-490120,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,935","$33,991","$57,429",905
,Chancellor's Office Approved Certificates Recipient                        ,"$22,588","$28,901","$49,376",64
Library Technician (Aide)-160200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,973","$41,489","$48,743",58
,Chancellor's Office Approved Certificates Recipient                        ,"$29,126","$40,263","$48,771",109
,Locally Approved Certificates Recipient                                    ,"$43,391","$44,297","$66,156",24
Licensed Vocational Nursing-123020,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,996","$55,172","$68,863",130
,Chancellor's Office Approved Certificates Recipient                        ,"$23,703","$54,811","$65,226",218
Lodging Management-130720,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,934","$44,469","$47,814",34
,Chancellor's Office Approved Certificates Recipient                        ,"$23,548","$45,176","$41,781",46
Logistics and Materials Transportation-051000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$41,741","$60,047","$73,761",36
,Chancellor's Office Approved Certificates Recipient                        ,"$59,524","$61,946","$65,775",30
,Locally Approved Certificates Recipient                                    ,"$33,306","$42,152","$48,466",29
Machining and Machine Tools-095630,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,769","$62,314","$68,718",121
,Chancellor's Office Approved Certificates Recipient                        ,"$42,742","$63,040","$72,728",292
,Locally Approved Certificates Recipient                                    ,"$45,936","$70,873","$79,527",46
Management Development and Supervision-050630,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$47,347","$68,487","$76,614",89
,Chancellor's Office Approved Certificates Recipient                        ,"$71,588","$83,918","$93,306",132
,Locally Approved Certificates Recipient                                    ,"$60,680","$80,978","$83,944",173
Manufacturing and Industrial Technology-095600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$26,272","$54,092","$73,636",54
,Chancellor's Office Approved Certificates Recipient                        ,"$36,476","$60,922","$72,654",85
,Locally Approved Certificates Recipient                                    ,"$54,280","$64,897","$75,071",38
Marketing and Distribution-050900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$29,105","$44,226","$56,845",169
,Chancellor's Office Approved Certificates Recipient                        ,"$25,993","$42,325","$54,375",123
,Locally Approved Certificates Recipient                                    ,"$37,104","$57,053","$52,285",45
"Masonry, Tile, Cement, Lath and Plaster-095260",,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$59,503","$90,180","$82,207",34
Massage Therapy-126200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,507","$24,324","$41,953",21
,Chancellor's Office Approved Certificates Recipient                        ,"$13,011","$22,038","$44,670",32
"Mathematics, General-170100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,561","$27,064","$75,423",850
Mechanical Drafting-095340,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,264","$53,918","$77,969",28
,Chancellor's Office Approved Certificates Recipient                        ,"$25,547","$59,175","$76,211",32
,Locally Approved Certificates Recipient                                    ,"$19,879","$50,380","$70,011",25
"Media and Communications, General-060100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$26,384","$32,404","$56,576",15
Medical Assisting-120800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,140","$38,657","$50,211",234
,Chancellor's Office Approved Certificates Recipient                        ,"$17,099","$37,944","$47,096",356
,Locally Approved Certificates Recipient                                    ,"$19,722","$37,009","$41,812",133
Medical Laboratory Technology-120500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$38,457","$68,087","$90,949",106
,Chancellor's Office Approved Certificates Recipient                        ,"$47,954","$77,951","$96,797",54
Medical Office Technology-051420,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,537","$32,688","$41,163",108
,Chancellor's Office Approved Certificates Recipient                        ,"$15,993","$33,973","$40,053",146
,Locally Approved Certificates Recipient                                    ,"$21,538","$42,199","$52,432",99
Mill and Cabinet Work-095250,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$28,818","$39,720","$38,292",67
Mortuary Science-125500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,069","$51,662","$63,264",133
Multimedia-061410,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,432","$28,138","$42,909",115
,Chancellor's Office Approved Certificates Recipient                        ,"$18,614","$28,158","$41,817",89
,Locally Approved Certificates Recipient                                    ,"$23,245","$36,474","$42,240",17
Music-100400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,613","$22,836","$36,981",188
Natural Resources-011500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,628","$48,221","$68,113",57
,Chancellor's Office Approved Certificates Recipient                        ,"$22,881","$52,011","$66,650",32
Nursery Technology-010930,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,409","$34,187",N/A,21
,Chancellor's Office Approved Certificates Recipient                        ,"$20,645","$33,239","$41,724",25
Nursing-123000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,556","$105,722","$120,188",62
"Nutrition, Foods, and Culinary Arts-130600",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,199","$35,394","$48,565",53
,Chancellor's Office Approved Certificates Recipient                        ,"$21,356","$36,849","$48,322",27
Occupational Therapy Technology-121800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$25,553","$60,898","$61,518",163
Office Management-051440,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$15,201","$36,047","$44,423",35
,Chancellor's Office Approved Certificates Recipient                        ,"$13,342","$25,725",N/A,18
Office Technology/Office Computer Applications-051400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,863","$34,274","$44,846",484
,Chancellor's Office Approved Certificates Recipient                        ,"$18,630","$34,164","$42,814",442
,Locally Approved Certificates Recipient                                    ,"$23,507","$37,632","$49,953",156
Orthopedic Assistant-121400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,929","$47,372","$62,164",18
,Chancellor's Office Approved Certificates Recipient                        ,"$16,896","$52,672","$74,195",32
Other Agriculture and Natural Resources-019900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$31,413","$49,630","$56,242",15
Other Business and Management-059900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$35,240","$52,555","$79,523",56
,Chancellor's Office Approved Certificates Recipient                        ,"$218,434","$248,262","$281,983",31
Other Education-089900,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$119,190","$124,080","$128,588",21
Other Engineering and Related Industrial Technologies-099900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$33,118","$52,798","$79,926",34
,Chancellor's Office Approved Certificates Recipient                        ,"$39,766","$115,541","$151,937",22
,Locally Approved Certificates Recipient                                    ,"$52,272","$128,584","$158,887",24
Other Fine and Applied Arts-109900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$9,390","$55,245","$64,355",35
Other Health Occupations-129900,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$16,635","$27,492","$35,812",15
,Locally Approved Certificates Recipient                                    ,"$37,379","$42,529","$60,707",52
Other Information Technology-079900,,,,,
,Locally Approved Certificates Recipient                                    ,"$20,594","$32,559","$57,836",18
Other Interdisciplinary Studies-499900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,327","$41,181","$57,239",349
,Chancellor's Office Approved Certificates Recipient                        ,"$21,621","$33,753","$56,927",107
Other Public and Protective Services-219900,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$18,980","$42,026","$42,767",18
,Locally Approved Certificates Recipient                                    ,"$40,338","$64,907","$77,039",89
Painting and Drawing-100210,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$13,121","$19,183","$29,994",38
Paralegal-140200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$39,810","$59,973","$71,465",605
,Chancellor's Office Approved Certificates Recipient                        ,"$41,224","$60,874","$74,543",734
Paramedic-125100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$41,274","$103,108","$155,493",67
,Chancellor's Office Approved Certificates Recipient                        ,"$60,736","$130,359","$167,158",207
,Locally Approved Certificates Recipient                                    ,"$21,761","$37,489","$52,657",166
Pharmacy Technology-122100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$17,959","$37,191","$47,319",133
,Chancellor's Office Approved Certificates Recipient                        ,"$21,079","$36,743","$47,004",173
Philosophy-150900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,210","$19,237","$31,713",95
Phlebotomy-120510,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$23,836","$48,580","$59,232",35
,Locally Approved Certificates Recipient                                    ,"$19,317","$67,418","$71,573",36
Photography-101100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,156","$27,708","$35,559",68
,Chancellor's Office Approved Certificates Recipient                        ,"$17,787","$33,180","$35,124",60
,Locally Approved Certificates Recipient                                    ,"$11,865","$26,057",N/A,19
Physical Education-083500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,312","$36,262","$61,703",260
,Locally Approved Certificates Recipient                                    ,"$27,608","$34,583","$52,891",45
"Physical Sciences, General-190100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,134","$39,870","$76,007",130
Physical Therapist Assistant-122200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,248","$60,567","$63,845",183
"Physics, General-190200",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$12,904","$27,582","$77,328",297
Piloting-302020,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,774","$51,712","$33,899",45
,Chancellor's Office Approved Certificates Recipient                        ,"$25,101","$59,782","$37,566",22
Plant Science-010300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$35,364","$53,426","$86,461",17
,Chancellor's Office Approved Certificates Recipient                        ,"$15,779","$56,382","$82,369",17
"Plumbing, Pipefitting and Steamfitting-095230",,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$67,615","$84,411","$107,082",76
,Locally Approved Certificates Recipient                                    ,"$67,077","$104,301","$87,751",17
Police Academy-210550,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$47,341","$89,278","$97,887",45
,Chancellor's Office Approved Certificates Recipient                        ,"$41,654","$110,161","$129,019","1,142"
,Locally Approved Certificates Recipient                                    ,"$37,523","$71,280","$81,449",57
Political Science-220700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,616","$28,324","$57,678",315
Polysomnography-121100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$10,543","$59,848","$75,205",12
Preshool Age Children-130540,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$16,518","$26,538","$35,884",156
,Chancellor's Office Approved Certificates Recipient                        ,"$18,756","$26,435","$36,690",270
Psychiatric Technician-123900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$26,985","$80,784","$86,707",122
,Chancellor's Office Approved Certificates Recipient                        ,"$29,661","$83,845","$85,223",242
"Psychology, General-200100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,991","$30,829","$45,098","2,025"
Public Works-210210,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$76,222","$110,533","$124,527",15
,Chancellor's Office Approved Certificates Recipient                        ,"$76,222","$103,168","$117,059",23
Radio and Television-060400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$10,344","$25,482","$42,390",70
,Chancellor's Office Approved Certificates Recipient                        ,"$12,890","$36,096","$50,134",51
,Locally Approved Certificates Recipient                                    ,"$18,491","$32,979","$48,521",25
Radio-060410,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$12,899","$27,317","$43,230",17
,Chancellor's Office Approved Certificates Recipient                        ,"$11,097","$21,265","$38,294",21
Radiologic Technology-122500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,896","$97,436","$115,545",751
,Chancellor's Office Approved Certificates Recipient                        ,"$17,777","$104,337","$120,912",261
,Locally Approved Certificates Recipient                                    ,"$27,393","$86,887","$114,781",69
Railroad and Light Rail Operations-094740,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$47,900","$77,640","$90,393",15
Real Estate-051100,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$38,311","$41,973","$53,521",158
,Chancellor's Office Approved Certificates Recipient                        ,"$50,963","$51,528","$57,286",168
,Locally Approved Certificates Recipient                                    ,"$40,907","$54,390","$62,165",360
Registered Nursing-123010,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,372","$106,936","$119,366","7,042"
,Chancellor's Office Approved Certificates Recipient                        ,"$24,628","$101,600","$108,676",419
Respiratory Care/Therapy-121000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$28,040","$87,457","$96,733",648
,Chancellor's Office Approved Certificates Recipient                        ,"$23,813","$75,095","$86,357",185
Restaurant and Food Services and Management-130710,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$19,903","$42,505","$51,322",118
,Chancellor's Office Approved Certificates Recipient                        ,"$23,301","$41,211","$49,225",112
,Locally Approved Certificates Recipient                                    ,"$20,207","$32,611","$40,715",76
Retail Store Operations and Management-050650,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$58,890","$74,706","$73,819",27
,Chancellor's Office Approved Certificates Recipient                        ,"$68,209","$73,542","$73,294",418
Sales and Salesmanship-050940,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$25,861","$47,595","$54,520",18
Sheet Metal and Structural Metal-095640,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$58,741","$96,093","$98,746",132
Sign Language Interpreting-085010,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$18,832","$28,810","$40,594",109
,Chancellor's Office Approved Certificates Recipient                        ,"$20,252","$31,922","$39,990",99
Sign Language-085000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,240","$28,598","$37,333",70
,Chancellor's Office Approved Certificates Recipient                        ,"$16,496","$24,532","$34,457",41
Small Business and Entrepreneurship-050640,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,973","$45,498","$54,256",143
,Chancellor's Office Approved Certificates Recipient                        ,"$29,221","$37,000","$49,112",122
,Locally Approved Certificates Recipient                                    ,N/A,"$23,021",N/A,20
"Social Sciences, General-220100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,219","$39,163","$57,225","3,056"
Sociology-220800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,856","$34,699","$50,269",986
Software Applications-070210,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,145","$43,381","$60,651",62
,Chancellor's Office Approved Certificates Recipient                        ,"$27,900","$46,261","$58,617",52
,Locally Approved Certificates Recipient                                    ,"$27,765","$29,419","$51,498",53
Spanish-110500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,238","$30,639","$43,850",215
,Chancellor's Office Approved Certificates Recipient                        ,"$30,672","$37,575","$48,229",47
,Locally Approved Certificates Recipient                                    ,"$44,676","$55,747","$59,700",21
Special Education-080900,,,,,
,Locally Approved Certificates Recipient                                    ,"$34,165","$36,388",N/A,13
Speech Communication-150600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,863","$33,318","$51,522","1,033"
,Chancellor's Office Approved Certificates Recipient                        ,"$22,095","$29,934","$53,146",65
,Locally Approved Certificates Recipient                                    ,"$25,027","$42,013","$57,498",26
Speech/Language Pathology and Audiology-122000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,436","$37,936","$45,140",122
,Chancellor's Office Approved Certificates Recipient                        ,"$22,526","$47,371","$52,162",22
Surgical Technician-121700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$29,076","$69,785","$95,454",16
,Chancellor's Office Approved Certificates Recipient                        ,"$28,709","$69,197","$79,866",32
Surveying-095730,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,525","$81,467","$94,442",21
,Chancellor's Office Approved Certificates Recipient                        ,"$74,385","$102,413","$109,541",41
Tax Studies-050210,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$30,806","$47,916","$55,894",34
,Locally Approved Certificates Recipient                                    ,"$47,070","$63,075","$74,526",112
Technical Theater-100600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,545","$31,788","$48,410",36
,Chancellor's Office Approved Certificates Recipient                        ,"$22,719","$36,153","$47,906",41
Telecommunications Technology-093430,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$29,273","$62,006","$77,009",44
Television (including combined TV/Film/Video)-060420,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,502","$26,901","$39,835",124
,Chancellor's Office Approved Certificates Recipient                        ,"$16,888","$23,897","$41,160",65
,Locally Approved Certificates Recipient                                    ,"$15,251","$20,635","$38,291",46
The School Age Child-130550,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$18,626","$34,140","$42,974",54
Transfer Studies-490110,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,307","$40,448","$51,990",221
,Chancellor's Office Approved Certificates Recipient                        ,"$21,088","$36,090","$57,425","10,239"
Travel Services and Tourism-300900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$14,749","$18,033","$38,141",18
,Chancellor's Office Approved Certificates Recipient                        ,"$26,159","$25,198","$38,486",24
,Locally Approved Certificates Recipient                                    ,"$32,401","$33,214",N/A,22
Truck and Bus Driving-094750,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$47,433","$90,795","$113,653",37
Turfgrass Technology-010940,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$32,288","$59,539",N/A,13
,Chancellor's Office Approved Certificates Recipient                        ,"$33,685","$57,619","$53,616",18
Unknown-999999,,,,,
,Locally Approved Certificates Recipient                                    ,"$20,786","$48,134","$65,067",51
Veterinary Technician (Licensed)-010210,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,979","$45,475","$54,721",292
,Chancellor's Office Approved Certificates Recipient                        ,"$24,293","$37,001","$40,777",76
"Viticulture, Enology, and Wine Business-010400",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$28,127","$60,335","$74,186",46
,Chancellor's Office Approved Certificates Recipient                        ,"$31,884","$53,675","$75,452",19
Vocational ESL-493100,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$20,142","$19,246","$19,831",84
Water and Wastewater Technology-095800,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$61,081","$86,511","$100,166",167
,Chancellor's Office Approved Certificates Recipient                        ,"$54,934","$89,409","$100,466",212
,Locally Approved Certificates Recipient                                    ,"$70,017","$87,343","$101,504",43
Website Design and Development-061430,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$26,074","$45,516","$76,171",37
,Chancellor's Office Approved Certificates Recipient                        ,"$15,795","$42,657","$54,313",32
,Locally Approved Certificates Recipient                                    ,"$21,240","$40,530","$53,172",23
Welding Technology-095650,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,718","$47,960","$69,385",203
,Chancellor's Office Approved Certificates Recipient                        ,"$24,284","$46,180","$60,190",311
,Locally Approved Certificates Recipient                                    ,"$27,344","$58,880","$68,076",152
World Wide Web Administration-070900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$35,139","$42,338","$48,419",23
,Chancellor's Office Approved Certificates Recipient                        ,"$44,365","$42,338","$47,632",36
,Locally Approved Certificates Recipient                                    ,"$47,985","$39,845","$81,351",22
