,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Foothill Total,,,"1,120","3,158.07","27,577","1,032","2,784.82","25,315",472,"1,328.83","11,965","1,172","2,903.93","25,792","1,111","2,628.22","23,414",971,"2,299.98","21,213",457,"1,211.25","11,433","1,175","2,841.18","25,837","1,113","2,646.97","24,042",945,"2,265.78","21,145",468,"1,267.60","11,952","1,160","2,901.06","25,899",972,"2,485.61","22,770",456,"1,280.03","11,886","1,164","3,144.74","27,969","1,205","3,172.02","28,287",994,"2,672.47","24,449",442,"1,293.30","12,384","1,153","3,165.52","27,853",127,139.67,"1,259"
,,050210 - Tax Studies                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.34,39,1,3.89,35,,,
,,050500 - Business Administration                 ,11,45.86,436,17,67.67,648,5,21.95,211,16,62.96,596,13,42.76,413,14,45.99,438,5,20.37,188,15,54.37,520,13,43.16,412,11,36.02,337,9,35.03,324,17,57.26,554,13,48.54,459,6,27.22,244,18,69.73,669,18,62.14,598,19,68.54,659,8,38.02,368,19,67.68,643,,,
,,050600 - Business Management                     ,4,14.81,157,4,14.58,155,3,10.54,112,4,11.70,124,5,15.20,165,4,12.75,134,5,13.20,143,5,18.90,201,6,13.14,148,3,9.72,100,1,3.74,42,3,11.07,115,3,11.50,119,2,8.72,88,3,11.16,115,3,11.21,116,3,10.82,110,1,4.09,46,3,11.28,118,,,
,,050650 - Retail Store Operations and Management  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.33,15,,,,,,,,,,,,,,,,,,,,,
,,050910 - Advertising                             ,2,5.60,63,,,,,,,,,,1,3.91,44,,,,,,,,,,1,3.11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,060200 - Journalism                              ,,,,1,2.80,18,,,,,,,,,,,,,,,,2,2.49,16,4,4.20,27,4,3.27,21,3,8.27,61,5,4.52,31,3,3.58,23,3,6.69,43,4,3.42,22,5,5.77,37,4,2.64,17,,,,3,2.18,14,,,
,,060700 - Technical Communication                 ,,,,1,2.22,20,,,,1,2.00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,061000 - Mass Communications                     ,1,2.67,24,1,3.33,30,,,,1,2.22,20,1,3.78,34,1,3.89,35,,,,1,3.89,35,1,3.89,35,1,3.56,32,,,,1,4.00,36,1,4.12,37,,,,1,3.67,33,1,3.56,32,1,3.78,34,1,3.45,31,1,3.67,33,,,
,,061410 - Multimedia                              ,10,39.95,359,10,37.72,339,6,26.15,235,8,29.59,266,8,27.28,253,9,34.93,314,6,26.48,238,8,29.26,263,7,25.47,229,7,26.15,235,4,16.46,148,8,24.36,219,8,26.58,239,3,14.92,126,7,29.04,245,8,24.88,210,10,33.17,280,3,13.46,121,6,23.02,207,,,
,,070700 - Computer Software Development           ,38,135.73,"1,036",36,135.98,"1,032",22,96.64,725,33,126.52,949,33,107.39,814,32,114.61,866,20,85.14,636,34,129.08,968,35,125.49,938,30,114.92,869,23,87.42,657,37,120.24,902,32,123.67,928,20,86.10,628,35,143.32,"1,045",41,133.35,974,35,130.62,954,21,94.92,712,38,134.70,"1,009",,,
,,070710 - Computer Programming                    ,1,4.80,36,1,3.47,26,1,4.40,33,1,2.13,16,1,3.07,23,1,4.53,34,1,5.07,38,,,,1,3.60,27,1,4.13,31,1,3.87,29,1,3.87,29,1,4.40,33,2,6.52,48,1,0.18,2,2,3.79,28,,,,1,3.87,29,1,3.20,24,,,
,,070800 - Computer Infrastructure and Support     ,2,9.07,68,2,7.60,57,1,4.13,31,3,12.27,92,3,12.80,96,2,8.80,66,2,10.24,77,3,14.13,106,3,14.00,105,2,10.27,77,2,9.47,71,2,9.06,68,2,9.33,70,2,8.77,64,3,14.81,108,3,12.75,93,4,16.41,120,3,13.74,103,3,11.74,88,,,
,,"080100 - Education, General                      ",,,,,,,,,,1,2.85,16,,,,,,,,,,1,3.02,17,,,,,,,,,,,,,,,,,,,1,7.04,38,,,,,,,,,,1,3.89,25,,,
,,083500 - Physical Education                      ,32,27.42,405,33,29.23,437,26,18.75,283,48,34.42,516,39,30.72,461,48,43.20,648,25,22.20,332,51,44.57,669,57,41.06,616,72,54.67,820,25,24.58,369,59,45.75,686,65,54.22,813,20,23.79,358,54,49.33,740,55,48.73,731,66,55.85,838,25,29.25,433,55,46.59,699,,,
,,083550 - Intercollegiate Athletics               ,16,19.33,181,14,25.93,238,13,31.35,306,13,40.59,244,16,31.67,243,16,27.64,249,13,25.69,330,13,39.91,288,12,27.18,218,13,29.45,262,10,22.25,259,13,26.63,216,13,23.50,234,10,28.75,279,12,42.45,306,13,31.86,255,15,29.04,255,9,23.79,309,12,42.53,295,,,
,,083580 - Adapted Physical Education              ,3,2.81,42,3,3.06,46,2,2.06,32,3,2.33,35,2,2.07,31,4,2.80,42,3,2.85,42,3,2.66,40,3,2.53,38,3,2.40,36,2,3.30,51,3,3.13,47,3,3.14,47,2,3.94,61,3,3.07,46,3,2.54,38,3,2.80,42,2,3.76,55,3,3.87,58,,,
,,086000 - Educational Technology                  ,20,22.60,690,16,15.28,446,12,15.47,268,20,21.39,597,28,20.22,694,10,8.91,273,17,16.10,385,23,27.12,767,25,26.80,826,14,22.19,617,14,16.22,376,18,21.00,684,9,18.17,479,14,14.00,319,15,22.28,601,16,37.85,"1,022",7,37.55,861,15,19.11,415,6,11.74,230,,,
,,"090100 - Engineering, General (requires Calculus)",5,16.29,117,5,13.91,122,1,2.45,22,1,4.98,32,5,13.07,94,5,10.50,85,1,2.89,26,2,8.20,55,3,11.90,85,4,7.49,71,,,,4,16.69,122,5,18.58,147,,,,3,13.66,101,5,18.89,144,6,22.17,172,,,,4,19.52,141,,,
,,094500 - Industrial Systems Technology and Mainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.77,16,2,1.55,14,,,,1,1.78,16,2,1.89,17,1,0.33,3,,,,2,2.44,22,,,
,,094600 - Environmental Control Technology        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22.07,111,,,,,,,13,32.87,181,11,27.30,128,,,,,,,12,25.30,153,,,
,,095200 - Construction Crafts Technology          ,,,,,,,,,,,,,1,2.18,14,1,2.02,13,1,2.18,14,,,,,,,,,,,,,3,9.10,39,,,,,,,,,,3,11.66,50,3,11.67,50,,,,,,,,,
,,095220 - Electrical                              ,54,188.25,"1,049",4,10.01,58,6,29.01,127,55,145.63,839,64,168.02,956,2,6.74,38,5,20.06,98,57,141.52,816,58,144.59,829,6,15.70,98,1,0.91,4,54,133.42,780,2,6.37,36,3,4.66,27,49,120.08,676,51,117.06,637,,,,3,4.11,38,50,120.51,699,10,26.69,153
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",43,102.90,597,11,13.14,132,,,,52,117.26,706,44,110.23,623,8,9.30,94,,,,56,124.85,782,44,106.99,618,8,12.31,123,,,,32,87.11,500,10,12.82,129,,,,41,97.65,610,29,77.61,453,8,11.69,112,,,,39,85.30,547,15,43.40,236
,,095640 - Sheet Metal and Structural Metal        ,115,100.51,"1,329",126,109.05,"1,439",62,46.78,617,164,136.23,"1,801",127,100.56,"1,329",99,85.88,"1,136",63,53.53,713,156,128.72,"1,706",96,73.79,979,95,74.98,993,59,48.43,645,84,58.43,783,104,66.18,883,54,37.24,484,123,86.94,"1,123",89,61.02,788,68,48.34,630,45,30.01,397,87,62.37,812,97,64.45,851
,,095680 - Industrial Quality Control              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,19.05,343,12,14.28,188,15,12.07,237,22,20.57,299,17,24.20,435,16,18.96,289,,,,4,0.28,4,,,
,,"100100 - Fine Arts, General                      ",13,59.17,505,13,56.81,488,10,48.12,411,12,54.00,461,16,55.87,487,14,45.14,398,8,44.78,381,13,44.30,389,14,56.61,492,12,45.50,390,6,31.72,275,15,55.77,488,15,58.20,496,6,33.34,278,14,52.28,448,16,63.00,497,14,52.81,438,9,30.51,270,15,53.31,455,,,
,,100200 - Art                                     ,3,10.80,81,4,13.61,102,1,3.07,23,9,21.08,175,2,8.53,64,4,11.73,88,2,3.47,26,5,19.07,143,3,10.87,82,3,8.94,67,2,6.00,45,2,6.67,50,3,7.86,59,,,,4,10.67,80,3,8.40,63,3,6.13,46,,,,5,7.36,71,,,
,,100210 - Painting and Drawing                    ,11,26.81,201,9,26.40,198,4,10.79,81,9,21.99,165,11,21.39,166,11,23.46,176,2,7.33,55,5,18.39,138,9,18.80,141,5,12.40,93,2,7.33,55,9,21.60,162,5,16.53,124,5,9.74,73,6,20.14,151,9,20.53,154,5,16.40,123,3,9.07,68,8,22.79,171,,,
,,100230 - Ceramics                                ,1,2.00,15,,,,,,,4,6.80,51,6,9.86,74,4,7.34,55,2,2.74,20,5,7.34,55,7,10.93,82,4,7.86,59,2,2.64,21,7,11.87,89,4,7.07,53,2,3.02,24,6,10.81,81,5,11.20,84,3,6.66,50,2,3.15,23,6,10.94,82,,,
,,100400 - Music                                   ,23,65.05,503,22,59.44,451,7,33.19,236,20,51.72,394,16,35.02,275,20,40.73,315,4,21.97,162,18,50.54,369,18,39.82,307,17,35.60,285,3,17.90,125,18,37.99,291,15,37.98,292,2,12.80,93,16,47.91,357,16,43.14,322,18,40.66,297,4,25.04,190,16,40.95,312,,,
,,100500 - Commercial Music                        ,22,47.21,381,16,31.21,241,5,14.63,116,17,34.22,264,24,43.61,330,23,33.90,264,5,15.38,125,21,41.36,320,23,46.20,357,21,38.73,302,6,15.86,128,21,45.47,346,20,36.66,279,6,16.37,129,20,34.48,263,22,44.69,350,22,32.84,251,3,9.60,72,16,32.55,251,,,
,,100600 - Technical Theater                       ,7,5.27,31,4,3.91,26,13,7.59,33,3,4.39,26,9,6.58,36,6,5.85,41,3,2.51,13,7,4.92,30,13,8.85,50,5,4.50,24,6,7.23,38,11,11.16,64,6,4.52,38,4,6.89,31,8,7.14,42,11,13.77,71,5,4.36,24,,,,10,8.96,51,,,
