,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Foothill Total,,,"1,120","3,158.07","27,577","1,032","2,784.82","25,315",472,"1,328.83","11,965","1,172","2,903.93","25,792","1,111","2,628.22","23,414",971,"2,299.98","21,213",457,"1,211.25","11,433","1,175","2,841.18","25,837","1,113","2,646.97","24,042",945,"2,265.78","21,145",468,"1,267.60","11,952","1,160","2,901.06","25,899",972,"2,485.61","22,770",456,"1,280.03","11,886","1,164","3,144.74","27,969","1,205","3,172.02","28,287",994,"2,672.47","24,449",442,"1,293.30","12,384","1,153","3,165.52","27,853",127,139.67,"1,259"
,,122800 - Athletic Training and Sports Medicine   ,7,19.40,198,1,3.33,30,3,5.58,80,4,5.02,40,7,8.36,121,4,3.41,28,6,9.49,84,6,4.33,32,16,29.03,258,8,8.57,69,8,11.33,95,17,33.84,304,7,8.19,60,12,28.10,231,9,22.58,176,22,54.89,475,7,8.82,64,6,4.32,21,12,31.83,265,,,
,,124010 - Dental Assistant                        ,2,1.05,32,1,0.42,19,,,,12,17.70,151,11,14.47,155,13,15.32,145,3,1.56,20,13,13.94,146,12,12.18,133,12,12.90,116,2,0.53,12,9,15.22,160,10,17.13,152,,,,8,17.11,144,9,17.48,184,10,20.89,184,,,,8,16.38,137,,,
,,124020 - Dental Hygienist                        ,15,41.57,394,12,38.02,326,5,8.46,107,15,40.44,353,15,37.44,360,12,37.56,307,5,7.83,100,13,35.25,314,14,36.35,332,11,34.30,271,5,8.65,103,15,37.49,340,11,36.23,273,5,11.60,99,12,31.99,294,14,34.74,329,10,32.01,245,4,8.04,90,12,29.39,273,,,
,,125000 - Emergency Medical Services              ,2,10.32,58,2,5.76,36,3,3.92,22,3,3.89,20,3,3.74,21,3,2.40,15,5,7.65,39,1,4.98,28,2,6.23,35,3,6.39,35,1,5.30,29,1,6.05,34,3,11.92,59,3,10.97,59,3,14.85,79,3,14.89,80,3,17.03,88,5,23.05,134,3,13.55,72,,,
,,125100 - Paramedic                               ,4,36.32,113,2,9.54,52,1,8.84,29,6,31.31,79,7,29.73,92,5,7.71,42,1,6.10,20,7,21.24,86,8,21.99,107,6,10.27,56,1,9.14,30,3,23.90,87,2,9.91,54,2,13.15,58,3,39.68,104,3,39.29,102,2,12.45,64,,,,3,15.24,72,,,
,,"126000 - Health Professions, Transfer Core Curric",6,23.76,244,3,12.63,128,4,18.17,180,8,27.38,274,5,18.90,191,4,15.43,162,2,9.54,95,6,25.58,253,4,16.79,166,5,16.18,171,2,10.66,104,7,23.63,242,3,13.14,136,2,9.92,99,5,23.33,238,8,35.22,359,4,18.98,189,2,9.63,96,5,22.37,228,,,
,,127000 - Kinesiology                             ,8,26.03,254,14,26.48,339,4,11.12,107,9,26.86,261,8,22.36,242,9,24.84,279,3,12.24,110,10,31.84,323,8,22.79,222,11,24.85,285,9,26.24,329,10,30.29,293,12,34.39,399,7,20.59,209,15,40.73,470,9,31.60,306,11,30.76,345,11,29.36,395,13,43.09,453,,,
,,130500 - Child Development/Early Care and Educati,18,46.26,544,23,59.31,696,5,18.15,204,20,58.45,665,17,43.38,532,21,51.96,590,4,13.63,160,20,51.99,580,21,48.75,592,20,48.39,557,5,16.92,181,21,52.89,622,19,50.00,555,8,21.61,233,23,62.46,683,19,57.62,669,22,64.56,729,6,21.81,233,22,59.97,679,,,
,,130580 - Child Development Administration and Man,1,2.58,29,1,0.89,10,,,,1,2.76,31,,,,1,0.80,9,,,,1,3.11,35,,,,1,2.31,26,,,,,,,1,3.29,37,,,,1,3.02,34,,,,1,2.13,24,,,,1,3.56,40,,,
,,150100 - English                                 ,55,137.48,"1,295",51,118.30,"1,101",15,45.55,439,62,160.44,"1,487",56,132.01,"1,228",44,103.10,956,18,54.62,521,58,146.83,"1,362",54,129.30,"1,199",38,88.93,828,20,56.43,528,58,138.50,"1,291",39,99.35,924,19,57.17,531,63,174.71,"1,602",61,142.72,"1,322",45,105.68,997,14,40.95,378,61,166.94,"1,528",,,
,,150300 - Comparative Literature                  ,,,,1,2.05,23,,,,1,2.67,30,,,,,,,,,,1,1.96,22,,,,1,3.74,42,,,,,,,2,6.67,75,,,,1,2.94,33,,,,2,5.33,60,,,,,,,,,
,,150600 - Speech Communication                    ,28,89.52,805,27,89.77,807,13,38.38,345,30,92.87,835,25,75.96,683,29,80.76,726,11,36.26,326,28,87.78,789,24,77.74,699,23,73.27,659,15,45.82,412,29,88.84,799,29,88.42,795,12,37.61,338,31,97.23,874,29,91.55,823,28,89.55,805,11,37.48,337,31,104.09,936,,,
,,150700 - Creative Writing                        ,1,2.45,22,1,3.33,30,,,,1,2.22,20,2,2.45,22,2,2.45,22,,,,1,2.45,22,1,3.11,28,2,2.45,22,,,,2,2.00,18,1,1.67,15,,,,1,2.45,22,2,2.00,18,2,1.78,16,1,3.00,27,1,2.78,25,,,
,,150900 - Philosophy                              ,9,32.63,341,12,42.08,423,7,26.50,273,7,22.61,238,8,27.84,284,8,24.36,250,4,18.97,189,7,22.16,229,6,17.27,181,8,25.62,259,5,22.67,234,6,20.57,212,7,25.75,259,4,19.01,190,6,25.03,251,7,23.02,236,7,24.71,244,3,14.82,143,6,24.88,250,,,
,,"160100 - Library Science, General                ",1,0.37,16,1,0.43,19,,,,,,,1,0.38,17,,,,,,,,,,1,0.40,18,,,,,,,2,0.89,40,,,,,,,1,0.45,20,2,0.96,43,,,,,,,2,0.80,36,,,
,,"170100 - Mathematics, General                    ",76,272.02,"2,431",61,223.06,"1,982",19,77.46,693,65,243.19,"2,170",62,209.33,"1,879",55,188.43,"1,683",18,82.22,738,57,208.36,"1,873",60,209.27,"1,884",48,168.23,"1,515",26,105.87,949,62,220.19,"1,981",50,190.96,"1,717",26,99.45,892,61,251.92,"2,298",66,247.82,"2,223",53,197.63,"1,777",26,109.36,982,61,236.39,"2,155",,,
,,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.47,22,1,1.60,24,,,,1,1.40,21,,,
,,179900 - Other Mathematics                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.89,10,1,0.18,2,,,,,,,1,0.18,2,,,
,,"190100 - Physical Sciences, General              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.93,6,,,,,,,,,,,,,,,,,,,,,,,,
,,"190200 - Physics, General                        ",16,74.48,452,17,82.09,506,5,29.09,158,11,36.56,238,14,50.82,304,15,51.96,321,4,11.76,87,14,53.66,339,16,57.59,353,15,57.56,351,2,6.64,53,17,75.53,461,19,79.60,479,1,5.47,30,14,61.18,380,17,72.22,437,17,75.29,448,1,1.61,19,16,72.46,453,2,0.09,2
,,"190500 - Chemistry, General                      ",39,183.65,"1,129",36,155.05,935,11,52.31,301,33,144.32,880,33,124.71,770,26,98.96,610,12,32.66,205,24,103.87,646,27,109.51,680,27,112.69,677,9,34.47,210,29,130.53,808,26,115.51,703,7,33.72,196,29,123.75,768,30,139.45,863,30,136.75,837,11,45.61,276,32,156.38,964,,,
,,191100 - Astronomy                               ,4,12.44,121,6,13.57,140,,,,3,8.10,82,3,9.95,97,5,11.32,111,,,,3,9.94,99,4,12.29,128,4,10.88,109,,,,4,11.70,118,3,7.59,77,,,,4,13.99,145,3,11.74,116,3,8.32,86,,,,4,11.90,119,,,
,,193000 - Earth Science                           ,,,,,,,,,,,,,,,,,,,,,,1,2.85,32,,,,1,2.76,31,,,,,,,,,,,,,,,,,,,1,4.09,46,,,,1,4.36,49,,,
,,"200100 - Psychology, General                     ",31,124.39,"1,164",31,117.50,"1,107",14,58.30,524,24,99.27,923,25,92.34,858,30,98.79,932,11,48.96,459,28,100.87,955,23,84.37,790,25,94.05,873,11,45.35,427,31,101.05,967,27,101.52,940,10,47.27,445,25,96.08,904,32,107.21,"1,029",22,90.66,848,10,46.23,435,25,107.76,"1,007",,,
,,"220100 - Social Sciences, General                ",13,33.19,372,15,38.89,437,11,35.30,397,14,26.58,299,12,24.98,286,12,27.66,311,11,32.90,370,18,27.86,313,15,26.07,293,14,30.43,342,10,26.87,302,18,26.69,300,14,27.95,324,7,23.66,266,16,25.46,287,17,31.76,357,16,28.69,332,7,23.58,265,11,15.81,178,,,
,,220110 - Women's Studies                         ,2,5.96,67,2,7.53,67,1,2.67,30,1,3.91,44,2,3.92,44,3,9.09,86,1,3.91,44,1,4.09,46,2,5.42,61,2,9.54,90,1,3.82,43,2,5.07,57,1,3.11,35,1,3.38,38,1,3.91,44,1,3.38,38,2,4.36,49,1,4.54,51,1,4.27,48,,,
,,220200 - Anthropology                            ,18,44.30,518,19,47.95,558,14,40.68,405,17,43.87,516,18,42.89,509,18,37.31,453,11,38.12,370,17,38.91,457,18,38.05,445,21,37.84,469,12,29.88,342,20,46.39,537,24,47.51,585,9,30.32,316,25,54.30,661,26,46.56,539,25,46.12,588,14,42.17,430,25,48.67,591,,,
,,220220 - Archaeology                             ,1,2.49,28,1,2.40,27,2,6.36,55,1,2.85,32,,,,2,3.78,31,2,5.96,54,2,6.09,62,,,,2,4.49,39,1,2.67,20,1,3.38,38,2,3.52,31,,,,1,3.60,27,1,3.91,44,3,4.98,43,,,,3,6.39,61,,,
,,220300 - Ethnic Studies                          ,,,,,,,,,,3,6.50,73,3,12.99,146,4,13.52,152,1,3.82,43,4,15.30,172,4,17.61,198,4,16.98,191,2,9.61,108,5,24.56,276,5,24.73,278,2,10.86,122,10,45.37,510,11,49.19,553,12,51.60,580,4,18.42,207,12,51.61,579,,,
,,220400 - Economics                               ,14,53.66,484,15,55.85,514,5,24.80,223,12,38.75,353,13,41.69,384,13,45.81,417,7,25.76,242,12,44.30,405,12,42.95,400,9,39.74,363,5,20.42,194,11,44.93,419,11,40.05,366,5,20.07,190,13,51.86,487,12,46.98,427,11,43.82,400,7,20.64,201,16,52.26,487,,,
,,220500 - History                                 ,11,36.55,411,13,40.58,456,4,13.34,150,10,30.08,338,8,24.19,272,11,33.63,378,4,14.85,167,9,29.36,330,9,27.48,309,10,31.17,366,5,15.82,178,9,27.48,309,8,26.86,302,4,14.40,162,9,27.15,305,10,28.27,318,9,27.30,307,3,12.09,136,10,34.49,388,,,
,,220600 - Geography                               ,7,33.08,231,7,30.85,209,5,24.97,181,6,25.89,181,8,34.37,240,9,34.25,242,4,19.48,141,8,37.77,262,7,34.84,244,6,27.08,180,4,19.96,151,7,34.37,238,7,32.60,222,4,22.33,167,8,37.19,263,8,37.38,263,8,36.33,234,4,20.81,153,9,41.10,286,,,
,,220610 - Geographic Information Systems          ,4,14.35,160,4,13.36,98,,,,4,8.27,73,3,8.05,92,4,11.20,91,,,,4,10.62,94,3,11.69,105,3,12.62,110,,,,3,13.16,119,3,10.49,92,,,,3,7.21,65,3,9.21,79,3,10.09,99,,,,3,8.62,79,,,
,,220700 - Political Science                       ,9,30.61,296,10,29.45,274,4,14.28,134,10,25.02,235,9,18.22,176,8,20.41,192,2,9.12,91,10,22.60,214,7,26.27,245,9,26.31,259,2,8.27,82,7,22.91,216,9,29.94,284,2,8.10,81,8,33.22,315,9,26.27,254,9,28.62,272,3,15.59,150,9,35.64,337,,,
,,220800 - Sociology                               ,16,42.64,416,18,58.31,569,11,29.89,297,16,44.11,434,17,40.07,386,16,42.69,419,6,20.35,202,17,44.45,443,16,37.37,361,11,32.42,312,7,22.73,216,15,37.17,365,16,50.86,500,6,24.86,242,16,48.36,469,15,36.14,348,17,47.17,470,6,23.47,226,15,49.03,473,,,
,,221000 - International Studies                   ,,,,2,3.65,41,,,,1,2.22,25,1,3.20,36,1,2.76,31,,,,1,3.56,40,1,3.47,39,2,3.23,50,,,,1,2.67,30,2,4.26,48,,,,3,6.50,73,2,6.94,78,3,6.32,71,2,2.22,25,3,5.33,60,,,
,,493010 - Career Guidance and Orientation         ,11,14.58,254,10,13.39,246,8,10.50,206,14,23.08,359,7,15.98,209,16,18.65,380,6,8.76,151,17,24.61,444,13,19.88,344,12,17.69,308,5,7.77,153,9,17.15,254,13,22.19,369,12,14.03,308,14,25.66,422,21,20.98,423,14,19.73,352,13,14.88,340,14,23.29,349,,,
,,"493030 - Learning Skills, Handicapped            ",,,,2,0.80,35,,,,,,,,,,2,0.71,35,,,,,,,,,,2,0.71,31,,,,,,,2,0.83,39,,,,,,,,,,2,1.28,56,,,,1,0.18,8,,,
,,493072 - Leadership Skills Development           ,6,0.49,22,6,0.34,16,,,,5,0.31,14,5,0.56,25,6,0.55,25,,,,5,0.49,22,6,0.86,39,6,0.94,42,,,,6,1.20,54,6,1.25,56,,,,6,0.82,39,6,1.24,55,6,1.25,56,,,,9,0.96,45,,,
,,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,,,,,,,,,,2,2.56,23,2,2.56,23,2,3.34,30,,,,2,3.89,35,2,3.45,31,,,,2,3.56,32,2,3.90,35,2,3.45,31,,,,2,4.00,36,,,
,,493200 - General Work Experience                 ,11,10.48,88,9,7.53,56,11,4.86,79,11,2.58,52,12,3.71,80,10,2.17,38,12,4.21,80,10,2.29,51,14,3.01,85,11,2.43,53,12,4.19,72,10,3.32,69,12,5.22,95,12,5.36,81,13,3.27,92,12,4.77,72,12,5.50,99,15,4.87,101,7,3.27,24,,,
,Credit - Not Degree Applicable                     Total,,19,29.81,452,18,24.62,391,6,8.25,141,24,30.08,514,20,22.92,357,24,20.25,318,8,11.03,155,27,27.39,469,21,23.69,338,19,18.78,287,10,13.33,218,21,26.44,388,20,19.43,306,9,12.03,177,22,26.21,450,26,28.13,421,21,15.09,268,12,16.23,252,32,38.37,645,,,
,,121000 - Respiratory Care/Therapy                ,1,0.98,22,1,0.67,15,,,,1,0.67,15,1,0.80,18,1,0.58,13,,,,1,0.53,12,,,,1,0.62,14,,,,,,,1,0.89,20,,,,1,1.35,26,1,1.09,21,1,0.78,15,,,,1,0.85,19,,,
,,122100 - Pharmacy Technology                     ,,,,1,0.68,35,,,,,,,,,,,,,1,0.09,4,,,,,,,,,,1,0.45,21,,,,,,,1,0.32,14,,,,,,,1,0.50,22,,,,,,,,,
,,122500 - Radiologic Technology                   ,1,1.69,52,1,1.20,36,1,1.02,30,2,2.25,68,2,1.91,60,1,1.16,36,1,0.87,28,2,2.03,64,1,1.04,31,1,0.98,30,1,1.16,34,1,1.16,34,1,1.17,35,1,1.13,33,2,2.30,67,1,1.10,33,1,0.90,27,1,0.99,29,2,2.26,67,,,
,,124010 - Dental Assistant                        ,,,,,,,,,,1,0.96,14,,,,1,0.60,9,1,0.93,14,2,0.80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,1,0.80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.28,16,,,,,,,,,,,,,1,1.55,20,,,,1,1.36,17,,,,,,
,,126100 - Community Health Care Worker            ,,,,,,,,,,,,,,,,,,,,,,,,,1,1.78,16,,,,,,,1,2.34,21,,,,,,,,,,1,2.56,23,,,,,,,1,3.11,28,,,
,,"170100 - Mathematics, General                    ",,,,,,,1,2.50,24,,,,,,,,,,3,7.64,75,,,,,,,,,,3,7.43,80,,,,,,,3,7.45,67,,,,,,,,,,3,7.67,70,,,,,,
,,170200 - Mathematics Skills                      ,4,7.06,127,2,3.34,60,,,,4,7.40,133,2,2.84,51,2,2.17,39,,,,4,5.95,107,3,4.01,72,2,2.06,37,,,,2,3.51,63,1,0.83,15,,,,1,2.17,39,4,4.72,85,,,,,,,4,7.24,130,,,
,,493010 - Career Guidance and Orientation         ,1,0.49,22,,,,1,0.47,21,2,1.09,49,1,0.49,22,1,0.56,25,,,,2,1.39,62,1,0.62,28,1,0.60,27,1,0.31,14,1,0.71,32,1,0.74,33,1,0.13,6,2,1.56,70,1,0.78,35,1,0.76,34,1,0.67,30,2,1.36,61,,,
,,"493030 - Learning Skills, Handicapped            ",2,2.35,53,,,,1,1.02,23,1,1.07,24,1,0.98,22,,,,1,0.75,17,1,0.80,18,1,0.71,16,,,,1,1.07,24,1,1.07,24,,,,1,1.11,25,1,1.07,24,1,1.07,24,,,,2,2.09,47,2,2.09,47,,,
,,"493031 - Living Skills, Handicapped              ",2,3.76,52,6,8.11,135,1,1.02,23,4,5.61,99,4,6.76,90,5,6.78,106,1,0.75,17,4,4.00,72,4,4.80,64,5,5.36,84,1,1.07,24,4,7.20,96,5,7.40,115,1,1.11,25,4,5.34,96,4,6.00,84,5,6.54,108,2,2.09,47,8,10.22,184,,,
,,493084 - English as a Second Language - Writing  ,4,7.01,63,5,7.40,81,,,,6,7.59,81,7,7.13,76,8,6.07,69,,,,7,8.45,91,7,7.51,82,6,6.49,71,1,0.56,5,8,8.45,100,7,6.06,67,1,0.78,7,7,8.09,89,8,6.38,70,9,4.50,52,2,1.36,12,8,7.13,72,,,
,,493085 - English as a Second Language - Reading  ,2,5.00,45,2,3.22,29,1,2.22,20,3,3.44,31,2,2.01,18,4,1.77,16,,,,4,3.44,31,3,3.22,29,3,2.67,24,,,,3,2.00,18,3,2.23,20,,,,4,4.33,39,4,2.88,26,2,1.00,9,,,,4,4.11,37,,,
,,493086 - English as a Second Language - Listening,1,0.67,6,,,,,,,,,,,,,1,0.56,5,,,,,,,,,,,,,,,,,,,1,0.11,1,,,,,,,,,,1,0.11,1,,,,,,,,,
