,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
San Mateo Total,,,778,"3,016.59","15,255",810,"2,997.81","16,373",207,"1,076.75","5,162",805,"3,068.39","17,597",859,"1,413.72","18,338",257,"1,323.05","6,566",912,"3,612.38","21,256",916,"3,423.82","19,912",289,"1,463.34","7,345",986,"3,813.88","22,641",970,"3,789.98","21,576",256,"1,357.08","6,998",911,"3,569.97","21,373"
,,060410 - Radio                                   ,2,1.44,8,,,,,,,1,2.82,11,2,0.00,13,,,,2,4.74,19,2,4.37,19,,,,2,3.08,13,2,4.49,18,,,,2,3.47,15
,,061200 - Film Studies                            ,8,55.61,291,10,81.95,410,7,43.65,228,9,71.14,388,11,6.69,445,7,55.90,291,10,74.48,417,13,73.92,403,8,51.33,270,14,78.82,438,14,87.65,466,7,42.80,228,14,88.65,484
,,061210 - Film History and Criticism              ,2,11.30,46,1,2.40,18,,,,2,10.29,52,1,1.73,26,,,,1,8.01,41,2,11.54,63,,,,1,7.28,39,2,7.15,38,,,,1,10.51,40
,,061400 - Digital Media                           ,17,73.19,374,21,69.21,434,1,3.50,19,19,67.87,383,19,25.11,406,2,7.70,42,21,75.80,472,25,87.81,568,3,16.56,90,25,91.23,555,23,87.97,524,4,13.90,78,24,99.45,580
,,"070100 - Information Technology, General         ",5,23.04,139,5,25.49,138,2,9.87,54,4,17.05,115,4,3.60,92,2,10.42,57,4,18.31,119,5,17.05,107,3,12.44,68,4,18.55,113,4,17.50,107,2,10.79,59,2,8.64,61
,,070200 - Computer Information Systems            ,,,,,,,,,,,,,1,0.00,38,,,,1,12.58,33,1,10.98,33,,,,1,10.12,30,1,9.98,30,,,,1,9.98,31
,,070600 - Computer Science (Transfer)             ,5,40.43,106,6,70.09,150,2,19.39,53,5,45.39,124,4,2.34,145,3,39.50,108,5,60.40,165,6,67.79,200,3,37.66,103,4,46.17,125,5,70.89,192,3,33.28,91,6,49.24,142
,,070710 - Computer Programming                    ,14,85.47,265,12,118.77,383,7,81.74,241,13,112.27,363,12,12.04,370,7,80.10,239,16,156.93,512,14,133.87,456,11,115.38,341,15,141.17,472,13,125.32,427,7,69.32,219,12,107.22,365
,,070720 - Database Design and Administration      ,1,3.81,20,1,6.86,36,1,7.68,21,,,,2,0.00,50,,,,1,7.05,37,2,12.40,65,1,10.97,30,1,5.91,31,2,9.16,48,1,10.24,28,1,5.15,27
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.05,16,,,,,,,1,1.91,10
,,070810 - Computer Networking                     ,1,3.43,18,1,4.58,24,1,2.74,15,1,3.24,17,1,0.00,22,1,4.57,25,1,4.58,24,1,6.29,33,1,5.67,31,1,6.48,34,1,4.58,24,1,4.02,22,1,4.77,25
,,083500 - Physical Education                      ,15,52.27,286,26,77.61,462,5,33.33,184,27,61.41,410,46,25.74,546,23,28.17,260,45,61.23,441,50,87.81,602,21,27.05,207,38,56.53,404,41,96.68,599,18,29.96,232,34,61.65,406
,,083510 - Physical Fitness and Body Movement      ,15,16.75,103,10,7.90,79,4,2.88,36,13,8.80,88,8,8.90,89,4,3.17,35,15,17.06,133,7,7.80,78,6,5.83,61,15,16.61,152,8,14.31,117,4,3.36,41,7,8.20,82
,,083520 - Fitness Trainer                         ,1,4.07,22,4,6.70,49,,,,2,11.47,59,4,7.53,54,,,,2,13.47,76,4,9.54,70,,,,4,16.64,99,5,14.48,99,,,,3,15.40,99
,,083550 - Intercollegiate Athletics               ,41,87.48,597,37,74.30,494,17,25.25,215,35,76.56,564,46,73.36,588,15,46.88,321,39,74.13,639,40,87.64,633,18,49.74,341,41,89.70,701,49,110.84,745,19,54.69,385,27,53.94,436
,,083560 - Coaching                                ,,,,,,,1,3.11,17,,,,,,,1,2.74,15,,,,,,,1,3.84,21,,,,,,,1,10.06,55,,,
,,083580 - Adapted Physical Education              ,6,7.86,69,7,14.48,104,1,1.47,29,7,17.27,137,7,11.60,138,1,1.65,35,7,19.31,161,7,15.20,152,1,1.60,34,7,18.82,159,7,14.90,149,1,1.51,32,7,17.21,157
,,083700 - Health Education                        ,1,3.00,31,1,4.55,47,1,7.50,41,1,3.10,32,1,0.00,39,1,7.31,40,1,1.94,20,1,8.77,46,1,6.77,37,1,3.77,39,1,8.96,47,1,7.31,40,2,8.95,53
,,085000 - Sign Language                           ,3,16.90,50,3,11.08,65,2,16.75,49,3,16.68,57,3,12.14,71,2,7.84,48,3,14.38,83,3,14.17,72,2,8.17,50,3,18.58,80,3,10.67,54,2,6.66,40,3,15.81,64
,,"090100 - Engineering, General (requires Calculus)",4,11.97,76,4,17.60,75,,,,4,14.25,86,4,15.18,75,,,,4,16.65,105,4,18.95,82,,,,4,14.17,94,3,20.99,90,,,,4,19.16,127
,,093400 - Electronics and Electric Technology     ,6,13.11,74,5,9.05,72,,,,4,3.85,29,1,0.21,2,,,,,,,,,,,,,,,,,,,,,,,,
,,093420 - Industrial Electronics                  ,1,3.80,19,1,5.48,13,,,,1,4.16,14,2,3.66,18,,,,,,,,,,,,,,,,,,,,,,,,
,,095220 - Electrical                              ,,,,15,48.48,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,095300 - Drafting Technology                     ,3,10.96,34,3,11.28,35,,,,4,14.52,46,3,0.00,40,,,,3,16.09,51,3,16.41,52,,,,4,19.87,63,4,20.19,64,,,,4,15.79,50
,,095720 - Construction Inspection                 ,3,9.08,40,3,14.02,70,,,,3,7.82,52,3,5.60,89,,,,3,19.43,102,4,14.04,71,,,,4,27.98,125,4,23.11,117,,,,4,21.03,105
,,"100100 - Fine Arts, General                      ",6,28.89,147,6,30.85,173,3,20.84,114,7,37.79,215,6,6.60,208,4,26.70,146,9,52.53,322,9,45.84,286,5,33.65,184,11,59.54,376,11,56.26,354,4,30.91,169,10,54.28,355
,,100200 - Art                                     ,8,15.19,45,8,6.63,33,2,2.17,11,6,6.35,39,7,6.96,42,,,,9,8.55,51,4,2.99,18,,,,7,4.84,29,6,5.01,30,,,,7,3.69,22
,,100210 - Painting and Drawing                    ,18,49.06,192,18,48.68,194,1,3.35,17,17,41.26,191,19,28.75,225,8,21.08,90,21,50.78,238,27,64.60,295,5,13.86,53,21,57.51,254,27,66.88,301,4,15.98,69,24,59.53,269
,,100220 - Sculpture                               ,4,3.93,19,2,2.65,13,,,,,,,,,,,,,1,2.69,13,2,2.36,12,,,,2,2.34,14,2,2.12,13,,,,2,2.00,12
,,100230 - Ceramics                                ,2,4.20,21,6,10.28,51,,,,2,4.76,23,7,8.16,40,,,,5,8.30,41,6,7.49,38,,,,9,9.58,56,7,9.51,57,,,,9,12.15,71
,,100400 - Music                                   ,33,74.23,416,39,77.75,461,4,11.94,64,37,75.25,501,45,34.35,634,9,24.25,151,45,92.18,642,49,104.60,687,16,31.52,217,50,106.64,726,53,116.23,784,5,26.26,160,47,103.81,696
,,100500 - Commercial Music                        ,,,,,,,,,,1,2.17,13,,,,,,,1,1.17,7,,,,,,,3,2.47,15,1,0.27,2,,,,2,3.67,22
,,100800 - Dance                                   ,2,9.73,51,9,15.78,126,1,7.68,42,17,9.15,115,14,6.90,154,1,7.13,39,18,13.94,164,14,17.23,181,1,6.22,34,13,10.15,134,15,9.60,131,1,7.68,42,18,18.02,175
,,101100 - Photography                             ,2,1.90,19,9,9.67,57,1,4.97,27,5,6.85,43,8,4.09,82,3,11.33,65,10,15.12,91,10,21.43,105,3,14.17,77,8,16.87,99,10,21.83,122,2,9.20,50,7,18.51,111
