,,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count,Non-Credit Sections Count,Non-Credit Sections FTES,Enrollment Count
,050400 - Banking and Finance                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.42,21,,,,,,,,,,1,0.39,20,,,,,,,,,,,,,,,
,050630 - Management Development and Supervision  ,,,,,,,1,0.33,19,1,0.06,6,,,,,,,1,0.09,8,,,,1,0.17,10,,,,1,0.28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,050640 - Small Business and Entrepreneurship     ,1,0.19,11,,,,3,0.67,43,1,0.13,9,,,,,,,1,0.18,13,,,,1,0.21,13,,,,1,0.24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,050900 - Marketing and Distribution              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.80,35,1,0.25,7,1,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,051100 - Real Estate                             ,,,,,,,1,2.60,42,1,0.62,18,1,0.62,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.62,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,051800 - Customer Service                        ,7,1.62,100,,,,5,2.08,130,1,0.14,9,2,0.21,15,,,,2,0.06,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,061400 - Digital Media                           ,,,,,,,,,,1,0.11,9,2,0.37,17,,,,,,,,,,1,0.69,4,,,,2,2.01,25,,,,2,2.49,8,,,,3,1.88,30,1,0.62,2,3,2.48,8,,,,3,1.46,28,1,2.78,9,3,4.64,15,,,
,061410 - Multimedia                              ,3,1.93,33,,,,2,1.70,22,4,1.06,39,10,2.88,69,,,,4,0.54,17,1,0.51,5,6,3.74,24,,,,7,3.90,70,2,5.26,17,9,9.42,56,,,,4,4.43,36,2,4.13,20,12,23.03,97,,,,6,8.64,47,2,6.43,27,13,20.68,97,,,
,061430 - Website Design and Development          ,,,,,,,,,,,,,1,0.44,4,,,,1,0.69,5,,,,1,1.56,9,,,,,,,,,,1,1.55,5,,,,1,0.69,4,,,,1,1.38,8,,,,1,1.24,4,,,,1,2.17,7,,,
