,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025
,,Commercial Music-100500,3,2,1,3,2
,,Computer Infrastructure and Support-070800,3,1,10,15,17
,,Computer Software Development-070700,35,19,30,24,29
,,Dramatic Arts-100700,,1,2,,2
,,Electrical-095220,118,223,211,212,199
,,Graphic Art and Design-103000,,1,1,,
,,Industrial Quality Control-095680,,,,46,
,,Music-100400,4,4,5,,3
,,Photography-101100,,,1,1,1
,,"Plumbing, Pipefitting and Steamfitting-095230",1,15,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,111,29,16,41,100
,,Applied Photography-101200,,,,5,2
,,Commercial Art-101300,1,2,2,2,4
,,Commercial Music-100500,3,2,3,5,4
,,Computer Infrastructure and Support-070800,,,,1,1
,,Electrical-095220,102,20,6,15,30
,,Graphic Art and Design-103000,5,5,4,3,41
,,Industrial Systems Technology and Maintenance-094500,,,,10,17
,,"Information Technology, General-070100",,,1,,
,,Photography-101100,,,,,1
Mission Total,,,207,305,266,512,279
,Associate in Science for Transfer (A.S.-T) Degree            Total,,10,10,7,11,14
,,"Biology, General-040100",10,10,7,11,14
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,3,8,5,3,10
,,Art-100200,3,5,5,2,6
,,"Fine Arts, General-100100",,3,,1,4
,Associate of Science (A.S.) degree                           Total,,129,152,142,175,166
,,"Biology, General-040100",84,81,62,91,91
,,Computer Information Systems-070200,11,23,27,37,33
,,Computer Networking-070810,17,22,25,17,21
,,Electro-Mechanical Technology-093500,,,2,1,6
,,"Engineering, General (requires Calculus) (Transfer)-090100",8,14,15,15,7
,,Graphic Art and Design-103000,9,12,11,14,8
,Associate of Arts (A.A.) degree                              Total,,3,6,2,6,5
,,Art-100200,3,5,1,6,4
,,"Fine Arts, General-100100",,1,1,,1
,Certificate requiring 30 to < 60 semester units              Total,,27,15,6,8,5
,,Alternative Fuels and Advanced Transportation Technology-094840,,4,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,2,1,1
,,Environmental Control Technology-094600,9,,,,
,,Graphic Art and Design-103000,3,11,4,7,4
,,"Plumbing, Pipefitting and Steamfitting-095230",15,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,21,93,97,307,78
,,Alternative Fuels and Advanced Transportation Technology-094840,12,13,,143,1
,,Computer Information Systems-070200,3,25,34,62,32
,,Computer Networking-070810,6,20,31,48,25
,,Computer Systems Analysis-070730,,31,27,44,12
,,Electro-Mechanical Technology-093500,,,2,1,4
,,Music-100400,,,1,1,
,,Other Information Technology-079900,,,,,1
,,World Wide Web Administration-070900,,4,2,8,3
,Certificate requiring 8 to fewer than 16 semester units      Total,,10,7,5,2,1
,,Art-100200,,1,4,2,1
,,Computer Networking-070810,10,6,1,,
,Certificate requiring 6 to < 18 semester units               Total,,4,14,2,,
,,"Information Technology, General-070100",2,13,2,,
,,Music-100400,2,1,,,
Ohlone Total,,,272,331,210,268,247
,Associate in Science for Transfer (A.S.-T) Degree            Total,,40,40,24,41,26
,,"Biology, General-040100",9,7,2,4,7
,,Computer Science (Transfer)-070600,31,33,22,37,19
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,9,8,14,7,9
,,Art-100200,1,1,5,,3
,,Dramatic Arts-100700,5,5,6,4,3
,,"Fine Arts, General-100100",3,,1,1,2
,,Music-100400,,2,2,2,1
,Associate of Science (A.S.) degree                           Total,,27,20,28,19,12
,,"Biology, General-040100",11,5,6,6,7
,,Biotechnology and Biomedical Technology-043000,2,1,4,1,1
,,Computer Networking-070810,2,1,6,2,1
,,Computer Programming-070710,1,1,2,2,
,,Computer Science (Transfer)-070600,3,,1,,
,,Computer Support-070820,1,1,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,5,3,1,
,,"Information Technology, General-070100",4,5,5,6,3
,,Manufacturing and Industrial Technology-095600,,1,,1,
,Associate of Arts (A.A.) degree                              Total,,13,17,21,18,16
,,Art-100200,4,5,9,6,8
,,"Fine Arts, General-100100",7,8,4,4,7
,,Graphic Art and Design-103000,2,2,4,4,1
,,Music-100400,,1,2,2,
,,Technical Theater-100600,,1,2,2,
,Certificate requiring 30 to < 60 semester units              Total,,,2,2,,
,,Graphic Art and Design-103000,,2,2,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,22,109,97,89,101
,,Biotechnology and Biomedical Technology-043000,4,9,10,8,4
,,Ceramics-100230,,,,,1
,,Computer Networking-070810,11,11,13,4,1
,,Computer Programming-070710,4,13,11,12,2
,,Computer Science (Transfer)-070600,,58,46,33,33
,,Database Design and Administration-070720,1,,2,9,7
,,"Engineering Technology, General (requires Trigonometry)-092400",,2,,,
,,"Information Technology, General-070100",2,16,13,8,5
,,Manufacturing and Industrial Technology-095600,,,1,15,48
,,Technical Theater-100600,,,1,,
,Certificate requiring 6 to < 18 semester units               Total,,152,134,24,94,54
,,Applied Photography-101200,6,4,1,4,2
,,Art-100200,,1,,1,3
,,"Biology, General-040100",17,13,3,15,4
,,Biotechnology and Biomedical Technology-043000,,,,,1
,,Ceramics-100230,1,3,,,1
,,Commercial Music-100500,,1,,,1
,,Computer Information Systems-070200,18,23,1,14,10
,,Computer Networking-070810,34,20,7,15,10
,,Computer Programming-070710,5,1,,,
,,Computer Support-070820,9,13,3,4,5
,,Dance-100800,,3,,,
,,Database Design and Administration-070720,5,2,,1,1
,,Electronics and Electric Technology-093400,,1,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",40,35,4,24,13
,,"Information Technology, General-070100",7,1,1,7,
,,Music-100400,3,3,2,3,1
,,Painting and Drawing-100210,7,10,1,6,1
,,Technical Theater-100600,,,,,1
,Noncredit award requiring from 96 to < 144 hours             Total,,9,1,,,
,,Drafting Technology-095300,5,1,,,
,,"Information Technology, General-070100",4,,,,
,Noncredit award requiring < 48 hours                         Total,,,,,,29
,,Manufacturing and Industrial Technology-095600,,,,,29
Canada Total,,,857,782,639,669,740
,Associate in Science for Transfer (A.S.-T) Degree            Total,,97,90,68,74,82
,,"Biology, General-040100",8,7,7,7,12
,,Business Administration-050500,61,47,38,39,38
,,Child Development/Early Care and Education-130500,16,14,7,8,7
,,Computer Science (Transfer)-070600,8,11,9,9,13
,,Environmental Science-030100,,1,,1,
,,"Mathematics, General-170100",4,5,4,7,8
,,"Nutrition, Foods, and Culinary Arts-130600",,1,1,2,1
,,"Physics, General-190200",,4,2,1,3
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,167,145,132,114,151
,,Anthropology-220200,1,1,2,3,3
,,Art-100200,1,2,2,2,4
,,Child and Adolescent Development-130510,,,12,,
,,Dramatic Arts-100700,,,2,,
,,Economics-220400,28,24,18,19,30
,,English-150100,2,,,2,6
,,"Fine Arts, General-100100",1,2,1,,1
,,Geography-220600,,1,,,3
,,History-220500,4,3,4,2,7
,,Human Services-210400,1,5,5,5,4
,,Kinesiology-127000,4,10,12,9,12
,,"Law, General-140100",,1,1,1,
,,Philosophy-150900,1,1,,2,3
,,Political Science-220700,6,,6,3,4
,,"Psychology, General-200100",69,58,45,43,45
,,Sociology-220800,49,35,22,22,25
,,Spanish-110500,,2,,1,1
,,Speech Communication-150600,,,,,3
,Associate of Science (A.S.) degree                           Total,,149,164,127,129,135
,,Accounting-050200,6,6,3,12,6
,,"Biology, General-040100",6,3,2,1,2
,,Business Administration-050500,8,8,4,3,9
,,Business Management-050600,2,7,2,2,7
,,"Chemistry, General-190500",3,2,2,2,5
,,Child Development/Early Care and Education-130500,31,19,18,9,13
,,"Engineering, General (requires Calculus) (Transfer)-090100",4,12,4,2,5
,,Environmental Science-030100,,1,,,
,,Fashion Design-130310,,2,2,2,3
,,Fashion Merchandising-130320,1,1,1,1,1
,,Fashion Production-130330,,2,1,,1
,,"Health Professions, Transfer Core Curriculum-126000",44,43,37,46,43
,,Human Services-210400,3,,,,
,,Interior Design and Merchandising-130200,8,8,20,13,11
,,Marketing and Distribution-050900,1,2,2,2,3
,,Medical Assisting-120800,8,24,9,11,13
,,Office Technology/Office Computer Applications-051400,2,3,1,1,
,,Paralegal-140200,3,4,4,4,6
,,"Physics, General-190200",1,,,,
,,Radiologic Technology-122500,17,15,13,14,6
,,Small Business and Entrepreneurship-050640,1,2,2,4,1
,Associate of Arts (A.A.) degree                              Total,,201,157,95,105,88
,,Anthropology-220200,,,1,,1
,,Area Studies-221010,,1,1,2,
,,Biological and Physical Sciences (and Mathematics)-490200,25,27,7,13,14
,,Economics-220400,16,20,8,11,14
,,English-150100,2,1,,,1
,,Geography-220600,1,,,,1
,,History-220500,,,1,2,
