,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025
,,Computer Networking-070810,,1,,2,1
,,Computer Support-070820,1,4,4,7,2
,,Cosmetology and Barbering-300700,14,32,45,88,95
,,Digital Media-061400,,,,,1
,,Electronics and Electric Technology-093400,,,2,8,4
,,Emergency Medical Services-125000,34,40,39,53,63
,,Energy Systems Technology-094610,,26,32,,
,,Hospital Central Service Technician-120900,20,1,3,9,3
,,Hospitality-130700,3,,,,
,,Infants and Toddlers-130590,,1,6,2,2
,,"Liberal Arts and Sciences, General-490100",,,1,,1
,,Massage Therapy-126200,,,2,21,5
,,Other Health Occupations-129900,,,,,6
,,Restaurant and Food Services and Management-130710,,3,,62,27
,,Small Business and Entrepreneurship-050640,1,,,,3
,Noncredit award requiring from 192 to < 288 hours            Total,,,,7,,
,,Social Justice Studies-220130,,,7,,
