,,,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Evergreen Valley Total,,,833,"2,651.25","22,108",234,747.32,"5,890",779,"2,379.37","19,923",777,"2,259.48","18,830",197,655.87,"5,431",736,"2,354.35","19,680",822,"2,533.82","21,220",268,898.12,"7,543",786,"2,605.33","21,918",778,"2,377.79","20,091",221,816.48,"6,929",776,"2,588.45","21,695",810,"2,421.93","20,130",211,784.20,"6,483",729,"2,405.16","20,182"
,,050630 - Management Development and Supervision  ,1,2.93,32,,,,1,2.01,22,1,3.02,33,,,,1,2.20,22,2,5.00,50,,,,2,4.35,45,1,3.30,33,,,,2,4.70,49,1,2.90,29,,,,1,2.65,29
,,050640 - Small Business and Entrepreneurship     ,1,1.61,16,,,,2,3.45,36,,,,,,,1,2.30,23,1,2.70,27,1,3.00,30,1,1.80,18,2,5.46,55,1,1.80,18,1,1.10,11,2,5.15,52,1,2.20,22,2,3.75,39
,,050900 - Marketing and Distribution              ,1,2.30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.11,48,,,,,,,2,7.52,81
,,051400 - Office Technology/Office Computer Applic,7,12.88,142,1,3.37,26,7,11.22,107,7,14.33,130,,,,7,14.83,135,9,21.28,190,2,6.47,57,7,18.25,155,7,14.27,121,2,6.37,53,7,14.08,120,7,15.22,133,1,3.47,26,6,15.73,136
,,051420 - Medical Office Technology               ,5,7.15,122,1,1.12,35,5,7.75,106,5,5.05,74,,,,3,6.11,83,6,11.94,152,3,8.17,94,7,15.00,199,7,13.44,184,3,7.93,93,8,15.47,215,7,11.86,161,3,5.00,61,8,16.16,224
,,060200 - Journalism                              ,1,2.83,29,,,,1,2.73,28,1,1.07,11,,,,1,2.15,22,1,1.56,16,,,,1,3.02,31,1,2.15,22,,,,1,2.73,28,1,2.34,24,,,,1,2.15,22
,,061460 - Computer Graphics and Digital Imagery   ,,,,,,,1,4.21,23,3,12.64,65,,,,3,15.40,77,3,10.40,52,,,,1,4.94,27,1,3.84,21,,,,2,6.64,35,1,1.10,6,,,,2,7.67,40
,,"070100 - Information Technology, General         ",15,47.00,342,4,18.89,126,13,41.40,305,14,47.11,339,3,16.89,102,14,56.13,408,18,61.39,431,6,29.69,200,11,51.84,366,15,52.84,371,5,20.73,138,13,51.45,365,13,38.72,266,4,18.07,120,9,32.34,212
,,070600 - Computer Science (Transfer)             ,10,37.11,253,5,20.74,132,7,21.06,144,8,27.00,181,6,26.19,163,9,35.69,237,10,48.26,315,8,33.73,210,10,43.05,278,13,52.58,336,8,35.13,225,13,56.38,371,16,56.86,364,9,42.38,265,13,54.72,353
,,070710 - Computer Programming                    ,,,,,,,,,,,,,,,,,,,2,9.37,49,1,5.60,28,2,9.14,50,2,8.95,47,1,4.60,23,2,7.13,39,2,4.41,23,1,5.80,29,2,7.55,40
,,080200 - Educational Aide (Teacher Assistant)    ,1,0.12,4,,,,1,0.21,7,1,0.24,8,,,,1,0.40,13,1,0.12,4,,,,1,0.46,15,1,0.43,14,,,,1,0.85,28,1,0.46,15,,,,1,0.37,12
,,083500 - Physical Education                      ,36,51.22,465,16,32.77,296,24,43.47,387,40,71.37,577,15,29.29,272,45,69.55,637,47,91.46,752,21,39.32,342,58,89.69,828,36,61.65,573,8,15.61,160,34,55.84,575,50,72.26,670,6,13.18,133,34,53.00,547
,,083510 - Physical Fitness and Body Movement      ,1,3.03,13,1,3.27,14,1,2.80,12,,,,,,,1,0.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,083550 - Intercollegiate Athletics               ,2,14.20,44,,,,2,15.24,50,,,,,,,2,19.20,63,1,2.44,8,,,,2,17.99,59,,,,,,,4,20.67,107,,,,,,,4,17.67,78
,,083580 - Adapted Physical Education              ,1,1.27,13,,,,1,1.37,14,1,1.56,16,,,,1,1.37,14,1,1.37,14,,,,1,1.46,15,1,1.37,14,,,,1,1.37,14,1,1.56,16,,,,1,1.46,15
,,083700 - Health Education                        ,1,4.02,44,,,,1,3.75,41,1,4.02,44,,,,1,4.11,45,1,3.75,41,,,,2,6.75,71,1,4.11,45,,,,1,4.57,50,1,2.47,27,,,,1,4.48,49
,,085000 - Sign Language                           ,3,9.96,100,1,2.62,26,3,9.05,91,3,7.34,74,1,1.64,17,2,4.25,43,2,4.42,44,,,,2,4.33,43,2,4.73,47,,,,1,3.72,37,2,3.22,32,,,,1,1.91,19
,,086000 - Educational Technology                  ,7,13.00,135,6,7.20,72,9,10.39,115,8,6.65,73,5,6.83,70,9,8.58,119,8,6.93,85,5,7.07,82,8,8.28,111,8,6.91,91,3,6.20,62,8,8.66,119,8,6.04,95,4,3.67,44,7,6.57,117
,,"090100 - Engineering, General (requires Calculus)",7,23.61,151,,,,5,20.74,119,5,23.00,143,,,,5,18.43,107,6,18.14,119,,,,5,21.21,125,5,22.43,139,,,,8,29.88,200,7,30.48,188,,,,9,30.49,204
,,"092400 - Engineering Technology, General (require",1,4.36,27,,,,1,4.36,27,1,4.52,28,,,,1,4.52,28,1,5.01,31,,,,1,4.85,30,1,3.88,24,,,,1,5.14,31,1,5.33,33,,,,1,5.23,33
,,094800 - Automotive Technology                   ,18,34.37,265,2,1.30,10,15,31.70,238,15,32.92,272,2,2.39,27,18,45.21,365,16,38.05,299,7,10.49,75,23,56.83,436,20,57.77,439,8,16.05,126,29,79.76,550,24,66.63,467,8,18.52,127,24,71.09,498
,,094840 - Alternative Fuels and Advanced Transport,3,14.59,68,,,,3,16.50,77,1,5.18,24,2,3.92,19,3,20.95,97,4,13.27,73,3,7.05,33,3,18.79,87,5,21.77,119,,,,,,,2,5.06,33,,,,,,
,,095300 - Drafting Technology                     ,2,5.03,25,,,,1,3.22,16,2,2.61,13,,,,2,3.36,18,2,2.61,13,,,,,,,2,2.62,13,,,,5,14.95,67,5,10.68,47,,,,6,13.38,62
,,095310 - Architectural Drafting                  ,4,7.85,68,,,,2,2.21,11,3,6.40,70,,,,1,2.09,21,4,9.17,94,,,,2,5.18,54,6,15.38,157,,,,5,17.53,134,,,,,,,,,
,,095340 - Mechanical Drafting                     ,2,2.82,14,,,,2,1.76,9,2,2.42,12,,,,1,0.80,4,2,3.18,16,,,,2,1.60,8,2,1.21,6,,,,,,,,,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,,,,,,,,,,,,,1,1.26,10,1,1.29,10,5,5.26,44,,,,2,3.83,37,3,7.25,74,,,,2,3.81,39,2,3.32,34,,,,1,2.56,28
,,095730 - Surveying                               ,1,0.82,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",,,,,,,,,,,,,,,,1,4.40,44,2,8.80,88,2,5.70,57,2,8.23,86,1,4.20,42,1,5.40,54,2,7.90,83,1,3.90,39,,,,1,4.85,53
,,100200 - Art                                     ,21,93.27,782,8,30.90,281,20,78.90,647,20,81.36,729,8,28.61,264,17,74.65,621,23,96.35,849,9,36.87,335,21,93.08,770,19,80.88,672,7,33.20,305,20,88.10,765,21,80.24,673,8,35.70,331,19,86.50,729
,,100210 - Painting and Drawing                    ,6,13.34,67,,,,6,15.01,82,5,7.10,37,,,,7,9.15,50,7,8.59,47,,,,5,11.71,64,6,11.88,65,,,,7,10.78,59,9,13.35,73,,,,4,6.58,36
,,100220 - Sculpture                               ,2,4.03,22,,,,2,4.20,23,1,2.56,14,,,,2,4.39,24,2,4.21,23,,,,1,5.12,28,2,4.57,25,,,,2,4.76,26,2,5.12,28,,,,2,4.76,26
,,100400 - Music                                   ,16,31.09,324,3,7.90,79,15,24.42,261,16,30.39,315,4,10.80,108,9,24.77,260,14,39.11,397,4,13.60,136,19,43.73,465,25,43.31,461,5,14.90,149,25,43.67,465,24,34.73,373,4,13.00,130,23,29.43,318
,,100700 - Dramatic Arts                           ,9,26.18,221,1,3.69,28,6,24.94,221,8,23.49,200,1,5.33,40,6,25.55,214,7,27.70,229,4,15.54,117,7,33.81,261,9,34.72,278,3,10.62,80,6,28.02,226,8,32.42,260,2,9.60,72,8,34.05,256
,,100800 - Dance                                   ,8,9.64,100,3,4.01,40,7,7.67,80,7,8.46,88,2,4.30,43,4,7.49,78,6,9.90,102,2,4.90,49,4,7.68,80,5,10.51,108,2,5.30,53,5,8.28,86,5,9.72,100,2,4.70,47,3,7.70,80
,,100900 - Applied Design                          ,2,5.80,43,,,,1,1.65,9,,,,,,,,,,1,2.19,12,,,,1,5.20,26,1,4.75,26,,,,2,6.40,35,1,1.28,7,,,,1,1.65,9
,,100910 - Jewelry                                 ,2,2.38,13,,,,2,1.83,10,2,2.37,12,,,,2,2.01,11,2,2.01,11,,,,2,2.38,13,2,2.56,14,,,,2,2.19,12,2,2.92,16,,,,2,2.56,14
