Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
IE/D,11-2033,Fundraising Managers,Bachelor's degree,290,0.06341417,20,58,121290
OC,11-2033,Fundraising Managers,Bachelor's degree,420,0.039846914,30,57,118370
FN,11-2033,Fundraising Managers,Bachelor's degree,130,0.118761817,10,55,114900
LA,11-2033,Fundraising Managers,Bachelor's degree,1710,0.046414935,140,62,129750
CA,11-2033,Fundraising Managers,Bachelor's degree,6240,0.060791001,520,63,131820
Bay,11-2033,Fundraising Managers,Bachelor's degree,1980,0.062897415,170,72,149210
GS,11-3012,Administrative Services Managers,Bachelor's degree,6660,0.040926217,600,46,96250
SCC,11-3012,Administrative Services Managers,Bachelor's degree,890,0.021878787,80,56,115900
IE/D,11-3012,Administrative Services Managers,Bachelor's degree,2640,0.064497491,250,50,103770
FN,11-3012,Administrative Services Managers,Bachelor's degree,690,0.047699921,60,44,91950
LA,11-3012,Administrative Services Managers,Bachelor's degree,9490,0.01855006,800,58,120020
CVML,11-3012,Administrative Services Managers,Bachelor's degree,2550,0.058706948,240,49,100890
CA,11-3012,Administrative Services Managers,Bachelor's degree,41810,0.041158907,3760,52,107320
OC,11-3012,Administrative Services Managers,Bachelor's degree,3640,0.016040934,310,57,117920
SD/I,11-3012,Administrative Services Managers,Bachelor's degree,2990,0.041441256,270,52,108750
Bay,11-3012,Administrative Services Managers,Bachelor's degree,9600,0.037441068,860,61,127230
SD/I,11-3013,Facilities Managers,Bachelor's degree,1800,0.041209946,170,51,106180
LA,11-3013,Facilities Managers,Bachelor's degree,4300,0.027319381,380,54,113350
IE/D,11-3013,Facilities Managers,Bachelor's degree,1680,0.071346865,170,50,103200
Bay,11-3013,Facilities Managers,Bachelor's degree,5510,0.046708195,520,63,130760
GS,11-3013,Facilities Managers,Bachelor's degree,1100,0.063714253,110,49,102560
SCC,11-3013,Facilities Managers,Bachelor's degree,490,0.068499725,50,51,105960
FN,11-3013,Facilities Managers,Bachelor's degree,390,0.047168343,40,43,89040
CA,11-3013,Facilities Managers,Bachelor's degree,19390,0.050067694,1830,55,115280
CVML,11-3013,Facilities Managers,Bachelor's degree,1550,0.068000025,150,50,103910
OC,11-3013,Facilities Managers,Bachelor's degree,1630,0.037442126,150,53,110900
GS,11-3021,Computer and Information Systems Managers,Bachelor's degree,4550,0.066793744,370,78,161220
SD/I,11-3021,Computer and Information Systems Managers,Bachelor's degree,8020,0.044483405,610,92,192340
Bay,11-3021,Computer and Information Systems Managers,Bachelor's degree,48280,0.080147534,4090,114,238020
OC,11-3021,Computer and Information Systems Managers,Bachelor's degree,7480,0.035779146,550,91,188790
IE/D,11-3021,Computer and Information Systems Managers,Bachelor's degree,2700,0.112813587,250,79,164560
LA,11-3021,Computer and Information Systems Managers,Bachelor's degree,16950,0.033302652,1250,92,191510
SCC,11-3021,Computer and Information Systems Managers,Bachelor's degree,1530,0.05667665,120,83,172620
FN,11-3021,Computer and Information Systems Managers,Bachelor's degree,510,0.109451769,50,66,137410
CA,11-3021,Computer and Information Systems Managers,Bachelor's degree,102080,0.082682211,8700,101,210680
CVML,11-3021,Computer and Information Systems Managers,Bachelor's degree,2290,0.105494599,210,72,149230
