Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
Bay,17-3025,Environmental Engineering Technologists and Technicians,Associate's degree,390,0.005822033,30,46,96100
IE/D,17-3025,Environmental Engineering Technologists and Technicians,Associate's degree,80,0.064778361,10,33,69630
OC,17-3025,Environmental Engineering Technologists and Technicians,Associate's degree,80,0.019884885,10,36,74300
CA,17-3025,Environmental Engineering Technologists and Technicians,Associate's degree,1240,0.026640326,110,34,71690
CVML,17-3025,Environmental Engineering Technologists and Technicians,Associate's degree,90,0.046793294,10,31,64130
LA,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,720,0.012235664,60,36,74580
FN,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,20,0.13234601,0,34,70960
OC,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,500,0.075885332,50,38,79330
CVML,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,230,0.128132256,30,35,72580
GS,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,110,0.150089627,10,34,70380
SCC,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,80,0.167127752,10,34,70030
Bay,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,1470,0.075924651,150,38,79950
IE/D,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,210,0.059270228,20,36,73950
SD/I,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,720,0.03202859,70,37,77000
CA,17-3026,Industrial Engineering Technologists and Technicians,Associate's degree,4320,0.073432638,440,37,77030
IE/D,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,160,0.032104572,10,28,58820
LA,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,660,-0.020938623,60,36,74650
CA,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,3330,0.033281269,310,39,81920
GS,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,100,0.092047976,10,37,77730
CVML,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,200,0.016254188,20,50,103220
SCC,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,90,0.062124513,10,36,75860
FN,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,10,-0.022738364,0,35,72460
OC,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,370,0.006586288,30,37,77000
SD/I,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,400,0.034636553,40,37,77530
Bay,17-3027,Mechanical Engineering Technologists and Technicians,Associate's degree,1150,0.056307128,110,46,95880
SCC,17-3028,Calibration Technologists and Technicians,Associate's degree,50,0.052217347,0,35,73560
SD/I,17-3028,Calibration Technologists and Technicians,Associate's degree,140,0.044034874,10,31,63940
GS,17-3028,Calibration Technologists and Technicians,Associate's degree,50,0.143369023,10,35,73760
LA,17-3028,Calibration Technologists and Technicians,Associate's degree,280,-0.003882439,20,30,62640
FN,17-3028,Calibration Technologists and Technicians,Associate's degree,120,-0.055298045,10,40,82540
CVML,17-3028,Calibration Technologists and Technicians,Associate's degree,50,0.112594344,10,30,62900
OC,17-3028,Calibration Technologists and Technicians,Associate's degree,150,0.048151991,10,32,66410
Bay,17-3028,Calibration Technologists and Technicians,Associate's degree,380,0.051413947,40,37,77930
IE/D,17-3028,Calibration Technologists and Technicians,Associate's degree,100,0.046456739,10,31,63980
CA,17-3028,Calibration Technologists and Technicians,Associate's degree,1400,0.040112837,130,34,69690
SCC,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,390,0.01815202,30,44,91160
GS,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,280,0.064383853,30,38,79240
CVML,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,800,0.006329121,70,45,94230
FN,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,60,-0.008235616,10,36,74820
LA,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,1320,0.00578006,110,35,73170
OC,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,670,0.024278356,60,36,73910
Bay,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,2330,0.043073706,220,43,89990
SD/I,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,1730,0.003944752,150,44,90800
IE/D,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,470,0.02021318,40,39,81560
CA,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",Associate's degree,8590,0.028658579,790,40,83220
SD/I,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,610,0.042031903,80,30,62200
IE/D,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,460,0.076514903,70,30,61670
CA,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,4330,0.04258644,590,34,70240
Bay,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,1060,0.016286059,140,37,76590
FN,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,90,0.079479111,10,28,57510
GS,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,340,0.041900275,50,33,69300
CVML,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,350,0.051540223,50,29,60040
SCC,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,200,0.035304176,30,33,69660
LA,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,680,0.018354852,90,37,76880
OC,17-3031,Surveying and Mapping Technicians,High school diploma or equivalent,350,0.037980956,50,37,77130
CVML,19-1011,Animal Scientists,Bachelor's degree,10,-0.242908386,0,60,125140
IE/D,19-1011,Animal Scientists,Bachelor's degree,10,0.029227614,0,54,111850
SCC,19-1011,Animal Scientists,Bachelor's degree,10,0.079897046,0,55,114230
OC,19-1011,Animal Scientists,Bachelor's degree,80,-0.000990252,10,31,64970
FN,19-1011,Animal Scientists,Bachelor's degree,0,-0.162053746,0,38,79550
LA,19-1011,Animal Scientists,Bachelor's degree,230,-0.033169165,20,33,68950
Bay,19-1011,Animal Scientists,Bachelor's degree,610,0.023137635,50,48,98940
SD/I,19-1011,Animal Scientists,Bachelor's degree,40,0.054657163,0,61,125880
GS,19-1011,Animal Scientists,Bachelor's degree,10,-0.001004736,0,60,125100
CA,19-1011,Animal Scientists,Bachelor's degree,1030,0.011129257,80,62,129880
IE/D,19-1012,Food Scientists and Technologists,Bachelor's degree,160,0.070642589,10,41,86070
GS,19-1012,Food Scientists and Technologists,Bachelor's degree,130,0.054723804,10,39,81670
CA,19-1012,Food Scientists and Technologists,Bachelor's degree,2440,0.048682335,210,41,84470
Bay,19-1012,Food Scientists and Technologists,Bachelor's degree,740,0.056735655,70,43,89920
SD/I,19-1012,Food Scientists and Technologists,Bachelor's degree,110,0.033794016,10,40,82330
FN,19-1012,Food Scientists and Technologists,Bachelor's degree,20,0.074576955,0,40,83340
LA,19-1012,Food Scientists and Technologists,Bachelor's degree,420,-0.005012326,30,41,84510
CVML,19-1012,Food Scientists and Technologists,Bachelor's degree,470,0.051781167,40,37,77740
SCC,19-1012,Food Scientists and Technologists,Bachelor's degree,150,0.103016781,10,39,81970
OC,19-1012,Food Scientists and Technologists,Bachelor's degree,150,0.033664162,10,39,81790
Bay,19-1013,Soil and Plant Scientists,Bachelor's degree,720,0.067076189,60,43,90440
LA,19-1013,Soil and Plant Scientists,Bachelor's degree,280,0.050241124,20,38,78090
GS,19-1013,Soil and Plant Scientists,Bachelor's degree,210,0.034969702,20,38,79080
SD/I,19-1013,Soil and Plant Scientists,Bachelor's degree,240,0.0458546,20,40,83180
CA,19-1013,Soil and Plant Scientists,Bachelor's degree,2530,0.054364197,220,38,78620
FN,19-1013,Soil and Plant Scientists,Bachelor's degree,50,0.047246087,0,39,81820
SCC,19-1013,Soil and Plant Scientists,Bachelor's degree,220,0.107740971,20,35,72360
CVML,19-1013,Soil and Plant Scientists,Bachelor's degree,470,0.009285478,40,40,82880
IE/D,19-1013,Soil and Plant Scientists,Bachelor's degree,120,0.062864902,10,37,77150
OC,19-1013,Soil and Plant Scientists,Bachelor's degree,110,0.036528716,10,35,72570
Bay,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,2320,0.083642757,220,66,136260
LA,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,340,0.041598507,30,50,103900
FN,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,10,0.323053471,0,55,114720
CVML,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,30,0.152215225,0,56,116060
GS,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,90,0.073609446,10,46,95810
SCC,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,80,0.050760716,10,49,101980
IE/D,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,30,0.050243147,0,68,140640
CA,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,4320,0.077557524,400,62,129970
SD/I,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,1010,0.034746017,80,52,107830
OC,19-1021,Biochemists and Biophysicists,Doctoral or professional degree,150,0.000433865,10,50,103100
LA,19-1022,Microbiologists,Bachelor's degree,460,0.02020944,40,48,100470
CA,19-1022,Microbiologists,Bachelor's degree,2650,0.051959513,230,52,107250
Bay,19-1022,Microbiologists,Bachelor's degree,1080,0.055320979,100,61,127070
SCC,19-1022,Microbiologists,Bachelor's degree,30,0.16213467,0,46,96650
GS,19-1022,Microbiologists,Bachelor's degree,160,0.066436386,10,51,106600
CVML,19-1022,Microbiologists,Bachelor's degree,120,0.026758182,10,46,95150
FN,19-1022,Microbiologists,Bachelor's degree,20,0.029948378,0,52,107440
IE/D,19-1022,Microbiologists,Bachelor's degree,60,0.098919791,10,48,100760
SD/I,19-1022,Microbiologists,Bachelor's degree,330,0.035535943,30,48,99350
OC,19-1022,Microbiologists,Bachelor's degree,230,0.015017248,20,49,101300
LA,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,200,0.07512351,20,40,83280
SCC,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,80,0.020557197,10,38,78280
CA,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,1830,0.056876533,160,39,82040
Bay,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,500,0.04981731,40,43,89120
GS,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,210,0.117184977,20,43,89790
FN,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,150,-0.007963091,10,38,78740
CVML,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,230,0.033389035,20,33,69090
SD/I,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,220,0.042388492,20,44,92430
OC,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,70,0.058078734,10,37,76620
IE/D,19-1023,Zoologists and Wildlife Biologists,Bachelor's degree,80,0.055872578,10,30,62450
GS,19-1029,"Biological Scientists, All Other",Bachelor's degree,770,0.025861029,60,46,95790
OC,19-1029,"Biological Scientists, All Other",Bachelor's degree,570,0.007218607,40,47,98510
CVML,19-1029,"Biological Scientists, All Other",Bachelor's degree,490,0.009150567,40,39,81420
SD/I,19-1029,"Biological Scientists, All Other",Bachelor's degree,2560,0.019200373,200,50,104850
FN,19-1029,"Biological Scientists, All Other",Bachelor's degree,250,-0.007524048,20,37,77810
CA,19-1029,"Biological Scientists, All Other",Bachelor's degree,13090,0.037479512,1090,54,111720
Bay,19-1029,"Biological Scientists, All Other",Bachelor's degree,5420,0.044960978,460,63,130170
LA,19-1029,"Biological Scientists, All Other",Bachelor's degree,1520,0.021488222,120,49,102080
IE/D,19-1029,"Biological Scientists, All Other",Bachelor's degree,270,0.040825544,20,40,83910
SCC,19-1029,"Biological Scientists, All Other",Bachelor's degree,430,0.014093159,30,50,103970
CVML,19-1031,Conservation Scientists,Bachelor's degree,210,0.067429927,20,35,73610
Bay,19-1031,Conservation Scientists,Bachelor's degree,800,0.077361588,80,42,88070
SD/I,19-1031,Conservation Scientists,Bachelor's degree,180,0.067399611,20,38,79610
OC,19-1031,Conservation Scientists,Bachelor's degree,80,0.102711148,10,32,66800
IE/D,19-1031,Conservation Scientists,Bachelor's degree,130,0.105698473,10,34,70510
FN,19-1031,Conservation Scientists,Bachelor's degree,300,0.041278096,30,35,71930
SCC,19-1031,Conservation Scientists,Bachelor's degree,120,0.083200595,10,38,79710
CA,19-1031,Conservation Scientists,Bachelor's degree,2470,0.090536932,270,38,79070
GS,19-1031,Conservation Scientists,Bachelor's degree,250,0.124230586,30,39,81270
LA,19-1031,Conservation Scientists,Bachelor's degree,270,0.101936936,30,35,72080
IE/D,19-1032,Foresters,Bachelor's degree,50,0.057636126,0,48,99050
SD/I,19-1032,Foresters,Bachelor's degree,60,0.040945647,10,46,94780
OC,19-1032,Foresters,Bachelor's degree,40,0.070711126,0,46,96560
FN,19-1032,Foresters,Bachelor's degree,230,0.020149645,20,46,95580
CVML,19-1032,Foresters,Bachelor's degree,120,0.0601954,10,41,85840
SCC,19-1032,Foresters,Bachelor's degree,70,0.064479091,10,43,89680
CA,19-1032,Foresters,Bachelor's degree,1100,0.06574038,120,46,94640
GS,19-1032,Foresters,Bachelor's degree,150,0.093149029,20,46,95620
Bay,19-1032,Foresters,Bachelor's degree,220,0.076349544,20,39,81540
LA,19-1032,Foresters,Bachelor's degree,110,0.069596273,10,49,102230
CVML,19-1041,Epidemiologists,Master's degree,120,0.141451545,10,44,92350
Bay,19-1041,Epidemiologists,Master's degree,480,0.109032228,30,54,111330
SD/I,19-1041,Epidemiologists,Master's degree,140,0.105806018,10,44,92120
FN,19-1041,Epidemiologists,Master's degree,30,0.123845086,0,43,90360
OC,19-1041,Epidemiologists,Master's degree,110,0.084399982,10,42,87080
SCC,19-1041,Epidemiologists,Master's degree,-10,-0.246904239,0,46,95240
IE/D,19-1041,Epidemiologists,Master's degree,80,0.150288563,10,37,77310
CA,19-1041,Epidemiologists,Master's degree,1710,0.124524347,130,48,100360
GS,19-1041,Epidemiologists,Master's degree,290,0.172677556,20,52,107180
LA,19-1041,Epidemiologists,Master's degree,380,0.099133411,30,45,93750
CVML,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,850,0.071321661,50,61,126970
SD/I,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,4340,0.061444569,260,62,128250
SCC,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,280,0.088587008,20,60,125140
CA,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,25020,0.08503463,1660,63,131380
LA,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,4940,0.053462396,290,62,129410
FN,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,230,0.052192614,10,59,123560
OC,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,1760,0.025862168,90,60,125650
GS,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,1040,0.061726181,60,64,132280
IE/D,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,1020,0.089034142,70,62,128770
Bay,19-1042,"Medical Scientists, Except Epidemiologists",Doctoral or professional degree,9120,0.111474967,660,70,145520
IE/D,19-1099,"Life Scientists, All Other",Bachelor's degree,40,0.053260337,0,56,115750
Bay,19-1099,"Life Scientists, All Other",Bachelor's degree,210,0.109555466,20,66,137440
GS,19-1099,"Life Scientists, All Other",Bachelor's degree,50,0.081577937,0,39,80710
SD/I,19-1099,"Life Scientists, All Other",Bachelor's degree,80,0.078079514,0,42,87460
LA,19-1099,"Life Scientists, All Other",Bachelor's degree,340,0.018157034,20,82,169980
CVML,19-1099,"Life Scientists, All Other",Bachelor's degree,30,0.057952375,0,56,116120
CA,19-1099,"Life Scientists, All Other",Bachelor's degree,970,0.050761625,60,62,128620
SCC,19-1099,"Life Scientists, All Other",Bachelor's degree,20,-0.046832539,0,56,117500
OC,19-1099,"Life Scientists, All Other",Bachelor's degree,140,-0.005297925,10,79,165200
FN,19-1099,"Life Scientists, All Other",Bachelor's degree,0,0.454095282,0,56,115900
GS,19-2011,Astronomers,Doctoral or professional degree,10,-0.01800407,0,67,138740
Bay,19-2011,Astronomers,Doctoral or professional degree,20,0.251003338,0,72,149000
SD/I,19-2011,Astronomers,Doctoral or professional degree,20,0.037415876,0,68,140820
LA,19-2011,Astronomers,Doctoral or professional degree,100,0.032226812,10,70,145070
SCC,19-2011,Astronomers,Doctoral or professional degree,0,0.041939044,0,68,142380
OC,19-2011,Astronomers,Doctoral or professional degree,30,-0.015067593,0,63,131240
CA,19-2011,Astronomers,Doctoral or professional degree,190,0.04863904,10,68,142060
IE/D,19-2011,Astronomers,Doctoral or professional degree,10,0.016461829,0,63,130640
FN,19-2011,Astronomers,Doctoral or professional degree,0,-0.048954862,0,61,127860
CVML,19-2011,Astronomers,Doctoral or professional degree,0,-0.007691643,0,64,133870
CVML,19-2012,Physicists,Doctoral or professional degree,950,0.010500713,60,86,178000
SD/I,19-2012,Physicists,Doctoral or professional degree,440,0.066484068,30,62,129990
IE/D,19-2012,Physicists,Doctoral or professional degree,80,0.062017603,10,73,151550
FN,19-2012,Physicists,Doctoral or professional degree,290,0.021852129,20,100,208290
CA,19-2012,Physicists,Doctoral or professional degree,6070,0.062107603,450,87,180920
LA,19-2012,Physicists,Doctoral or professional degree,320,0.044343331,20,65,135680
SCC,19-2012,Physicists,Doctoral or professional degree,250,0.021464702,20,78,163190
Bay,19-2012,Physicists,Doctoral or professional degree,3110,0.074466051,240,88,183020
GS,19-2012,Physicists,Doctoral or professional degree,140,0.007271702,10,55,114490
OC,19-2012,Physicists,Doctoral or professional degree,120,0.046777456,10,62,128810
GS,19-2021,Atmospheric and Space Scientists,Bachelor's degree,60,0.037711487,10,54,111490
CVML,19-2021,Atmospheric and Space Scientists,Bachelor's degree,60,0.004010013,10,53,111090
SD/I,19-2021,Atmospheric and Space Scientists,Bachelor's degree,160,0.017335941,10,52,107580
Bay,19-2021,Atmospheric and Space Scientists,Bachelor's degree,200,0.073044888,20,63,131130
OC,19-2021,Atmospheric and Space Scientists,Bachelor's degree,50,0.022536817,0,46,95170
FN,19-2021,Atmospheric and Space Scientists,Bachelor's degree,10,0.102094725,0,51,106090
CA,19-2021,Atmospheric and Space Scientists,Bachelor's degree,920,0.047982507,90,57,117770
IE/D,19-2021,Atmospheric and Space Scientists,Bachelor's degree,100,0.028755807,10,59,121830
SCC,19-2021,Atmospheric and Space Scientists,Bachelor's degree,30,0.035668047,0,58,119660
LA,19-2021,Atmospheric and Space Scientists,Bachelor's degree,210,0.026006656,20,52,108320
CVML,19-2031,Chemists,Bachelor's degree,470,0.073762624,40,39,81490
LA,19-2031,Chemists,Bachelor's degree,1820,-0.006935742,130,39,82060
SCC,19-2031,Chemists,Bachelor's degree,200,0.080012901,20,40,83660
CA,19-2031,Chemists,Bachelor's degree,8720,0.051772519,730,47,97120
SD/I,19-2031,Chemists,Bachelor's degree,1150,0.045326901,90,47,98640
FN,19-2031,Chemists,Bachelor's degree,50,0.095411305,10,42,87700
IE/D,19-2031,Chemists,Bachelor's degree,400,0.056603639,30,43,88590
GS,19-2031,Chemists,Bachelor's degree,380,0.079343754,30,40,83860
OC,19-2031,Chemists,Bachelor's degree,820,0.004206067,60,40,83600
Bay,19-2031,Chemists,Bachelor's degree,2860,0.075354561,260,56,117350
CA,19-2032,Materials Scientists,Bachelor's degree,640,0.094509279,60,63,131620
SCC,19-2032,Materials Scientists,Bachelor's degree,10,0.342405095,0,57,118910
LA,19-2032,Materials Scientists,Bachelor's degree,110,0.015064268,10,60,125810
FN,19-2032,Materials Scientists,Bachelor's degree,0,-0.015225957,0,59,122720
SD/I,19-2032,Materials Scientists,Bachelor's degree,90,0.070047202,10,33,68970
IE/D,19-2032,Materials Scientists,Bachelor's degree,20,-0.04884641,0,57,118600
GS,19-2032,Materials Scientists,Bachelor's degree,70,0.033539535,10,43,90460
Bay,19-2032,Materials Scientists,Bachelor's degree,250,0.137363876,30,70,146040
OC,19-2032,Materials Scientists,Bachelor's degree,50,0.027498079,0,61,127710
CVML,19-2032,Materials Scientists,Bachelor's degree,0,0.042019501,0,57,119560
FN,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,530,0.032713431,50,43,89060
SCC,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,430,0.036611892,40,46,95090
IE/D,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,760,0.069409778,80,46,96370
SD/I,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,1240,0.041032175,120,44,92550
GS,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,3540,0.0577331,370,49,101820
CVML,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,1060,0.054103271,110,39,81630
OC,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,730,0.035424599,70,47,96900
CA,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,13390,0.050469356,1370,47,97520
LA,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,1700,0.039280115,170,50,103380
Bay,19-2041,"Environmental Scientists and Specialists, Including Health",Bachelor's degree,2630,0.036091721,260,49,101570
CVML,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,270,-0.013791955,20,53,110730
SCC,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,160,0.033168855,10,52,107480
CA,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,3560,0.025956364,290,54,111380
OC,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,320,0.027317162,30,49,102760
LA,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,590,0.020973603,50,51,106410
SD/I,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,310,0.044423276,30,48,99300
GS,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,520,0.028000738,40,55,115090
Bay,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,930,0.013119406,70,59,122480
FN,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,60,0.000264271,0,52,109090
IE/D,19-2042,"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,160,0.063127805,10,45,93540
IE/D,19-2043,Hydrologists,Bachelor's degree,60,0.070200074,10,57,118820
Bay,19-2043,Hydrologists,Bachelor's degree,160,0.018102402,10,60,123790
CVML,19-2043,Hydrologists,Bachelor's degree,100,0.034283838,10,53,110910
OC,19-2043,Hydrologists,Bachelor's degree,30,0.045664407,0,53,109450
GS,19-2043,Hydrologists,Bachelor's degree,140,0.062586589,10,50,104430
CA,19-2043,Hydrologists,Bachelor's degree,750,0.045695754,60,57,118550
SD/I,19-2043,Hydrologists,Bachelor's degree,60,0.052418673,10,55,114770
LA,19-2043,Hydrologists,Bachelor's degree,80,0.070089689,10,55,115410
FN,19-2043,Hydrologists,Bachelor's degree,30,-0.052262629,0,40,83580
SCC,19-2043,Hydrologists,Bachelor's degree,40,0.036976421,0,59,121990
FN,19-2099,"Physical Scientists, All Other",Bachelor's degree,50,-0.011348526,0,57,118740
IE/D,19-2099,"Physical Scientists, All Other",Bachelor's degree,120,0.061355623,10,50,104540
GS,19-2099,"Physical Scientists, All Other",Bachelor's degree,160,0.061266384,10,52,107680
SCC,19-2099,"Physical Scientists, All Other",Bachelor's degree,140,0.029364552,10,62,128610
Bay,19-2099,"Physical Scientists, All Other",Bachelor's degree,1470,0.022159664,100,63,131440
LA,19-2099,"Physical Scientists, All Other",Bachelor's degree,620,0.045080818,50,62,129170
CA,19-2099,"Physical Scientists, All Other",Bachelor's degree,3550,0.038228091,260,61,126350
CVML,19-2099,"Physical Scientists, All Other",Bachelor's degree,220,-0.012788133,10,58,120050
OC,19-2099,"Physical Scientists, All Other",Bachelor's degree,230,0.036995668,20,60,123830
SD/I,19-2099,"Physical Scientists, All Other",Bachelor's degree,360,0.048349725,30,61,127740
Bay,19-3011,Economists,Master's degree,570,0.015545648,30,62,129850
IE/D,19-3011,Economists,Master's degree,80,0.097659326,10,51,106220
SCC,19-3011,Economists,Master's degree,30,0.091765776,0,47,97350
GS,19-3011,Economists,Master's degree,410,0.034645788,20,44,92460
LA,19-3011,Economists,Master's degree,250,0.046535422,20,59,122780
FN,19-3011,Economists,Master's degree,20,0.048005455,0,45,93000
SD/I,19-3011,Economists,Master's degree,80,0.064125258,0,50,103860
CA,19-3011,Economists,Master's degree,1760,0.046104252,110,49,102010
OC,19-3011,Economists,Master's degree,90,0.034868606,10,55,113570
CVML,19-3011,Economists,Master's degree,130,0.031981326,10,46,95840
CVML,19-3022,Survey Researchers,Master's degree,20,0.085144103,0,32,66440
IE/D,19-3022,Survey Researchers,Master's degree,40,0.059125469,0,40,84140
FN,19-3022,Survey Researchers,Master's degree,0,-0.018763061,0,26,54200
SCC,19-3022,Survey Researchers,Master's degree,0,0.044659173,0,31,64630
GS,19-3022,Survey Researchers,Master's degree,50,0.0732139,0,37,77520
LA,19-3022,Survey Researchers,Master's degree,430,-0.012553302,40,38,79000
SD/I,19-3022,Survey Researchers,Master's degree,100,-0.005274094,10,35,73700
CA,19-3022,Survey Researchers,Master's degree,1310,0.009431591,120,36,75490
OC,19-3022,Survey Researchers,Master's degree,160,0.001841446,10,33,68660
Bay,19-3022,Survey Researchers,Master's degree,380,-0.014123657,30,43,88570
CVML,19-3032,Industrial-Organizational Psychologists,Master's degree,10,0.087964518,0,69,143180
CA,19-3032,Industrial-Organizational Psychologists,Master's degree,370,0.043827046,30,69,142530
GS,19-3032,Industrial-Organizational Psychologists,Master's degree,20,0.063287977,0,68,141140
FN,19-3032,Industrial-Organizational Psychologists,Master's degree,0,0.01498473,0,68,141320
SD/I,19-3032,Industrial-Organizational Psychologists,Master's degree,30,0.005261303,0,66,138070
IE/D,19-3032,Industrial-Organizational Psychologists,Master's degree,20,0.104528703,0,69,143710
SCC,19-3032,Industrial-Organizational Psychologists,Master's degree,10,0.034622804,0,69,143750
Bay,19-3032,Industrial-Organizational Psychologists,Master's degree,90,0.000373838,10,71,146850
OC,19-3032,Industrial-Organizational Psychologists,Master's degree,50,0.031122471,0,63,131870
LA,19-3032,Industrial-Organizational Psychologists,Master's degree,130,0.052829389,10,70,145420
Bay,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,3730,0.100688144,270,69,144550
GS,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,760,0.132024099,60,57,118890
CVML,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,920,0.127695679,70,56,117340
FN,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,160,0.17201393,10,50,103730
SD/I,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,1690,0.149815541,140,49,101790
SCC,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,480,0.046625433,30,51,105240
IE/D,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,880,0.182912332,80,48,98880
OC,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,1060,0.175117799,90,47,98370
LA,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,3180,0.150668818,260,50,103050
CA,19-3033,Clinical and Counseling Psychologists,Doctoral or professional degree,13560,0.142342396,1100,56,115530
GS,19-3034,School Psychologists,Doctoral or professional degree,580,0.045637227,40,59,122110
IE/D,19-3034,School Psychologists,Doctoral or professional degree,780,0.061954667,50,60,123780
Bay,19-3034,School Psychologists,Doctoral or professional degree,1550,0.023792374,100,60,124790
SD/I,19-3034,School Psychologists,Doctoral or professional degree,980,0.030024054,60,53,110580
