,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Contra Costa Total,,,"13,252",,"11,840","3,877","13,473",,"13,055","4,093","14,413",,"14,042","4,945","15,691",,"15,146","5,656","16,881",
,Credit - Degree Applicable                         Total,,"12,940",,"11,601","3,756","13,319",,"12,899","3,963","14,241",,"13,853","4,790","15,461",,"14,868","5,454","16,692",
,,"040100 - Biology, General                        ",715,,672,167,718,,749,178,811,,807,228,891,,879,236,962,
,,043000 - Biotechnology and Biomedical Technology ,47,,81,,48,,66,,58,,63,18,27,,83,24,37,
,,050200 - Accounting                              ,123,,228,113,224,,212,87,228,,261,74,244,,306,79,254,
,,050500 - Business Administration                 ,292,,281,71,372,,302,75,376,,308,72,357,,333,76,392,
,,050600 - Business Management                     ,49,,48,,48,,57,,58,,86,,54,,81,,51,
,,050640 - Small Business and Entrepreneurship     ,33,,30,,35,,31,,13,,30,,18,,22,,25,
,,051100 - Real Estate                             ,85,,124,,166,,160,,195,,182,,187,,170,,172,
,,051400 - Office Technology/Office Computer Applic,103,,168,,116,,116,,139,,130,,127,,138,,150,
,,060200 - Journalism                              ,24,,30,,51,,52,,60,,65,24,87,,63,57,102,
,,061220 - Film Production                         ,12,,31,,9,,36,,22,,45,,33,,61,,33,
,,061400 - Digital Media                           ,18,,22,,16,,14,,20,,27,,,,25,,,
,,061430 - Website Design and Development          ,53,,,,,,,,,,,,,,,,,
,,061440 - Animation                               ,,,,,,,,,,,,,16,,,,17,
,,061460 - Computer Graphics and Digital Imagery   ,42,,29,,58,,25,,65,,56,,46,,26,,50,
,,"070100 - Information Technology, General         ",,,38,,,,,,,,,,,,,,,
,,070200 - Computer Information Systems            ,172,,96,63,194,,175,74,165,,133,98,187,,98,97,148,
,,070210 - Software Applications                   ,51,,25,,49,,20,,51,,72,,56,,51,,64,
,,070600 - Computer Science (Transfer)             ,,,,,,,,67,234,,239,62,200,,194,65,166,
,,070710 - Computer Programming                    ,121,,141,33,142,,170,,,,,,,,,,,
,,070800 - Computer Infrastructure and Support     ,,,26,,,,19,,,,31,,,,21,,,
,,070810 - Computer Networking                     ,12,,15,,16,,15,,24,,15,,18,,19,,22,
,,070820 - Computer Support                        ,20,,25,14,55,,43,6,28,,49,16,18,,46,16,24,
,,079900 - Other Information Technology            ,48,,33,29,56,,51,,27,,,,22,,,,31,
,,080200 - Educational Aide (Teacher Assistant)    ,25,,7,,4,,,,,,,,,,,,,
,,083500 - Physical Education                      ,66,,79,42,70,,115,38,160,,167,51,255,,233,51,259,
,,083550 - Intercollegiate Athletics               ,223,,110,59,264,,131,58,200,,94,62,153,,127,133,215,
,,083700 - Health Education                        ,193,,249,138,279,,252,128,263,,217,122,283,,259,162,313,
,,"090100 - Engineering, General (requires Calculus)",54,,37,,45,,37,,56,,49,,63,,72,,66,
,,094800 - Automotive Technology                   ,159,,94,26,102,,90,16,112,,91,19,82,,96,32,89,
,,094900 - Automotive Collision Repair             ,77,,53,1,78,,94,,92,,102,,105,,73,7,97,
,,"100100 - Fine Arts, General                      ",,,20,18,12,,31,32,28,,,25,,,,22,,
,,100200 - Art                                     ,269,,230,78,190,,222,99,212,,192,59,279,,308,66,275,
,,100400 - Music                                   ,266,,267,,241,,241,,235,,268,37,289,,276,37,300,
,,100600 - Technical Theater                       ,,,,,1,,2,,,,,,,,,,7,
,,100700 - Dramatic Arts                           ,195,,181,69,255,,203,78,265,,207,86,271,,214,97,323,
,,100800 - Dance                                   ,,,,,6,,19,,10,,8,,34,,37,,61,
,,101200 - Applied Photography                     ,,,,,,,,,,,8,,,,19,,,
,,109900 - Other Fine and Applied Arts             ,36,,14,,45,,16,,48,,23,,45,,22,,48,
,,110500 - Spanish                                 ,175,,111,66,115,,120,68,155,,155,79,192,,180,93,276,
,,110700 - Chinese                                 ,12,,19,44,20,,33,37,26,,17,87,24,,25,102,31,
,,110800 - Japanese                                ,30,,26,,31,,22,,17,,27,,24,,22,,32,
,,"120100 - Health Occupations, General             ",73,,53,47,63,,45,33,66,,51,45,74,,49,40,84,
