,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,110800 - Japanese                                ,88,,49,15,88,,51,,70,,32,,73,,47,,,
,,122100 - Pharmacy Technology                     ,,,11,,15,,14,,29,,21,,18,,18,,,
,,122200 - Physical Therapist Assistant            ,,,,,,,,106,34,,69,119,60,,80,,,
,,122800 - Athletic Training and Sports Medicine   ,47,,129,8,42,,95,,29,,131,,48,,120,,,
,,123000 - Nursing                                 ,,,,,56,,118,,112,,183,,271,,312,,,
,,123010 - Registered Nursing                      ,137,,155,,242,,324,,238,,558,,729,,688,,,
,,123020 - Licensed Vocational Nursing             ,,,,,58,,52,50,52,,42,42,64,,50,,,
,,123030 - Certified Nurse Assistant               ,26,,27,17,20,,17,9,,,9,26,11,,,,,
,,125000 - Emergency Medical Services              ,228,,217,34,157,,134,38,155,,171,39,287,,114,,,
,,"126000 - Health Professions, Transfer Core Curric",116,,34,,56,,15,,32,,25,,72,,85,,,
,,127000 - Kinesiology                             ,630,137,425,204,687,83,427,122,603,79,461,166,886,218,670,,,
,,129900 - Other Health Occupations                ,"1,095",163,790,308,863,124,780,323,833,151,829,454,"1,241",154,920,,,
,,130500 - Child Development/Early Care and Educati,318,,377,72,377,46,679,163,815,42,674,247,747,70,751,,,
,,130510 - Child and Adolescent Development        ,486,67,412,141,530,,,,,,,,,,,,,
,,130580 - Child Development Administration and Man,35,,91,,30,,67,,24,,74,,23,,64,,,
,,130590 - Infants and Toddlers                    ,,,32,,,,50,,59,,13,,63,,58,,,
,,130630 - Culinary Arts                           ,286,,281,1,336,17,278,52,374,50,327,55,406,42,286,,,
,,130700 - Hospitality                             ,84,,94,,92,,118,,67,,138,1,63,,116,,,
,,130710 - Restaurant and Food Services and Managem,15,,29,,15,,22,,30,,12,,37,,21,,,
,,130730 - Resort and Club Management              ,10,,13,,30,,6,,11,,8,,41,,27,,,
,,150100 - English                                 ,"2,374",210,"1,808",298,"2,483",203,"1,904",288,"2,505",271,"2,096",369,"2,904",266,"2,557",,,
,,150600 - Speech Communication                    ,"1,234",149,987,205,"1,229",153,950,243,999,189,893,405,910,156,914,,,
,,150900 - Philosophy                              ,490,43,415,51,635,17,486,,618,,487,33,722,,415,,,
,,"170100 - Mathematics, General                    ","1,358",,"1,070",310,"1,185",,"1,023",268,"1,135",,"1,201",321,"1,371",,"1,285",,,
,,"190200 - Physics, General                        ",230,,161,,190,,178,18,165,,197,19,170,,205,,,
,,"190500 - Chemistry, General                      ",492,,531,71,410,,462,31,519,,449,39,463,,569,,,
,,191100 - Astronomy                               ,403,35,301,39,212,44,217,83,254,43,290,43,305,43,295,,,
,,191400 - Geology                                 ,203,,132,16,141,,123,,148,,157,,154,,149,,,
