,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150700 - Creative Writing                        ,,,,,,,,,,,19,,,,,,,
,,150900 - Philosophy                              ,220,54,209,90,189,68,187,123,163,83,203,122,190,98,275,115,240,127
,,159900 - Other Humanities                        ,256,40,230,63,217,37,213,103,206,97,177,75,211,99,255,87,208,84
,,"160100 - Library Science, General                ",103,,19,,93,,22,,48,,22,,38,,28,,23,
,,"170100 - Mathematics, General                    ","1,474",311,"1,289",449,"1,621",387,"1,532",546,"1,709",352,"1,424",471,"1,635",385,"1,402",805,"1,637",560
,,179900 - Other Mathematics                       ,142,41,134,35,171,33,154,80,170,35,177,68,204,27,149,35,208,35
,,"190100 - Physical Sciences, General              ",18,,,,,,8,,,,,,,,,,,
,,"190200 - Physics, General                        ",107,,55,36,66,,78,,72,,83,,109,,156,,178,
,,"190500 - Chemistry, General                      ",376,,246,73,291,111,270,176,418,114,428,104,446,105,482,271,489,176
,,191100 - Astronomy                               ,116,,151,46,154,,127,85,119,,130,33,97,,134,48,101,
,,191400 - Geology                                 ,22,,67,,18,,33,,17,,43,,14,,54,26,19,
,,191900 - Oceangraphy                             ,190,,218,64,163,,155,81,141,,219,35,112,,162,79,98,
,,"200100 - Psychology, General                     ","1,001",203,880,306,984,145,"1,056",409,"1,051",277,"1,040",295,"1,090",263,"1,040",505,"1,166",309
,,209900 - Other Psychology                        ,,,,,,,,,,,,,,,54,,,
,,210500 - Administration of Justice               ,147,,120,,117,,174,,204,,230,12,193,,256,33,296,
,,210510 - Corrections                             ,,,,,22,,,,34,,,,23,,,,37,
,,"210540 - Forensics, Evidence, and Investigation  ",36,,,,30,,,,32,,,,27,,,,35,
,,213300 - Fire Technology                         ,,,,,34,,32,,64,,54,,,,,,,
,,220200 - Anthropology                            ,447,75,421,98,339,77,303,82,338,76,371,54,326,99,299,76,245,121
,,220220 - Archaeology                             ,16,,,,27,,,,12,,,,28,,,,34,
,,220300 - Ethnic Studies                          ,71,,25,,47,,109,32,189,36,142,74,628,190,536,356,886,365
,,220400 - Economics                               ,145,18,151,59,157,,171,51,130,,141,55,218,21,136,134,199,28
,,220500 - History                                 ,791,159,714,183,752,180,805,302,800,160,833,201,582,121,542,291,563,38
,,220600 - Geography                               ,48,,105,,89,,110,,118,,136,,80,,140,,104,
,,220700 - Political Science                       ,548,113,473,158,498,146,524,183,559,169,505,253,550,167,479,245,495,190
,,220800 - Sociology                               ,576,91,505,128,439,113,417,116,427,84,446,160,522,92,390,154,501,141
,,493010 - Career Guidance and Orientation         ,447,35,285,536,514,38,423,264,760,27,468,190,814,460,543,292,709,554
,,493012 - Job Seeking/Changing Skills             ,,,14,,15,,14,,48,,35,,33,,33,,59,
,,493013 - Academic Guidance                       ,,,,,,,,161,,,,167,,176,41,80,,165
,,493084 - English as a Second Language - Writing  ,3,,,,,,,,,,,,,,,,,
,Credit - Not Degree Applicable                     Total,,56,,50,,48,,35,,,,12,,,,21,,23,
,,150100 - English                                 ,34,,10,,,,,,,,,,,,,,,
,,152000 - Reading                                 ,8,,16,,14,,12,,,,4,,,,,,11,
,,"493030 - Learning Skills, Handicapped            ",14,,24,,34,,23,,,,8,,,,19,,12,
,,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,,,2,,,
