,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,095700 - Civil and Construction Management Techno,45,,15,,42,,29,,46,,27,,50,,25,,65,
,,095730 - Surveying                               ,,,14,,,,10,,13,,14,,19,,22,,23,
,,099900 - Other Engineering and Related Industrial,9,,21,,8,,15,,12,,20,,29,,29,,81,
,,"100100 - Fine Arts, General                      ","1,306",,"1,222",605,159,,201,111,254,,225,130,287,,296,127,287,
,,100200 - Art                                     ,85,,94,15,314,,840,526,954,,828,526,882,,987,450,967,
,,100210 - Painting and Drawing                    ,572,,510,85,647,,617,70,610,,596,45,616,,566,74,638,
,,100220 - Sculpture                               ,104,,93,,83,,78,,95,,89,,95,,95,,92,
,,100230 - Ceramics                                ,125,,143,25,163,,179,27,192,,200,45,202,,187,44,196,
,,100400 - Music                                   ,"1,923",,"1,769",514,"2,174",,"2,385",581,"2,561",,"2,719",826,"2,750",,"2,918","1,055","2,844",
,,100500 - Commercial Music                        ,212,,198,8,238,,232,20,227,,227,19,173,,202,20,207,
,,100600 - Technical Theater                       ,100,,142,,252,,275,12,282,,294,25,198,,208,,234,
,,100700 - Dramatic Arts                           ,525,,512,29,477,,502,72,479,,507,114,554,,481,110,565,
,,100800 - Dance                                   ,403,,358,62,480,,483,105,510,,576,80,585,,577,122,568,
,,100900 - Applied Design                          ,27,,12,,24,,18,,15,,1,,,,,,,
,,100910 - Jewelry                                 ,,,17,,17,,24,,20,,19,,20,,20,,18,
,,101100 - Photography                             ,229,,151,,191,,173,,225,,167,,22,,22,,21,
,,101200 - Applied Photography                     ,32,,39,,30,,80,14,64,,86,,231,,242,,255,
,,101300 - Commercial Art                          ,79,,115,,87,,105,,97,,113,,94,,96,,66,
,,103000 - Graphic Art and Design                  ,276,,221,15,313,,288,39,298,,275,35,255,,244,36,267,
,,109900 - Other Fine and Applied Arts             ,,,,,11,,12,,16,,16,,19,,15,,16,
,,110200 - French                                  ,152,,121,11,147,,155,25,201,,164,22,169,,175,27,180,
,,110300 - German                                  ,50,,31,,26,,25,,46,,59,24,57,,46,26,60,
,,110500 - Spanish                                 ,506,,405,140,490,,456,148,513,,452,181,505,,413,154,481,
,,110700 - Chinese                                 ,37,,23,,40,,31,,19,,27,,44,,45,,55,
,,110800 - Japanese                                ,250,,146,27,204,,163,24,183,,216,14,178,,210,40,210,
,,111730 - Korean                                  ,,,,,28,,,,,,,,,,,,,
,,127000 - Kinesiology                             ,179,,134,55,178,,155,58,136,,91,62,135,,100,57,104,
,,129900 - Other Health Occupations                ,119,,121,70,152,,190,72,192,,220,85,158,,294,65,166,
,,130200 - Interior Design and Merchandising       ,204,,199,,246,,217,,169,,197,,188,,192,,169,
,,130300 - Fashion                                 ,320,,285,,306,,330,,372,,392,53,456,,348,53,442,
,,130310 - Fashion Design                          ,15,,27,,15,,14,,10,,25,8,41,,23,14,,
,,130500 - Child Development/Early Care and Educati,991,,804,205,789,,846,202,811,,848,216,809,,857,197,755,
,,130520 - Children with Special Needs             ,137,,127,,97,,103,,87,,139,,140,,141,,139,
,,130540 - Preshool Age Children                   ,52,,29,,51,,52,,50,,43,,39,,46,,42,
,,130550 - The School Age Child                    ,26,,14,,,,,,,,,,,,,,,
,,130580 - Child Development Administration and Man,54,,41,,56,,65,,65,,54,,53,,46,,41,
,,130590 - Infants and Toddlers                    ,29,,,,17,,,,24,,,,23,,,,19,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",663,,579,108,585,,632,104,716,,670,83,649,,756,146,731,
,,130620 - Dietetic Services and Management        ,,,,,,,,,18,,,,28,,,,25,
,,140200 - Paralegal                               ,378,,336,80,316,,278,74,235,,246,68,270,,319,67,383,
,,150100 - English                                 ,"4,335",,"3,242",497,"4,385",,"3,313",491,"4,503",,"3,461",543,"4,646",,"3,536",681,"4,716",
,,150300 - Comparative Literature                  ,55,,66,,62,,56,,50,,49,,34,,67,,48,
,,150600 - Speech Communication                    ,"2,060",,"1,714",638,"1,909",,"1,790",528,"1,891",,"2,152",551,"1,936",,"2,105",760,"2,262",
,,150700 - Creative Writing                        ,51,,55,,52,,70,,54,,70,,60,,97,20,64,
,,150900 - Philosophy                              ,738,,531,82,690,,625,88,676,,615,97,725,,667,87,800,
,,151000 - Religious Studies                       ,139,,133,82,186,,126,95,167,,151,92,170,,154,97,182,
,,152000 - Reading                                 ,117,,123,,138,,162,44,140,,179,28,157,,168,26,152,
,,159900 - Other Humanities                        ,,,,,,,,,,,2,,,,,,,
,,"160100 - Library Science, General                ",37,,18,27,38,,29,48,28,,63,58,28,,63,26,27,
,,"170100 - Mathematics, General                    ","4,271",,"3,281",826,"4,171",,"3,473",926,"4,494",,"3,689",935,"4,782",,"3,919","1,205","4,448",
,,"190200 - Physics, General                        ",240,,272,,268,,311,10,258,,349,12,329,,336,46,334,
,,"190500 - Chemistry, General                      ",949,,843,102,815,,841,114,828,,866,132,830,,933,110,892,
,,191100 - Astronomy                               ,257,,206,,173,,187,39,169,,169,36,181,,174,39,178,
,,191400 - Geology                                 ,326,,266,98,342,,317,86,396,,410,80,310,,366,14,158,
,,191900 - Oceangraphy                             ,228,,241,50,212,,190,46,242,,148,45,253,,230,,104,
