,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,125000 - Emergency Medical Services              ,,,4,,,,,,,,,,12,,,,,
,,"126000 - Health Professions, Transfer Core Curric",,,,,,,,,,,,,,,17,,,
,,"130100 - Family and Consumer Sciences, General   ",102,,114,,,,,,,,,,,,,,,
,,130200 - Interior Design and Merchandising       ,38,,14,,13,,,,25,,,,,,,,,
,,130500 - Child Development/Early Care and Educati,316,,199,,217,,150,,200,,166,,212,,204,,299,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,54,120,,91,64,196,,140,72,185,,148,70,188,
,,150100 - English                                 ,"1,934",,"1,226",355,"1,812",,"1,375",371,"2,021",,"1,515",364,"1,873",,"1,542",410,"1,678",
,,150300 - Comparative Literature                  ,33,,48,,20,,50,,23,,51,,50,,37,,50,
,,150600 - Speech Communication                    ,773,,668,269,986,,975,365,"1,148",,"1,024",452,"1,027",,"1,265",665,"1,469",
,,150900 - Philosophy                              ,213,,200,73,135,,214,67,184,,206,74,135,,212,78,203,
,,"160100 - Library Science, General                ",132,,107,24,109,,140,24,109,,135,23,118,,121,,51,
,,"170100 - Mathematics, General                    ","3,154",,"1,626",617,"2,512",,"1,706",703,"2,773",,"1,882",677,"2,834",,"1,934",790,"2,886",
,,"190200 - Physics, General                        ",505,,244,82,361,,295,121,388,,316,95,420,,353,137,500,
,,"190500 - Chemistry, General                      ",777,,405,165,618,,441,176,629,,467,186,657,,532,174,642,
,,191100 - Astronomy                               ,199,,113,79,197,,114,73,182,,132,83,235,,157,77,234,
,,191400 - Geology                                 ,60,,71,,100,,83,,96,,107,,109,,99,,95,
,,"200100 - Psychology, General                     ",799,,722,334,783,,755,269,761,,743,276,805,,857,304,851,
,,210500 - Administration of Justice               ,325,,362,21,169,,144,11,124,,97,7,156,,161,,160,
,,210550 - Police Academy                          ,,,,,,,,,,,160,25,209,,229,,138,
,,213300 - Fire Technology                         ,,,19,,,,,,,,,,,,,,,
,,213350 - Fire Academy                            ,,,,,,,31,,,,,74,17,,81,,48,
,,"220100 - Social Sciences, General                ",,,14,,,,14,,,,,,,,,,,
,,220110 - Women's Studies                         ,31,,52,9,41,,47,9,39,,65,13,52,,61,27,66,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,32,,,,20,14,,,25,26,,,34,32,,
,,220200 - Anthropology                            ,391,,279,92,381,,305,81,422,,314,124,472,,311,131,512,
,,220300 - Ethnic Studies                          ,219,,209,89,329,,316,97,360,,404,168,584,,662,191,554,
,,220400 - Economics                               ,618,,306,266,607,,363,300,620,,383,256,602,,378,240,569,
,,220500 - History                                 ,844,,746,306,749,,706,318,879,,724,344,849,,936,393,999,
,,220600 - Geography                               ,150,,153,25,126,,143,10,161,,153,10,127,,200,,35,
,,220700 - Political Science                       ,370,,397,156,290,,339,131,273,,313,156,354,,324,171,342,
,,220800 - Sociology                               ,490,,459,255,442,,518,321,500,,432,226,394,,564,260,478,
,,221020 - Global Studies                          ,,,27,15,,,24,17,24,,10,29,23,,20,31,,
,,493010 - Career Guidance and Orientation         ,456,,313,140,547,,362,85,428,,318,105,508,,343,127,306,
,,493013 - Academic Guidance                       ,30,,,,28,,,,16,,,,20,,,,,
,,493200 - General Work Experience                 ,8,,23,,16,,26,,20,,25,,15,,27,,12,
,Credit - Not Degree Applicable                     Total,,852,,"3,929","3,649",550,,380,"2,878",607,,299,"2,952",542,,840,"2,932",536,
