,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130500 - Child Development/Early Care and Educati,665,532,590,160,580,592,557,181,,622,555,233,683,669,729,233,679,
,,130580 - Child Development Administration and Man,31,,9,,35,,26,,,,37,,34,,24,,40,
,,150100 - English                                 ,"1,487","1,228",956,521,"1,362","1,199",828,528,,"1,291",924,531,"1,602","1,322",997,378,"1,528",
,,150300 - Comparative Literature                  ,30,,,,22,,42,,,,75,,33,,60,,,
,,150600 - Speech Communication                    ,835,683,726,326,789,699,659,412,,799,795,338,874,823,805,337,936,
,,150700 - Creative Writing                        ,20,22,22,,22,28,22,,,18,15,,22,18,16,27,25,
,,150900 - Philosophy                              ,238,284,250,189,229,181,259,234,,212,259,190,251,236,244,143,250,
,,"160100 - Library Science, General                ",,17,,,,18,,,,40,,,20,43,,,36,
,,"170100 - Mathematics, General                    ","2,170","1,879","1,683",738,"1,873","1,884","1,515",949,,"1,981","1,717",892,"2,298","2,223","1,777",982,"2,155",
,,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,22,24,,21,
,,179900 - Other Mathematics                       ,,,,,,,,,,,,,10,2,,,2,
,,"190100 - Physical Sciences, General              ",,,,,,,,,,6,,,,,,,,
,,"190200 - Physics, General                        ",238,304,321,87,339,353,351,53,,461,479,30,380,437,448,19,453,2
,,"190500 - Chemistry, General                      ",880,770,610,205,646,680,677,210,,808,703,196,768,863,837,276,964,
,,191100 - Astronomy                               ,82,97,111,,99,128,109,,,118,77,,145,116,86,,119,
,,193000 - Earth Science                           ,,,,,32,,31,,,,,,,,46,,49,
,,"200100 - Psychology, General                     ",923,858,932,459,955,790,873,427,,967,940,445,904,"1,029",848,435,"1,007",
,,"220100 - Social Sciences, General                ",299,286,311,370,313,293,342,302,,300,324,266,287,357,332,265,178,
,,220110 - Women's Studies                         ,44,44,86,44,46,61,90,43,,57,35,38,44,38,49,51,48,
,,220200 - Anthropology                            ,516,509,453,370,457,445,469,342,,537,585,316,661,539,588,430,591,
,,220220 - Archaeology                             ,32,,31,54,62,,39,20,,38,31,,27,44,43,,61,
,,220300 - Ethnic Studies                          ,73,146,152,43,172,198,191,108,,276,278,122,510,553,580,207,579,
,,220400 - Economics                               ,353,384,417,242,405,400,363,194,,419,366,190,487,427,400,201,487,
,,220500 - History                                 ,338,272,378,167,330,309,366,178,,309,302,162,305,318,307,136,388,
,,220600 - Geography                               ,181,240,242,141,262,244,180,151,,238,222,167,263,263,234,153,286,
,,220610 - Geographic Information Systems          ,73,92,91,,94,105,110,,,119,92,,65,79,99,,79,
,,220700 - Political Science                       ,235,176,192,91,214,245,259,82,,216,284,81,315,254,272,150,337,
,,220800 - Sociology                               ,434,386,419,202,443,361,312,216,,365,500,242,469,348,470,226,473,
,,221000 - International Studies                   ,25,36,31,,40,39,50,,,30,48,,73,78,71,25,60,
,,493010 - Career Guidance and Orientation         ,359,209,380,151,444,344,308,153,,254,369,308,422,423,352,340,349,
,,"493030 - Learning Skills, Handicapped            ",,,35,,,,31,,,,39,,,,56,,8,
,,493072 - Leadership Skills Development           ,14,25,25,,22,39,42,,,54,56,,39,55,56,,45,
,,493084 - English as a Second Language - Writing  ,,,,,23,23,30,,,35,31,,32,35,31,,36,
,,493200 - General Work Experience                 ,52,80,38,80,51,85,53,72,,69,95,81,92,72,99,101,24,
,Credit - Not Degree Applicable                     Total,,514,357,318,155,469,338,287,218,,388,306,177,450,421,268,252,645,
,,121000 - Respiratory Care/Therapy                ,15,18,13,,12,,14,,,,20,,26,21,15,,19,
,,122100 - Pharmacy Technology                     ,,,,4,,,,21,,,,14,,,22,,,
,,122500 - Radiologic Technology                   ,68,60,36,28,64,31,30,34,,34,35,33,67,33,27,29,67,
,,124010 - Dental Assistant                        ,14,,9,14,12,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,,,,,,,,16,,,,,,20,,17,,
,,126100 - Community Health Care Worker            ,,,,,,16,,,,21,,,,23,,,28,
,,"170100 - Mathematics, General                    ",,,,75,,,,80,,,,67,,,,70,,
,,170200 - Mathematics Skills                      ,133,51,39,,107,72,37,,,63,15,,39,85,,,130,
,,493010 - Career Guidance and Orientation         ,49,22,25,,62,28,27,14,,32,33,6,70,35,34,30,61,
,,"493030 - Learning Skills, Handicapped            ",24,22,,17,18,16,,24,,24,,25,24,24,,47,47,
,,"493031 - Living Skills, Handicapped              ",99,90,106,17,72,64,84,24,,96,115,25,96,84,108,47,184,
,,493084 - English as a Second Language - Writing  ,81,76,69,,91,82,71,5,,100,67,7,89,70,52,12,72,
,,493085 - English as a Second Language - Reading  ,31,18,16,,31,29,24,,,18,20,,39,26,9,,37,
,,493086 - English as a Second Language - Listening,,,5,,,,,,,,1,,,,1,,,
