,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094610 - Energy Systems Technology               ,,,24,,26,,25,,29,,27,,24,,27,,32,
,,094800 - Automotive Technology                   ,228,,219,43,204,,230,41,267,,279,53,343,,309,28,404,
,,094840 - Alternative Fuels and Advanced Transport,,,,,12,,,,,,,17,,,,15,,
,,095000 - Aeronautical and Aviation Technology    ,5,,50,,59,,28,,60,,77,,65,,117,,50,
,,095010 - Aviation Airframe Mechanics             ,97,,63,,38,,83,,102,,63,,58,,61,,105,
,,095020 - Aviation Powerplant Mechanics           ,86,,,,75,,73,,22,,70,,52,,64,,52,
,,095050 - Aircraft Fabrication                    ,13,,,,19,,28,,,,,,,,,,,
,,095300 - Drafting Technology                     ,100,,47,,66,,59,,108,,45,,90,,78,21,110,
,,095310 - Architectural Drafting                  ,23,,21,,21,,23,,18,,25,,24,,23,,28,
,,095340 - Mechanical Drafting                     ,15,,18,,24,,23,,14,,26,,12,,27,,19,
,,095670 - Industrial and Occupational Safety and H,30,,20,,18,,20,,18,,18,,22,,19,19,22,
,,"100100 - Fine Arts, General                      ",410,,333,143,395,,453,110,447,,432,129,482,,499,148,567,
,,100200 - Art                                     ,259,,228,70,240,,216,92,278,,269,81,332,,259,82,260,
,,100210 - Painting and Drawing                    ,550,,515,240,608,,620,258,673,,693,305,829,,684,364,760,
,,100220 - Sculpture                               ,52,,48,,56,,54,,53,,38,,80,,70,,81,
,,100230 - Ceramics                                ,,,1,,13,,14,,14,,15,,21,,32,,18,
,,100400 - Music                                   ,926,,681,284,958,,849,279,"1,007",,870,452,"1,247",,"1,141",572,"1,454",
,,100500 - Commercial Music                        ,49,,64,,62,,63,,60,,84,,58,,116,,69,
,,100600 - Technical Theater                       ,33,,36,,31,,58,,80,,78,,89,,74,,76,
,,100700 - Dramatic Arts                           ,266,,255,64,316,,286,98,354,,256,122,372,,291,142,353,
,,100800 - Dance                                   ,145,,86,,193,,130,,,,,,,,,,,
,,101200 - Applied Photography                     ,459,,431,127,550,,520,211,582,,542,262,605,,527,301,572,
,,101300 - Commercial Art                          ,,,19,,,,15,,,,22,,,,21,,,
,,103000 - Graphic Art and Design                  ,67,,22,,34,,70,,49,,44,,57,,59,,24,
,,110200 - French                                  ,81,,85,22,80,,85,21,43,,53,35,60,,64,31,72,
,,110500 - Spanish                                 ,"1,051",,976,376,"1,101",,987,393,896,,629,557,914,,839,584,934,
,,110700 - Chinese                                 ,115,,111,18,126,,109,23,94,,112,45,119,,98,38,112,
,,111200 - Arabic                                  ,84,,97,19,83,,78,31,91,,87,45,82,,80,27,71,
,,"120100 - Health Occupations, General             ",199,,258,62,185,,229,98,245,,308,166,469,,420,185,511,
,,122000 - Speech/Language Pathology and Audiology ,,,,,,,,,,,,,,,,48,20,
,,122200 - Physical Therapist Assistant            ,,,,,,,,,40,,47,,62,,71,48,157,
,,122300 - Health Information Technology           ,489,,512,266,681,,597,372,598,,708,503,"1,031",,"1,018",495,"1,007",
,,122500 - Radiologic Technology                   ,313,,181,98,321,,190,106,335,,191,110,327,,179,102,321,
,,122800 - Athletic Training and Sports Medicine   ,20,,,,10,,11,,,,,,,,,,,
,,123000 - Nursing                                 ,250,,277,105,281,,305,255,326,,368,307,382,,402,321,425,
,,123010 - Registered Nursing                      ,269,,299,,277,,327,1,334,,511,110,594,,615,107,587,
,,123020 - Licensed Vocational Nursing             ,166,,206,,265,,350,,340,,350,,378,,392,,331,
,,124010 - Dental Assistant                        ,140,,121,,144,,176,,148,,154,,256,,312,,153,
,,125000 - Emergency Medical Services              ,122,,76,49,127,,128,39,133,,148,115,154,,231,95,265,
,,"130100 - Family and Consumer Sciences, General   ",235,,228,74,147,,193,78,136,,152,87,170,,177,101,187,
,,130200 - Interior Design and Merchandising       ,310,,244,40,283,,264,57,303,,263,61,226,,293,50,229,
,,130300 - Fashion                                 ,72,,91,35,107,,94,32,97,,104,42,103,,120,36,100,
,,130310 - Fashion Design                          ,90,,63,11,172,,89,20,142,,174,16,157,,141,48,164,
,,130320 - Fashion Merchandising                   ,73,,33,,105,,64,,113,,57,,135,,78,,144,
,,130330 - Fashion Production                      ,8,,18,,21,,42,,21,,27,,42,,27,,65,
,,130500 - Child Development/Early Care and Educati,990,,855,312,"1,015",,860,335,972,,984,450,"1,183",,"1,129",463,"1,229",
,,130520 - Children with Special Needs             ,48,,57,,50,,54,,45,,60,,35,,63,,27,
,,130540 - Preshool Age Children                   ,54,,59,,36,,90,,34,,95,,70,,93,,63,
,,130580 - Child Development Administration and Man,195,,227,,176,,179,,99,,150,,131,,210,,174,
,,130590 - Infants and Toddlers                    ,42,,49,16,54,,62,,31,,51,,41,,69,,33,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",87,,67,38,92,,156,61,71,,80,66,85,,96,52,106,
,,130630 - Culinary Arts                           ,55,,45,,76,,91,,105,,113,,125,,165,,138,
,,130700 - Hospitality                             ,119,,81,,146,,111,,145,,105,,140,,115,,150,
,,130710 - Restaurant and Food Services and Managem,111,,111,39,113,,141,38,107,,139,33,185,,121,36,188,
,,130720 - Lodging Management                      ,,,28,,,,16,,,,21,,,,29,,,
,,130900 - Gerontology                             ,434,,361,151,387,,399,179,461,,440,244,586,,538,232,500,
,,"140100 - Law, General                            ",28,,33,,27,,22,,31,,27,,25,,28,,27,
,,140200 - Paralegal                               ,190,,159,30,192,,206,,203,,209,,231,,216,,300,
,,150100 - English                                 ,"4,662",,"3,524","1,236","4,751",,"3,831","1,598","4,860",,"4,845","1,790","5,248",,"5,139","1,869","5,792",
,,150300 - Comparative Literature                  ,455,,292,86,360,,374,156,467,,475,120,480,,449,204,549,
,,150400 - Classics                                ,106,,78,,94,,101,,,,,,,,,,,
,,150600 - Speech Communication                    ,"2,333",,"2,073",929,"2,629",,"2,446","1,384","2,832",,"2,613","1,630","3,332",,"2,903","1,833","3,246",
,,150700 - Creative Writing                        ,122,,91,19,86,,76,38,82,,146,22,120,,155,26,90,
,,150900 - Philosophy                              ,571,,555,202,606,,487,282,718,,657,351,712,,774,465,797,
,,151000 - Religious Studies                       ,108,,114,,122,,135,,122,,129,,122,,127,,97,
,,"170100 - Mathematics, General                    ","3,813",,"3,196","1,438","3,680",,"3,671","1,585","3,417",,"3,165","1,744","4,013",,"3,567","1,839","5,047",
,,"190100 - Physical Sciences, General              ",41,,46,,47,,46,,43,,49,,53,,94,,67,
,,"190200 - Physics, General                        ",468,,396,208,430,,474,202,553,,569,214,666,,666,283,674,
,,"190500 - Chemistry, General                      ","1,250",,"1,191",381,"1,269",,"1,257",455,"1,255",,"1,226",552,"1,614",,"1,537",665,"1,451",
,,191100 - Astronomy                               ,288,,273,126,346,,379,155,329,,337,152,349,,294,144,258,
,,191400 - Geology                                 ,102,,106,,103,,65,,125,,134,,129,,128,,166,
,,191900 - Oceangraphy                             ,90,,87,49,125,,102,51,92,,147,126,152,,167,163,145,
,,193000 - Earth Science                           ,812,,730,374,771,,728,395,919,,885,484,882,,818,538,994,
,,"200100 - Psychology, General                     ","2,442",,"1,978",862,"2,303",,"2,100","1,080","2,421",,"2,363","1,155","2,608",,"2,693","1,208","2,745",
,,210500 - Administration of Justice               ,734,,707,174,667,,762,214,505,,576,222,625,,649,255,609,
,,210510 - Corrections                             ,124,,184,43,163,,118,86,118,,78,39,103,,113,30,185,
,,210520 - Probation and Parole                    ,13,,11,,,,13,,,,,,,,,,,
,,210530 - Industrial and Transportation Security  ,32,,46,,55,,55,29,45,,14,5,,,,,,
,,"210540 - Forensics, Evidence, and Investigation  ",,,41,29,43,,,32,36,,40,23,77,,80,40,84,
