,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094600 - Environmental Control Technology        ,231,,222,,229,,259,,306,,294,28,347,,387,82,444,
,,094610 - Energy Systems Technology               ,32,,26,,27,,19,,39,,27,,50,,31,,42,
,,095000 - Aeronautical and Aviation Technology    ,130,,65,22,150,,120,63,254,,60,,347,,187,46,176,
,,095010 - Aviation Airframe Mechanics             ,,,28,28,,,62,20,9,,65,48,,,45,52,,
,,095020 - Aviation Powerplant Mechanics           ,100,,98,20,67,,63,,97,,103,21,82,,164,24,108,
,,095040 - Aircraft Electronics (Avionics)         ,21,,62,,25,,61,,35,,96,20,11,,82,49,33,
,,095050 - Aircraft Fabrication                    ,21,,25,,19,,22,,,,41,,38,,43,,25,
,,095200 - Construction Crafts Technology          ,101,,83,8,152,,121,35,136,,135,37,140,,141,38,101,
,,095210 - Carpentry                               ,17,,19,,20,,18,,18,,18,,19,,21,,19,
,,095220 - Electrical                              ,19,,29,12,23,,23,9,21,,36,10,23,,37,18,23,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",20,,13,,28,,19,,24,,23,,27,,21,,29,
,,095250 - Mill and Cabinet Work                   ,24,,20,,16,,32,,32,,33,,24,,30,,33,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",17,,21,,9,,18,,24,,22,,21,,21,,13,
,,095280 - Drywall and Insulation                  ,,,11,13,,,17,10,,,16,17,,,16,14,,
,,095420 - Plastics and Composites                 ,,,,,1,,,,,,,,1,,,,4,
,,095600 - Manufacturing and Industrial Technology ,17,,16,,15,,14,,10,,,,24,,15,,,
,,095630 - Machining and Machine Tools             ,189,,167,36,157,,176,35,210,,183,41,223,,231,31,217,
,,095650 - Welding Technology                      ,234,,282,80,298,,373,117,400,,451,112,403,,389,165,343,
,,095700 - Civil and Construction Management Techno,14,,74,,15,,33,,27,,41,,38,,41,,41,
,,095720 - Construction Inspection                 ,69,,40,,70,,75,,66,,73,,67,,78,,70,
,,095900 - Marine Technology                       ,103,,109,17,147,,123,7,145,,131,12,139,,113,12,146,
,,"100100 - Fine Arts, General                      ",520,,513,108,455,,636,110,523,,594,112,443,,513,100,437,
,,100200 - Art                                     ,302,,293,15,449,,291,22,358,,303,27,380,,257,,358,
,,100210 - Painting and Drawing                    ,371,,327,42,436,,392,24,404,,430,40,361,,408,53,359,
,,100220 - Sculpture                               ,20,,32,,20,,20,,47,,32,,50,,20,,50,
,,100230 - Ceramics                                ,61,,121,19,153,,178,16,167,,105,17,155,,160,20,135,
,,100400 - Music                                   ,"1,186",,"1,241",150,"1,300",,"1,372",188,"1,387",,"1,293",161,"1,344",,"1,207",156,"1,258",
,,100500 - Commercial Music                        ,56,,63,1,71,,67,8,70,,68,2,74,,28,1,72,
,,100600 - Technical Theater                       ,51,,37,,44,,33,,55,,35,,40,,34,,31,
,,100700 - Dramatic Arts                           ,230,,255,,346,,329,,311,,275,,317,,268,,291,
,,100810 - Commercial Dance                        ,438,,464,98,651,,729,106,651,,602,133,668,,551,160,510,
,,101100 - Photography                             ,131,,111,24,111,,97,,100,,94,25,89,,96,34,95,
,,101200 - Applied Photography                     ,378,,372,146,447,,455,101,468,,430,144,365,,410,127,406,
,,101300 - Commercial Art                          ,111,,98,,93,,109,,121,,128,,124,,121,,125,
,,103000 - Graphic Art and Design                  ,61,,54,,48,,44,,60,,54,,58,,39,,46,
,,110200 - French                                  ,130,,124,49,136,,117,42,115,,98,,113,,112,,81,
,,110300 - German                                  ,57,,30,,29,,39,,32,,19,,30,,28,,27,
,,110400 - Italian                                 ,50,,41,,38,,50,15,62,,33,19,40,,36,25,32,
,,110500 - Spanish                                 ,431,,337,71,373,,286,50,344,,340,75,369,,317,53,321,
,,110700 - Chinese                                 ,65,,77,15,61,,73,,49,,75,,63,,63,,57,
,,110800 - Japanese                                ,150,,127,21,133,,126,,140,,116,10,111,,88,16,74,
,,111720 - Vietnamese                              ,34,,14,,35,,13,,34,,32,,31,,33,,31,
,,111900 - Portuguese                              ,,,,,11,,13,,16,,29,,,,15,,,
,,"120100 - Health Occupations, General             ",378,,458,81,547,,466,25,609,,438,85,500,,734,278,858,
,,120800 - Medical Assisting                       ,12,,,,12,,,,12,,,,10,,,,16,
,,120810 - Clinical Medical Assisting              ,24,,22,,12,,22,10,25,,25,,20,,22,,32,
,,120820 - Administrative Medical Assisting        ,,,11,,,,11,,,,,,,,11,,,
,,121000 - Respiratory Care/Therapy                ,86,,144,29,141,,168,32,155,,193,40,168,,215,34,158,
,,121100 - Polysomnography                         ,46,,77,,52,,159,1,56,,210,8,42,,149,11,39,
,,121200 - Electro-Neurodiagnostic Technology      ,65,,44,,35,,107,21,95,,102,,36,,80,13,64,
,,121300 - Cardiovascular Technician               ,52,,70,,52,,72,,40,,70,,60,,96,,52,
,,121500 - Electrocardiography                     ,43,,13,,38,,10,,55,,14,,50,,14,,55,
,,122000 - Speech/Language Pathology and Audiology ,110,,80,,85,,84,,103,,81,,98,,89,,85,
,,122500 - Radiologic Technology                   ,205,,181,117,255,,250,86,287,,276,85,258,,249,110,308,
,,122700 - Diagnostic Medical Sonography           ,103,,145,16,113,,157,17,127,,176,20,132,,190,19,137,
,,122800 - Athletic Training and Sports Medicine   ,10,,5,,10,,5,,9,,6,,9,,9,,11,
,,124010 - Dental Assistant                        ,84,,112,,126,,160,,96,,128,,90,,120,,120,
,,125000 - Emergency Medical Services              ,152,,90,,140,,127,,171,,184,,172,,199,,229,
,,"126000 - Health Professions, Transfer Core Curric",188,,242,87,168,,180,85,161,,222,104,199,,279,98,,
,,126100 - Community Health Care Worker            ,24,,1,6,14,,,3,7,,7,4,2,,,,,
,,127000 - Kinesiology                             ,86,,95,,99,,107,,96,,108,,99,,88,,84,
,,"130100 - Family and Consumer Sciences, General   ",52,,26,,54,,49,,55,,36,,60,,17,,41,
,,130200 - Interior Design and Merchandising       ,420,,452,45,462,,407,35,466,,447,45,452,,409,37,404,
,,130300 - Fashion                                 ,394,,427,61,498,,520,48,523,,550,51,509,,535,61,514,
,,130310 - Fashion Design                          ,40,,39,,37,,39,,49,,42,,26,,58,,49,
,,130320 - Fashion Merchandising                   ,49,,76,,52,,86,,48,,82,,45,,102,,46,
,,130330 - Fashion Production                      ,17,,,22,23,,,24,18,,,16,22,,,17,20,
,,130500 - Child Development/Early Care and Educati,918,,813,254,860,,751,213,873,,802,237,766,,739,202,833,
,,130520 - Children with Special Needs             ,,,,,,,,,4,,13,,,,,,,
,,130540 - Preshool Age Children                   ,21,,17,,18,,18,,17,,13,,15,,10,,10,
,,130580 - Child Development Administration and Man,18,,26,17,7,,31,,27,,8,13,23,,8,,28,
,,130590 - Infants and Toddlers                    ,10,,17,,,,5,,,,10,,,,12,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",146,,140,5,180,,148,,198,,156,33,180,,154,34,205,
,,130620 - Dietetic Services and Management        ,138,,168,39,223,,148,43,189,,162,36,187,,167,37,170,
,,130630 - Culinary Arts                           ,285,,338,,379,,386,8,353,,345,23,385,,391,6,366,
,,130660 - Dietetic Technology                     ,21,,30,,15,,20,,15,,33,,34,,28,1,19,
,,130700 - Hospitality                             ,239,,184,,259,,166,,229,,179,24,287,,197,33,304,
,,130710 - Restaurant and Food Services and Managem,282,,222,28,342,,328,43,338,,319,53,353,,386,65,364,
,,130720 - Lodging Management                      ,22,,6,,11,,20,,17,,13,,11,,17,,15,
,,150100 - English                                 ,"3,423",,"2,705",341,"3,422",,"2,931",414,"3,505",,"2,822",398,"3,227",,"2,736",357,"3,289",
,,150300 - Comparative Literature                  ,175,,198,,191,,207,,196,,209,,178,,199,,189,
,,150400 - Classics                                ,178,,195,,183,,181,,223,,188,66,221,,211,,156,
,,150600 - Speech Communication                    ,"2,393",,"2,118",288,"2,233",,"2,257",292,"2,236",,"2,137",314,"2,028",,"2,028",302,"2,159",
,,150700 - Creative Writing                        ,97,,84,,84,,121,,106,,109,,80,,79,,80,
,,150900 - Philosophy                              ,808,,537,29,703,,520,86,590,,506,97,655,,570,98,656,
,,151000 - Religious Studies                       ,229,,217,,247,,233,,286,,197,39,265,,283,45,259,
,,169900 - Other Library Science                   ,3,,2,,41,,44,,57,,44,,62,,57,,46,
