,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,120510 - Phlebotomy                              ,,,,,,,,,36,,10,,37,,13,,45,
,,120800 - Medical Assisting                       ,670,,624,382,724,,626,314,729,,680,280,678,,736,362,752,
,,121200 - Electro-Neurodiagnostic Technology      ,16,,69,27,44,,81,32,32,,,,,,,,,
,,122200 - Physical Therapist Assistant            ,316,,217,69,292,,204,53,323,,241,53,306,,204,60,343,
,,122300 - Health Information Technology           ,548,,522,,441,,435,,329,,367,,361,,350,,332,
,,122500 - Radiologic Technology                   ,251,,206,118,228,,316,175,287,,278,197,331,,334,188,351,
,,122800 - Athletic Training and Sports Medicine   ,35,,57,,53,,58,,54,,51,,59,,59,,59,
,,124010 - Dental Assistant                        ,272,,235,,232,,252,,278,,243,,294,,244,,298,
,,127000 - Kinesiology                             ,112,,145,132,130,,123,79,336,,118,66,384,,107,49,333,
,,129900 - Other Health Occupations                ,,,,,,,12,,14,,19,,27,,23,,23,
,,"130100 - Family and Consumer Sciences, General   ",39,,44,,35,,37,,38,,46,,37,,36,,37,
,,130200 - Interior Design and Merchandising       ,429,,452,45,402,,411,60,381,,427,38,396,,444,25,428,
,,130300 - Fashion                                 ,530,,430,81,483,,489,115,551,,595,65,559,,584,96,591,
,,130310 - Fashion Design                          ,120,,81,21,152,,104,,159,,97,19,149,,117,,183,
,,130320 - Fashion Merchandising                   ,20,,47,,17,,33,,15,,24,,21,,36,,14,
,,130330 - Fashion Production                      ,,,9,,,,,,,,,,,,15,,,
,,130500 - Child Development/Early Care and Educati,455,,367,197,474,,469,213,512,,509,110,494,,400,82,527,
,,130550 - The School Age Child                    ,83,,97,52,105,,118,44,124,,100,40,118,,80,82,84,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",497,,709,350,533,,678,326,576,,730,246,597,,686,272,593,
,,130630 - Culinary Arts                           ,223,,165,25,336,,274,75,439,,441,58,481,,481,58,493,
,,130700 - Hospitality                             ,224,,219,32,188,,180,40,239,,231,36,213,,227,36,234,
,,130720 - Lodging Management                      ,17,,,,,,12,,,,,,,,,,,
,,"140100 - Law, General                            ",,,,,11,,,,,,28,,,,36,,,
,,150100 - English                                 ,"3,709",,"2,795",856,"3,631",,"2,921",919,"3,837",,"3,156",870,"3,719",,"3,522",878,"3,791",
,,150600 - Speech Communication                    ,"1,809",,"1,898",287,"1,803",,"1,906",352,"1,838",,"1,972",309,"2,041",,"1,955",372,"1,873",
,,150900 - Philosophy                              ,738,,905,332,790,,"1,002",391,800,,986,288,951,,"1,049",273,"1,027",
,,151000 - Religious Studies                       ,88,,61,43,67,,65,42,67,,61,44,73,,78,43,86,
,,159900 - Other Humanities                        ,427,,433,36,354,,364,40,438,,409,39,501,,420,41,500,
,,"160100 - Library Science, General                ",46,,26,,50,,26,,29,,26,,79,,38,,63,
