,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130590 - Infants and Toddlers                    ,16,,24,,19,,17,,14,,21,,24,,38,,21,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",135,,112,61,142,,123,70,102,,124,78,169,,113,120,157,
,,130800 - Family Studies                          ,68,,89,36,107,,89,41,98,,83,36,133,,68,41,123,
,,150100 - English                                 ,"1,245",,966,287,"1,445",,"1,164",418,"1,676",,"1,196",572,"1,688",,"1,369",371,"1,966",
,,150110 - Linguistics                             ,38,,29,9,26,,27,7,50,,30,22,47,,29,19,62,
,,150300 - Comparative Literature                  ,29,,54,,33,,60,,48,,99,,32,,103,,54,
,,150600 - Speech Communication                    ,705,,590,203,994,,"1,084",294,"1,155",,"1,225",579,"1,126",,"1,187",473,"1,231",
,,150700 - Creative Writing                        ,21,,40,,15,,31,,23,,39,,21,,45,,24,
,,150900 - Philosophy                              ,184,,165,29,173,,174,27,176,,223,26,173,,226,96,197,
,,"160100 - Library Science, General                ",11,,12,4,34,,17,,21,,22,,26,,8,,29,
,,"170100 - Mathematics, General                    ","1,289",,"1,163",437,"1,424",,"1,467",529,"1,541",,"1,859",863,"2,086",,"2,057",694,"2,165",
,,"190100 - Physical Sciences, General              ",35,,17,,22,,19,,14,,26,,16,,25,,23,
,,"190200 - Physics, General                        ",58,,84,,82,,111,,81,,111,,112,,132,,158,
,,"190500 - Chemistry, General                      ",265,,238,105,303,,228,62,334,,297,85,401,,357,84,438,
,,191100 - Astronomy                               ,45,,51,10,44,,62,7,45,,83,55,56,,65,56,91,
,,191400 - Geology                                 ,117,,57,,24,,,36,10,,17,42,35,,76,41,47,
,,"200100 - Psychology, General                     ",332,,270,171,333,,319,255,315,,374,225,286,,384,197,348,
,,210500 - Administration of Justice               ,311,,785,20,255,,796,28,305,,964,39,330,,847,37,320,
,,210510 - Corrections                             ,18,,12,,29,,17,,49,,20,,56,,27,,72,
,,213300 - Fire Technology                         ,123,,103,33,149,,85,34,209,,147,45,238,,155,32,187,
,,214000 - Legal and Community Interpretation      ,30,,21,,31,,37,,26,,32,,15,,24,,13,
,,220110 - Women's Studies                         ,,,,,,,,,,,,,30,,,,,
,,220200 - Anthropology                            ,,,,,63,,61,,56,,42,,34,,33,,,
,,220300 - Ethnic Studies                          ,,,,,40,,208,190,290,,503,479,449,,654,612,765,
,,220400 - Economics                               ,163,,135,153,173,,152,150,215,,269,202,242,,228,204,295,
,,220500 - History                                 ,524,,541,306,523,,656,363,617,,557,432,619,,526,364,728,
,,220600 - Geography                               ,219,,259,90,172,,275,172,286,,194,211,181,,201,219,196,
,,220700 - Political Science                       ,347,,499,241,348,,408,268,414,,491,373,493,,475,327,551,
,,220800 - Sociology                               ,139,,174,101,216,,137,121,225,,176,132,227,,198,120,321,
,,302020 - Piloting                                ,68,,63,,88,,93,10,99,,127,19,132,,137,23,141,
,,493012 - Job Seeking/Changing Skills             ,117,,42,27,43,,37,55,35,,53,118,60,,30,57,63,
,,493013 - Academic Guidance                       ,356,,295,300,485,,491,260,729,,525,399,790,,580,330,771,
,,493087 - English as a Second Language - Integrate,22,,11,8,28,,27,,32,,30,,21,,21,,34,
