,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,123000 - Nursing                                 ,,,,,,,,,,,,,,,,,64,
,,123010 - Registered Nursing                      ,165,,173,,165,,244,,230,,242,,245,,235,,215,
,,123020 - Licensed Vocational Nursing             ,256,,160,,260,,175,140,279,,170,136,285,,157,124,252,
,,123030 - Certified Nurse Assistant               ,29,,29,,34,,34,22,34,,33,37,34,,32,34,38,
,,123080 - Home Health Aide                        ,,,,,,,,24,,,,17,,,,20,,
,,124010 - Dental Assistant                        ,118,16,99,,135,,132,16,85,14,86,22,114,20,114,25,129,25
,,125000 - Emergency Medical Services              ,205,48,206,,233,56,255,109,274,78,205,108,304,99,206,151,315,88
,,125100 - Paramedic                               ,,,,,,,,,33,,,,24,,,,29,
,,127000 - Kinesiology                             ,99,,90,,133,,54,66,102,13,97,80,103,,68,45,92,15
,,"130100 - Family and Consumer Sciences, General   ",16,,15,,29,,36,26,22,,49,18,32,,41,44,53,
,,130200 - Interior Design and Merchandising       ,9,,13,,14,,13,,13,,13,,1,,9,,16,
,,130300 - Fashion                                 ,53,,71,,50,,140,,70,,122,,89,,173,,99,
,,130500 - Child Development/Early Care and Educati,590,52,492,,583,29,534,214,595,60,503,219,684,85,561,284,736,75
,,130580 - Child Development Administration and Man,,,14,,,,,,,,,,13,,,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",440,31,397,,566,33,528,125,661,28,631,115,605,25,536,153,638,28
,,130630 - Culinary Arts                           ,,,9,,,,18,,17,,17,,,,14,13,15,
,,140200 - Paralegal                               ,65,,94,,58,,41,,72,,35,26,91,,77,26,99,
,,150100 - English                                 ,"2,173",,"1,587",,"2,012",,"1,553",549,"2,011",,"1,593",553,"2,439",,"2,090",465,"2,429",
,,150110 - Linguistics                             ,13,,,,15,,,,13,,,,11,,,,10,
,,150600 - Speech Communication                    ,733,,645,,703,,680,291,732,,714,322,774,,821,388,889,32
,,150900 - Philosophy                              ,258,37,277,,313,82,228,143,268,85,271,166,285,80,261,147,329,118
,,152000 - Reading                                 ,37,,24,,41,,2,,5,,5,,,,,,,
,,"170100 - Mathematics, General                    ","1,852",,"1,579",,"1,869",,"1,677",339,"1,985",,"1,907",430,"2,093",,"2,028",467,"2,182",
,,"190100 - Physical Sciences, General              ",34,,28,,38,,38,,36,,31,,45,,42,14,40,
,,"190200 - Physics, General                        ",226,,200,,194,,229,42,225,,220,63,233,,212,61,221,
,,"190500 - Chemistry, General                      ",387,,407,,414,,488,148,471,,510,178,561,,566,160,562,
