,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130520 - Children with Special Needs             ,45,,15,,,,7,,,,,,,,33,28,,
,,130580 - Child Development Administration and Man,121,36,58,44,118,30,106,41,118,40,106,31,119,,87,37,138,38
,,130590 - Infants and Toddlers                    ,,,8,,,,,,37,,11,,,,,,17,
,,150100 - English                                 ,"1,757",279,"1,060",344,"2,020",336,"1,464",335,"2,160",599,"1,972",406,"2,571",445,"1,829",428,"2,560",818
,,150110 - Linguistics                             ,21,,,,12,,,,22,,,,18,,,,19,
,,150300 - Comparative Literature                  ,33,,29,,28,,17,,23,,25,,57,,52,,78,
,,150600 - Speech Communication                    ,725,373,624,261,925,396,563,343,929,445,669,357,993,442,687,341,998,426
,,150700 - Creative Writing                        ,20,,,,11,,,,15,,,,,,20,,,
,,150900 - Philosophy                              ,125,62,172,,211,28,87,,191,74,153,,193,69,126,,168,75
,,151000 - Religious Studies                       ,117,27,99,34,109,38,106,36,91,39,101,34,100,38,82,36,74,39
,,152000 - Reading                                 ,36,,67,,44,,54,,77,,61,,20,,65,,58,
,,159900 - Other Humanities                        ,,,,,,,,,,,,,,,,,60,
,,"160100 - Library Science, General                ",57,4,45,,49,25,40,13,61,19,58,20,51,21,43,14,46,14
,,"170100 - Mathematics, General                    ","1,314",251,"1,011",347,"1,341",210,"1,345",277,"1,533",380,"1,559",323,"1,779",394,"1,500",382,"1,794",527
,,"190200 - Physics, General                        ",129,,74,,86,,131,,129,,150,,156,,149,,154,
,,"190500 - Chemistry, General                      ",297,69,224,16,290,45,329,38,297,77,297,73,374,89,390,82,486,80
,,191100 - Astronomy                               ,24,,20,,8,,45,,46,,42,,42,,38,39,58,
,,"200100 - Psychology, General                     ","1,023",196,815,180,"1,183",235,"1,030",217,"1,286",279,"1,058",349,"1,395",319,"1,125",385,"1,318",333
,,209900 - Other Psychology                        ,90,,86,39,79,,92,40,67,,81,26,75,,95,19,73,
,,210400 - Human Services                          ,159,33,143,39,169,64,158,62,184,80,163,42,230,78,158,54,142,75
,,210440 - Alcohol and Controlled Substances       ,,,,,13,,,,,,16,22,9,,12,,24,
,,210500 - Administration of Justice               ,522,86,670,115,756,180,624,156,764,292,698,216,660,128,646,136,889,234
,,210510 - Corrections                             ,44,9,136,97,58,54,112,7,46,32,70,53,123,53,100,61,119,40
,,210530 - Industrial and Transportation Security  ,10,,9,,21,,9,,59,,75,,80,,53,,88,
,,"210540 - Forensics, Evidence, and Investigation  ",,,,,,,10,,15,,30,,37,,41,,27,
,,210550 - Police Academy                          ,16,,11,12,,,39,,24,6,12,18,54,8,239,167,192,89
,,213300 - Fire Technology                         ,444,74,592,106,628,198,"1,158",223,896,230,"1,165",569,"1,181",276,"1,286",634,"1,581",342
,,213310 - Wildland Fire Technology                ,,,,,,,,,,,,,,,,15,193,16
,,213350 - Fire Academy                            ,81,39,68,41,123,70,144,82,131,82,183,106,160,129,143,134,223,116
,,214000 - Legal and Community Interpretation      ,44,,40,,34,,16,,40,,56,,51,,37,,57,
,,"220100 - Social Sciences, General                ",84,,67,,32,,61,,108,,65,,72,,87,,77,
,,220130 - Social Justice Studies                  ,,,,17,,,13,,,,,,,,,,34,
,,220200 - Anthropology                            ,488,187,436,150,414,195,479,197,491,192,517,246,581,249,419,283,716,231
,,220300 - Ethnic Studies                          ,,,,,,,49,,179,110,423,280,653,553,"1,036",524,"1,192",602
,,220400 - Economics                               ,224,80,244,60,282,107,290,77,289,115,286,77,337,132,319,83,323,125
,,220500 - History                                 ,929,245,816,248,"1,113",205,"1,030",299,"1,221",502,"1,255",375,"1,559",421,"1,135",512,"1,464",629
,,220600 - Geography                               ,435,104,585,151,699,172,677,183,745,220,650,232,737,269,654,241,816,268
,,220610 - Geographic Information Systems          ,11,,,,13,,,,22,,11,,27,,14,,26,
,,220700 - Political Science                       ,399,160,286,124,559,108,438,145,535,159,386,176,593,162,415,158,426,147
,,220800 - Sociology                               ,628,134,506,114,673,96,562,137,725,113,604,170,824,111,608,206,930,151
,,493010 - Career Guidance and Orientation         ,627,87,421,163,278,82,289,181,323,92,339,210,401,67,400,209,448,82
,,493013 - Academic Guidance                       ,140,,104,256,50,,165,106,181,,129,87,121,,147,53,189,
,,493087 - English as a Second Language - Integrate,9,,20,,19,,11,,15,,6,,7,,13,,10,
,,493200 - General Work Experience                 ,14,,37,,17,,19,,24,,23,,29,,30,25,33,
,Credit - Not Degree Applicable                     Total,,243,,182,28,210,14,290,18,373,,283,,345,,260,,396,
,,"170100 - Mathematics, General                    ",41,,47,,,,,,,,,,,,,,42,
,,170200 - Mathematics Skills                      ,167,,129,28,173,14,252,18,342,,261,,302,,241,,326,
,,493085 - English as a Second Language - Reading  ,14,,,,12,,,,8,,,,20,,,,7,
,,493087 - English as a Second Language - Integrate,21,,6,,25,,38,,23,,22,,23,,19,,21,
