,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100210 - Painting and Drawing                    ,305,64,309,108,287,69,325,72,300,69,229,67,267,53,259,60,263,
,,100220 - Sculpture                               ,,,,,,,9,,14,,16,,13,,19,,19,
,,100230 - Ceramics                                ,69,,83,,84,,88,,51,,102,,110,,136,15,117,
,,100400 - Music                                   ,"1,050",278,986,326,"1,224",341,"1,211",382,"1,301",338,"1,345",356,"1,322",277,"1,276",301,"1,445",
,,100500 - Commercial Music                        ,429,59,402,1,547,63,477,51,576,47,500,49,455,64,441,46,530,
,,100600 - Technical Theater                       ,134,,98,6,111,34,104,9,151,19,137,6,146,23,233,14,170,
,,100700 - Dramatic Arts                           ,280,50,308,87,285,52,353,53,249,68,361,82,301,82,341,59,381,
,,100800 - Dance                                   ,44,24,62,13,36,20,23,23,64,32,54,27,52,24,56,22,64,
,,100810 - Commercial Dance                        ,148,18,187,30,126,12,217,15,157,16,292,9,155,,305,8,171,
,,101100 - Photography                             ,72,,70,34,70,,71,45,105,24,108,39,121,71,136,34,135,
,,101200 - Applied Photography                     ,89,35,119,60,110,47,93,41,108,51,99,43,90,46,112,57,97,
,,103000 - Graphic Art and Design                  ,30,,10,,28,,7,,22,,12,,22,,16,,15,
,,109900 - Other Fine and Applied Arts             ,,,,,,,16,,,,15,,,,5,,,
,,110200 - French                                  ,29,,25,,39,,25,,37,,25,,37,,29,,25,
,,110300 - German                                  ,15,,21,,22,,15,,20,,33,,22,,26,,15,
,,110400 - Italian                                 ,,,,,,,,,31,,,,,,,,,
,,110500 - Spanish                                 ,252,69,214,80,235,66,291,91,272,72,313,102,287,92,250,85,316,
,,110700 - Chinese                                 ,24,,23,,26,,14,,20,,21,,20,,21,,19,
,,110800 - Japanese                                ,51,,39,,35,,39,,50,,34,,53,,50,,39,
,,"120100 - Health Occupations, General             ",81,,73,,62,,52,,64,,70,,84,,53,,68,
,,123010 - Registered Nursing                      ,115,30,103,17,115,30,113,14,102,,89,10,97,,78,14,116,
,,123020 - Licensed Vocational Nursing             ,338,,342,103,352,,346,76,283,,341,58,356,,377,91,342,
,,123030 - Certified Nurse Assistant               ,29,,29,27,29,,26,14,29,,27,14,29,,30,15,22,
,,123080 - Home Health Aide                        ,,,,,,7,,,,,,,,,,9,,
,,124010 - Dental Assistant                        ,180,16,204,,165,17,161,,126,10,128,,145,36,162,6,139,
,,125000 - Emergency Medical Services              ,52,12,46,26,58,12,43,20,63,12,75,21,72,9,68,68,76,
,,127000 - Kinesiology                             ,12,4,,,37,,32,,,,43,,36,,9,,,
,,129900 - Other Health Occupations                ,5,,,,,,,,50,30,53,24,62,20,58,23,57,
,,130500 - Child Development/Early Care and Educati,549,98,311,45,349,84,329,77,369,89,352,85,410,129,467,74,421,
,,130520 - Children with Special Needs             ,,,10,27,,,7,38,,,6,43,,,,33,,
,,130590 - Infants and Toddlers                    ,50,,22,16,20,,18,,48,,20,,44,,21,35,44,
,,150100 - English                                 ,"2,102",428,"1,791",464,"2,357",485,"2,008",576,"2,436",553,"2,030",622,"2,429",546,"1,916",643,"2,258",
,,150300 - Comparative Literature                  ,100,,94,,88,,109,47,179,,136,43,121,18,150,80,97,
,,150600 - Speech Communication                    ,814,404,762,357,896,434,856,335,821,424,813,393,896,402,808,413,853,
,,150700 - Creative Writing                        ,18,,6,,,,4,,,,6,,49,,,,7,
,,150900 - Philosophy                              ,178,43,203,46,169,55,156,62,159,64,149,65,103,38,117,36,117,
,,151000 - Religious Studies                       ,39,,3,15,47,13,24,16,32,27,21,23,26,25,21,34,20,
,,159900 - Other Humanities                        ,252,29,114,63,182,73,123,27,192,40,155,28,179,25,144,27,185,
,,"170100 - Mathematics, General                    ","2,125",387,"1,529",529,"2,083",453,"1,894",631,"2,299",601,"1,927",720,"2,378",673,"1,966",726,"2,136",
,,"190100 - Physical Sciences, General              ",54,,10,,,,13,,,,42,,12,,16,,13,
,,"190200 - Physics, General                        ",229,46,205,70,218,45,234,73,230,22,260,58,253,27,267,71,309,
,,"190500 - Chemistry, General                      ",547,58,500,75,400,52,384,103,423,67,491,115,482,56,482,101,549,
,,191100 - Astronomy                               ,150,28,191,41,193,25,207,23,150,20,177,44,177,13,202,31,120,
,,191400 - Geology                                 ,253,102,177,60,228,97,310,114,354,111,317,112,305,111,316,80,306,
,,191900 - Oceangraphy                             ,123,67,138,43,87,52,67,39,52,49,67,52,70,40,65,68,118,
,,"200100 - Psychology, General                     ","1,415",349,"1,122",303,"1,425",327,"1,008",351,"1,202",371,"1,120",321,"1,252",392,993,357,"1,036",
,,210210 - Public Works                            ,96,7,31,19,67,,59,11,92,5,49,6,70,,100,12,92,
,,210500 - Administration of Justice               ,509,71,391,66,427,96,401,83,433,132,327,93,420,98,343,59,424,
,,210510 - Corrections                             ,31,16,30,,20,20,24,,39,9,32,,27,11,,,40,
,,210520 - Probation and Parole                    ,6,,26,,18,,15,,24,,20,,10,,24,,,
,,210530 - Industrial and Transportation Security  ,7,,,,,,,,,,,,,,,,,
,,"220100 - Social Sciences, General                ",264,,254,28,184,,161,33,178,,143,38,150,,126,27,176,
,,220200 - Anthropology                            ,411,39,424,53,497,59,393,58,429,55,477,93,453,51,450,39,330,
