,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santiago Canyon Total,,,"25,432","3,668","21,350","6,859","24,153","3,612","21,461","7,091","24,321","4,375","18,587","6,739","23,382","4,169","21,825","7,862","24,045","4,658"
,Credit - Degree Applicable                         Total,,"25,338","3,668","21,244","6,859","23,997","3,612","21,351","7,091","24,155","4,375","18,401","6,739","23,194","4,162","21,724","7,862","23,989","4,658"
,,"040100 - Biology, General                        ",626,99,579,137,550,88,575,142,553,68,518,148,492,67,528,156,418,66
,,040300 - MicroBiology                            ,75,,80,11,81,,92,23,107,,110,25,109,,79,20,85,
,,041000 - Anatomy and Physiology                  ,361,,312,58,303,,330,58,335,,342,52,390,,385,53,386,
,,043000 - Biotechnology and Biomedical Technology ,74,24,130,16,93,11,117,74,86,13,85,10,80,30,103,26,84,18
,,"050100 - Business and Commerce, General          ",191,48,246,94,222,50,302,91,287,64,270,101,170,53,252,94,287,49
,,050200 - Accounting                              ,338,,323,65,339,,385,95,358,,281,50,305,,319,56,262,18
,,050500 - Business Administration                 ,152,18,143,,170,15,148,,150,29,122,,9,23,18,,29,24
,,050600 - Business Management                     ,89,,81,6,128,,69,8,119,,120,58,168,,242,52,239,
,,050900 - Marketing and Distribution              ,130,,117,21,120,,151,36,88,,140,41,160,,132,50,135,
,,050970 - E-Commerce (Business emphasis)          ,43,,,32,42,,,30,45,,,41,46,,,,22,
,,051100 - Real Estate                             ,369,,362,85,394,29,381,100,434,,454,78,468,,433,74,380,
,,051400 - Office Technology/Office Computer Applic,30,,43,17,19,,44,20,30,,45,18,26,,32,21,22,
,,059900 - Other Business and Management           ,15,,19,,15,,25,,34,,20,,8,,43,,16,
,,"060100 - Media and Communications, General       ",26,,25,,44,,41,,44,,41,,29,,39,,35,
,,061200 - Film Studies                            ,206,133,244,174,323,142,418,223,429,179,353,248,400,179,383,253,473,167
,,061410 - Multimedia                              ,,,11,,,,7,,,,6,,,,14,,,
,,069900 - Other Media and Communications          ,,,,,,,,,,,,,,,84,,,
,,"070100 - Information Technology, General         ",31,,22,,36,,31,,35,,30,,31,,25,,23,
,,070210 - Software Applications                   ,,,,,23,,,,,,,,14,,,,,
,,070600 - Computer Science (Transfer)             ,37,30,39,24,41,31,40,36,50,37,68,37,25,39,84,22,54,
,,070710 - Computer Programming                    ,267,,297,92,246,,331,98,358,,316,130,308,,282,101,209,
,,080200 - Educational Aide (Teacher Assistant)    ,81,,64,12,77,15,93,32,73,,92,66,85,20,77,13,56,12
,,080900 - Special Education                       ,,,10,,13,,17,,7,,10,,11,,15,,11,
,,083500 - Physical Education                      ,259,,227,17,300,,243,8,237,,232,,268,,243,,228,
,,083550 - Intercollegiate Athletics               ,140,48,121,120,186,51,120,93,152,47,124,107,141,37,86,107,204,54
,,083700 - Health Education                        ,240,36,216,51,243,27,232,56,233,13,181,52,192,30,219,50,214,26
,,085000 - Sign Language                           ,232,,188,64,234,,197,122,239,24,268,119,259,28,246,130,225,17
,,085010 - Sign Language Interpreting              ,28,,,,42,,31,,44,,26,,23,,34,,19,
,,086000 - Educational Technology                  ,23,,13,,7,,9,,13,,22,,25,,9,24,30,
,,089900 - Other Education                         ,22,,26,,19,,22,,22,,20,,28,,30,,15,
,,"090100 - Engineering, General (requires Calculus)",,,14,,12,,20,,10,,20,,10,,28,,25,
,,093420 - Industrial Electronics                  ,,,,,,,6,,5,,,,,,12,,13,
,,093440 - Electrical Systems and Power Transmissio,930,253,790,512,634,135,678,198,664,175,11,127,486,,436,84,359,55
,,094500 - Industrial Systems Technology and Mainte,27,27,14,23,14,14,14,,10,,9,,9,9,9,,9,9
,,094610 - Energy Systems Technology               ,23,1,,,,,,,,,,,2,,10,1,,8
,,094720 - Heavy Equipment Maintenance             ,80,,85,85,75,50,99,27,101,101,96,,39,30,39,,26,10
,,094730 - Heavy Equipment Operation               ,379,,363,352,202,149,443,167,504,504,121,,417,172,455,22,439,198
,,095200 - Construction Crafts Technology          ,31,,17,,,11,1,,41,,,,56,,53,6,45,
,,095210 - Carpentry                               ,"1,433",193,930,305,980,61,531,219,610,22,,,921,196,567,390,825,182
,,095220 - Electrical                              ,230,240,158,198,443,265,390,205,486,252,,206,267,268,295,181,490,296
,,095250 - Mill and Cabinet Work                   ,230,36,125,52,86,52,104,23,197,44,,,247,,260,137,297,37
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",58,,87,54,96,,54,89,64,,,,99,,94,70,106,17
,,095280 - Drywall and Insulation                  ,"2,990",430,"2,007",358,"2,101",177,"1,250",283,"1,550",146,,,"1,692",109,958,432,"2,160",467
,,095670 - Industrial and Occupational Safety and H,34,,17,87,1,,17,27,88,19,,,79,,27,31,59,33
,,095680 - Industrial Quality Control              ,57,,52,,37,,54,,45,45,43,,,,,,,
,,095700 - Civil and Construction Management Techno,,,17,,,,,,26,,,,,,19,,,
,,095720 - Construction Inspection                 ,199,12,201,,163,,209,,215,,212,33,169,,187,13,248,
,,095730 - Surveying                               ,232,94,288,115,285,98,409,126,284,82,195,84,249,63,252,94,263,85
,,095800 - Water and Wastewater Technology         ,520,,501,106,563,,466,124,502,,530,213,632,24,560,145,639,
,,100200 - Art                                     ,432,69,351,150,523,127,386,150,411,119,340,185,380,82,348,203,357,85
,,100400 - Music                                   ,546,138,368,212,497,128,420,225,544,161,402,265,459,175,398,217,506,94
,,100600 - Technical Theater                       ,5,,4,,6,,8,,5,,2,,8,,4,,4,
,,100700 - Dramatic Arts                           ,55,,55,,66,,77,,54,,56,,51,,73,,77,
,,100800 - Dance                                   ,43,,48,,20,,14,,28,,20,,13,,24,,16,
,,101200 - Applied Photography                     ,22,,21,,23,,23,,24,,9,,15,,17,,17,
,,101300 - Commercial Art                          ,26,,50,,23,,39,,26,,34,,14,,27,,11,
,,103000 - Graphic Art and Design                  ,23,,,,18,,,,26,,,,14,,,,15,
,,110200 - French                                  ,19,,,,6,,10,,6,,22,,26,,28,,23,
,,110400 - Italian                                 ,18,,,,11,,28,,34,,23,,29,,30,,18,
,,110500 - Spanish                                 ,244,,243,99,243,,304,126,336,29,324,130,334,57,339,235,351,64
,,130500 - Child Development/Early Care and Educati,273,59,224,50,242,63,270,67,310,63,355,75,327,103,264,103,298,110
,,130520 - Children with Special Needs             ,82,,47,,73,,18,,19,,23,,26,,42,,41,
,,130540 - Preshool Age Children                   ,20,,38,,76,,99,,117,,93,51,76,13,130,14,125,14
,,130550 - The School Age Child                    ,,,,,29,,,,23,,,,38,,,,,
,,130580 - Child Development Administration and Man,,,13,,,,23,,8,,32,,6,,46,,13,
,,130590 - Infants and Toddlers                    ,,,12,,,,39,,,,42,15,,21,40,18,,21
,,"130600 - Nutrition, Foods, and Culinary Arts     ",174,35,140,37,153,22,106,39,150,74,123,40,158,77,129,39,173,76
,,150100 - English                                 ,"1,940",149,"1,434",184,"1,938",118,"1,440",206,"1,945",160,"1,471",240,"1,820",173,"1,588",259,"1,745",194
,,150300 - Comparative Literature                  ,,,12,,,,,,,,9,,,,,,,
,,150600 - Speech Communication                    ,967,225,783,215,902,286,807,301,965,275,785,296,874,254,807,325,787,272
,,150700 - Creative Writing                        ,26,,,,18,,,,26,,,,18,,,,21,
,,150900 - Philosophy                              ,383,19,362,91,352,16,390,147,335,16,448,128,368,39,419,136,435,54
,,152000 - Reading                                 ,252,,216,16,190,,159,20,155,,159,22,152,,182,18,128,
,,159900 - Other Humanities                        ,,,,,,,,,,,,,10,,28,,,
,,"160100 - Library Science, General                ",,,,,,,16,,11,,,,,,,,,
,,"170100 - Mathematics, General                    ","2,156",168,"1,603",504,"2,173",207,"1,698",665,"2,344",292,"1,866",856,"2,364",330,"1,955",888,"2,268",378
,,"190100 - Physical Sciences, General              ",31,,,,22,,,,16,,,,20,,,,10,
,,"190200 - Physics, General                        ",197,,215,34,232,,244,41,248,,249,36,212,,242,32,258,
,,"190500 - Chemistry, General                      ",521,23,505,126,509,17,499,150,589,21,538,150,587,23,569,158,618,37
,,191100 - Astronomy                               ,203,17,246,45,224,10,217,45,240,7,175,47,185,,225,48,200,
,,191400 - Geology                                 ,164,10,204,,185,,170,,168,10,239,,235,26,254,48,196,
,,193000 - Earth Science                           ,39,,30,,38,,26,,39,,21,,,,25,,,
,,"200100 - Psychology, General                     ",953,162,834,327,"1,103",232,912,408,855,214,877,402,776,260,864,391,849,182
,,209900 - Other Psychology                        ,142,12,142,50,127,29,108,77,119,43,112,60,110,41,93,32,143,42
,,210200 - Public Administration                   ,,,,,12,,,,48,,99,,143,,137,,110,
,,210210 - Public Works                            ,77,,22,,73,,72,,48,,77,,,,48,,113,
,,210400 - Human Services                          ,,,,,,,14,,,,27,,,,13,,,
,,210500 - Administration of Justice               ,75,,47,,59,,67,16,127,,102,43,80,,99,43,113,
,,220110 - Women's Studies                         ,83,33,69,31,105,29,77,53,73,29,66,20,60,22,47,26,83,20
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,,,18,,,,15,,,,,,,,,
,,220200 - Anthropology                            ,375,78,313,95,304,76,303,50,291,80,250,43,250,84,261,109,296,78
,,220300 - Ethnic Studies                          ,99,,117,54,153,,200,61,356,,544,158,505,133,529,222,616,259
,,220400 - Economics                               ,351,85,271,132,364,90,280,129,314,114,282,105,327,86,314,80,330,88
,,220500 - History                                 ,778,206,744,344,803,218,700,398,699,225,759,426,571,256,618,436,527,169
,,220600 - Geography                               ,310,95,337,90,278,56,324,118,266,65,343,137,289,69,349,191,299,71
,,220610 - Geographic Information Systems          ,16,,,,,,,,21,,,,,,,,11,
,,220700 - Political Science                       ,500,186,555,232,637,226,627,352,714,258,682,395,686,261,664,370,653,265
,,220800 - Sociology                               ,557,114,531,205,636,135,484,199,492,131,487,174,564,168,432,191,599,141
,,300700 - Cosmetology and Barbering               ,154,6,114,77,52,,131,90,151,65,76,22,20,,29,30,64,62
,,493010 - Career Guidance and Orientation         ,371,57,283,97,416,56,283,103,324,60,184,154,312,32,257,87,271,34
,,493013 - Academic Guidance                       ,,,,,,,,,26,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,14,,9,,21,,5,,8,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,84,,28,19,42,,38,22,42,,41,20,38,,40,5,37,
,Credit - Not Degree Applicable                     Total,,94,,106,,156,,110,,166,,186,,188,7,101,,56,
,,095800 - Water and Wastewater Technology         ,8,,12,,8,,17,,5,,17,,11,7,2,,2,
,,100400 - Music                                   ,17,,8,,,,4,,,,,,,,,,,
,,100700 - Dramatic Arts                           ,,,12,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,69,,74,,148,,89,,161,,169,,177,,99,,54,
