,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,093400 - Electronics and Electric Technology     ,27,,,19,,,,27,,,,28,29,,,28,34,
,,094800 - Automotive Technology                   ,194,19,118,23,197,18,254,59,295,32,261,56,278,50,278,42,357,37
,,094840 - Alternative Fuels and Advanced Transport,,,6,,,,13,,,,12,,,,,,,
,,095200 - Construction Crafts Technology          ,,,,,19,,29,,37,,24,7,24,,31,9,40,
,,095210 - Carpentry                               ,,,,,13,,25,,15,,29,,37,,33,,26,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,16,,,,,,,,,,,,,,,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,,,,,,,6,,,,12,,,,15,
,,095310 - Architectural Drafting                  ,245,33,258,60,245,26,275,57,298,31,308,40,337,50,301,85,341,40
,,095340 - Mechanical Drafting                     ,39,,32,,31,,35,,23,,21,,29,,41,,44,
,,095360 - Technical Illustration                  ,18,,14,,13,,6,,12,,11,,10,,13,,8,
,,095600 - Manufacturing and Industrial Technology ,59,,32,,29,,46,,82,1,68,,101,22,91,2,70,13
,,095630 - Machining and Machine Tools             ,19,,8,,20,,20,,20,,16,,14,,16,,14,
,,095650 - Welding Technology                      ,265,22,260,55,329,21,304,79,364,40,313,92,346,38,177,68,344,40
,,095700 - Civil and Construction Management Techno,173,2,136,,189,,128,35,180,,188,13,195,19,140,60,235,
,,095720 - Construction Inspection                 ,33,,30,,45,,28,,8,,9,8,26,,12,,19,
,,095730 - Surveying                               ,114,,82,8,119,,137,10,160,,135,23,195,,175,40,268,
,,095800 - Water and Wastewater Technology         ,163,,137,22,190,,123,10,161,,206,19,206,,167,20,167,
,,099900 - Other Engineering and Related Industrial,,,,,,,71,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",813,363,793,407,941,395,707,453,994,497,881,603,939,444,649,673,"1,058",481
,,100200 - Art                                     ,152,,106,18,123,,148,16,164,,174,13,211,,145,11,173,
,,100210 - Painting and Drawing                    ,182,12,158,18,230,20,199,23,280,23,212,18,238,18,209,16,216,13
,,100220 - Sculpture                               ,,,,,,,,,14,,,,14,,,,18,
,,100400 - Music                                   ,402,83,355,81,473,101,457,73,494,90,530,89,572,83,521,58,487,81
,,100500 - Commercial Music                        ,46,,47,,43,,33,,68,,56,,82,,87,,59,
,,100600 - Technical Theater                       ,21,,35,,31,,32,3,49,,46,2,47,1,35,,35,
,,100700 - Dramatic Arts                           ,144,33,200,25,209,41,182,24,231,46,199,32,199,33,180,29,178,47
,,100800 - Dance                                   ,47,,32,,62,,75,,61,,59,,71,,70,,49,
,,100810 - Commercial Dance                        ,11,,,,,,,,,,,,,,,,,
,,100900 - Applied Design                          ,2,,3,1,,,,,,,,1,,,,,,
,,101100 - Photography                             ,160,43,152,90,249,65,164,113,249,62,185,104,231,49,109,94,259,47
,,101200 - Applied Photography                     ,64,,90,10,105,,105,,120,,77,,130,,87,12,89,
,,101300 - Commercial Art                          ,45,,35,,36,,45,,30,,60,,33,,44,,29,
,,103000 - Graphic Art and Design                  ,106,35,82,51,132,34,94,50,119,25,85,53,89,28,68,53,110,21
,,110200 - French                                  ,66,,46,25,26,,21,21,42,,23,21,26,,42,19,16,
,,110300 - German                                  ,10,,13,11,15,,8,,17,,27,,12,,23,,15,
,,110400 - Italian                                 ,35,,17,10,28,,21,,25,,20,,24,,36,,18,
,,110500 - Spanish                                 ,363,73,261,465,384,117,268,464,322,96,250,515,343,99,245,606,348,88
,,110700 - Chinese                                 ,16,,14,,8,,10,,18,,,,12,,18,,12,
,,"120100 - Health Occupations, General             ",189,99,226,90,207,74,213,79,174,76,233,156,246,100,227,184,288,192
,,120500 - Medical Laboratory Technology           ,191,,128,,242,,179,10,257,8,175,8,215,21,134,12,203,9
,,120510 - Phlebotomy                              ,,,,8,,,,12,,,,13,12,,14,10,,
,,120820 - Administrative Medical Assisting        ,,,13,,15,,,,18,,,,,,13,,,
,,121500 - Electrocardiography                     ,,11,,13,,16,,14,,34,,20,,8,,25,,30
,,122100 - Pharmacy Technology                     ,,,,,,,,,,,,,,,,,40,
,,122200 - Physical Therapist Assistant            ,,,,,,,,,,,,,,22,29,23,140,13
,,122700 - Diagnostic Medical Sonography           ,,,,,,,,,,,,,,,,,48,
,,122800 - Athletic Training and Sports Medicine   ,53,,22,,36,,34,,40,,37,,37,,17,,20,
,,123000 - Nursing                                 ,284,8,305,40,320,11,322,44,336,7,363,55,356,19,406,38,382,23
,,123010 - Registered Nursing                      ,,27,,21,,23,,27,,32,24,56,,56,,68,,66
,,123030 - Certified Nurse Assistant               ,19,10,26,,19,10,22,20,22,9,24,19,17,10,20,21,,
,,125000 - Emergency Medical Services              ,119,16,136,18,158,,150,,166,,154,,194,,178,,286,
,,130200 - Interior Design and Merchandising       ,216,23,204,17,170,9,180,16,187,12,179,29,158,16,144,36,183,5
,,130500 - Child Development/Early Care and Educati,605,133,507,187,551,151,523,194,624,138,588,257,638,122,601,281,619,170
,,130520 - Children with Special Needs             ,20,,13,,15,,39,,31,,24,,18,,21,,28,
,,130540 - Preshool Age Children                   ,27,,36,,61,,50,,48,,59,,48,,64,,55,
,,130550 - The School Age Child                    ,16,,19,,9,,25,,28,,29,,25,,13,,32,
,,130580 - Child Development Administration and Man,41,,,,24,,,,30,,,,35,,,,49,
,,130590 - Infants and Toddlers                    ,64,,49,,57,,51,,48,,72,23,49,,59,27,65,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",262,75,221,42,227,60,199,45,278,48,279,50,257,50,251,45,260,56
,,130630 - Culinary Arts                           ,266,55,256,71,275,39,272,80,314,48,283,70,286,87,281,86,331,83
