,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094610 - Energy Systems Technology               ,16,,,,,,,,,,,,,,,,97,
,,094700 - Diesel Technology                       ,11,,10,,12,,16,,15,,16,,7,,10,,7,
,,094720 - Heavy Equipment Maintenance             ,28,,41,,22,,36,,56,,64,,,,,,,
,,094800 - Automotive Technology                   ,112,,132,,175,,233,,187,,192,,261,,268,,265,
,,094840 - Alternative Fuels and Advanced Transport,12,,,,19,,,,25,,,,,,,,,
,,095220 - Electrical                              ,107,,106,,89,,113,2,83,,110,,67,,84,,87,
,,095290 - Roofing                                 ,,,,,,,22,,,,,,,,,,,
,,095300 - Drafting Technology                     ,44,,68,,49,,52,,46,,66,,42,,73,,66,
,,095400 - Chemical Technology                     ,32,,28,,29,,25,,24,,29,,24,,27,,22,
,,095600 - Manufacturing and Industrial Technology ,,,12,,,,31,,21,,43,,47,,36,,24,
,,095630 - Machining and Machine Tools             ,63,,90,,124,,120,,119,,133,,140,,152,,152,
,,095650 - Welding Technology                      ,117,,162,,190,,215,,251,,262,,283,,297,,264,
,,095700 - Civil and Construction Management Techno,111,,98,,101,,74,,131,,128,,117,,122,19,122,
,,095730 - Surveying                               ,44,,20,,49,,28,,47,,31,,47,,18,,42,
,,095800 - Water and Wastewater Technology         ,82,,38,,77,,49,,95,,66,,118,,67,,155,
,,"100100 - Fine Arts, General                      ",,,7,,5,,11,,9,,13,,11,,12,,9,
,,100200 - Art                                     ,"1,346",,"1,220",472,"1,238",,"1,252",491,"1,377",,"1,435",512,"1,442",,"1,414",550,"1,416",
,,100210 - Painting and Drawing                    ,129,,146,,136,,166,,144,,204,,134,,171,,149,
,,100220 - Sculpture                               ,,,15,,17,,24,,22,,26,,26,,24,,21,
,,100230 - Ceramics                                ,68,,72,,79,,92,,91,,100,,90,,95,,88,
,,100400 - Music                                   ,522,,502,16,592,,586,22,662,,700,26,785,,736,29,861,
,,100500 - Commercial Music                        ,110,,99,12,120,,123,,166,,144,,130,,105,,147,
,,100600 - Technical Theater                       ,60,,61,90,61,,58,,81,,63,,87,,80,,82,
,,100700 - Dramatic Arts                           ,190,,264,16,347,,343,,327,,264,,299,,262,,332,
