,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094600 - Environmental Control Technology        ,66,,46,,86,,66,,96,,103,,101,,117,,116,
,,094610 - Energy Systems Technology               ,,,,,,,,,4,,6,,,,10,,16,
,,094800 - Automotive Technology                   ,222,,235,16,252,,295,12,315,,350,21,294,,358,14,443,
,,095200 - Construction Crafts Technology          ,93,,56,,92,,68,,24,,65,,23,,76,,28,
,,095210 - Carpentry                               ,,,,,,,,,84,,,,84,,,,94,
,,095220 - Electrical                              ,136,,169,,192,,217,,265,,303,,311,,28,,363,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",203,,,,,,,,,,,,,,,,,
,,095250 - Mill and Cabinet Work                   ,33,,86,,58,,104,,43,,107,,53,,125,,43,
,,095300 - Drafting Technology                     ,183,,213,13,174,,325,20,239,,363,22,216,,407,17,255,
,,095500 - Laboratory Science Technology           ,,,,23,,,6,16,2,,25,23,4,,5,29,6,
,,095600 - Manufacturing and Industrial Technology ,62,,47,22,87,,79,29,72,,70,31,87,,75,43,109,
,,095630 - Machining and Machine Tools             ,48,,44,,57,,53,,99,,41,,103,,58,,96,
,,095640 - Sheet Metal and Structural Metal        ,49,,48,,52,,40,,37,,35,,49,,,,48,
,,095650 - Welding Technology                      ,436,,307,87,473,,512,55,556,,582,57,470,,657,89,667,
,,095670 - Industrial and Occupational Safety and H,95,,91,8,59,,90,14,74,,116,4,68,,89,,75,
,,095700 - Civil and Construction Management Techno,30,,17,,33,,23,,28,,30,,21,,21,,29,
,,095730 - Surveying                               ,7,,,,8,,,,,,7,,,,,,,
,,095800 - Water and Wastewater Technology         ,5,,,,,,,,,,,,,,,,19,
,,"100100 - Fine Arts, General                      ","1,584",,"1,335",707,"1,782",,"1,419",943,"1,747",,"1,441",844,"1,766",,"1,230",881,"1,727",
,,100200 - Art                                     ,328,,266,21,430,,328,19,342,,383,78,364,,365,73,328,
,,100210 - Painting and Drawing                    ,390,,431,205,436,,568,180,408,,484,185,481,,535,254,500,
,,100220 - Sculpture                               ,5,,1,,3,,2,,,,2,,,,,,6,
,,100230 - Ceramics                                ,91,,102,,97,,132,,107,,113,,103,,133,,115,
,,100400 - Music                                   ,"1,281",,"1,219",564,"1,775",,"1,779",633,"1,956",,"1,812",637,"1,857",,"1,833",567,"1,731",
,,100500 - Commercial Music                        ,148,,129,20,160,,130,33,177,,135,30,177,,194,44,168,
,,100700 - Dramatic Arts                           ,646,,624,195,917,,735,298,"1,013",,751,194,966,,742,157,915,
,,101200 - Applied Photography                     ,89,,166,30,102,,205,22,135,,307,21,139,,235,32,161,
,,103000 - Graphic Art and Design                  ,191,,276,,171,,254,48,220,,270,46,203,,219,39,189,
,,109900 - Other Fine and Applied Arts             ,3,,2,7,3,,2,11,9,,10,,5,,7,,3,
,,110500 - Spanish                                 ,"1,087",,"1,073",188,"1,241",,993,303,"1,233",,"1,219",209,"1,233",,"1,449",399,"1,363",
,,110800 - Japanese                                ,110,,101,54,79,,23,,40,,58,57,67,,84,58,134,
,,"120100 - Health Occupations, General             ",801,,687,129,753,,656,427,"1,022",,891,534,"1,880",,"1,666",795,"2,249",
,,122200 - Physical Therapist Assistant            ,71,,117,28,175,,194,35,290,,224,45,281,,194,,163,
,,122300 - Health Information Technology           ,270,,284,49,330,,373,94,401,,443,58,377,,432,139,602,
,,122500 - Radiologic Technology                   ,132,,114,94,159,,157,92,165,,158,92,153,,146,95,164,
,,123000 - Nursing                                 ,5,,,13,23,,8,36,6,,10,20,19,,16,14,11,
,,123010 - Registered Nursing                      ,755,,836,100,876,,935,179,"1,225",,991,195,835,,856,54,"1,051",
,,123020 - Licensed Vocational Nursing             ,94,,30,,212,,52,,314,,141,,401,,151,,266,
,,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,,29,59,
,,123080 - Home Health Aide                        ,,,,,,,6,,6,,3,,3,,,,,
,,125000 - Emergency Medical Services              ,139,,732,79,174,,699,43,214,,701,55,185,,790,85,195,
,,125100 - Paramedic                               ,81,,66,19,85,,91,,98,,95,4,211,,154,32,210,
,,"126000 - Health Professions, Transfer Core Curric",530,,416,93,436,,394,134,305,,290,44,54,,60,,44,
,,127000 - Kinesiology                             ,202,,302,146,679,,954,355,"1,506",,"1,413",521,"1,613",,"1,583",630,"1,857",
,,129900 - Other Health Occupations                ,,,,,,,,71,124,,70,67,123,,76,92,115,
,,130500 - Child Development/Early Care and Educati,"1,836",,"1,501",544,"2,100",,"1,884","1,025","2,321",,"2,035",975,"2,507",,"1,910",989,"2,203",
,,130520 - Children with Special Needs             ,67,,53,,73,,65,,128,,107,,77,,78,,85,
,,130580 - Child Development Administration and Man,14,,40,,,,,,,,13,,19,,29,,45,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",621,,445,79,622,,479,140,540,,425,125,776,,502,72,685,
,,130620 - Dietetic Services and Management        ,,,19,,,,26,,,,31,,,,18,,,
,,130630 - Culinary Arts                           ,268,,196,26,159,,233,22,227,,254,11,260,,264,14,274,
,,130700 - Hospitality                             ,,,,,,,,,,,,,,,,,13,
,,"140100 - Law, General                            ",18,,15,,22,,18,,32,,21,,45,,36,,41,
,,150100 - English                                 ,"4,789",,"3,726",754,"5,523",,"4,348","1,161","5,659",,"4,949","1,151","6,011",,"5,122","1,137","6,420",
,,150300 - Comparative Literature                  ,117,,25,,76,,76,,69,,160,,103,,49,31,155,
,,150400 - Classics                                ,74,,55,,95,,60,,84,,71,,81,,56,,73,
,,150600 - Speech Communication                    ,"3,512",,"2,554","1,394","4,099",,"3,056","1,345","3,830",,"3,394","1,455","3,979",,"3,752","1,615","3,859",
,,150900 - Philosophy                              ,"1,870",,"1,792",874,"1,963",,"1,679",933,"2,015",,"1,897",960,"2,126",,"1,925","1,066","1,941",
,,"160100 - Library Science, General                ",36,,26,,38,,24,,34,,47,,48,,22,21,46,
,,"170100 - Mathematics, General                    ","4,284",,"3,332","1,242","4,043",,"4,128","1,143","4,580",,"4,440","1,479","5,009",,"4,760","1,698","5,023",
,,"190100 - Physical Sciences, General              ",79,,65,43,112,,84,37,80,,98,69,91,,98,44,90,
,,"190200 - Physics, General                        ",268,,253,37,251,,338,28,321,,392,,359,,404,23,382,
,,"190500 - Chemistry, General                      ",530,,517,39,511,,458,140,482,,544,102,587,,666,172,587,
,,191100 - Astronomy                               ,82,,88,64,134,,169,47,208,,174,60,194,,164,95,229,
,,191400 - Geology                                 ,447,,386,,433,,489,90,509,,347,118,446,,380,91,406,
,,193000 - Earth Science                           ,257,,276,146,324,,254,132,407,,476,138,345,,405,171,437,
,,"200100 - Psychology, General                     ","3,061",,"2,784","1,423","3,552",,"3,111","1,568","4,010",,"3,469","1,370","4,603",,"3,632","1,313","3,948",
,,210400 - Human Services                          ,87,,48,14,94,,94,12,86,,97,22,97,,95,8,86,
,,210500 - Administration of Justice               ,"1,883",,"1,596",442,"1,883",,"1,763",389,"2,076",,"1,932",399,"2,072",,"1,928",337,"2,228",
,,210510 - Corrections                             ,17,,,,,,13,,,,,,,,,,,
,,210550 - Police Academy                          ,15,,20,,26,,22,,32,,22,,21,,,,21,
,,213300 - Fire Technology                         ,421,,498,46,535,,379,178,501,,440,103,528,,473,184,507,
,,213310 - Wildland Fire Technology                ,107,,187,26,75,,51,,63,,145,,38,,118,,93,
,,213350 - Fire Academy                            ,29,,67,,71,,66,,,,99,,,,28,,,
,,220200 - Anthropology                            ,904,,924,455,"1,034",,"1,051",634,"1,722",,"1,434",548,"1,771",,"1,537",646,"1,494",
,,220220 - Archaeology                             ,183,,167,140,189,,315,,,,,,,,,,,
,,220400 - Economics                               ,761,,761,684,895,,883,581,808,,901,552,"1,049",,849,586,"1,010",
,,220500 - History                                 ,"4,949",,"4,250","2,314","5,650",,"5,415","2,886","6,467",,"5,966","3,219","7,007",,"6,291","3,510","7,695",
,,220600 - Geography                               ,192,,333,80,233,,222,65,225,,302,82,234,,364,99,318,
,,220700 - Political Science                       ,"1,453",,"1,143","1,028","1,596",,"1,492",793,"1,373",,"1,389",981,"1,393",,"1,547","1,106","1,695",
,,220800 - Sociology                               ,"1,725",,"1,054",732,"1,890",,"1,394",773,"1,545",,"1,352",551,"1,686",,"1,385",640,"1,586",
