,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"190100 - Physical Sciences, General              ",,,,14,,,,25,,,,19,,,,40,,
,,"190200 - Physics, General                        ",112,,145,,171,,150,,159,,225,,205,,248,,89,
,,"190500 - Chemistry, General                      ",278,,250,191,267,,218,60,282,,265,123,266,,261,119,297,
,,191100 - Astronomy                               ,68,,103,74,117,,99,60,118,,105,62,112,,100,57,87,
,,191400 - Geology                                 ,,,13,,12,,8,,22,,20,,16,,29,,16,
,,191900 - Oceangraphy                             ,91,,174,79,82,,170,106,105,,168,56,111,,163,89,111,
,,"200100 - Psychology, General                     ",438,,378,166,365,,328,212,424,,319,186,388,,421,194,321,
,,210400 - Human Services                          ,23,,19,,21,,8,,29,,28,,29,,16,,26,
,,"220100 - Social Sciences, General                ",,,,,,,25,,,,27,,,,,,,
,,220200 - Anthropology                            ,85,,126,78,116,,108,91,122,,190,102,153,,133,98,164,
,,220220 - Archaeology                             ,6,,,,10,,,,15,,,,18,,,,26,
,,220300 - Ethnic Studies                          ,10,,14,,116,,147,44,187,,191,24,193,,213,,266,
,,220400 - Economics                               ,107,,132,43,99,,166,97,195,,189,138,185,,202,68,207,
,,220500 - History                                 ,344,,395,157,335,,301,167,292,,423,174,271,,434,190,396,
,,220600 - Geography                               ,18,,18,,11,,10,,17,,14,,11,,,,29,
,,220700 - Political Science                       ,110,,201,68,105,,124,77,112,,148,77,128,,165,83,153,
,,220800 - Sociology                               ,180,,145,83,156,,122,90,172,,149,89,164,,134,84,202,
,,493010 - Career Guidance and Orientation         ,290,,123,87,316,,129,94,351,,132,106,197,,150,110,288,
,,493013 - Academic Guidance                       ,2,,6,5,9,,15,,22,,25,,23,,8,,13,
,,493072 - Leadership Skills Development           ,5,,8,5,,,2,,8,,3,,2,,13,,8,
,,493084 - English as a Second Language - Writing  ,34,,40,10,50,,58,22,54,,49,23,69,,60,25,52,
,,493200 - General Work Experience                 ,39,,44,,34,,37,9,39,,40,7,44,,23,,30,
,,499900 - Other Interdisciplinary Studies         ,4,,6,,9,,6,,19,,24,,19,,16,,21,
,Credit - Not Degree Applicable                     Total,,442,,371,113,647,,542,73,711,,703,122,970,,793,163,822,
,,150100 - English                                 ,1,,5,2,,,4,,8,,2,,3,,,,3,
,,152000 - Reading                                 ,4,,4,9,,,5,,10,,5,,14,,4,,6,
,,"170100 - Mathematics, General                    ",210,,133,31,281,,93,,172,,80,,217,,127,,190,
,,493014 - Study Skills                            ,4,,8,4,,,1,1,6,,26,5,5,,27,6,6,
,,493084 - English as a Second Language - Writing  ,131,,132,,151,,203,,221,,285,11,345,,275,63,266,
,,493085 - English as a Second Language - Reading  ,83,,83,17,164,,193,,248,,238,,294,,272,,271,
,,493086 - English as a Second Language - Listening,,,,29,10,,,39,21,,,72,26,,19,67,20,
,,493087 - English as a Second Language - Integrate,9,,6,21,41,,43,33,25,,67,34,66,,69,27,60,
