,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094800 - Automotive Technology                   ,147,,151,85,224,,192,89,267,68,249,54,354,57,277,108,290,67
,,094840 - Alternative Fuels and Advanced Transport,,,31,,,,37,,,23,12,,,17,17,,,39
,,095200 - Construction Crafts Technology          ,32,,27,,44,,30,,,,32,,31,,55,19,52,
,,095220 - Electrical                              ,69,,63,,106,,85,,123,6,100,,116,,124,40,125,
,,095300 - Drafting Technology                     ,76,,76,35,99,,91,46,104,36,111,58,104,51,110,48,103,61
,,095310 - Architectural Drafting                  ,32,,27,13,10,,28,7,37,,39,15,32,10,44,13,51,11
,,095600 - Manufacturing and Industrial Technology ,15,,12,,4,,17,,13,,10,,12,,14,,16,
,,095630 - Machining and Machine Tools             ,49,,50,,64,,46,30,49,23,59,11,79,22,79,60,87,25
,,095650 - Welding Technology                      ,102,,84,17,99,,102,23,119,,129,15,117,,99,39,113,
,,095720 - Construction Inspection                 ,67,,63,,65,,70,,,,81,,121,,116,19,222,24
,,095730 - Surveying                               ,,,,,,,,,,,16,,21,,24,,23,
,,099900 - Other Engineering and Related Industrial,,,,,28,,20,,19,,21,23,27,,37,15,37,
,,"100100 - Fine Arts, General                      ",606,,595,188,588,,638,200,784,234,652,170,707,179,583,169,698,186
,,100200 - Art                                     ,73,,109,6,65,,90,9,89,2,102,13,126,16,110,7,131,7
,,100210 - Painting and Drawing                    ,460,,380,115,534,,500,145,616,66,563,123,572,66,541,108,552,61
,,100220 - Sculpture                               ,20,,31,11,43,,48,11,47,17,46,17,52,,72,16,49,
,,100230 - Ceramics                                ,59,,54,34,90,,120,44,122,20,153,37,159,35,156,51,166,50
,,100400 - Music                                   ,"1,468",,"1,126",295,"1,745",,"1,398",308,"2,093",293,"1,836",350,"2,291",360,"1,977",381,"2,429",420
,,100500 - Commercial Music                        ,65,,87,27,90,,120,22,141,47,189,,165,43,175,11,181,49
,,100600 - Technical Theater                       ,59,,89,,63,,81,12,69,,102,32,109,,120,,99,
,,100700 - Dramatic Arts                           ,916,,"1,013",666,"1,067",,"1,062",702,"1,217",383,"1,084",566,"1,007",340,"1,091",513,"1,086",331
,,100800 - Dance                                   ,207,,200,99,351,,293,118,304,30,257,56,306,30,275,105,172,54
,,100900 - Applied Design                          ,28,,24,,21,,29,,33,,28,,25,,29,,39,
,,100910 - Jewelry                                 ,35,,37,13,62,,77,,79,,80,,77,,84,,76,
,,101100 - Photography                             ,338,,427,167,317,,431,216,531,168,514,245,485,171,475,174,590,194
,,101200 - Applied Photography                     ,102,,30,122,140,,163,,,,7,,,,,,,
,,101300 - Commercial Art                          ,363,,350,97,311,,325,84,416,47,407,93,326,63,358,71,317,56
,,103000 - Graphic Art and Design                  ,68,,40,17,73,,65,9,71,,77,,73,,81,,58,
,,109900 - Other Fine and Applied Arts             ,,,,40,83,,89,33,79,33,70,35,81,37,84,33,86,37
,,"110100 - Foreign Languages, General              ",29,,11,,10,,,,27,,39,,19,,18,4,57,
,,110200 - French                                  ,138,,142,53,171,,156,65,186,58,217,84,156,52,176,120,185,62
,,110300 - German                                  ,41,,35,,63,,40,19,54,10,50,16,47,,46,11,64,
,,110400 - Italian                                 ,137,,148,27,238,,176,37,243,15,170,21,257,20,188,22,227,36
,,110500 - Spanish                                 ,460,,441,220,619,,590,395,708,160,653,252,716,172,649,290,698,216
,,110600 - Russian                                 ,58,,42,21,35,,29,17,44,20,58,40,56,21,74,32,82,20
,,110700 - Chinese                                 ,376,,300,107,360,,336,123,366,95,370,84,384,86,392,81,410,138
,,110800 - Japanese                                ,334,,302,58,346,,349,66,388,45,373,59,347,49,331,49,331,40
,,110900 - Latin                                   ,13,,16,,13,,12,,10,,17,,,,19,,19,
,,111200 - Arabic                                  ,14,,14,,,,12,,16,,26,,16,,28,,29,
,,111900 - Portuguese                              ,15,,26,,13,,,,,,,,20,,14,,19,
,,"120100 - Health Occupations, General             ",235,,310,35,68,,45,44,87,17,34,48,95,20,60,48,87,17
,,120800 - Medical Assisting                       ,95,,125,42,96,,102,23,36,,54,21,97,6,81,17,151,30
,,120810 - Clinical Medical Assisting              ,,,19,,7,,,,,,,,,,,,,
,,121300 - Cardiovascular Technician               ,,,,8,6,,9,7,12,6,5,8,9,9,6,7,9,
,,122000 - Speech/Language Pathology and Audiology ,68,,118,,132,,132,,185,,175,,171,,195,,213,
,,122500 - Radiologic Technology                   ,142,,124,85,144,,93,77,145,30,92,50,147,39,110,67,142,35
,,123000 - Nursing                                 ,18,,,,30,,,,22,,,,24,,,,,
,,123010 - Registered Nursing                      ,574,,597,43,556,,605,59,689,46,752,49,852,36,930,51,"1,110",43
,,123020 - Licensed Vocational Nursing             ,36,,64,26,70,,116,54,62,,56,26,69,,64,23,105,
,,123030 - Certified Nurse Assistant               ,,,10,19,9,,16,20,12,13,5,,8,11,5,12,5,12
,,124010 - Dental Assistant                        ,109,,141,46,96,,133,60,98,7,123,32,103,34,113,37,104,14
,,124020 - Dental Hygienist                        ,107,,97,41,130,,124,58,139,43,116,40,136,40,115,14,135,40
,,124030 - Dental Laboratory Technician            ,48,,52,44,85,,90,45,112,14,110,4,184,17,135,43,189,50
,,125000 - Emergency Medical Services              ,224,,54,125,120,,98,76,166,46,159,74,220,60,137,94,205,77
,,127000 - Kinesiology                             ,326,,309,267,399,,389,322,404,64,568,118,423,43,423,85,264,55
,,130300 - Fashion                                 ,255,,279,43,289,,277,43,305,51,283,64,293,55,317,47,331,87
,,130310 - Fashion Design                          ,15,,,,12,,,,,,,,12,,,,,
,,130500 - Child Development/Early Care and Educati,821,,708,212,777,,805,228,843,220,968,206,737,342,773,362,887,329
,,130560 - Parenting and Family Education          ,,,7,,,,,,,,,,,,,,,
,,130580 - Child Development Administration and Man,12,,8,,10,,8,,9,,8,,37,,,,38,14
,,"130600 - Nutrition, Foods, and Culinary Arts     ",652,,630,286,784,,645,319,625,255,689,212,776,276,740,319,869,313
,,130630 - Culinary Arts                           ,25,,66,28,83,,109,53,116,17,161,34,153,24,134,53,142,35
,,130700 - Hospitality                             ,30,,90,33,98,,98,13,111,31,93,37,110,33,125,54,117,36
,,130900 - Gerontology                             ,40,,59,17,34,,33,21,51,,24,49,31,,41,49,32,
,,"140100 - Law, General                            ",421,,353,264,424,,353,199,386,215,386,204,452,241,473,253,537,231
,,140200 - Paralegal                               ,427,,415,104,494,,525,84,550,83,628,88,618,104,748,65,732,77
,,150100 - English                                 ,"6,013",,"3,971","1,422","6,249",,"4,439","1,549","6,619","1,054","4,707","1,099","6,843","1,119","4,574","1,042","6,784","1,285"
,,150110 - Linguistics                             ,167,,183,78,184,,211,95,201,110,229,125,227,126,219,134,265,118
,,150600 - Speech Communication                    ,"2,185",,"2,000","1,005","2,050",,"2,015","1,012","2,276",937,"2,127",702,"2,453",837,"2,216",798,"2,787",860
,,150900 - Philosophy                              ,"1,860",,"1,679",622,"1,666",,"1,759",608,"1,784",566,"1,874",511,"1,693",620,"1,939",647,"1,908",686
,,151000 - Religious Studies                       ,74,,34,,60,,38,,67,,52,,81,,71,,97,
,,"160100 - Library Science, General                ",31,,49,40,35,,38,29,56,26,30,36,20,18,18,54,45,29
,,160200 - Library Technician (Aide)               ,131,,170,11,196,,154,22,149,,162,15,169,,181,8,188,
,,"170100 - Mathematics, General                    ","6,298",,"4,971","2,051","6,111",,"5,252","2,256","6,547","1,384","5,709","1,827","7,150","1,597","5,958","1,788","6,726","1,540"
,,"190100 - Physical Sciences, General              ",151,,205,108,102,,115,119,90,67,103,71,100,74,121,70,95,79
,,"190200 - Physics, General                        ",548,,529,266,577,,632,282,638,202,686,217,708,206,767,231,738,233
,,"190500 - Chemistry, General                      ","1,115",,726,385,"1,147",,"1,174",451,"1,262",303,"1,283",312,"1,144",310,"1,247",460,"1,498",417
,,191100 - Astronomy                               ,32,,,,58,,100,,68,34,71,,73,,76,,72,
,,191400 - Geology                                 ,442,,344,133,374,,391,110,342,86,439,91,431,103,472,97,539,117
,,"200100 - Psychology, General                     ","2,911",,"2,541",795,"3,056",,"2,657","1,158","3,334","1,117","3,167","1,413","3,302","1,279","3,117","1,470","3,457","1,387"
,,210500 - Administration of Justice               ,358,,331,64,431,,392,97,483,139,438,226,466,168,592,197,424,170
,,213300 - Fire Technology                         ,72,,17,,70,,127,,151,10,248,117,234,70,326,150,332,182
,,213310 - Wildland Fire Technology                ,,,,,,,,,,,,,58,,,,64,
,,220200 - Anthropology                            ,"1,256",,"1,227",449,"1,189",,"1,197",478,"1,286",461,"1,169",467,"1,200",478,"1,332",442,"1,227",468
,,220220 - Archaeology                             ,19,,22,,39,,41,13,45,,42,,41,,34,7,31,
,,220300 - Ethnic Studies                          ,335,,286,59,275,,346,83,529,243,613,373,762,375,"1,010",471,"1,128",586
,,220400 - Economics                               ,"1,026",,868,329,880,,928,407,931,318,"1,059",397,"1,050",329,"1,117",381,"1,127",316
,,220500 - History                                 ,"1,935",,"1,875",860,"2,038",,"1,860","1,048","2,189",881,"2,125",910,"2,043",826,"1,820",835,"1,802",830
,,220600 - Geography                               ,728,,849,466,665,,681,420,737,136,708,319,715,193,736,332,770,181
,,220610 - Geographic Information Systems          ,40,,61,,77,,83,21,72,,70,28,80,,80,,70,
,,220700 - Political Science                       ,"1,655",,"1,591",559,"1,681",,"1,694",908,"1,692",586,"1,740",650,"1,581",586,"1,550",667,"1,660",619
,,220800 - Sociology                               ,"1,599",,"1,565",767,"1,833",,"1,680",877,"1,929",788,"2,348",743,"2,161",940,"2,463",879,"2,809","1,056"
,,221000 - International Studies                   ,26,,18,,28,,44,,29,,29,,85,,53,,60,
,,300700 - Cosmetology and Barbering               ,132,,123,13,116,,131,105,147,18,158,58,186,,203,93,221,22
,,493010 - Career Guidance and Orientation         ,405,,371,133,349,,310,81,509,156,432,162,315,127,393,116,335,158
,,493012 - Job Seeking/Changing Skills             ,275,,214,77,397,,147,61,372,151,162,98,406,295,172,132,533,303
,,493013 - Academic Guidance                       ,"2,481",,272,390,"2,691",,329,302,"2,736",76,253,299,"2,771",79,231,294,"2,860",68
,,493084 - English as a Second Language - Writing  ,101,,77,11,54,,46,10,54,21,65,24,95,17,88,20,88,17
,,493086 - English as a Second Language - Listening,51,,31,,,,,,,,,,,,,,,
,,493087 - English as a Second Language - Integrate,65,,30,8,57,,50,13,67,12,65,,73,18,90,12,73,22
,,493200 - General Work Experience                 ,18,,27,13,16,,19,12,12,,15,13,16,3,25,13,46,7
,Credit - Not Degree Applicable                     Total,,966,,513,147,"1,107",,825,200,"1,235",58,944,326,"1,272",163,"1,039",358,"1,066",142
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,11,,,,13,,7,,11,,6,
,,050200 - Accounting                              ,,,,,,,20,,,,35,,,,35,,,
,,083500 - Physical Education                      ,,,,,,,,21,18,,2,2,11,,4,1,19,
,,093420 - Industrial Electronics                  ,,,,,13,,11,,18,,13,,15,9,10,,13,
,,094800 - Automotive Technology                   ,20,,,,,,,,,,,,,,,,,
,,100400 - Music                                   ,,,,15,24,,16,8,22,,22,14,11,,26,10,20,
,,101300 - Commercial Art                          ,,,,,,,9,,6,,5,,12,,6,,9,
,,"120100 - Health Occupations, General             ",,,,103,215,,227,104,341,,266,157,432,103,468,213,527,130
,,122000 - Speech/Language Pathology and Audiology ,29,,,,,,,,,,,,,,,,,
,,122500 - Radiologic Technology                   ,,,,,20,,32,,22,,25,,21,,35,,20,
,,123020 - Licensed Vocational Nursing             ,,,,,,,,,,,,,5,,,,11,
,,125000 - Emergency Medical Services              ,,,,,,,,,5,,,,7,,12,,14,
,,150100 - English                                 ,,,,,,,,,,,,,,,,,203,
,,150110 - Linguistics                             ,335,,94,17,215,,110,39,215,,149,50,214,,78,55,,
,,"170100 - Mathematics, General                    ",451,,303,,365,,164,,313,,163,,320,,127,,,
,,170200 - Mathematics Skills                      ,,,,,25,,29,,30,,28,29,26,,29,21,35,
,,220300 - Ethnic Studies                          ,,,,,78,,68,10,92,38,75,31,68,38,79,19,66,12
,,493084 - English as a Second Language - Writing  ,83,,88,,57,,51,,72,,79,27,55,,61,39,52,
,,493085 - English as a Second Language - Reading  ,18,,15,,17,,10,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,30,,13,,78,,53,7,56,5,45,,43,,35,,44,
,,493087 - English as a Second Language - Integrate,,,,12,,,14,11,25,15,24,16,25,13,23,,27,
