,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094840 - Alternative Fuels and Advanced Transport,,,,,,,,18,,,,34,14,,,52,,
,,094900 - Automotive Collision Repair             ,18,,19,,25,,23,,30,,71,,57,,60,,41,
,,095200 - Construction Crafts Technology          ,137,,233,8,139,,292,52,189,,207,24,255,,285,40,260,
,,095210 - Carpentry                               ,28,,28,,56,,50,,64,,59,,66,,70,,79,
,,095220 - Electrical                              ,87,,75,,52,,127,,93,,131,,132,,133,,134,
,,095300 - Drafting Technology                     ,200,,215,42,202,,279,8,169,,220,90,197,,250,48,222,
,,095310 - Architectural Drafting                  ,236,,229,,349,,434,,300,,331,,476,,347,,561,
,,095340 - Mechanical Drafting                     ,21,,13,,12,,21,21,90,,96,,101,,99,,108,
,,095500 - Laboratory Science Technology           ,,,,2,,,8,8,5,,15,,24,,15,,13,
,,095600 - Manufacturing and Industrial Technology ,35,,34,13,68,,86,,123,,240,,245,,227,,268,
,,095650 - Welding Technology                      ,147,,186,63,155,,243,,237,,278,16,281,,374,,356,
,,095670 - Industrial and Occupational Safety and H,125,,318,12,211,,323,18,229,,363,20,199,,408,26,345,
,,095720 - Construction Inspection                 ,20,,,,26,,,,28,,,,32,,,,45,
,,095730 - Surveying                               ,13,,20,,21,,5,,20,,20,,17,,18,,16,
,,099900 - Other Engineering and Related Industrial,21,,43,19,63,,61,6,60,,67,6,71,,71,23,102,
,,"100100 - Fine Arts, General                      ",760,,565,150,750,,593,74,834,,739,79,871,,819,126,947,
,,100200 - Art                                     ,203,,181,30,178,,200,37,247,,267,24,237,,220,,244,
,,100210 - Painting and Drawing                    ,367,,214,66,343,,354,87,344,,365,40,355,,384,,345,
,,100220 - Sculpture                               ,30,,35,,60,,64,,66,,70,,76,,73,,75,
,,100230 - Ceramics                                ,67,,106,20,127,,135,,137,,128,39,121,,123,25,102,
,,100400 - Music                                   ,747,,714,81,"1,037",,945,77,"1,162",,"1,137",120,"1,283",,"1,305",154,"1,424",
,,100500 - Commercial Music                        ,70,,53,,87,,51,,91,,55,,82,,69,,86,
,,100600 - Technical Theater                       ,50,,28,3,57,,46,,75,,60,,77,,55,,70,
,,100700 - Dramatic Arts                           ,201,,235,,221,,194,18,213,,257,,345,,279,,398,
,,100800 - Dance                                   ,144,,181,,190,,198,,206,,294,12,279,,375,19,284,
,,100900 - Applied Design                          ,13,,,,25,,,,22,,,,30,,,,35,
,,101100 - Photography                             ,,,,,,,,,,,,,,,34,,64,
,,101200 - Applied Photography                     ,991,,"1,035",276,878,,941,262,794,,754,305,"1,061",,"1,070",364,776,
,,103000 - Graphic Art and Design                  ,195,,263,,200,,299,23,192,,225,109,163,,330,,177,
,,"110100 - Foreign Languages, General              ",,,,,,,,,24,,9,,30,,22,,24,
,,110200 - French                                  ,55,,57,43,67,,87,39,48,,55,45,55,,56,24,48,
,,110300 - German                                  ,12,,,,25,,7,,27,,12,,18,,,,,
,,110500 - Spanish                                 ,887,,802,365,859,,878,527,924,,830,545,"1,054",,"1,071",530,989,
,,110700 - Chinese                                 ,22,,33,,22,,25,,21,,14,,33,,31,,22,
,,110800 - Japanese                                ,57,,39,12,52,,36,,52,,41,,27,,41,,58,
,,"111700 - Asian, South Asian, and Pacific Islands ",52,,44,6,32,,33,,45,,43,,45,,19,,47,
,,111900 - Portuguese                              ,13,,,,,,,,10,,,,25,,,,20,
,,119900 - Other Foreign Languages                 ,23,,16,,15,,9,,14,,,,,,,,,
,,"120100 - Health Occupations, General             ",606,,681,363,865,,844,323,"1,185",,"1,120",378,"1,636",,"1,191",410,"1,485",
,,120800 - Medical Assisting                       ,425,,563,149,554,,857,128,667,,644,216,393,,682,207,597,
,,120810 - Clinical Medical Assisting              ,62,,47,,86,,58,,115,,72,,86,,53,,161,
,,121000 - Respiratory Care/Therapy                ,185,,199,,188,,203,,225,,245,32,265,,258,24,249,
,,122300 - Health Information Technology           ,733,,911,394,848,,"1,465",424,"1,231",,"1,428",441,"1,354",,"1,709",577,"1,516",
,,122310 - Health Information Coding               ,15,,14,,,,33,,19,,33,,34,,51,,57,
,,122500 - Radiologic Technology                   ,260,,223,62,256,,225,64,353,,301,77,355,,303,84,350,
