,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,101100 - Photography                             ,80,,62,50,122,,70,55,65,,104,26,76,,88,30,144,30
,,101200 - Applied Photography                     ,56,,80,18,108,,80,,114,,92,,113,,109,,129,
,,110300 - German                                  ,51,,43,,45,,34,,36,,50,,36,19,50,,38,12
,,110500 - Spanish                                 ,587,,503,147,442,,445,182,431,,488,212,499,46,508,186,485,83
,,110900 - Latin                                   ,26,,19,,2,,15,,,,,,,,,,,
,,120800 - Medical Assisting                       ,119,,119,84,120,,117,55,116,,108,56,124,,143,51,114,
,,121000 - Respiratory Care/Therapy                ,90,,56,21,106,,57,18,104,,58,18,142,,81,16,161,
,,122500 - Radiologic Technology                   ,54,,43,27,56,,47,39,66,,60,45,82,13,71,49,94,30
,,123010 - Registered Nursing                      ,299,,305,43,261,,306,45,244,,295,41,233,36,250,57,271,45
,,123020 - Licensed Vocational Nursing             ,46,,21,32,50,,25,36,60,,25,38,57,28,22,18,66,30
,,125000 - Emergency Medical Services              ,46,,38,,67,,82,,94,,91,,90,,90,42,119,
,,127000 - Kinesiology                             ,88,,95,83,99,,127,158,167,,188,167,144,29,161,119,159,25
,,"130100 - Family and Consumer Sciences, General   ",362,,262,116,341,,318,112,421,,365,119,420,,405,133,428,
,,130500 - Child Development/Early Care and Educati,752,,690,160,894,,862,206,"1,031",,943,325,"1,146",124,"1,174",380,"1,247",187
,,130550 - The School Age Child                    ,,,,,,,13,,,,13,,,,15,,,
,,140200 - Paralegal                               ,,,,,,,,,,,,,,,,,16,
,,150100 - English                                 ,"2,436",,"1,883",705,"2,441",,"2,207",865,"2,461",,"2,412","1,063","2,492",348,"2,192","1,032","2,597",601
,,150300 - Comparative Literature                  ,127,,125,,103,,227,,244,,490,156,306,59,456,90,360,60
,,150600 - Speech Communication                    ,899,,"1,236",151,"1,309",,"1,074",265,"1,300",,"1,251",277,"1,431",161,"1,360",298,"1,593",247
,,150700 - Creative Writing                        ,25,,25,,24,,25,,30,,26,,28,,22,,,
,,150900 - Philosophy                              ,579,,516,233,447,,539,234,656,,466,174,637,148,553,262,410,207
,,"160100 - Library Science, General                ",149,,42,17,131,,142,44,138,,166,45,170,,114,12,142,
,,"170100 - Mathematics, General                    ","3,149",,"2,164",761,"2,532",,"2,001",881,"2,798",,"2,300",966,"2,995",252,"2,178",865,"2,672",311
,,"190100 - Physical Sciences, General              ",227,,229,78,218,,238,106,225,,295,100,214,45,318,106,215,
,,"190200 - Physics, General                        ",206,,212,43,212,,187,37,232,,200,40,217,,192,46,234,
,,"190500 - Chemistry, General                      ",617,,631,137,592,,670,138,591,,616,160,630,77,590,42,610,84
