,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,103000 - Graphic Art and Design                  ,28,,49,,40,,49,,46,,50,,46,,61,,,
,,110200 - French                                  ,41,,48,,62,,52,,74,,17,,80,,40,,,
,,110300 - German                                  ,29,,22,,15,,29,,17,,34,,24,,31,,,
,,110500 - Spanish                                 ,374,,292,222,327,,331,270,373,,357,335,447,,474,481,,
,,"111700 - Asian, South Asian, and Pacific Islands ",4,,20,,,,11,,15,,12,,7,,28,,,
,,"120100 - Health Occupations, General             ",172,,400,49,229,,494,63,343,,562,108,465,,700,108,,
,,122500 - Radiologic Technology                   ,121,,78,49,139,,101,59,165,,106,63,178,,110,58,,
,,122700 - Diagnostic Medical Sonography           ,16,,24,,21,,21,21,14,,21,,39,,36,33,,
,,122800 - Athletic Training and Sports Medicine   ,32,,9,,21,,3,,10,,14,,5,,38,,,
,,123000 - Nursing                                 ,2,,10,,6,,8,,4,,5,,10,,8,,,
,,123010 - Registered Nursing                      ,156,,133,,176,,179,1,195,,213,3,179,,198,4,,
,,123020 - Licensed Vocational Nursing             ,115,,147,43,136,,121,75,253,,196,53,194,,210,92,,
,,123030 - Certified Nurse Assistant               ,15,,55,57,25,,93,54,52,,102,56,61,,97,59,,
,,125000 - Emergency Medical Services              ,50,,57,,67,,69,6,109,,94,7,97,,124,68,,
,,125100 - Paramedic                               ,,,,,,,58,,58,,110,,46,,97,,,
,,130500 - Child Development/Early Care and Educati,925,,978,293,"1,252",,"1,284",431,"1,393",,"1,396",386,"1,526",,"1,475",462,,
,,130520 - Children with Special Needs             ,18,,,,25,,41,,41,,,,,,,,,
,,130540 - Preshool Age Children                   ,,,26,,,,89,,,,,,,,,,,
,,130550 - The School Age Child                    ,,,12,,,,39,,,,,,18,,,,,
,,130580 - Child Development Administration and Man,43,,,,42,,,,22,,,,52,,,,,
,,130590 - Infants and Toddlers                    ,26,,,,18,,17,,,,24,,51,,107,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",346,,292,46,359,,342,45,479,,386,81,517,,365,101,,
,,130630 - Culinary Arts                           ,35,,14,,20,,18,,23,,,,44,,6,,,
,,150100 - English                                 ,"2,385",,"1,674",569,"2,762",,"2,131",730,"2,944",,"2,288",724,"3,021",,"2,235",851,,
,,150300 - Comparative Literature                  ,187,,311,62,203,,309,80,148,,382,110,187,,424,123,,
,,150400 - Classics                                ,52,,25,13,56,,34,18,31,,24,13,32,,24,35,,
,,150600 - Speech Communication                    ,791,,824,282,975,,"1,006",358,"1,183",,"1,116",357,"1,079",,"1,168",473,,
,,150900 - Philosophy                              ,340,,393,61,384,,315,57,374,,389,107,311,,389,31,,
,,159900 - Other Humanities                        ,37,,47,,41,,53,,40,,67,,36,,60,,,
,,169900 - Other Library Science                   ,5,,10,,9,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ","2,252",,"1,772",974,"2,392",,"1,909",986,"2,640",,"2,219","1,070","2,983",,"2,553","1,087",,
,,"190100 - Physical Sciences, General              ",124,,158,18,142,,154,34,185,,141,28,156,,189,26,,
,,"190200 - Physics, General                        ",210,,233,55,198,,205,83,234,,222,92,230,,293,88,,
,,"190500 - Chemistry, General                      ",585,,578,283,657,,759,292,774,,813,369,803,,950,425,,
,,191100 - Astronomy                               ,147,,135,68,133,,181,76,154,,156,91,113,,154,77,,
,,191400 - Geology                                 ,19,,25,6,19,,31,,21,,17,,21,,33,,,
,,193000 - Earth Science                           ,56,,41,26,62,,42,17,74,,45,21,84,,51,22,,
,,"200100 - Psychology, General                     ","1,673",,"1,458",442,"2,002",,"1,602",522,"2,044",,"1,845",487,"1,943",,"2,013",513,,
,,210400 - Human Services                          ,79,,27,1,25,,30,,37,,38,,45,,83,,,
