,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130500 - Child Development/Early Care and Educati,319,,264,153,191,,306,151,321,,307,169,320,,362,152,279,
,,130520 - Children with Special Needs             ,,,60,,,,59,,,,55,,,,69,,,
,,130560 - Parenting and Family Education          ,28,,,,37,,,,36,,,,34,,,,36,
,,130580 - Child Development Administration and Man,37,,,29,27,,,39,31,,,40,32,,,40,25,
,,130590 - Infants and Toddlers                    ,60,,,,68,,,,66,,,,72,,,32,71,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",84,,143,62,91,,130,73,90,,101,89,93,,105,90,95,
,,130700 - Hospitality                             ,411,,657,,460,,98,,432,,658,4,159,,397,26,132,
,,130710 - Restaurant and Food Services and Managem,190,,55,,262,,28,,290,,9,9,127,,59,18,118,
,,130720 - Lodging Management                      ,,,5,,,,,,12,,,,,,8,,,
,,"140100 - Law, General                            ",20,,8,,21,,25,,35,,20,,47,,46,,40,
,,140200 - Paralegal                               ,112,,53,,98,,82,,120,,85,,167,,134,51,175,
,,150100 - English                                 ,960,,913,180,"1,141",,"1,017",261,"1,290",,"1,094",230,"1,189",,"1,063",259,"1,207",
,,150300 - Comparative Literature                  ,,,27,52,49,,49,25,18,,17,40,54,,53,24,,
,,150600 - Speech Communication                    ,616,,657,434,811,,733,393,843,,828,440,843,,872,401,748,
,,150700 - Creative Writing                        ,40,,36,,39,,50,,33,,47,27,39,,33,33,40,
,,150900 - Philosophy                              ,130,,153,67,190,,241,116,262,,290,120,98,,215,197,205,
,,"170100 - Mathematics, General                    ","1,121",,"1,074",469,"1,079",,"1,175",619,"1,382",,"1,225",597,"1,319",,"1,121",543,"1,204",
,,"190100 - Physical Sciences, General              ",10,,,,,,,,12,,,,,,23,,,
,,"190200 - Physics, General                        ",353,,226,187,241,,248,264,312,,287,235,330,,338,245,406,
,,"190500 - Chemistry, General                      ",229,,328,79,271,,300,84,323,,344,51,377,,435,79,433,
,,191100 - Astronomy                               ,166,,217,71,202,,190,72,198,,248,63,227,,236,54,204,
,,191400 - Geology                                 ,41,,78,63,44,,73,60,67,,36,94,77,,97,86,62,
,,191900 - Oceangraphy                             ,92,,49,61,96,,72,95,100,,72,82,119,,71,70,111,
,,"200100 - Psychology, General                     ",870,,881,593,"1,087",,"1,062",632,"1,031",,"1,111",747,"1,121",,"1,167",707,"1,204",
,,210500 - Administration of Justice               ,107,,163,52,148,,193,87,191,,172,,165,,160,55,176,
,,"220100 - Social Sciences, General                ",2,,11,,39,,12,,10,,17,,31,,,,21,
,,220110 - Women's Studies                         ,17,,16,,12,,14,,15,,12,,15,,8,,,
,,220200 - Anthropology                            ,207,,198,87,220,,246,124,278,,308,136,264,,288,138,274,
,,220220 - Archaeology                             ,,,14,,,,16,,,,14,,,,13,,,
,,220300 - Ethnic Studies                          ,41,,154,75,282,,355,160,391,,539,258,593,,636,335,685,
,,220400 - Economics                               ,412,,347,185,415,,553,210,491,,388,213,562,,521,272,512,
,,220500 - History                                 ,888,,"1,110",581,"1,109",,"1,005",704,"1,077",,"1,079",672,"1,053",,"1,104",664,"1,232",
,,220600 - Geography                               ,99,,183,84,137,,147,,194,,257,139,221,,189,130,231,
,,220610 - Geographic Information Systems          ,3,,,,10,,11,,9,,,,,,29,,,
,,220700 - Political Science                       ,146,,169,117,150,,145,146,184,,109,113,198,,233,125,210,
,,220800 - Sociology                               ,193,,280,150,259,,274,146,262,,275,162,271,,341,199,248,
,,221020 - Global Studies                          ,,,,,,,,,,,,,,,,,10,
,,229900 - Other Social Sciences                   ,6,,,,13,,,,18,,,,5,,,,60,
,,300700 - Cosmetology and Barbering               ,210,,145,21,275,,355,68,431,,530,83,635,,547,74,521,
,,493010 - Career Guidance and Orientation         ,78,,94,,55,,53,4,87,,52,,83,,55,,52,
,,493013 - Academic Guidance                       ,388,,160,105,416,,188,141,534,,245,97,407,,207,79,292,
,,493084 - English as a Second Language - Writing  ,28,,39,,55,,73,,81,,69,,72,,76,,69,
,,493200 - General Work Experience                 ,148,,163,87,143,,158,51,86,,98,52,78,,86,63,145,
,,499900 - Other Interdisciplinary Studies         ,23,,20,,22,,23,,40,,47,,62,,36,,52,
,Credit - Not Degree Applicable                     Total,,275,,311,72,373,,430,96,517,,512,77,455,,381,90,413,
,,094610 - Energy Systems Technology               ,4,,,,,,,,10,,10,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,,,,11,,,,,,,,,,,,,,
,,150100 - English                                 ,,,,15,,,,27,,,2,18,2,,,14,,
,,"170100 - Mathematics, General                    ",123,,101,15,195,,260,27,263,,262,18,229,,182,14,227,
,,170200 - Mathematics Skills                      ,1,,1,,1,,1,,,,1,,2,,,,,
,,300700 - Cosmetology and Barbering               ,3,,87,15,23,,,,,,,,,,,15,,
,,"493030 - Learning Skills, Handicapped            ",14,,27,,17,,15,,12,,22,,19,,11,,12,
,,"493032 - Learning Skills, Learning Disabled      ",2,,3,,2,,1,,3,,,,,,2,,,
,,493084 - English as a Second Language - Writing  ,24,,20,,21,,28,,49,,42,,45,,42,,36,
,,493086 - English as a Second Language - Listening,30,,18,,29,,39,29,54,,37,22,42,,38,29,40,
,,493087 - English as a Second Language - Integrate,41,,36,,77,,79,,112,,124,,106,,89,,90,
,,493100 - Vocational ESL                          ,12,,10,,,,,,,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,21,,8,16,8,,7,13,14,,12,19,10,,17,18,8,
