,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"130600 - Nutrition, Foods, and Culinary Arts     ",143,37,103,71,103,,71,69,66,,79,48,71,,117,68,82,
,,130700 - Hospitality                             ,85,,87,,44,,69,38,64,,99,6,69,,67,23,49,
,,130710 - Restaurant and Food Services and Managem,,,,,,,,,16,,,5,,,,,,
,,140200 - Paralegal                               ,475,54,436,71,422,63,451,65,501,98,489,82,464,72,446,67,472,66
,,150100 - English                                 ,"1,459",369,"1,029",459,"1,415",341,"1,140",654,"1,357",295,"1,069",437,"1,332",325,"1,084",606,"1,336",306
,,150600 - Speech Communication                    ,557,195,492,172,590,154,419,217,525,119,345,152,544,167,520,233,486,199
,,150900 - Philosophy                              ,108,,228,32,145,35,182,60,183,35,202,35,255,33,242,51,226,36
,,159900 - Other Humanities                        ,161,29,177,45,130,33,161,69,145,34,188,39,173,51,204,38,155,64
,,"160100 - Library Science, General                ",,,,,,,20,,20,,28,,22,,27,,34,
,,"170100 - Mathematics, General                    ","1,301",141,866,342,"1,023",171,"1,006",364,980,225,772,315,792,107,733,241,740,146
,,179900 - Other Mathematics                       ,,,15,,18,,14,,17,,14,,14,,14,,19,
,,"190100 - Physical Sciences, General              ",,,51,,,,54,,,,58,,,,61,,,
,,"190200 - Physics, General                        ",168,96,209,155,60,95,114,277,106,207,159,295,191,231,165,388,177,271
,,"190500 - Chemistry, General                      ",544,137,525,97,235,,235,99,303,105,260,255,259,85,281,220,243,116
,,191100 - Astronomy                               ,135,103,165,93,112,56,102,86,129,48,148,73,148,22,151,85,121,66
,,191400 - Geology                                 ,140,70,107,38,120,35,109,36,116,37,70,11,83,73,70,134,169,60
,,191900 - Oceangraphy                             ,21,,17,,,,23,,,,28,9,,,28,29,,
,,193000 - Earth Science                           ,149,36,138,39,101,34,129,32,124,32,134,14,166,,146,27,112,
,,"200100 - Psychology, General                     ",715,197,608,250,681,187,607,222,621,89,485,175,558,162,638,206,544,155
,,210400 - Human Services                          ,,,8,,,,12,,,,27,,17,,32,,29,
,,210440 - Alcohol and Controlled Substances       ,82,,37,,81,,56,22,91,,76,,75,,99,,88,
,,210500 - Administration of Justice               ,215,57,210,53,146,19,174,58,136,35,322,16,319,20,334,43,337,20
,,210510 - Corrections                             ,,,15,,,,,,,,,,,,,,,
,,213300 - Fire Technology                         ,43,,47,20,31,,37,33,54,,100,19,59,,86,34,68,
,,220200 - Anthropology                            ,556,213,510,183,477,222,407,194,377,190,517,134,377,180,538,241,401,142
,,220220 - Archaeology                             ,,,19,,,,16,,,,14,,,,19,,,
,,220300 - Ethnic Studies                          ,56,,90,,93,,149,101,335,110,387,163,480,269,631,408,696,355
,,220400 - Economics                               ,472,140,465,201,437,94,403,251,385,114,357,136,426,117,382,301,462,158
,,220500 - History                                 ,399,118,406,159,446,61,447,179,395,69,330,77,362,75,304,184,309,103
,,220600 - Geography                               ,75,63,106,48,60,95,107,62,85,62,87,50,82,82,65,55,63,129
,,220700 - Political Science                       ,410,146,328,245,385,105,343,206,336,98,269,103,286,121,282,201,306,144
,,220800 - Sociology                               ,437,93,389,178,405,71,428,145,331,94,315,96,403,72,367,185,412,69
,,493010 - Career Guidance and Orientation         ,195,,202,,29,,18,32,68,,19,,66,,34,,63,
,,493200 - General Work Experience                 ,2,1,44,32,66,,97,58,62,,73,115,87,26,90,113,277,35
