,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100220 - Sculpture                               ,,,,,9,,12,,15,,11,,15,,19,14,,
,,100230 - Ceramics                                ,12,,27,9,37,,48,16,48,,50,10,51,,51,,,
,,100400 - Music                                   ,512,,477,148,491,,607,258,735,,747,106,878,,941,280,"1,037",
,,100600 - Technical Theater                       ,6,,8,,,,,10,9,,,4,,,10,4,13,
,,100700 - Dramatic Arts                           ,124,,155,55,163,,195,61,174,,159,35,172,,151,23,235,
,,100800 - Dance                                   ,22,,33,13,71,,33,13,60,,71,15,63,,48,14,101,
,,101100 - Photography                             ,,,,,,,,,,,,,,,,,33,
,,101300 - Commercial Art                          ,43,,29,,30,,17,6,23,,23,1,26,,22,,19,
,,103000 - Graphic Art and Design                  ,60,,66,,63,,72,,45,,77,,77,,78,,45,
,,"110100 - Foreign Languages, General              ",9,,6,,,,,,,,,,,,,,,
,,110200 - French                                  ,24,,,,25,,27,,27,,45,,21,,39,,30,
,,110500 - Spanish                                 ,464,,417,200,472,,462,316,570,,569,242,678,,551,340,719,
,,110700 - Chinese                                 ,25,,28,,26,,23,,28,,39,,26,,23,,29,
,,111200 - Arabic                                  ,20,,9,,9,,6,,14,,31,,21,,18,,21,
,,122100 - Pharmacy Technology                     ,243,,248,89,283,,354,229,557,,638,165,577,,555,216,542,
,,122200 - Physical Therapist Assistant            ,18,,14,,24,,12,,16,,17,,11,,8,,10,
,,123010 - Registered Nursing                      ,320,,331,,335,,360,,391,,395,,404,,381,,375,
,,123900 - Psychiatric Technician                  ,57,,66,65,73,,35,79,27,,56,1,23,,42,44,41,
,,127000 - Kinesiology                             ,118,,109,29,169,,84,53,149,,85,11,176,,130,38,169,
,,130500 - Child Development/Early Care and Educati,883,,775,155,890,,705,214,897,,711,135,879,,908,292,921,
,,130520 - Children with Special Needs             ,22,,,,16,,8,,35,,23,,22,,32,,16,
,,130540 - Preshool Age Children                   ,56,,109,37,53,,80,35,62,,75,35,39,,42,88,109,
,,130550 - The School Age Child                    ,,,,57,,,,46,,,,13,,,,27,,
,,130580 - Child Development Administration and Man,43,,16,,31,,19,,46,,11,,45,,19,,15,
,,130590 - Infants and Toddlers                    ,46,,73,34,57,,33,32,39,,44,38,84,,46,41,75,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",130,,165,105,116,,111,112,113,,158,83,116,,133,116,173,
,,130620 - Dietetic Services and Management        ,3,,,,2,,,,4,,,,,,,,,
,,130630 - Culinary Arts                           ,45,,48,,103,,76,21,105,,92,13,126,,83,,122,
,,130700 - Hospitality                             ,16,,27,5,17,,24,8,21,,19,31,27,,34,27,29,
,,130710 - Restaurant and Food Services and Managem,69,,28,30,91,,4,49,70,,11,32,75,,18,14,94,
,,150100 - English                                 ,"2,144",,"1,700",585,"2,791",,"2,502",631,"2,922",,"2,589",327,"2,238",,"2,091",626,"2,548",
,,150600 - Speech Communication                    ,982,,794,439,"1,063",,"1,009",567,"1,272",,"1,242",416,"1,440",,"1,301",566,"1,429",
,,150700 - Creative Writing                        ,21,,20,,10,,25,,23,,19,,26,,26,,21,
,,150900 - Philosophy                              ,413,,330,136,370,,287,160,352,,293,68,364,,374,146,416,
,,151000 - Religious Studies                       ,94,,130,71,108,,108,72,102,,94,96,103,,76,57,131,
,,152000 - Reading                                 ,386,,289,122,357,,288,150,270,,237,119,296,,235,97,280,
,,160200 - Library Technician (Aide)               ,102,,100,17,98,,91,22,120,,120,20,149,,193,26,148,
,,"170100 - Mathematics, General                    ","2,485",,"1,786",865,"2,123",,"1,875",956,"2,395",,"2,161",972,"2,373",,"2,326","1,090","2,542",
,,"190200 - Physics, General                        ",189,,169,39,199,,214,50,266,,303,40,344,,344,46,330,
,,"190500 - Chemistry, General                      ",432,,410,110,423,,429,176,597,,659,85,773,,774,230,781,
,,191100 - Astronomy                               ,156,,118,76,158,,196,75,198,,215,52,201,,210,72,228,
,,191400 - Geology                                 ,55,,40,24,66,,54,,84,,82,6,38,,51,,74,
,,191900 - Oceangraphy                             ,78,,72,35,60,,77,76,90,,124,66,81,,88,60,128,
,,193000 - Earth Science                           ,,,,,,,,,,,,20,43,,42,25,52,
,,"200100 - Psychology, General                     ","1,411",,"1,211",487,"1,402",,"1,350",507,"1,502",,"1,463",415,"1,629",,"1,684",729,"1,828",
,,200300 - Behavioral Science                      ,82,,85,37,79,,92,34,73,,94,34,70,,88,39,,
,,210400 - Human Services                          ,301,,303,137,316,,330,111,367,,367,96,396,,337,156,474,
,,210440 - Alcohol and Controlled Substances       ,219,,211,45,231,,192,113,190,,252,57,228,,225,47,252,
,,210500 - Administration of Justice               ,346,,280,,346,,300,29,354,,337,40,395,,340,85,486,
,,210510 - Corrections                             ,49,,33,,57,,32,,58,,59,,96,,125,,126,
,,210550 - Police Academy                          ,696,,319,472,8,,92,566,889,,478,625,822,,377,805,966,
,,220200 - Anthropology                            ,373,,419,129,363,,365,172,455,,394,183,440,,403,201,665,
,,220300 - Ethnic Studies                          ,,,,,187,,336,255,524,,697,132,757,,826,683,"1,193",
,,220400 - Economics                               ,376,,362,82,523,,505,224,583,,573,178,607,,616,245,848,
,,220500 - History                                 ,"1,305",,"1,157",431,"1,351",,"1,073",543,"1,493",,"1,432",351,"1,585",,"1,546",803,"2,077",
,,220600 - Geography                               ,366,,285,119,386,,321,196,397,,350,89,422,,385,156,486,
,,220610 - Geographic Information Systems          ,27,,48,,38,,44,,59,,74,1,61,,40,8,80,
,,220700 - Political Science                       ,617,,733,354,690,,624,423,694,,737,311,853,,850,447,656,
,,220800 - Sociology                               ,682,,538,256,552,,578,275,615,,503,239,770,,636,341,803,
,,221000 - International Studies                   ,23,,39,,25,,13,,20,,17,,22,,27,,34,
,,221020 - Global Studies                          ,,,,,,,,,,,,,,,4,,25,
,,302020 - Piloting                                ,40,,27,,48,,39,,58,,52,,112,,83,,151,
,,493010 - Career Guidance and Orientation         ,262,,13,120,246,,73,214,209,,36,221,180,,38,237,116,
,,493012 - Job Seeking/Changing Skills             ,28,,33,,13,,15,,33,,30,,16,,19,,19,
,,493013 - Academic Guidance                       ,298,,220,,424,,269,60,581,,250,55,887,,437,97,"1,005",
,Credit - Not Degree Applicable                     Total,,940,,605,15,121,,96,45,113,,40,,89,,68,19,67,
,,095050 - Aircraft Fabrication                    ,,,,15,,,,,19,,11,,5,,,,,
,,095650 - Welding Technology                      ,40,,24,,,,,,,,,,,,,,,
,,122100 - Pharmacy Technology                     ,26,,40,,,,,,,,,,,,,,,
,,130630 - Culinary Arts                           ,8,,9,,,,,,,,,,,,,,,
,,150100 - English                                 ,770,,476,,86,,62,45,59,,,,57,,43,19,43,
,,"170100 - Mathematics, General                    ",34,,9,,,,,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,53,,38,,35,,34,,35,,29,,27,,25,,24,
,,493086 - English as a Second Language - Listening,9,,9,,,,,,,,,,,,,,,
