,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,193000 - Earth Science                           ,21,,15,,13,,,,,,,,,,18,,,
,,"200100 - Psychology, General                     ","1,235",,"1,296",644,"1,404",,"1,535",684,"1,399",,"1,082",520,"1,278",,"1,164",462,"1,249",
,,210500 - Administration of Justice               ,349,,299,130,406,,444,114,511,,407,178,625,,440,139,556,
,,210520 - Probation and Parole                    ,,,,,12,,,,15,,,,10,,,,,
,,214000 - Legal and Community Interpretation      ,,,,,,,30,,67,,101,,154,,203,17,139,
,,220110 - Women's Studies                         ,57,,61,,58,,40,,31,,55,,27,,26,,33,
,,220200 - Anthropology                            ,64,,116,99,179,,180,104,176,,140,150,144,,141,109,187,
,,220300 - Ethnic Studies                          ,351,,427,268,915,,"1,229",508,"1,151",,"1,138",582,"1,176",,"1,213",491,801,
,,220400 - Economics                               ,322,,148,35,184,,220,121,279,,283,162,280,,332,216,286,
,,220500 - History                                 ,916,,778,241,"1,018",,"1,214",362,996,,"1,034",257,840,,999,272,807,
,,220600 - Geography                               ,82,,92,,87,,79,36,93,,30,,56,,27,,53,
,,220700 - Political Science                       ,266,,334,103,310,,417,177,382,,271,,338,,224,,332,
,,220800 - Sociology                               ,239,,244,89,282,,202,104,190,,189,107,184,,180,109,121,
,,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,23,,,,19,
,,493012 - Job Seeking/Changing Skills             ,194,,232,29,172,,185,31,168,,144,42,171,,144,55,174,
,,493013 - Academic Guidance                       ,202,,153,,163,,96,53,168,,152,,140,,122,,115,
,,493087 - English as a Second Language - Integrate,145,,120,,,,,,,,,,,,,,,
,,493200 - General Work Experience                 ,38,,28,,35,,19,,21,,27,,,,15,,23,
,,499900 - Other Interdisciplinary Studies         ,30,,28,,,,19,,8,,37,3,15,,7,,11,
,Credit - Not Degree Applicable                     Total,,"2,311",,"2,004",39,"1,368",,"1,123",13,"1,397",,"1,185",23,"1,238",,"1,004",20,"1,265",
,,050200 - Accounting                              ,,,32,,,,,,,,,,,,,,,
,,051400 - Office Technology/Office Computer Applic,28,,19,,,,,,,,,,,,,,,
,,070710 - Computer Programming                    ,30,,26,,33,,,,,,,,,,,,,
,,083500 - Physical Education                      ,19,,28,,,,,,,,,,,,,,,
,,086000 - Educational Technology                  ,,,,,,,,,,,,,,,20,20,,
,,094800 - Automotive Technology                   ,34,,71,8,47,,83,,,,,,,,,,,
,,094840 - Alternative Fuels and Advanced Transport,18,,15,,,,,,,,,,,,,,,
,,095300 - Drafting Technology                     ,2,,,,,,,,,,,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,16,,5,,,,,,,,,,,,,,,
,,095800 - Water and Wastewater Technology         ,10,,,,,,,,8,,,,,,7,,,
,,100400 - Music                                   ,36,,81,,,,,,,,,,,,,,,
,,100800 - Dance                                   ,3,,5,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,16,,27,,,,,,,,,,,,,,,
,,123030 - Certified Nurse Assistant               ,,,30,,,,,,29,,32,,31,,30,,30,
,,150100 - English                                 ,231,,121,,203,,176,,243,,192,,246,,188,,233,
,,150200 - Language Arts                           ,55,,30,,,,,,,,,,,,,,,
,,152000 - Reading                                 ,22,,,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",146,,110,,,,,,,,,,,,,,144,
,,170200 - Mathematics Skills                      ,265,,100,,247,,129,,154,,130,,104,,68,,28,
,,210500 - Administration of Justice               ,24,,19,,,,,,,,,,,,,,,
,,220300 - Ethnic Studies                          ,332,,452,,,,,,,,,,,,,,,
,,220500 - History                                 ,77,,137,,,,,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,232,,183,,190,,163,,243,,171,,203,,163,,228,
,,493085 - English as a Second Language - Reading  ,234,,168,31,252,,197,,245,,229,12,238,,197,,212,
,,493086 - English as a Second Language - Listening,201,,169,,161,,134,13,198,,144,11,156,,136,,115,
,,493087 - English as a Second Language - Integrate,280,,176,,235,,241,,277,,287,,260,,195,,275,
