,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150700 - Creative Writing                        ,20,,17,,17,,21,,24,,24,,17,,17,,25,
,,150900 - Philosophy                              ,371,,452,169,380,,446,173,372,,418,177,285,,443,159,361,
,,"160100 - Library Science, General                ",18,,32,,33,,42,31,26,,29,20,23,,32,11,28,
,,"170100 - Mathematics, General                    ","2,538",,"2,424",841,"2,595",,"2,721","1,050","2,548",,"3,030","1,287","2,707",,"2,947","1,340","2,554",
,,170200 - Mathematics Skills                      ,39,,56,,42,,62,,66,,75,,43,,25,,29,
,,"190100 - Physical Sciences, General              ",27,,27,,16,,30,,33,,31,,,,17,,,
,,"190200 - Physics, General                        ",150,,97,42,139,,149,58,152,,157,59,152,,179,59,120,
,,"190500 - Chemistry, General                      ",435,,465,144,486,,472,152,543,,552,150,531,,491,170,510,
,,191100 - Astronomy                               ,156,,196,64,160,,226,67,192,,271,55,179,,213,84,234,
,,191400 - Geology                                 ,138,,78,,118,,118,,113,,105,,137,,129,,89,
,,"200100 - Psychology, General                     ","1,670",,"1,605",559,"1,484",,"1,500",516,"1,410",,"1,574",553,"1,624",,"1,785",616,"1,616",
,,209900 - Other Psychology                        ,40,,68,,69,,101,14,38,,51,17,53,,85,25,,
,,210400 - Human Services                          ,,,,,32,,,,31,,49,,33,,31,,29,
,,210500 - Administration of Justice               ,699,,686,198,777,,701,179,697,,706,163,617,,688,160,516,
,,210510 - Corrections                             ,32,,33,,33,,33,,27,,19,,23,,26,,21,
,,210550 - Police Academy                          ,,,30,,,,37,,25,,35,,,,,,,
,,"220100 - Social Sciences, General                ",,,,,33,,,,53,,42,,52,,49,,94,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,14,,,,19,,,,25,,,,24,,,
,,220170 - Social Justice: Gender Studies          ,20,,,,18,,,,37,,,,28,,,,31,
,,220200 - Anthropology                            ,402,,543,161,374,,587,148,385,,522,150,335,,519,146,317,
,,220300 - Ethnic Studies                          ,,,,,,,,54,231,,291,112,317,,520,168,664,
,,220400 - Economics                               ,414,,495,236,527,,568,322,544,,611,372,593,,664,531,690,
,,220500 - History                                 ,"1,046",,928,563,"1,032",,"1,235",648,"1,088",,"1,148",729,966,,"1,271",858,959,
,,220600 - Geography                               ,513,,619,170,518,,600,286,406,,663,262,485,,647,287,479,
,,220700 - Political Science                       ,755,,858,329,646,,807,298,754,,917,380,660,,950,583,654,
,,220800 - Sociology                               ,599,,642,177,455,,588,184,474,,602,162,491,,774,282,558,
,,221010 - Area Studies                            ,,,,,,,,,,,14,,28,,,,32,
,,221020 - Global Studies                          ,,,,,59,,43,,,,80,,61,,66,,34,
,,300700 - Cosmetology and Barbering               ,109,,133,75,112,,234,98,192,,236,90,233,,253,72,230,
,,493010 - Career Guidance and Orientation         ,242,,181,28,263,,220,54,231,,241,36,233,,180,37,249,
,,493013 - Academic Guidance                       ,628,,271,96,643,,226,77,486,,98,83,488,,123,37,436,
,,493084 - English as a Second Language - Writing  ,70,,40,9,47,,40,,77,,67,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,10,,9,,,,,,,,,,,,,,,
,Credit - Not Degree Applicable                     Total,,253,,213,,236,,205,,105,,82,,211,,287,30,327,
,,100800 - Dance                                   ,,,5,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,26,,21,,61,,28,,,,,,,,,,,
,,210500 - Administration of Justice               ,,,,,,,,,,,,,10,,90,30,76,
,,493010 - Career Guidance and Orientation         ,18,,,,,,,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,63,,55,,61,,56,,105,,82,,177,,177,,178,
,,493085 - English as a Second Language - Reading  ,74,,64,,55,,55,,,,,,24,,20,,73,
,,493086 - English as a Second Language - Listening,72,,68,,59,,66,,,,,,,,,,,
