,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,095220 - Electrical                              ,7,,,,10,,,,9,,,,10,,,,7,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,9,,,,6,,,,,,,,11,,,
,,095250 - Mill and Cabinet Work                   ,27,,14,,70,,22,,40,,37,,34,,31,,34,
,,095300 - Drafting Technology                     ,10,,15,2,17,,23,,11,,20,,7,,13,,13,
,,095310 - Architectural Drafting                  ,79,,40,,59,,51,,56,,32,,53,,53,,67,
,,095340 - Mechanical Drafting                     ,65,,63,,64,,67,,81,,61,30,130,,111,24,119,
,,095600 - Manufacturing and Industrial Technology ,,,,,10,,9,12,12,,11,,12,,19,,18,
,,095630 - Machining and Machine Tools             ,67,,91,37,93,,87,3,114,,129,19,120,,112,27,148,
,,095650 - Welding Technology                      ,309,,260,,378,,380,13,454,,485,24,599,,648,,565,
,,095700 - Civil and Construction Management Techno,46,,39,,69,,51,,67,,74,,106,,94,,86,
,,"100100 - Fine Arts, General                      ",879,,880,295,892,,869,293,941,,"1,021",320,"1,107",,"1,066",355,"1,186",
,,100200 - Art                                     ,138,,132,,150,,178,,170,,156,,178,,185,,243,
,,100210 - Painting and Drawing                    ,473,,480,203,503,,544,215,557,,595,232,553,,600,218,457,
,,100220 - Sculpture                               ,22,,12,,26,,22,,36,,21,,33,,19,,37,
,,100230 - Ceramics                                ,167,,138,5,187,,194,14,207,,211,16,180,,207,18,161,
,,100400 - Music                                   ,469,,401,123,545,,509,123,569,,524,112,573,,534,114,593,
,,100500 - Commercial Music                        ,17,,30,,31,,47,,30,,49,,39,,55,2,36,
,,100600 - Technical Theater                       ,38,,74,,44,,65,,84,,78,,85,,81,,53,
,,100700 - Dramatic Arts                           ,206,,174,46,259,,203,52,204,,215,37,255,,246,13,269,
,,100800 - Dance                                   ,22,,9,,21,,38,,41,,31,,21,,25,,35,
,,100900 - Applied Design                          ,56,,72,17,54,,78,19,62,,82,33,75,,78,20,76,
,,100910 - Jewelry                                 ,,,13,,,,,,23,,15,,17,,16,,,
,,101100 - Photography                             ,290,,248,88,291,,263,87,285,,288,80,295,,298,80,291,
,,101200 - Applied Photography                     ,79,,103,,111,,91,,135,,137,,120,,127,,96,
,,103000 - Graphic Art and Design                  ,494,,595,60,523,,545,94,530,,622,81,498,,605,89,454,
,,110200 - French                                  ,91,,54,,75,,69,,64,,78,,95,,69,,110,
,,110300 - German                                  ,51,,43,,31,,38,,46,,41,,46,,39,,43,
,,110400 - Italian                                 ,41,,34,,41,,11,,36,,34,,35,,32,,46,
,,110500 - Spanish                                 ,401,,596,243,475,,637,280,564,,697,287,687,,782,325,683,
,,110800 - Japanese                                ,116,,98,51,122,,96,66,98,,98,56,96,,95,59,79,
,,"120100 - Health Occupations, General             ",755,,659,232,691,,721,288,905,,918,369,"1,053",,"1,140",401,"1,188",
,,120510 - Phlebotomy                              ,40,,48,,38,,50,,,,49,,48,,42,,,
,,120800 - Medical Assisting                       ,92,,64,16,72,,60,14,56,,57,11,116,,104,26,112,
,,123010 - Registered Nursing                      ,73,,72,,74,,75,,79,,78,,75,,73,,162,
,,123030 - Certified Nurse Assistant               ,24,,12,,15,,21,,25,,21,,20,,28,7,22,
,,125000 - Emergency Medical Services              ,380,,304,132,314,,337,139,380,,441,176,428,,458,157,428,
,,125100 - Paramedic                               ,12,,31,,13,,16,,18,,25,,38,,73,29,65,
,,127000 - Kinesiology                             ,264,,232,52,276,,270,42,280,,272,62,367,,338,61,341,
,,129900 - Other Health Occupations                ,21,,,,15,,,,26,,,,24,,,,24,
,,130300 - Fashion                                 ,170,,157,45,156,,126,43,162,,154,53,154,,165,66,202,
,,130310 - Fashion Design                          ,19,,26,,19,,28,,19,,34,9,20,,30,18,48,
,,130320 - Fashion Merchandising                   ,10,,,,9,,,,9,,,,20,,,,14,
,,130500 - Child Development/Early Care and Educati,"1,001",,874,384,976,,877,416,930,,"1,026",453,"1,008",,"1,061",502,"1,217",
,,130540 - Preshool Age Children                   ,146,,60,52,137,,102,,101,,118,,104,,116,,130,
,,130560 - Parenting and Family Education          ,138,,46,,83,,50,,105,,107,,84,,95,,57,
,,130580 - Child Development Administration and Man,22,,11,,13,,,,46,,21,,39,,19,,22,
,,130590 - Infants and Toddlers                    ,,,39,,,,28,,,,24,,,,27,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",655,,586,179,521,,573,178,571,,605,184,604,,625,193,631,
,,130700 - Hospitality                             ,,,,,,,,,,,,,,,,,36,
,,150100 - English                                 ,"4,674",,"3,602",713,"4,625",,"3,672",816,"5,006",,"3,913",928,"5,280",,"4,182",971,"5,242",
,,150300 - Comparative Literature                  ,23,,,,13,,31,,56,,6,,39,,35,,17,
,,150400 - Classics                                ,263,,263,98,249,,225,88,270,,267,101,259,,214,121,238,
,,150600 - Speech Communication                    ,"1,485",,"1,423",509,"1,488",,"1,393",551,"1,516",,"1,500",568,"1,629",,"1,583",640,"1,627",
,,150700 - Creative Writing                        ,68,,62,,61,,63,,85,,89,,68,,81,,79,
,,150900 - Philosophy                              ,381,,377,145,386,,374,165,421,,479,191,451,,445,183,536,
,,151000 - Religious Studies                       ,73,,59,24,87,,83,36,99,,98,38,89,,91,32,81,
,,152000 - Reading                                 ,17,,25,,21,,16,,21,,27,,21,,26,,23,
,,159900 - Other Humanities                        ,143,,79,65,125,,94,48,132,,74,59,114,,98,63,69,
,,"170100 - Mathematics, General                    ","3,674",,"3,261",816,"3,548",,"3,201",919,"3,900",,"3,398","1,046","3,964",,"3,547","1,110","3,973",
,,"190200 - Physics, General                        ",545,,572,50,609,,765,172,687,,793,252,710,,836,206,853,
,,"190500 - Chemistry, General                      ","1,240",,"1,195",272,"1,528",,"1,259",248,"1,491",,"1,504",192,"1,432",,"1,415",257,"1,498",
,,191100 - Astronomy                               ,537,,454,115,466,,442,121,473,,502,113,442,,484,135,443,
,,191400 - Geology                                 ,207,,212,21,174,,224,31,177,,250,38,162,,258,27,175,
,,191900 - Oceangraphy                             ,,,,,,,,,,,,,21,,,,26,
,,193000 - Earth Science                           ,326,,350,73,315,,315,62,319,,283,52,321,,319,60,286,
,,"200100 - Psychology, General                     ","2,242",,"1,919",546,"2,043",,"1,759",533,"2,117",,"2,087",554,"2,071",,"2,160",746,"2,351",
,,209900 - Other Psychology                        ,101,,110,37,99,,96,35,124,,139,33,188,,188,57,205,
,,210400 - Human Services                          ,,,,,,,,,,,,,,,,1,2,
,,210500 - Administration of Justice               ,742,,652,144,762,,656,159,749,,772,167,825,,812,184,888,
,,210510 - Corrections                             ,50,,21,,21,,44,,37,,60,,20,,25,,40,
,,"210540 - Forensics, Evidence, and Investigation  ",72,,95,40,57,,109,30,55,,97,36,41,,106,37,61,
,,210550 - Police Academy                          ,,,13,,,,10,,,,,,,,12,,,
,,213300 - Fire Technology                         ,652,,545,148,649,,585,178,743,,669,178,786,,749,231,930,
,,213350 - Fire Academy                            ,118,,144,34,114,,136,33,97,,155,30,131,,142,27,119,
,,"220100 - Social Sciences, General                ",68,,95,74,192,,192,109,410,,388,147,598,,471,219,591,
,,220110 - Women's Studies                         ,142,,145,29,160,,126,16,151,,122,37,145,,122,36,113,
,,220200 - Anthropology                            ,977,,"1,061",275,918,,861,243,864,,974,266,"1,003",,938,321,"1,082",
,,220220 - Archaeology                             ,32,,34,,33,,18,,39,,39,,37,,41,,37,
,,220300 - Ethnic Studies                          ,204,,337,226,687,,827,428,922,,"1,296",632,"1,403",,"1,871","1,177","1,729",
,,220400 - Economics                               ,752,,807,250,900,,847,177,964,,853,286,978,,886,346,"1,115",
,,220500 - History                                 ,"2,358",,"2,201",772,"2,334",,"2,256",722,"2,515",,"2,557",812,"2,745",,"2,788",801,"2,857",
,,220600 - Geography                               ,415,,306,50,357,,333,,330,,364,,402,,319,88,422,
,,220610 - Geographic Information Systems          ,47,,19,,61,,21,,54,,49,,49,,55,,47,
,,220700 - Political Science                       ,546,,542,278,611,,569,315,700,,652,324,857,,777,385,792,
,,220710 - Student Government                      ,,,,,,,6,,28,,7,,21,,,,11,
,,220800 - Sociology                               ,896,,859,343,991,,878,306,"1,030",,"1,054",372,"1,146",,966,367,"1,182",
,,493010 - Career Guidance and Orientation         ,717,,493,159,914,,655,206,848,,664,247,844,,591,243,625,
,,493013 - Academic Guidance                       ,183,,260,116,367,,395,123,393,,498,129,580,,595,146,453,
,,493084 - English as a Second Language - Writing  ,18,,19,,16,,16,,26,,20,,17,,8,,6,
,,493086 - English as a Second Language - Listening,31,,28,,34,,20,,37,,22,,36,,19,,14,
,,493087 - English as a Second Language - Integrate,25,,30,,12,,9,,24,,26,,21,,8,,10,
,Credit - Not Degree Applicable                     Total,,354,,280,36,296,,238,35,436,,471,63,606,,590,57,684,
,,"120100 - Health Occupations, General             ",,,,,,,,,,,,,,,,,10,
,,125000 - Emergency Medical Services              ,44,,56,11,14,,16,,33,,38,11,18,,11,12,15,
,,"170100 - Mathematics, General                    ",15,,17,,30,,32,,59,,61,,53,,32,,135,
,,170200 - Mathematics Skills                      ,,,18,,9,,14,,7,,13,,9,,10,,11,
,,213300 - Fire Technology                         ,66,,19,,90,,22,13,43,,,10,16,,,,20,
,,220800 - Sociology                               ,42,,39,18,45,,38,17,35,,53,16,42,,51,21,45,
,,"493032 - Learning Skills, Learning Disabled      ",,,,,6,,,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,6,,2,7,4,,3,5,11,,9,9,20,,17,4,9,
,,493087 - English as a Second Language - Integrate,179,,127,,97,,113,,245,,293,17,436,,461,20,429,
,,493100 - Vocational ESL                          ,2,,2,,1,,,,3,,4,,12,,8,,10,
