,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,095600 - Manufacturing and Industrial Technology ,"1,132",,"1,280",504,682,,976,493,658,,"1,039",406,"1,022",,768,426,542,
,,095630 - Machining and Machine Tools             ,272,,173,46,223,,219,50,206,,227,62,190,,279,118,228,
,,095640 - Sheet Metal and Structural Metal        ,316,,178,153,223,,180,197,214,,114,94,118,,174,152,130,
,,095650 - Welding Technology                      ,"2,494",,"2,580","1,489","2,697",,"2,827","1,323","2,731",,"2,229","1,258","3,067",,"2,170","1,107","1,886",
,,"100100 - Fine Arts, General                      ","1,235",,"1,286",619,"1,238",,"1,421",666,"1,393",,"1,683",633,"1,576",,"1,764",747,"1,738",
,,100210 - Painting and Drawing                    ,753,,700,170,721,,749,185,853,,770,90,839,,738,130,769,
,,100230 - Ceramics                                ,96,,106,,161,,143,,162,,157,,213,,212,,183,
,,100400 - Music                                   ,552,,429,238,560,,536,396,611,,608,325,493,,483,122,542,
,,100500 - Commercial Music                        ,131,,133,36,132,,148,34,132,,178,58,174,,261,42,198,
,,100600 - Technical Theater                       ,26,,92,40,167,,145,,154,,125,38,150,,163,48,147,
,,100700 - Dramatic Arts                           ,109,,103,22,147,,274,18,163,,188,,138,,187,,128,
,,100800 - Dance                                   ,654,,565,329,765,,703,437,902,,876,446,743,,867,447,822,
,,100810 - Commercial Dance                        ,49,,17,,69,,50,40,70,,76,20,77,,124,13,84,
,,100900 - Applied Design                          ,204,,186,54,229,,224,54,259,,234,44,252,,255,44,301,
,,101100 - Photography                             ,252,,147,74,224,,227,60,241,,260,58,284,,220,86,256,
,,101200 - Applied Photography                     ,54,,116,2,92,,102,,70,,88,,40,,134,,46,
,,101300 - Commercial Art                          ,40,,40,34,38,,40,42,38,,38,38,40,,34,40,40,
,,103000 - Graphic Art and Design                  ,50,,82,,60,,106,,50,,102,,38,,86,,46,
,,110200 - French                                  ,73,,53,26,122,,86,56,82,,67,56,82,,52,54,48,
,,110300 - German                                  ,28,,34,,44,,31,,62,,62,,44,,26,,30,
,,110500 - Spanish                                 ,"1,017",,959,275,984,,951,546,"1,036",,"1,282",632,"1,174",,"1,134",676,"1,164",
,,110700 - Chinese                                 ,102,,137,56,137,,128,66,136,,131,74,171,,203,78,204,
,,110800 - Japanese                                ,192,,214,,203,,199,,214,,186,,222,,196,,164,
,,111730 - Korean                                  ,,,,,,,,,,,100,,58,,58,,50,
,,"120100 - Health Occupations, General             ",285,,279,162,302,,287,108,359,,303,166,416,,336,123,457,
,,120800 - Medical Assisting                       ,379,,372,,477,,492,,604,,554,52,679,,671,46,722,
,,122000 - Speech/Language Pathology and Audiology ,181,,165,,191,,238,,297,,241,,518,,284,,519,
,,122100 - Pharmacy Technology                     ,376,,379,56,313,,356,6,350,,342,16,341,,348,24,346,
,,122200 - Physical Therapist Assistant            ,269,,282,,260,,285,,267,,276,,279,,290,,290,
,,122800 - Athletic Training and Sports Medicine   ,200,,160,25,183,,223,21,216,,208,22,243,,328,30,352,
,,123000 - Nursing                                 ,81,,81,,90,,101,,103,,105,,108,,71,,38,
,,123010 - Registered Nursing                      ,641,,649,28,699,,730,66,727,,794,67,713,,855,22,992,
,,124010 - Dental Assistant                        ,132,,164,32,228,,226,44,200,,260,52,240,,280,56,248,
,,124020 - Dental Hygienist                        ,356,,333,22,376,,335,21,398,,353,22,418,,388,24,422,
,,126100 - Community Health Care Worker            ,,,,,7,,,,,,4,,14,,8,,18,
,,127000 - Kinesiology                             ,507,,484,282,672,,633,250,632,,587,312,611,,569,408,610,
,,130500 - Child Development/Early Care and Educati,"1,199",,"1,043",144,979,,"1,151",207,"1,101",,"1,092",172,989,,926,99,"1,057",
,,130520 - Children with Special Needs             ,91,,95,,66,,72,,81,,87,,64,,70,,70,
,,130580 - Child Development Administration and Man,36,,,,31,,,,27,,,,30,,,,,
,,130590 - Infants and Toddlers                    ,72,,84,,64,,54,,72,,45,,57,,58,,61,
,,130630 - Culinary Arts                           ,328,,324,55,367,,425,111,518,,446,151,596,,567,170,670,
,,130700 - Hospitality                             ,16,,,,11,,,17,14,,10,11,18,,14,15,12,
,,140200 - Paralegal                               ,749,,652,151,601,,636,169,701,,742,250,709,,736,264,849,
,,150100 - English                                 ,"4,782",,"3,257",927,"4,706",,"3,462","1,086","5,313",,"3,855","1,225","5,400",,"4,217","1,255","5,656",
,,150300 - Comparative Literature                  ,30,,26,,28,,24,,46,,17,,11,,21,,16,
,,150400 - Classics                                ,43,,23,,51,,22,,50,,32,,58,,30,,70,
,,150600 - Speech Communication                    ,"1,995",,"1,853",853,"1,955",,"2,068","1,000","2,101",,"2,258","1,069","2,136",,"2,236","1,291","2,464",
,,150700 - Creative Writing                        ,62,,45,,47,,60,,42,,58,,56,,42,15,48,
,,150900 - Philosophy                              ,706,,662,364,606,,593,448,748,,737,508,630,,765,541,810,
,,152000 - Reading                                 ,262,,130,57,299,,147,47,541,,173,118,458,,194,139,550,
,,"160100 - Library Science, General                ",52,,56,32,64,,36,,44,,52,,34,,60,,66,
,,"170100 - Mathematics, General                    ","4,501",,"3,377","1,481","4,748",,"3,603","1,808","5,389",,"4,346","1,879","6,168",,"4,787","2,086","6,359",
,,"190100 - Physical Sciences, General              ",73,,117,50,46,,60,62,34,,56,,53,,68,56,68,
,,"190200 - Physics, General                        ",659,,598,358,564,,583,274,544,,544,269,710,,662,297,819,
,,"190500 - Chemistry, General                      ","1,314",,"1,287",530,"1,387",,"1,374",438,"1,447",,"1,519",469,"1,609",,"1,628",453,"1,748",
,,191100 - Astronomy                               ,356,,330,61,331,,308,88,302,,267,131,341,,330,92,348,
,,191400 - Geology                                 ,300,,225,35,215,,185,154,244,,249,132,180,,247,200,287,
,,193000 - Earth Science                           ,457,,518,497,445,,499,364,406,,410,284,386,,450,266,432,
,,"200100 - Psychology, General                     ","3,232",,"2,926",832,"3,325",,"3,149","1,015","2,777",,"2,853",878,"2,983",,"3,124","1,065","3,528",
,,210400 - Human Services                          ,91,,92,98,97,,116,230,174,,208,251,177,,207,201,185,
,,210500 - Administration of Justice               ,581,,564,102,532,,411,112,472,,402,100,452,,463,95,641,
,,210520 - Probation and Parole                    ,22,,42,22,19,,13,19,16,,16,29,22,,17,20,18,
,,213300 - Fire Technology                         ,319,,"1,710",,"1,646",,,,,,,,,,,,,
,,220110 - Women's Studies                         ,326,,284,116,303,,388,154,428,,418,214,504,,549,424,728,
,,220180 - Social Justice: African American Studies,,,,,,,,,9,,52,,38,,121,115,153,
,,220200 - Anthropology                            ,709,,802,284,598,,645,308,628,,619,390,619,,687,455,794,
,,220220 - Archaeology                             ,,,,,16,,,,26,,,,18,,,,27,
,,220300 - Ethnic Studies                          ,49,,52,80,223,,276,72,304,,349,430,489,,552,187,555,
,,220400 - Economics                               ,"1,041",,"1,029",338,"1,086",,"1,173",520,"1,142",,"1,268",645,"1,194",,"1,470",907,"1,573",
,,220500 - History                                 ,"1,898",,"1,747",690,"1,785",,"1,667",686,"2,023",,"1,880",746,"1,937",,"1,973",772,"2,578",
,,220600 - Geography                               ,513,,651,336,502,,470,274,485,,455,257,503,,575,301,609,
,,220700 - Political Science                       ,"1,439",,"1,258",666,"1,315",,"1,290",638,"1,294",,"1,237",729,"1,270",,"1,324",774,"1,428",
,,220800 - Sociology                               ,"1,209",,"1,286",307,"1,206",,"1,312",525,"1,446",,"1,441",588,"1,353",,"1,409",695,"1,589",
,,229900 - Other Social Sciences                   ,14,,,,28,,29,15,16,,27,16,9,,22,27,24,
,,300700 - Cosmetology and Barbering               ,374,,257,128,120,,151,118,683,,881,299,731,,720,296,934,
