,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220300 - Ethnic Studies                          ,37,,83,,112,,154,127,169,,207,160,258,,290,39,,
,,220500 - History                                 ,149,,161,39,187,,129,123,245,,134,127,248,,234,45,,
,,220600 - Geography                               ,48,,17,,42,,13,,23,,6,,48,,8,,,
,,220610 - Geographic Information Systems          ,37,,98,27,55,,71,45,41,,62,22,57,,65,,,
,,220700 - Political Science                       ,60,,57,,52,,47,,48,,40,,65,,65,,,
,,220800 - Sociology                               ,124,,100,43,112,,116,39,150,,145,81,189,,188,,,
,,493010 - Career Guidance and Orientation         ,278,,218,142,255,,169,120,188,,202,103,238,,254,,,
,,493013 - Academic Guidance                       ,92,,32,49,108,,75,55,164,,69,97,159,,68,76,,
,,493200 - General Work Experience                 ,,,,,,,,,,,,,,,31,,,
,Credit - Not Degree Applicable                     Total,,,,15,,8,,17,,11,,7,,8,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",,,15,,8,,17,,11,,7,,8,,,,,
