,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094800 - Automotive Technology                   ,44,,39,,66,,69,,60,,54,,61,,54,,,
,,095300 - Drafting Technology                     ,25,,25,,27,,28,,26,,28,,29,28,29,,,
,,"100100 - Fine Arts, General                      ","1,824",639,"1,642",540,"2,086",646,"1,816",645,"2,087",657,"2,004",603,"2,338",744,"2,160",552,,
,,100200 - Art                                     ,"1,722",381,"1,711",447,"2,094",345,"2,049",411,"1,918",351,"2,024",375,"1,910",358,"1,714",319,,
,,100210 - Painting and Drawing                    ,15,,21,,24,,15,,26,,,,30,,,,,
,,100400 - Music                                   ,"1,483",211,"1,258",129,"1,278",176,"1,205",146,"1,558",152,"1,343",158,"1,614",144,"1,488",161,214,
,,100600 - Technical Theater                       ,115,8,142,12,194,8,134,10,166,9,187,16,173,12,274,23,,
,,100700 - Dramatic Arts                           ,501,93,468,28,551,106,559,92,567,108,435,73,540,130,452,36,,
,,100800 - Dance                                   ,474,131,403,94,527,66,540,109,628,63,585,159,624,68,619,161,,
,,100810 - Commercial Dance                        ,,,14,,,,,,,,23,,,,,,,
,,100900 - Applied Design                          ,69,24,83,,,,,,,,,,,,,,,
,,101100 - Photography                             ,65,39,35,35,58,50,96,57,85,,148,29,98,,110,27,,
,,101200 - Applied Photography                     ,679,83,636,82,796,105,750,126,798,95,686,120,733,91,743,98,,
,,103000 - Graphic Art and Design                  ,765,93,729,134,704,83,784,132,705,71,730,122,749,90,771,91,,
,,109900 - Other Fine and Applied Arts             ,125,,122,,113,,101,,116,,143,,117,,108,,,
,,110200 - French                                  ,207,21,209,11,165,24,181,25,151,29,167,33,139,33,167,30,,
,,110300 - German                                  ,69,,30,,18,,42,,34,,30,,24,,31,,,
,,110400 - Italian                                 ,58,,86,,57,,83,,59,,58,,68,,50,,,
