,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,111200 - Arabic                                  ,,,,,,,,,,,,,31,,37,,35,
,,"111700 - Asian, South Asian, and Pacific Islands ",,,,,,,,,,36,16,52,22,,,,,
,,111730 - Korean                                  ,332,121,300,170,245,92,263,151,297,22,269,154,233,51,220,152,313,48
,,119900 - Other Foreign Languages                 ,148,33,145,30,102,23,117,31,127,42,144,65,115,42,140,50,174,21
,,122500 - Radiologic Technology                   ,352,20,340,,321,32,239,15,276,33,247,16,287,40,340,,526,91
,,123010 - Registered Nursing                      ,398,,499,,555,,553,,449,,380,,357,,351,,422,
,,124030 - Dental Laboratory Technician            ,149,15,60,11,144,20,91,10,110,12,81,8,106,17,89,8,139,20
,,125000 - Emergency Medical Services              ,,20,20,,,12,15,,,15,17,,,16,,,,
,,127000 - Kinesiology                             ,103,15,61,39,91,17,121,43,129,21,110,33,157,22,72,73,132,26
,,129900 - Other Health Occupations                ,,,,,,,,,,,14,,28,,20,,,
,,130500 - Child Development/Early Care and Educati,965,209,889,423,935,214,894,400,962,293,"1,103",412,"1,034",315,"1,115",575,"1,194",265
,,130590 - Infants and Toddlers                    ,47,,67,,50,,68,,68,,34,,59,,35,,33,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",331,152,301,178,288,134,307,207,290,138,368,191,327,135,339,234,327,120
,,130800 - Family Studies                          ,,39,,,,34,,,,29,,,,25,,,,35
,,"140100 - Law, General                            ",30,,13,,44,,23,,22,,70,,27,,76,,34,
,,140200 - Paralegal                               ,343,,386,33,290,,365,45,321,32,412,37,354,31,359,28,337,
,,150100 - English                                 ,"2,353",295,"1,682",620,"2,156",280,"1,717",563,"2,078",303,"1,647",593,"2,240",337,"1,948",609,"2,184",324
,,150110 - Linguistics                             ,33,,23,,38,,38,,39,,42,,60,,55,,57,
,,150600 - Speech Communication                    ,929,196,880,472,"1,023",241,901,401,"1,175",224,946,442,"1,337",237,"1,095",376,"1,342",270
,,150900 - Philosophy                              ,328,54,207,110,210,53,162,112,241,48,193,102,243,61,279,102,274,65
,,159900 - Other Humanities                        ,132,41,112,85,113,50,152,36,154,28,140,56,133,65,133,30,98,30
,,"160100 - Library Science, General                ",50,22,31,35,49,31,34,32,47,36,35,34,57,38,38,46,37,44
,,"170100 - Mathematics, General                    ","2,813",568,"2,158",891,"2,518",545,"2,259",911,"2,499",607,"2,299",993,"2,821",752,"2,504","1,010","2,757",681
,,"190200 - Physics, General                        ",252,,259,,231,,284,,199,,263,,213,,288,,278,
,,"190500 - Chemistry, General                      ",292,19,248,53,341,8,300,54,347,17,324,83,363,39,416,92,421,42
,,191100 - Astronomy                               ,327,133,370,139,316,124,269,150,235,145,246,144,241,148,252,151,284,147
,,191400 - Geology                                 ,87,,64,23,86,,67,9,85,,93,28,71,,96,20,82,17
,,193000 - Earth Science                           ,45,,32,,27,,44,,33,,42,,24,,15,,54,
,,"200100 - Psychology, General                     ","1,554",305,"1,565",573,"1,758",340,"1,612",529,"1,904",323,"1,585",649,"1,970",415,"1,788",658,"1,897",334
,,210400 - Human Services                          ,,,,,,,,,12,,12,,12,,25,,10,
,,210440 - Alcohol and Controlled Substances       ,,,,,,,14,13,87,,102,,130,,116,,164,
,,210500 - Administration of Justice               ,273,,254,11,269,,305,8,266,,204,36,307,,269,29,246,
,,210510 - Corrections                             ,20,,9,,28,,15,,10,,15,,32,,23,,26,
,,"220100 - Social Sciences, General                ",,,,,16,,20,,20,,32,,26,,34,,37,
,,220200 - Anthropology                            ,207,51,201,106,242,35,228,99,252,37,186,155,234,38,235,119,242,40
,,220300 - Ethnic Studies                          ,505,131,605,270,636,187,777,266,717,265,795,281,771,324,893,333,802,394
,,220400 - Economics                               ,287,89,262,89,366,106,341,120,321,72,347,112,317,98,364,124,404,98
,,220500 - History                                 ,337,63,370,128,338,73,322,107,323,74,227,140,267,71,332,165,327,59
,,220600 - Geography                               ,108,27,103,64,161,34,154,71,172,67,188,71,173,37,165,98,166,41
,,220700 - Political Science                       ,434,136,430,160,524,118,442,144,504,124,401,191,432,128,514,212,478,135
,,220800 - Sociology                               ,636,142,501,291,747,130,614,203,626,148,663,241,676,109,605,209,706,110
,,493010 - Career Guidance and Orientation         ,998,,530,,496,,350,19,402,70,336,71,631,,422,26,553,
,,493013 - Academic Guidance                       ,,,,,,,,,,,,,,,,476,,91
,,"493030 - Learning Skills, Handicapped            ",,,,,,,,,2,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,2,14,5,22,,,,,,,
,,493084 - English as a Second Language - Writing  ,262,,243,10,232,,190,,196,,220,,250,,252,,226,
,,493085 - English as a Second Language - Reading  ,140,,98,,123,,101,,94,,112,,128,,132,,121,
,,493086 - English as a Second Language - Listening,,,,,,,51,,56,,54,,77,,85,,80,
,,493200 - General Work Experience                 ,130,,52,13,95,,130,5,53,,238,10,103,,84,,83,
,Credit - Not Degree Applicable                     Total,,690,34,521,42,487,10,338,,366,,284,,322,,241,,300,
,,150100 - English                                 ,199,,166,1,172,,100,,148,,47,,,,,,,
,,152000 - Reading                                 ,,,2,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",295,31,195,35,141,7,96,,,,,,,,,,,
,,210450 - Disability Services                     ,2,,,,,,,,,,,,,,,,,
,,493014 - Study Skills                            ,10,,,,13,,15,,,,,,,,,,,
,,"493030 - Learning Skills, Handicapped            ",5,,6,,,,6,,,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",17,3,14,6,12,3,15,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,52,,47,,43,,30,,58,,71,,87,,58,,91,
,,493085 - English as a Second Language - Reading  ,45,,22,,36,,17,,65,,59,,81,,53,,76,
,,493086 - English as a Second Language - Listening,65,,69,,70,,59,,95,,107,,154,,130,,133,
