,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,094800 - Automotive Technology                   ,222,19,241,25,307,29,398,35,387,36,390,37,459,49,452,40,534,97
,,094900 - Automotive Collision Repair             ,82,,60,,106,,112,,134,,147,,141,,154,,147,
,,094910 - Upholstery Repair - Automotive          ,,,9,,19,,25,,18,,28,,23,,26,,34,
,,095650 - Welding Technology                      ,189,34,228,33,269,70,290,47,304,88,301,73,293,70,248,63,270,75
,,100200 - Art                                     ,978,314,"1,026",356,"1,243",374,"1,142",514,"1,432",401,"1,187",541,"1,641",460,"1,161",628,"1,608",576
,,100210 - Painting and Drawing                    ,282,23,182,19,245,20,232,21,258,22,254,20,286,26,264,22,277,18
,,100220 - Sculpture                               ,14,,19,,14,,20,,22,,25,,39,,39,,41,
,,100230 - Ceramics                                ,93,,122,16,142,,132,25,162,,157,19,181,,180,29,158,20
,,100400 - Music                                   ,"1,684",437,"1,537",237,"2,333",416,"1,844",321,"2,389",597,"1,890",398,"2,367",609,"2,159",398,"2,809",655
,,100500 - Commercial Music                        ,,,,,,,,46,104,25,107,31,162,,116,17,123,24
,,100600 - Technical Theater                       ,40,,43,,48,,46,,55,,49,,56,,49,,66,
,,100700 - Dramatic Arts                           ,"1,010",264,787,232,"1,035",295,750,285,992,283,983,295,"1,062",291,928,369,"1,117",297
,,100800 - Dance                                   ,380,54,354,71,464,125,445,119,498,137,472,126,528,95,469,109,513,107
,,101200 - Applied Photography                     ,203,24,219,35,261,25,250,24,331,41,277,35,316,43,223,47,321,45
,,103000 - Graphic Art and Design                  ,34,,29,28,53,,24,35,55,,23,,63,,62,29,,
,,110200 - French                                  ,64,,58,12,56,,24,9,25,,35,,29,,25,,38,
,,110400 - Italian                                 ,45,,36,,32,,34,,34,,30,,35,,60,,26,
,,110500 - Spanish                                 ,694,143,390,176,478,147,441,135,577,132,477,139,615,129,436,131,632,121
,,110600 - Russian                                 ,,,,,,,,,24,,,,22,,,,29,
,,110800 - Japanese                                ,114,,88,12,100,,116,,121,,121,27,122,,114,23,118,
,,111200 - Arabic                                  ,67,,30,13,35,,51,,61,,72,,49,,51,,45,
,,"120100 - Health Occupations, General             ",,,,,,,,,,,,33,24,,24,30,25,
,,123000 - Nursing                                 ,333,76,284,49,314,41,330,50,290,39,342,36,285,26,249,27,282,33
,,123010 - Registered Nursing                      ,568,126,561,121,532,129,529,109,592,113,597,163,691,197,684,162,803,91
,,123020 - Licensed Vocational Nursing             ,321,57,355,85,264,55,256,108,232,67,305,133,299,66,386,65,309,55
,,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,76,39,133,33
,,"126000 - Health Professions, Transfer Core Curric",,,,,,,,,,,,,20,,13,,25,
,,127000 - Kinesiology                             ,118,33,121,40,175,15,164,52,172,23,180,55,206,19,152,63,234,72
,,130500 - Child Development/Early Care and Educati,615,148,533,144,526,215,522,162,585,209,617,161,656,196,503,176,655,294
,,130520 - Children with Special Needs             ,110,61,81,62,135,64,85,72,152,62,100,65,70,65,82,69,82,35
,,130560 - Parenting and Family Education          ,91,,77,,69,,100,,72,,80,,41,,57,,39,
,,130580 - Child Development Administration and Man,543,124,474,126,558,125,538,133,548,121,446,129,536,116,496,109,540,133
,,130590 - Infants and Toddlers                    ,36,,15,,,29,28,,,32,37,,41,31,32,,42,
,,130630 - Culinary Arts                           ,113,65,154,78,114,82,189,50,135,97,233,47,157,53,200,43,177,110
,,130700 - Hospitality                             ,24,,,,22,,,,39,,,,22,,,,35,
,,140200 - Paralegal                               ,137,55,29,55,152,68,111,58,194,91,101,66,174,111,147,93,233,114
,,150100 - English                                 ,"4,122",596,"3,299",538,"4,763",566,"3,649",557,"4,886",673,"4,042",810,"5,179",730,"3,698",603,"5,019",788
,,150200 - Language Arts                           ,,,13,,,,15,,,,16,,,,17,,,
,,150300 - Comparative Literature                  ,29,,34,,64,,67,,39,,27,,74,,64,11,35,
