,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"200100 - Psychology, General                     ",382,,435,131,404,,567,145,462,,529,170,433,,703,222,471,
,,209900 - Other Psychology                        ,29,,43,26,38,,45,29,26,,44,20,,,55,,,
,,210500 - Administration of Justice               ,154,,208,1,179,,226,9,227,,233,13,205,,211,16,180,
,,210510 - Corrections                             ,89,,70,,82,,105,,102,,63,,82,,75,,70,
,,220300 - Ethnic Studies                          ,45,,9,8,129,,120,,168,,111,122,319,,247,162,378,
,,220400 - Economics                               ,108,,157,77,96,,176,121,108,,163,158,165,,210,193,208,
,,220500 - History                                 ,342,,388,139,458,,484,167,469,,489,266,537,,709,384,659,
,,220600 - Geography                               ,189,,145,110,155,,210,132,185,,197,114,174,,216,140,264,
,,220700 - Political Science                       ,290,,324,155,287,,280,169,293,,307,221,303,,390,254,380,
,,220800 - Sociology                               ,511,,571,144,622,,734,192,612,,670,229,677,,698,269,666,
,,493013 - Academic Guidance                       ,68,,58,,68,,74,,83,,91,,85,,84,,100,
,,493200 - General Work Experience                 ,54,,64,9,48,,61,9,43,,54,3,49,,41,4,25,
,,499900 - Other Interdisciplinary Studies         ,482,,423,253,667,,415,284,682,,418,322,672,,453,304,755,
,Credit - Not Degree Applicable                     Total,,229,,184,,282,,224,,289,,260,,318,,215,,228,
,,150100 - English                                 ,24,,,,17,,,,24,,,,24,,,,,
,,"170100 - Mathematics, General                    ",138,,117,,188,,144,,161,,162,,195,,131,,157,
,,170200 - Mathematics Skills                      ,22,,20,,15,,17,,21,,,,23,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",45,,47,,62,,63,,83,,98,,76,,84,,71,
