,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100400 - Music                                   ,600,,677,231,634,,712,251,706,,789,240,690,,724,,,
,,100500 - Commercial Music                        ,195,,136,,186,,151,,213,,169,,200,,184,,,
,,100600 - Technical Theater                       ,49,,19,12,41,,34,11,51,,47,10,45,,24,15,,
,,100700 - Dramatic Arts                           ,241,,192,55,215,,261,101,190,,178,79,192,,259,19,16,
,,101200 - Applied Photography                     ,315,,233,75,290,,255,64,272,,275,50,251,,198,,,
,,110200 - French                                  ,106,,77,27,90,,71,34,85,,73,30,97,,67,,,
,,110500 - Spanish                                 ,367,,419,144,354,,392,222,390,,358,234,423,,353,,,
,,110600 - Russian                                 ,82,,57,19,43,,42,20,58,,55,,63,,103,,,
,,110700 - Chinese                                 ,89,,40,29,82,,86,38,75,,86,49,69,,87,,,
,,110800 - Japanese                                ,153,,151,23,132,,112,26,113,,96,39,100,,103,,,
,,111200 - Arabic                                  ,28,,19,,27,,14,,28,,30,,28,,24,,,
,,"111700 - Asian, South Asian, and Pacific Islands ",59,,15,,39,,13,,34,,10,,35,,,,,
,,119900 - Other Foreign Languages                 ,22,,21,,15,,16,,30,,17,,30,,10,,,
,,"120100 - Health Occupations, General             ",246,,273,98,283,,275,107,357,,338,139,409,,408,,,
,,121800 - Occupational Therapy Technology         ,117,,189,78,143,,249,128,113,,247,123,145,,247,,,
,,121900 - Optical Technology                      ,,,,,,,27,,15,,,,44,,39,,,
,,122200 - Physical Therapist Assistant            ,158,,120,23,183,,187,22,182,,192,19,183,,198,,,
,,123000 - Nursing                                 ,154,,111,58,131,,112,81,149,,124,83,152,,113,,,
,,123010 - Registered Nursing                      ,38,,43,,53,,53,,52,,52,,54,,50,,,
,,123020 - Licensed Vocational Nursing             ,41,,39,,36,,36,,36,,38,,40,,40,,,
,,124010 - Dental Assistant                        ,122,,123,36,198,,212,49,179,,175,37,206,,234,,,
,,124020 - Dental Hygienist                        ,159,,104,83,208,,144,70,237,,162,82,269,,223,,,
,,"126000 - Health Professions, Transfer Core Curric",34,,18,,35,,14,,29,,23,,34,,23,,,
,,126100 - Community Health Care Worker            ,56,,10,,36,,16,,52,,11,,47,,54,,,
,,130300 - Fashion                                 ,52,,53,,25,,90,,26,,114,,34,,102,,,
,,130310 - Fashion Design                          ,18,,13,,14,,20,,22,,25,,30,,25,,,
,,130330 - Fashion Production                      ,105,,79,,139,,88,17,173,,132,27,174,,113,,,
,,130500 - Child Development/Early Care and Educati,624,,611,142,589,,579,210,620,,564,185,586,,560,,,
,,130520 - Children with Special Needs             ,65,,,,30,,,,104,,,,34,,,,,
,,130580 - Child Development Administration and Man,53,,59,,17,,,,,,54,,18,,39,,,
,,130590 - Infants and Toddlers                    ,56,,33,,31,,30,,40,,,,,,37,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",745,,731,237,711,,749,234,863,,828,256,860,,875,,,
,,130630 - Culinary Arts                           ,,,,,22,,,,29,,,,17,,,,,
,,130800 - Family Studies                          ,213,,191,75,185,,,,,,,,,,,,,
,,130900 - Gerontology                             ,63,,41,1,50,,33,,48,,36,,43,,31,,,
,,150100 - English                                 ,"3,731",,"2,787",582,"3,719",,"2,866",728,"3,904",,"3,162",841,"3,768",,"3,507",,,
,,150400 - Classics                                ,115,,106,81,139,,102,84,59,,145,71,146,,116,,,
,,150600 - Speech Communication                    ,"1,453",,"1,307",482,"1,388",,"1,294",369,"1,141",,"1,084",351,"1,115",,"1,251",,,
