,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"220100 - Social Sciences, General                ",,,,,,,,,5,,6,,,,,,15,
,,220300 - Ethnic Studies                          ,,,39,8,22,,167,119,229,,230,136,268,,306,184,244,
,,220400 - Economics                               ,80,,83,38,96,,93,28,76,,78,,88,,95,,89,
,,220500 - History                                 ,280,,443,116,433,,360,173,484,,424,251,597,,492,196,715,
,,220600 - Geography                               ,87,,112,40,126,,175,44,107,,213,58,133,,236,70,166,
,,220700 - Political Science                       ,213,,139,46,250,,202,85,252,,250,43,298,,256,46,280,
,,220800 - Sociology                               ,181,,222,72,156,,198,70,137,,255,78,194,,207,69,198,
,,493012 - Job Seeking/Changing Skills             ,84,,49,,40,,79,23,59,,75,,41,,70,,68,
,,493013 - Academic Guidance                       ,40,,36,,71,,49,,70,,68,23,71,,48,,42,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,1,,,
,,493200 - General Work Experience                 ,7,,3,,,,,,,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,434,,311,215,328,,268,199,418,,131,125,462,,216,181,284,
,Credit - Not Degree Applicable                     Total,,18,,33,,45,,37,,36,,44,,44,,47,,38,
,,493013 - Academic Guidance                       ,12,,17,,23,,30,,23,,30,,25,,38,,33,
,,493086 - English as a Second Language - Listening,6,,15,,22,,1,,12,,12,,13,,3,,3,
,,493087 - English as a Second Language - Integrate,,,1,,,,6,,1,,2,,6,,6,,2,
