,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
El Camino Total,,,"52,634","8,814","43,636","14,043","54,208","10,331","50,162","15,527","57,453","10,394","50,976","16,114","58,847","10,741","52,553","16,998","57,674","11,848"
,Credit - Degree Applicable                         Total,,"48,954","8,414","41,623","13,517","50,296","9,796","47,561","15,002","53,696","9,921","48,657","15,642","55,518","10,311","50,403","16,538","54,877","11,489"
,,010900 - Horticulture                            ,26,,,,,,,,,,,,,,,,,
,,010910 - Landscape Design and Maintenance        ,22,,,,,,,,,,,,,,,,,
,,020100 - Architecture and Architectural Technolog,271,29,275,56,365,45,387,111,407,44,303,71,431,31,429,71,420,56
,,029900 - Other Architecture and Environmental Des,,,,,,,,,,,,,40,7,23,,66,20
,,030200 - Environmental Studies                   ,38,,,,46,,,,52,,12,,44,,11,,8,
,,030300 - Environmental Technology                ,,,20,,,,42,,,,22,,,,,,,
,,"039900 - Environmental Sciences and Technologies,",10,,,,13,,,,34,,,,18,,,,25,
,,"040100 - Biology, General                        ",941,206,891,228,773,178,972,257,896,214,"1,015",267,997,205,"1,021",264,926,264
,,"040700 - Zoology, General                        ",55,,,,41,,,,57,,,,48,,,,47,
,,041000 - Anatomy and Physiology                  ,739,126,763,166,737,140,825,223,824,147,846,191,847,215,883,187,878,214
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,,,,,,,37,,22,,81,
,,"050100 - Business and Commerce, General          ",,,,,38,,23,,30,,19,,24,,18,,41,
,,050200 - Accounting                              ,990,,804,243,781,,926,210,968,,940,226,"1,028",30,"1,039",246,"1,063",41
,,050400 - Banking and Finance                     ,,,,,217,28,184,29,203,31,208,41,266,39,184,41,258,41
,,050500 - Business Administration                 ,,,,,,,,,,,,,,,,,49,9
,,050600 - Business Management                     ,590,35,513,74,688,82,557,70,685,112,634,120,756,104,536,121,799,202
,,050630 - Management Development and Supervision  ,109,39,42,,96,25,75,,91,,86,,111,,138,,114,
