,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150900 - Philosophy                              ,86,,142,39,110,,147,32,121,,116,37,138,,155,39,172,
,,"160100 - Library Science, General                ",19,,14,,23,,,,31,,,,33,,,,34,
,,"170100 - Mathematics, General                    ",918,,676,209,983,,795,258,959,,880,305,"1,041",,960,249,460,
,,"190100 - Physical Sciences, General              ",154,,122,25,150,,172,28,150,,163,62,162,,171,51,194,
,,"190200 - Physics, General                        ",144,,139,46,155,,151,70,101,,146,75,103,,86,68,93,
,,"190500 - Chemistry, General                      ",207,,127,45,199,,82,49,175,,114,69,206,,133,84,232,
,,191100 - Astronomy                               ,66,,67,47,43,,61,28,63,,69,30,73,,53,28,84,
,,191400 - Geology                                 ,,,11,,29,,13,,,,8,,37,,14,,39,
,,191900 - Oceangraphy                             ,23,,,,,,,,25,,,,,,,,,
,,"200100 - Psychology, General                     ",660,,619,152,581,,649,156,717,,781,155,743,,756,228,294,
,,210400 - Human Services                          ,28,,25,,31,,67,,,,70,,,,74,,,
,,210440 - Alcohol and Controlled Substances       ,79,,34,,38,,54,,83,,63,,115,,112,,146,
,,210500 - Administration of Justice               ,303,,386,36,315,,333,40,285,,339,24,324,,301,57,363,
,,210510 - Corrections                             ,38,,33,,27,,31,,17,,32,,30,,28,,24,
,,210550 - Police Academy                          ,17,,22,,12,,29,,35,,50,11,37,,36,18,44,
,,213300 - Fire Technology                         ,106,,41,,99,,63,,110,,90,,57,,35,,102,
,,213310 - Wildland Fire Technology                ,59,,21,,,,26,,19,,,,,,20,,,
,,213350 - Fire Academy                            ,,,50,,35,,48,,31,,52,,29,,42,,35,
,,220200 - Anthropology                            ,100,,93,29,66,,85,30,128,,136,31,128,,107,33,113,
,,220300 - Ethnic Studies                          ,79,,120,,153,,267,92,285,,403,223,446,,480,377,473,
,,220400 - Economics                               ,202,,142,91,207,,81,79,121,,120,76,147,,177,107,136,
,,220500 - History                                 ,494,,381,224,525,,401,167,816,,427,232,639,,693,266,691,
,,220600 - Geography                               ,48,,33,,83,,70,,102,,74,,170,,81,,114,
,,220610 - Geographic Information Systems          ,,,,,,,,,20,,8,,12,,6,,9,
,,220700 - Political Science                       ,318,,283,127,311,,316,154,359,,405,218,370,,417,308,22,
,,220800 - Sociology                               ,206,,164,115,250,,201,92,240,,231,92,263,,260,92,268,
,,493010 - Career Guidance and Orientation         ,91,,105,33,67,,74,28,88,,79,37,44,,85,36,64,
,,493012 - Job Seeking/Changing Skills             ,,,44,,,,,,,,,,,,,,,
,,493013 - Academic Guidance                       ,392,,205,109,387,,318,116,433,,229,154,396,,266,146,394,
,,493087 - English as a Second Language - Integrate,3,,,,,,,,14,,,,4,,,,7,
,,493200 - General Work Experience                 ,26,,32,7,38,,31,11,36,,25,6,30,,37,20,42,
,Credit - Not Degree Applicable                     Total,,201,,110,,231,,172,63,201,,85,63,186,,141,63,217,
,,094700 - Diesel Technology                       ,11,,,,,,,,,,,,,,,,,
,,094800 - Automotive Technology                   ,41,,,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,22,,,,,,,,,,,,,,,,,
,,150100 - English                                 ,3,,,,,,,,11,,,,5,,,,7,
,,"170100 - Mathematics, General                    ",118,,36,,61,,12,,46,,25,,28,,22,,24,
,,210500 - Administration of Justice               ,,,23,,16,,22,,12,,,,21,,,,11,
,,210510 - Corrections                             ,,,,,,,,16,,,,35,,,23,,,
,,210520 - Probation and Parole                    ,,,32,,32,,24,,,,25,,36,,27,,43,
,,210550 - Police Academy                          ,,,,,,,,,,,,,11,,,,11,
,,213300 - Fire Technology                         ,,,8,,42,,55,23,54,,20,12,26,,14,12,49,
,,213310 - Wildland Fire Technology                ,,,,,48,,53,,47,,4,,26,,,22,42,
,,213350 - Fire Academy                            ,,,,,27,,,24,24,,,16,27,,32,29,27,
,,493084 - English as a Second Language - Writing  ,1,,5,,,,2,,,,2,,,,12,,,
,,493086 - English as a Second Language - Listening,,,1,,,,,,,,,,,,,,,
,,493087 - English as a Second Language - Integrate,5,,3,,5,,4,,7,,9,,6,,11,,3,
,,493100 - Vocational ESL                          ,,,2,,,,,,,,,,,,,,,
