,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100810 - Commercial Dance                        ,32,,52,,72,,48,18,70,,56,,56,,58,,26,
,,100900 - Applied Design                          ,26,,30,,33,,26,,40,,28,,42,,44,,42,
,,101100 - Photography                             ,29,,26,,60,,80,,123,,102,,107,,101,33,104,
,,101200 - Applied Photography                     ,,,28,,22,,18,,16,,18,,16,,24,,,
,,103000 - Graphic Art and Design                  ,186,,116,60,171,,167,36,173,,162,48,120,,148,46,134,
,,110200 - French                                  ,212,,244,76,250,,266,77,303,,294,84,246,,306,81,282,
,,110300 - German                                  ,69,,104,,88,,90,,104,,82,,73,,82,48,107,
,,110400 - Italian                                 ,160,,172,60,198,,130,54,154,,170,48,222,,142,50,152,
,,110500 - Spanish                                 ,"1,243",,"1,251",828,"1,190",,"1,198",956,"1,378",,"1,218","1,100","1,214",,"1,358","1,254","1,227",
,,110800 - Japanese                                ,316,,309,79,239,,239,67,282,,269,84,304,,261,86,292,
,,120800 - Medical Assisting                       ,,,,1,,,,,,,,,,,,,,
,,120810 - Clinical Medical Assisting              ,61,,28,,55,,32,,40,,22,,57,,34,,65,
,,120820 - Administrative Medical Assisting        ,229,,203,50,165,,157,55,207,,200,58,205,,234,68,250,
,,122100 - Pharmacy Technology                     ,33,,35,,24,,28,,19,,21,,,,,,,
,,122310 - Health Information Coding               ,75,,37,,17,,43,,23,,44,,22,,31,,29,
,,122400 - School Health Clerk                     ,22,,41,,33,,33,,30,,26,,40,,35,,37,
,,123000 - Nursing                                 ,67,,73,47,83,,133,3,90,,90,36,109,,90,13,87,
,,123010 - Registered Nursing                      ,242,,238,,310,,324,,375,,264,,399,,384,10,376,
,,123020 - Licensed Vocational Nursing             ,202,,219,137,186,,171,210,263,,284,224,311,,335,227,377,
