,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,193000 - Earth Science                           ,7,,,,18,,,,17,,9,,8,,10,,,
,,"200100 - Psychology, General                     ",289,,250,90,285,,219,76,296,,318,87,353,,301,107,,
,,200300 - Behavioral Science                      ,,,26,,,,25,,,,17,13,2,,13,14,,
,,210400 - Human Services                          ,,,,,,,,,20,,14,17,14,,25,14,,
,,210500 - Administration of Justice               ,96,,138,52,94,,123,60,86,,141,50,123,,141,79,,
,,210510 - Corrections                             ,13,,,,,,,,4,,,,3,,,,,
,,213300 - Fire Technology                         ,52,,52,14,37,,46,6,30,,47,16,38,,70,17,,
,,213310 - Wildland Fire Technology                ,,,,,,,,,,,,,1,,7,,,
,,220200 - Anthropology                            ,12,,27,,19,,23,,19,,31,,24,,12,,,
,,220300 - Ethnic Studies                          ,18,,22,,74,,86,17,85,,100,58,129,,143,108,,
,,220400 - Economics                               ,37,,31,12,31,,38,8,29,,37,,36,,98,29,,
,,220500 - History                                 ,103,,114,38,116,,94,47,92,,107,59,87,,139,104,,
,,220600 - Geography                               ,6,,,,15,,8,,10,,,,20,,,,,
,,220700 - Political Science                       ,69,,81,29,58,,44,30,81,,88,31,66,,81,68,,
,,220800 - Sociology                               ,119,,73,25,64,,63,25,61,,125,33,54,,145,68,,
,,493013 - Academic Guidance                       ,58,,56,,19,,48,,71,,58,16,218,,178,91,,
,Credit - Not Degree Applicable                     Total,,94,,46,,52,,77,5,73,,64,32,112,,107,39,,
,,083550 - Intercollegiate Athletics               ,38,,,,,,,,,,,,,,,,,
,,095300 - Drafting Technology                     ,,,,,,,14,,11,,7,,13,,12,,,
,,"120100 - Health Occupations, General             ",17,,15,,25,,14,,24,,19,21,26,,36,24,,
,,123030 - Certified Nurse Assistant               ,,,,,5,,6,,9,,,,11,,10,,,
,,125000 - Emergency Medical Services              ,,,,,,,,,2,,,,,,,,,
,,129900 - Other Health Occupations                ,,,,,,,,,,,,,,,9,13,,
,,150100 - English                                 ,13,,16,,9,,,,,,,,17,,10,,,
,,170200 - Mathematics Skills                      ,14,,15,,12,,39,5,24,,31,4,41,,24,2,,
,,213300 - Fire Technology                         ,,,,,,,4,,3,,7,7,4,,6,,,
,,493200 - General Work Experience                 ,12,,,,1,,,,,,,,,,,,,
