,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cerro Coso Total,,,"10,370",,"9,834","3,252","10,524",,"10,270","3,820","11,708",,"10,364","3,425","11,374",,"11,203","4,119","13,629",
,Credit - Degree Applicable                         Total,,"9,991",,"9,328","3,179","10,212",,"9,790","3,785","11,403",,"10,208","3,321","11,140",,"11,005","4,024","13,382",
,,011400 - Forestry                                ,,,,,,,,,,,,,,,,,51,
,,011510 - Parks and Outdoor Recreation            ,,,,,,,,,,,,,,,17,,12,
,,030200 - Environmental Studies                   ,4,,7,,,,,,,,29,,,,,,,
,,"040100 - Biology, General                        ",167,,144,34,71,,115,61,116,,113,28,74,,108,35,117,
,,040300 - MicroBiology                            ,34,,69,,2,,7,,5,,26,,9,,20,,11,
,,041000 - Anatomy and Physiology                  ,193,,159,,114,,94,10,125,,95,17,143,,64,23,146,
,,"050100 - Business and Commerce, General          ",280,,335,77,352,,285,123,270,,145,80,314,,207,53,195,
,,050500 - Business Administration                 ,151,,225,17,149,,111,10,139,,87,32,109,,91,44,106,
,,050630 - Management Development and Supervision  ,37,,19,,27,,31,,36,,42,,45,,51,,51,
,,050640 - Small Business and Entrepreneurship     ,,,24,,,,69,,,,58,,,,87,,,
,,051400 - Office Technology/Office Computer Applic,293,,373,159,312,,424,136,331,,321,123,289,,229,82,59,
,,061220 - Film Production                         ,21,,,,42,,,,52,,,,64,,,,69,
,,061430 - Website Design and Development          ,158,,71,3,143,,108,2,151,,187,3,134,,135,6,187,
,,061460 - Computer Graphics and Digital Imagery   ,29,,76,,34,,63,,29,,78,,28,,78,,27,
,,"070100 - Information Technology, General         ",9,,,,8,,5,,3,,2,,13,,5,,5,
,,070200 - Computer Information Systems            ,288,,270,79,256,,301,154,295,,302,88,318,,314,82,360,
,,070210 - Software Applications                   ,,,,,,,,,3,,,,21,,40,32,60,
,,070600 - Computer Science (Transfer)             ,,,,,,,,,,,,,,,,,11,
,,070810 - Computer Networking                     ,61,,22,,50,,29,,72,,46,,75,,36,,84,
,,083500 - Physical Education                      ,45,,42,3,22,,70,10,72,,51,,37,,15,,56,
,,083550 - Intercollegiate Athletics               ,93,,53,,1,,57,,,,45,,49,,93,,62,
,,083560 - Coaching                                ,,,,,,,,,,,,,4,,,,,
,,083700 - Health Education                        ,130,,102,44,145,,117,45,111,,70,37,112,,88,38,94,
,,085000 - Sign Language                           ,46,,28,,31,,52,,55,,20,,56,,17,,25,
,,"090100 - Engineering, General (requires Calculus)",70,,,,35,,7,,,,,,,,,,,
,,095300 - Drafting Technology                     ,15,,,,29,,,,30,,,,32,,,,31,
,,095600 - Manufacturing and Industrial Technology ,,,19,,,,40,,,,50,,,,47,,,
,,095630 - Machining and Machine Tools             ,20,,,,24,,,,33,,,,24,,,,24,
