,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220500 - History                                 ,110,9,107,15,118,11,106,17,104,10,73,18,75,,122,22,105,26
,,220600 - Geography                               ,29,12,31,27,29,9,29,17,,,30,20,27,17,30,28,31,24
,,220700 - Political Science                       ,59,10,35,10,35,6,21,17,19,,17,20,33,,23,26,26,
,,220800 - Sociology                               ,72,12,68,57,59,16,64,46,45,21,49,75,68,21,62,60,54,29
,,493010 - Career Guidance and Orientation         ,,,,9,23,,,,32,,,19,58,,,18,60,
,,493012 - Job Seeking/Changing Skills             ,,,,,,,,8,,,,,,,,,,
,,493200 - General Work Experience                 ,24,,17,4,12,,26,11,19,,25,11,27,,25,3,30,
,Credit - Not Degree Applicable                     Total,,300,64,407,139,227,49,364,122,291,63,679,232,376,100,553,132,337,80
,,"040100 - Biology, General                        ",19,16,8,11,15,15,11,8,6,6,10,8,14,16,13,8,5,7
,,"060100 - Media and Communications, General       ",,,,,,,8,,,,19,,,,22,,,
,,123020 - Licensed Vocational Nursing             ,6,,,,,,,,14,,12,,11,,12,,12,
,,123030 - Certified Nurse Assistant               ,,,,,,,,10,,,,12,7,,3,8,9,
,,125000 - Emergency Medical Services              ,,,3,,16,,1,8,26,,2,10,13,,2,3,14,53
,,125100 - Paramedic                               ,,,,,,,,,,,2,,,,5,,,
,,150100 - English                                 ,25,,11,,23,,9,,20,,26,,24,,22,,23,
,,191400 - Geology                                 ,27,,,,18,,31,19,44,,16,39,43,,15,5,31,
,,210500 - Administration of Justice               ,200,11,208,85,32,,16,35,35,,213,33,87,57,87,50,80,
,,213300 - Fire Technology                         ,12,37,168,24,94,34,232,40,91,27,312,124,79,,286,58,121,20
,,213310 - Wildland Fire Technology                ,,,,,,,,,16,,,,,,,,13,
,,213350 - Fire Academy                            ,,,,,,,25,,,,35,,58,,44,,21,
,,220300 - Ethnic Studies                          ,,,,15,27,,26,,30,30,27,,30,27,29,,,
,,493012 - Job Seeking/Changing Skills             ,11,,9,4,2,,5,2,9,,5,6,10,,13,,8,
