,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,110500 - Spanish                                 ,161,,186,24,151,,180,30,146,,196,29,100,,156,32,102,
,,122200 - Physical Therapist Assistant            ,184,,238,,206,,219,14,217,,195,19,181,,73,21,234,
,,122800 - Athletic Training and Sports Medicine   ,,,7,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,182,,206,,180,,206,,170,,199,,153,,159,,153,
,,125000 - Emergency Medical Services              ,19,,38,,31,,25,,23,,41,,52,,32,,53,
,,"126000 - Health Professions, Transfer Core Curric",82,,33,22,34,,,36,42,,17,51,46,,,51,61,
,,127000 - Kinesiology                             ,19,,,,20,,,,23,,,13,,,34,,33,
,,130300 - Fashion                                 ,,,,,,,,13,,,,17,,,,13,,
,,130310 - Fashion Design                          ,,,,,10,,15,,13,,17,,17,,23,,18,
,,130500 - Child Development/Early Care and Educati,114,,232,44,207,,214,71,245,,388,175,257,,388,126,288,
,,130520 - Children with Special Needs             ,24,,,,25,,11,,32,,,,33,,,,35,
,,130540 - Preshool Age Children                   ,20,,68,41,47,,70,32,158,,106,37,83,,129,57,166,
,,130550 - The School Age Child                    ,,,7,,15,,,,22,,,,29,,,,30,
,,130580 - Child Development Administration and Man,14,,,,,,9,10,,,16,,21,,,32,17,
,,130590 - Infants and Toddlers                    ,29,,18,,28,,34,63,23,,20,30,37,,11,22,9,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",106,,92,56,86,,143,50,165,,140,91,199,,240,82,229,
,,130630 - Culinary Arts                           ,16,,23,9,47,,65,11,87,,71,9,55,,73,17,132,
,,130700 - Hospitality                             ,,,,,,,,,,,,,,,,,15,
,,130710 - Restaurant and Food Services and Managem,7,,,,17,,,,25,,,,24,,8,,27,
,,150100 - English                                 ,710,,542,136,905,,695,175,902,,636,214,916,,805,281,795,
,,150600 - Speech Communication                    ,275,,234,78,204,,287,80,259,,243,109,210,,238,68,275,
,,150700 - Creative Writing                        ,30,,15,,34,,28,47,17,,13,,45,,48,83,9,
,,150900 - Philosophy                              ,27,,25,16,,,25,10,49,,46,20,54,,57,61,68,
,,169900 - Other Library Science                   ,70,,33,33,34,,30,32,76,,25,9,45,,42,12,42,
,,"170100 - Mathematics, General                    ",522,,456,282,482,,378,211,550,,419,231,511,,512,357,614,
,,"190200 - Physics, General                        ",62,,28,,32,,38,,50,,32,,78,,43,12,68,
,,"190500 - Chemistry, General                      ",124,,76,27,89,,116,22,99,,146,,124,,134,20,133,
,,191100 - Astronomy                               ,160,,187,93,185,,185,100,195,,191,131,185,,234,173,137,
,,191400 - Geology                                 ,44,,38,,,,43,,,,,,45,,26,,,
,,193000 - Earth Science                           ,,,,,32,,,,26,,22,,20,,29,,22,
,,"200100 - Psychology, General                     ",326,,362,102,325,,323,130,436,,506,178,477,,517,172,477,
,,210400 - Human Services                          ,111,,122,36,102,,142,44,180,,178,57,196,,153,65,233,
,,210440 - Alcohol and Controlled Substances       ,18,,36,,29,,26,6,19,,58,,40,,97,16,59,
,,210500 - Administration of Justice               ,127,,102,28,188,,108,12,150,,192,29,211,,188,44,203,
,,210520 - Probation and Parole                    ,,,,,8,,,,,,,,8,,,,9,
,,213300 - Fire Technology                         ,34,,28,,36,,38,11,38,,26,8,42,,33,11,69,
,,"220100 - Social Sciences, General                ",81,,82,48,84,,102,46,103,,98,51,64,,34,31,84,
,,220120 - American Studies                        ,14,,,,,,27,,33,,34,,,,,,33,
,,220200 - Anthropology                            ,58,,53,10,61,,73,20,89,,99,38,81,,111,25,84,
,,220300 - Ethnic Studies                          ,72,,87,51,107,,101,75,132,,262,155,214,,263,193,281,
,,220500 - History                                 ,429,,358,122,433,,419,127,431,,543,206,556,,634,245,523,
,,220600 - Geography                               ,7,,9,,12,,23,,26,,35,,15,,32,,33,
,,220700 - Political Science                       ,91,,150,54,122,,115,65,110,,126,62,150,,174,101,142,
,,220800 - Sociology                               ,,,10,,,,,,,,21,,,,9,,,
,,493010 - Career Guidance and Orientation         ,237,,61,50,198,,58,58,281,,106,89,151,,66,71,187,
,,493012 - Job Seeking/Changing Skills             ,109,,227,35,133,,265,37,115,,299,40,173,,386,64,191,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,6,,7,
,Credit - Not Degree Applicable                     Total,,55,,70,6,114,,132,20,131,,133,33,136,,111,14,175,
,,094800 - Automotive Technology                   ,17,,25,,,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,,,1,,,,,,,,,,,,,,,
,,150100 - English                                 ,,,,,6,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",12,,14,,24,,44,14,60,,75,27,101,,68,13,119,
,,170200 - Mathematics Skills                      ,10,,24,,54,,68,5,53,,40,,33,,30,,35,
,,"493032 - Learning Skills, Learning Disabled      ",1,,,,,,2,,1,,2,,,,,,,
,,493086 - English as a Second Language - Listening,1,,2,4,,,1,1,1,,2,1,,,4,1,8,
,,493087 - English as a Second Language - Integrate,14,,4,2,30,,17,,16,,14,5,2,,9,,13,
