,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220150 - Social Justice: Ethnic Studies          ,,,,,20,,26,,31,,32,,46,,44,,35,
,,220170 - Social Justice: Gender Studies          ,,,,,,,9,,5,,13,13,4,,9,,14,
,,220200 - Anthropology                            ,303,,267,60,247,,257,70,297,,294,113,254,,267,124,302,
,,220300 - Ethnic Studies                          ,,,,,29,,59,,381,,541,142,516,,741,259,645,
,,220400 - Economics                               ,311,,226,,233,,159,,208,,242,40,241,,243,,233,
,,220500 - History                                 ,558,,443,148,501,,406,153,582,,494,160,551,,490,121,550,
,,220700 - Political Science                       ,,,,,,,,,,,18,,,,10,,,
,,220800 - Sociology                               ,561,,502,132,532,,457,117,513,,421,69,423,,408,76,433,
,,300900 - Travel Services and Tourism             ,64,,57,5,83,,98,18,131,,147,,,,,,,
,,493013 - Academic Guidance                       ,541,,522,86,550,,533,107,610,,616,191,657,,679,168,651,
,,493084 - English as a Second Language - Writing  ,7,,5,,10,,6,,,,9,,12,,,,3,
,,493200 - General Work Experience                 ,65,,80,55,89,,79,41,61,,90,43,65,,91,67,140,
,Credit - Not Degree Applicable                     Total,,984,,787,34,"1,045",,662,47,982,,709,,143,,216,10,161,
,,123010 - Registered Nursing                      ,92,,79,,73,,88,,87,,117,,21,,34,,33,
,,123020 - Licensed Vocational Nursing             ,,,11,15,,,8,16,,,,,,,15,10,,
,,125000 - Emergency Medical Services              ,41,,48,,53,,52,,35,,42,,42,,52,,54,
,,150100 - English                                 ,749,,452,,808,,410,,779,,434,,,,,,,
,,"170100 - Mathematics, General                    ",47,,41,,42,,,,,,,,,,,,,
,,493013 - Academic Guidance                       ,,,73,,,,23,,,,45,,19,,47,,13,
,,493084 - English as a Second Language - Writing  ,18,,23,,14,,19,7,13,,12,,15,,10,,16,
,,493085 - English as a Second Language - Reading  ,11,,12,,17,,9,5,6,,22,,9,,20,,,
,,493086 - English as a Second Language - Listening,17,,28,19,13,,43,10,49,,28,,26,,21,,37,
,,493087 - English as a Second Language - Integrate,9,,20,,25,,10,9,13,,9,,11,,17,,8,
