,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150100 - English                                 ,"1,208",,"1,425",278,"1,639",,"1,610",404,"1,687",,"1,499",516,"1,953",,"1,776",432,"1,672",
,,150300 - Comparative Literature                  ,44,,29,,30,,21,,47,,34,,27,,61,,59,
,,150600 - Speech Communication                    ,619,,592,157,664,,663,202,754,,690,155,779,,750,155,635,
,,150700 - Creative Writing                        ,22,,29,46,28,,44,56,34,,46,53,52,,69,30,65,
,,150900 - Philosophy                              ,152,,167,62,179,,180,92,229,,172,96,212,,205,105,214,
,,"160100 - Library Science, General                ",20,,44,21,27,,51,24,36,,30,18,25,,44,29,24,
,,"170100 - Mathematics, General                    ","1,188",,"1,221",675,"1,498",,"1,303",647,"1,613",,"1,486",703,"1,713",,"1,512",712,"1,618",
,,"190100 - Physical Sciences, General              ",14,,13,,16,,32,,30,,38,,26,,33,,28,
,,"190200 - Physics, General                        ",127,,183,63,180,,238,143,238,,293,176,290,,306,129,316,
,,"190500 - Chemistry, General                      ",304,,218,171,347,,323,189,392,,365,118,407,,382,174,441,
,,191100 - Astronomy                               ,233,,226,89,317,,363,142,400,,323,191,330,,289,156,322,
,,191400 - Geology                                 ,56,,27,,51,,51,,56,,47,,36,,34,,42,
,,191900 - Oceangraphy                             ,25,,14,,21,,33,,27,,29,,32,,19,,40,
,,"200100 - Psychology, General                     ",570,,784,199,"1,008",,890,209,"1,076",,919,304,"1,226",,"1,004",359,"1,264",
,,210200 - Public Administration                   ,,,,,,,,,35,,12,,18,,20,,34,
,,210440 - Alcohol and Controlled Substances       ,55,,38,11,45,,56,17,86,,79,22,78,,72,,99,
,,210500 - Administration of Justice               ,266,,160,,197,,244,,236,,213,,254,,272,,305,
,,"210540 - Forensics, Evidence, and Investigation  ",21,,,,26,,,,30,,,,24,,,,29,
,,210550 - Police Academy                          ,7,,5,,10,,,,,,,,,,3,,,
,,213300 - Fire Technology                         ,179,,121,,189,,139,,163,,130,,193,,174,,200,
,,213310 - Wildland Fire Technology                ,,,16,,,,34,,,,27,,,,34,,15,
,,213350 - Fire Academy                            ,37,,22,,21,,30,,28,,38,,39,,42,,59,
