,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,100800 - Dance                                   ,224,,229,,299,,263,20,362,,394,25,428,,358,60,462,
,,101200 - Applied Photography                     ,85,,82,,102,,131,11,128,,152,20,122,,135,,167,
,,101300 - Commercial Art                          ,40,,75,15,45,,54,18,64,,61,29,65,,53,,59,
,,103000 - Graphic Art and Design                  ,95,,114,20,108,,92,19,146,,135,48,172,,141,45,146,
,,109900 - Other Fine and Applied Arts             ,2,,,,1,,,,7,,,,4,,,,2,
,,"110100 - Foreign Languages, General              ",207,,227,29,232,,270,74,220,,246,77,299,,354,74,338,
,,110200 - French                                  ,137,,137,30,140,,158,31,163,,139,65,196,,148,31,184,
,,110400 - Italian                                 ,12,,3,,4,,1,,,,11,,,,12,,,
,,110500 - Spanish                                 ,599,,637,181,691,,701,269,825,,763,280,940,,798,310,966,
,,110700 - Chinese                                 ,19,,7,,13,,10,,25,,18,,26,,21,,26,
,,110800 - Japanese                                ,71,,110,19,79,,115,,134,,155,28,138,,169,30,153,
,,120500 - Medical Laboratory Technology           ,106,,36,27,141,,85,51,117,,45,24,72,,34,18,117,
,,120800 - Medical Assisting                       ,330,,316,81,286,,403,81,382,,442,88,479,,462,77,509,
,,120900 - Hospital Central Service Technician     ,,,,,,,17,,,,15,,10,,11,,,
,,121700 - Surgical Technician                     ,65,,60,,57,,55,18,39,,45,16,28,,41,12,37,
,,122310 - Health Information Coding               ,24,,8,,11,,3,,15,,43,2,5,,45,20,1,
,,123000 - Nursing                                 ,56,,,,62,,,,64,,,,65,,,,54,
,,123010 - Registered Nursing                      ,229,,275,19,264,,421,35,281,,439,39,272,,459,45,304,
,,123020 - Licensed Vocational Nursing             ,55,,54,,104,,60,,84,,104,,59,,84,,113,
,,124020 - Dental Hygienist                        ,365,,293,33,450,,380,30,392,,327,31,402,,325,,361,
,,125000 - Emergency Medical Services              ,260,,224,27,238,,336,55,423,,374,70,444,,377,121,472,
,,125100 - Paramedic                               ,108,,95,,161,,134,61,260,,197,74,261,,147,59,227,
,,130590 - Infants and Toddlers                    ,22,,30,12,7,,22,,15,,32,,26,,,,17,
,,130630 - Culinary Arts                           ,181,,156,65,204,,187,84,248,,210,92,239,,217,69,237,
,,130700 - Hospitality                             ,62,,93,,61,,98,,72,,99,,84,,111,,76,
,,130800 - Family Studies                          ,"1,306",,"1,080",348,"1,229",,"1,325",455,"1,479",,"1,415",483,"1,418",,"1,016",333,"1,281",
,,140200 - Paralegal                               ,276,,247,36,317,,273,87,360,,390,164,358,,442,111,388,
,,150100 - English                                 ,"4,320",,"3,366",740,"4,427",,"3,802",851,"4,847",,"4,034",901,"5,020",,"4,020",927,"4,730",
,,150300 - Comparative Literature                  ,,,,,,,28,,,,,,,,29,,,
,,150600 - Speech Communication                    ,"2,176",,"1,902",535,"2,157",,"2,310",659,"2,472",,"2,412",760,"2,544",,"2,560",704,"2,514",
,,150900 - Philosophy                              ,770,,868,303,862,,989,314,917,,"1,128",327,"1,169",,"1,100",212,984,
,,159900 - Other Humanities                        ,301,,301,57,335,,384,72,385,,429,67,484,,338,45,460,
,,"160100 - Library Science, General                ",28,,25,,28,,48,,26,,32,,26,,11,,33,
,,"170100 - Mathematics, General                    ","3,707",,"3,002",873,"3,486",,"3,209",901,"3,670",,"3,568",937,"4,027",,"3,424",972,"3,617",
,,"190100 - Physical Sciences, General              ",119,,99,39,99,,104,49,112,,125,61,147,,162,42,161,
,,"190200 - Physics, General                        ",394,,415,41,404,,457,32,446,,536,37,567,,663,47,549,
,,"190500 - Chemistry, General                      ",925,,901,196,971,,999,135,974,,951,181,"1,022",,"1,027",342,"1,038",
,,191100 - Astronomy                               ,286,,166,,279,,250,,292,,269,58,284,,298,69,243,
,,191400 - Geology                                 ,298,,327,86,362,,419,161,374,,411,166,395,,445,139,403,
,,193000 - Earth Science                           ,8,,10,,10,,11,,12,,9,,11,,11,,8,
,,"200100 - Psychology, General                     ","2,913",,"2,784",883,"3,144",,"3,279","1,119","3,493",,"3,497","1,229","3,685",,"3,388","1,091","3,669",
,,209900 - Other Psychology                        ,93,,127,30,91,,131,61,92,,121,61,127,,111,58,130,
,,210400 - Human Services                          ,130,,79,65,98,,99,44,91,,101,46,84,,94,40,98,
,,210440 - Alcohol and Controlled Substances       ,,,,,,,,,,,,,,,33,,186,
,,210500 - Administration of Justice               ,956,,961,112,971,,"1,093",107,"1,167",,"1,072",109,"1,509",,967,60,"1,312",
,,210510 - Corrections                             ,15,,18,,36,,69,,44,,54,,41,,62,,60,
,,"210540 - Forensics, Evidence, and Investigation  ",79,,62,,105,,89,,108,,89,,104,,107,,128,
,,213300 - Fire Technology                         ,327,,286,,293,,352,73,367,,370,71,304,,294,,352,
,,213350 - Fire Academy                            ,39,,88,16,73,,120,31,83,,187,37,111,,289,21,89,
,,214000 - Legal and Community Interpretation      ,140,,91,34,124,,186,57,143,,177,67,142,,145,50,142,
,,220200 - Anthropology                            ,443,,413,145,506,,566,164,647,,576,206,649,,518,111,597,
,,220300 - Ethnic Studies                          ,,,,,71,,121,,105,,94,,219,,189,37,233,
,,220400 - Economics                               ,579,,607,221,706,,777,259,948,,910,248,893,,"1,008",247,896,
,,220500 - History                                 ,"2,097",,"2,198",628,"2,456",,"2,914","1,117","2,996",,"3,250","1,424","3,450",,"3,188",986,"3,464",
,,220600 - Geography                               ,584,,645,179,569,,656,192,627,,670,237,689,,554,223,621,
,,220610 - Geographic Information Systems          ,52,,101,,66,,74,,75,,76,,91,,61,,71,
,,220700 - Political Science                       ,436,,516,159,450,,523,144,451,,489,172,640,,453,96,542,
,,220800 - Sociology                               ,"1,309",,"1,325",402,"1,373",,"1,479",404,"1,418",,"1,576",545,"1,598",,"1,428",416,"1,579",
,,300900 - Travel Services and Tourism             ,56,,87,,71,,97,,91,,57,,102,,48,,37,
,,302000 - Aviation and Airport Management and Serv,15,,8,,18,,13,,12,,18,,11,,15,,14,
,,302020 - Piloting                                ,13,,10,,13,,22,,25,,14,,24,,14,,24,
,,493010 - Career Guidance and Orientation         ,46,,148,52,134,,227,64,48,,228,61,68,,165,74,92,
,,493011 - Interpersonal Skills                    ,933,,308,101,"1,073",,313,117,"1,179",,356,138,"1,253",,360,122,"1,045",
,,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,,,,,,,37,
,,493013 - Academic Guidance                       ,64,,37,9,139,,83,57,156,,230,35,286,,218,43,230,
,,493084 - English as a Second Language - Writing  ,29,,44,10,76,,97,25,108,,129,21,124,,126,24,162,
,,493087 - English as a Second Language - Integrate,65,,49,,145,,162,,217,,275,,329,,383,,433,
,,493200 - General Work Experience                 ,,,,,,,6,18,11,,4,20,14,,20,23,30,
,Credit - Not Degree Applicable                     Total,,"1,978",,"1,340",249,"1,813",,"1,749",332,"2,330",,"2,296",455,"2,671",,"2,212",400,"2,378",
,,010310 - Agricultural Pest Control Adviser and Op,,,5,,,,,,,,,,,,,,,
,,010900 - Horticulture                            ,15,,9,,6,,,,,,,,,,7,,,
,,010910 - Landscape Design and Maintenance        ,,,,,9,,,,,,,,20,,,,24,
,,051400 - Office Technology/Office Computer Applic,11,,9,,,,,,,,,,,,,,,
,,070800 - Computer Infrastructure and Support     ,,,11,,,,,,,,,,,,,,,
,,094610 - Energy Systems Technology               ,,,5,,,,,,,,,,,,,,,
,,095720 - Construction Inspection                 ,56,,66,,80,,150,,135,,140,54,188,,136,,128,
,,120500 - Medical Laboratory Technology           ,,,,,57,,,,36,,,,24,,,,45,
,,120900 - Hospital Central Service Technician     ,17,,,,29,,,,37,,,,48,,,,32,
,,121700 - Surgical Technician                     ,,,,,11,,,,9,,,,,,,,7,
,,122310 - Health Information Coding               ,12,,7,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,23,,18,,,,,,,,,,,,,,,
,,123020 - Licensed Vocational Nursing             ,27,,,,,,60,,,,,,58,,,,,
