,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"190500 - Chemistry, General                      ",86,,102,21,122,,88,22,130,,103,43,130,,133,24,148,
,,191100 - Astronomy                               ,18,,24,30,23,,,29,27,,,28,29,,30,,,
,,191400 - Geology                                 ,25,,,,,,,,,,25,,24,,,,,
,,193000 - Earth Science                           ,37,,121,,77,,91,,81,,78,24,89,,84,28,118,
,,"200100 - Psychology, General                     ",168,,186,20,197,,211,23,240,,184,29,246,,208,32,212,
,,200300 - Behavioral Science                      ,20,,,,24,,8,,,,15,,,,17,,,
,,209900 - Other Psychology                        ,,,,,,,,,,,,,,,,,35,
,,210500 - Administration of Justice               ,289,,260,56,280,,239,109,339,,350,93,307,,329,125,349,
,,210530 - Industrial and Transportation Security  ,34,,,,15,,,,16,,,,14,,,,32,
,,213300 - Fire Technology                         ,59,,16,,57,,17,,58,,27,,71,,35,,71,
,,213310 - Wildland Fire Technology                ,,,32,,,,32,,,,35,,,,45,,,
,,"220100 - Social Sciences, General                ",,,7,,,,30,,,,10,,23,,20,,36,
,,220200 - Anthropology                            ,248,,187,72,272,,208,132,343,,339,131,357,,364,262,374,
,,220220 - Archaeology                             ,,,8,,,,16,,,,35,,,,23,,,
,,220300 - Ethnic Studies                          ,35,,55,,87,,98,32,135,,167,,332,,340,111,405,
,,220400 - Economics                               ,137,,176,38,176,,204,39,186,,231,38,113,,216,64,235,
,,220500 - History                                 ,735,,665,167,841,,763,286,901,,792,129,858,,735,143,972,
,,220600 - Geography                               ,126,,133,53,115,,132,73,159,,175,62,103,,56,,102,
,,220700 - Political Science                       ,371,,216,62,410,,247,110,435,,296,89,330,,246,70,379,
,,220800 - Sociology                               ,363,,311,158,386,,466,110,749,,571,182,523,,411,175,514,
,,493010 - Career Guidance and Orientation         ,93,,115,45,131,,107,72,230,,75,51,143,,193,60,238,
,,493013 - Academic Guidance                       ,203,,184,86,263,,197,83,166,,199,62,162,,77,62,177,
,,493072 - Leadership Skills Development           ,7,,,,10,,5,,,,27,,9,,6,,10,
,Credit - Not Degree Applicable                     Total,,308,,243,,339,,231,20,258,,250,,312,,252,19,405,
,,083550 - Intercollegiate Athletics               ,,,,,,,,,,,,,,,,19,,
,,127000 - Kinesiology                             ,,,,,,,,,,,,,,,,,19,
,,130580 - Child Development Administration and Man,,,,,,,,,,,19,,,,,,,
,,150100 - English                                 ,210,,120,,169,,126,,154,,117,,170,,124,,201,
,,170200 - Mathematics Skills                      ,93,,120,,166,,105,20,104,,114,,142,,128,,185,
,,493084 - English as a Second Language - Writing  ,5,,3,,4,,,,,,,,,,,,,
