,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150700 - Creative Writing                        ,16,,23,,23,,21,,24,,24,,25,,20,,24,
,,150900 - Philosophy                              ,296,,306,67,454,,331,77,476,,386,66,517,,582,67,480,
,,152000 - Reading                                 ,28,,,,,,25,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",880,,"1,171",771,"1,217",,"1,337",961,"1,447",,"1,651","1,133","1,630",,"1,695","1,319","1,720",
,,"190200 - Physics, General                        ",125,,147,94,154,,142,95,140,,164,94,168,,198,103,184,
,,"190500 - Chemistry, General                      ",372,,306,196,254,,296,190,292,,299,192,344,,389,169,399,
,,191100 - Astronomy                               ,137,,110,39,114,,127,60,308,,148,220,323,,133,235,336,
,,191400 - Geology                                 ,337,,425,66,417,,441,98,419,,493,90,404,,456,106,470,
,,"200100 - Psychology, General                     ",768,,717,250,832,,736,319,826,,807,279,833,,"1,149",313,991,
,,210400 - Human Services                          ,56,,60,23,76,,52,49,54,,76,46,69,,80,42,69,
,,210440 - Alcohol and Controlled Substances       ,13,,12,,17,,,,25,,,,28,,,,15,
,,210500 - Administration of Justice               ,,,,,,,29,27,40,,48,20,57,,32,46,58,
,,210530 - Industrial and Transportation Security  ,79,,51,,117,,72,,60,,61,,95,,66,,40,
,,220200 - Anthropology                            ,322,,496,54,324,,397,80,292,,495,77,291,,411,82,325,
,,220300 - Ethnic Studies                          ,35,,39,55,56,,69,65,77,,73,73,100,,86,67,214,
,,220400 - Economics                               ,225,,231,98,229,,274,112,273,,364,118,278,,372,141,265,
,,220500 - History                                 ,587,,650,168,549,,620,215,584,,655,227,606,,702,230,692,
,,220600 - Geography                               ,108,,171,54,154,,138,59,144,,158,62,197,,192,96,211,
,,220610 - Geographic Information Systems          ,,,,,,,,,,,,14,,,,20,,
,,220700 - Political Science                       ,501,,516,111,359,,378,167,376,,380,162,354,,388,172,428,
,,220710 - Student Government                      ,11,,,,,,,,,,,,,,,,,
,,220800 - Sociology                               ,376,,551,447,822,,823,464,855,,960,449,"1,019",,"1,098",512,"1,216",
,,493010 - Career Guidance and Orientation         ,464,,544,61,539,,509,63,479,,586,85,380,,361,36,406,
,,493011 - Interpersonal Skills                    ,32,,25,,30,,48,,53,,71,,52,,47,,35,
,,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,1,
,Credit - Not Degree Applicable                     Total,,254,,312,87,320,,329,119,313,,327,92,421,,349,100,355,
,,061430 - Website Design and Development          ,,,6,,,,,,,,,,,,,,,
,,150100 - English                                 ,6,,31,,14,,29,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",70,,82,52,180,,171,93,178,,192,62,229,,206,75,236,
,,"493030 - Learning Skills, Handicapped            ",76,,84,35,67,,72,26,64,,71,30,72,,68,25,46,
,,493086 - English as a Second Language - Listening,51,,57,,30,,28,,34,,18,,38,,24,,19,
,,493087 - English as a Second Language - Integrate,51,,52,,29,,29,,37,,46,,82,,51,,54,
