,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,111720 - Vietnamese                              ,,,,,17,,10,,15,,13,,1,,20,,,
,,"120100 - Health Occupations, General             ",64,,101,,135,,120,,164,,137,,158,,176,,127,
,,120800 - Medical Assisting                       ,103,,114,25,141,,144,30,170,,160,29,149,,144,24,149,
,,120810 - Clinical Medical Assisting              ,94,,107,,93,,85,,111,,107,,121,,130,,140,
,,120820 - Administrative Medical Assisting        ,,,,14,29,,,8,29,,,13,27,,,15,29,
,,122310 - Health Information Coding               ,,,,,,,28,,,,22,,,,16,,,
,,124010 - Dental Assistant                        ,174,,233,,247,,186,62,257,,284,23,312,,258,41,215,
,,125000 - Emergency Medical Services              ,34,,22,,38,,30,,43,,32,,55,,51,,36,
,,127000 - Kinesiology                             ,203,,199,51,282,,199,55,281,,274,65,326,,267,31,191,
,,130500 - Child Development/Early Care and Educati,406,,289,20,331,,267,34,341,,404,38,361,,408,36,407,
,,130520 - Children with Special Needs             ,40,,5,,,,,,51,,2,,26,,,,37,
,,130540 - Preshool Age Children                   ,,,14,,,,22,,,,19,,,,31,,,
,,130550 - The School Age Child                    ,,,,,,,,,,,30,,,,,,19,
,,130580 - Child Development Administration and Man,,,,,,,40,,,,,,31,,,,,
,,130590 - Infants and Toddlers                    ,,,21,,,,,30,7,,,39,,,23,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",131,,116,,86,,114,,123,,114,,95,,107,,118,
,,150100 - English                                 ,"1,408",,"1,212",257,"1,559",,"1,336",324,"1,610",,"1,469",324,"1,454",,"1,285",341,"1,460",
,,150300 - Comparative Literature                  ,12,,,,13,,,,19,,,,28,,,,16,
,,150600 - Speech Communication                    ,727,,435,54,729,,566,57,769,,569,58,730,,486,94,780,
,,150700 - Creative Writing                        ,,,,,,,,14,,,,18,,,,60,,
,,150900 - Philosophy                              ,219,,80,49,82,,114,16,100,,168,31,97,,126,66,126,
,,152000 - Reading                                 ,16,,17,,23,,31,,41,,26,,44,,50,,18,
,,159900 - Other Humanities                        ,30,,9,,,,,,,,,,,,,,,
,,"160100 - Library Science, General                ",7,,8,7,12,,19,,,,,,,,16,,4,
,,"170100 - Mathematics, General                    ","1,155",,989,458,"1,135",,"1,097",584,"1,515",,"1,451",472,"1,466",,"1,199",359,"1,228",
,,"190100 - Physical Sciences, General              ",25,,,,45,,,,26,,,,,,,,,
,,"190200 - Physics, General                        ",191,,141,98,149,,151,94,132,,182,68,173,,184,105,168,
,,"190500 - Chemistry, General                      ",348,,310,64,313,,317,88,341,,347,97,399,,379,91,413,
,,191100 - Astronomy                               ,182,,149,51,177,,237,70,235,,321,152,216,,199,141,227,
,,191400 - Geology                                 ,32,,15,,50,,40,,47,,64,,67,,45,,51,
,,191900 - Oceangraphy                             ,51,,48,49,94,,97,45,138,,50,93,89,,100,95,104,
,,193000 - Earth Science                           ,63,,53,,48,,49,,64,,69,,77,,72,,72,
,,"200100 - Psychology, General                     ",722,,685,133,790,,654,176,765,,839,133,783,,681,130,888,
,,200300 - Behavioral Science                      ,36,,,,25,,,,,,,,,,,,,
,,209900 - Other Psychology                        ,121,,117,,94,,97,7,116,,88,,102,,82,,80,
,,210440 - Alcohol and Controlled Substances       ,289,,318,28,295,,317,36,323,,364,2,375,,337,2,445,
,,210500 - Administration of Justice               ,192,,138,,174,,252,,197,,229,,292,,208,,310,
,,210510 - Corrections                             ,,,,,18,,,,,,,,,,,,,
,,"210540 - Forensics, Evidence, and Investigation  ",41,,,,,,,,,,,,,,,,,
,,"220100 - Social Sciences, General                ",,,,,,,,,,,,,30,,68,,140,
,,220110 - Women's Studies                         ,38,,46,,41,,36,,48,,34,,42,,22,,47,
,,220200 - Anthropology                            ,37,,35,,,,,,,,,,,,8,32,,
,,220300 - Ethnic Studies                          ,982,,"1,007",276,"1,084",,"1,120",366,"1,080",,"1,372",387,"1,257",,"1,331",436,"1,346",
,,220400 - Economics                               ,246,,379,156,251,,343,163,281,,223,57,271,,199,,128,
,,220500 - History                                 ,590,,705,308,599,,678,321,603,,761,257,642,,591,161,568,
,,220600 - Geography                               ,26,,,,27,,,,,,,,,,,,,
,,220700 - Political Science                       ,151,,190,97,200,,129,160,163,,155,46,169,,156,85,253,
,,220800 - Sociology                               ,303,,325,107,326,,346,135,255,,494,96,307,,375,49,354,
,,221000 - International Studies                   ,45,,78,,23,,41,,53,,54,,42,,94,,34,
,,300700 - Cosmetology and Barbering               ,165,,181,59,190,,214,72,196,,184,58,162,,152,49,146,
,,493010 - Career Guidance and Orientation         ,371,,202,108,443,,142,124,560,,399,109,658,,266,100,316,
,,493087 - English as a Second Language - Integrate,60,,35,,47,,24,,35,,26,,36,,22,,26,
,,493200 - General Work Experience                 ,48,,66,,43,,51,2,54,,45,,51,,53,,50,
,,499900 - Other Interdisciplinary Studies         ,15,,22,,8,,23,,20,,29,,,,,,,
,Credit - Not Degree Applicable                     Total,,948,,664,108,903,,642,116,738,,805,93,729,,700,69,831,
,,051400 - Office Technology/Office Computer Applic,,,,,12,,,,,,,,,,,,,
,,095650 - Welding Technology                      ,,,,,,,,,,,6,,12,,16,,20,
,,100800 - Dance                                   ,22,,13,,10,,16,,5,,10,,,,,,,
,,120800 - Medical Assisting                       ,24,,28,,,,,,,,,,,,,,,
,,120820 - Administrative Medical Assisting        ,23,,,,,,,,,,,,,,,,,
,,122310 - Health Information Coding               ,,,22,,,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,26,,22,17,29,,31,20,50,,51,,52,,53,12,33,
,,150100 - English                                 ,171,,98,23,190,,130,32,123,,144,40,110,,76,25,109,
,,152000 - Reading                                 ,54,,21,,46,,2,,28,,32,,25,,22,,24,
,,"170100 - Mathematics, General                    ",52,,38,,,,,,,,,,,,,,113,
,,170200 - Mathematics Skills                      ,252,,189,15,301,,244,16,287,,358,22,349,,299,,253,
,,210440 - Alcohol and Controlled Substances       ,,,,7,,,,,,,,,,,,,,
,,300700 - Cosmetology and Barbering               ,,,,26,,,,25,,,,30,,,,27,,
,,493010 - Career Guidance and Orientation         ,34,,,,57,,44,,49,,,,,,,,,
,,"493030 - Learning Skills, Handicapped            ",12,,9,,,,,,,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",32,,9,,12,,34,,29,,26,,,,12,,19,
,,493084 - English as a Second Language - Writing  ,82,,94,,89,,38,22,46,,49,1,97,,99,4,107,
,,493085 - English as a Second Language - Reading  ,58,,49,1,52,,32,1,47,,32,,38,,35,1,56,
,,493086 - English as a Second Language - Listening,42,,31,,53,,39,,37,,64,,33,,51,,66,
,,493087 - English as a Second Language - Integrate,64,,41,19,52,,32,,37,,33,,13,,37,,31,
