,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150900 - Philosophy                              ,77,,75,63,102,,133,41,147,,79,112,221,,127,141,147,
,,159900 - Other Humanities                        ,,,29,,,,84,,,,88,,28,,31,36,24,
,,"160100 - Library Science, General                ","1,169",,758,221,"1,257",,883,243,"1,123",,901,376,"1,076",,882,371,16,
,,"170100 - Mathematics, General                    ","1,988",,"1,570",486,"1,801",,"1,609",397,"1,897",,"1,681",464,"2,001",,"1,696",549,"1,768",
,,"190100 - Physical Sciences, General              ",,,,18,20,,47,17,33,,75,24,34,,86,23,30,
,,"190200 - Physics, General                        ",150,,126,75,150,,209,56,175,,190,53,187,,204,62,205,
,,"190500 - Chemistry, General                      ",772,,716,301,644,,717,223,753,,795,249,814,,818,301,838,
,,191100 - Astronomy                               ,349,,359,122,402,,399,152,442,,480,216,430,,465,203,397,
,,191400 - Geology                                 ,132,,85,44,106,,96,46,84,,126,33,112,,141,34,128,
,,199900 - Other Physical Sciences                 ,113,,130,53,107,,132,34,168,,122,70,154,,76,73,139,
,,"200100 - Psychology, General                     ",994,,846,267,890,,992,281,989,,"1,135",328,"1,301",,"1,243",342,"1,335",
,,210400 - Human Services                          ,78,,101,,83,,68,,64,,116,,68,,133,,86,
,,210500 - Administration of Justice               ,378,,397,218,408,,454,172,385,,428,171,379,,411,214,515,
,,213300 - Fire Technology                         ,151,,124,,116,,127,,132,,142,,147,,176,,161,
,,"220100 - Social Sciences, General                ",26,,19,,18,,,,,,,,,,,,,
,,220130 - Social Justice Studies                  ,83,,98,57,64,,94,,96,,67,34,122,,140,31,101,
,,220200 - Anthropology                            ,297,,258,128,220,,324,111,222,,358,69,322,,407,121,347,
,,220220 - Archaeology                             ,19,,,,23,,,,30,,,,30,,,,36,
,,220300 - Ethnic Studies                          ,145,,28,,201,,197,122,312,,357,206,439,,398,217,390,
,,220400 - Economics                               ,223,,249,108,258,,285,111,323,,263,117,329,,318,188,377,
,,220500 - History                                 ,974,,927,301,"1,010",,879,399,956,,983,356,962,,866,390,918,
,,220600 - Geography                               ,88,,124,96,84,,101,105,87,,80,137,114,,71,144,83,
,,220700 - Political Science                       ,558,,498,219,587,,519,322,596,,607,297,522,,522,318,524,
,,220800 - Sociology                               ,438,,498,209,523,,411,190,417,,492,164,512,,513,197,554,
,,229900 - Other Social Sciences                   ,,,,,,,,,,,39,33,37,,46,34,32,
,,300700 - Cosmetology and Barbering               ,22,,19,14,30,,30,,28,,24,,38,,30,,58,
,,493010 - Career Guidance and Orientation         ,79,,81,88,91,,117,86,112,,103,46,63,,135,82,96,
,,493013 - Academic Guidance                       ,146,,121,29,114,,108,58,154,,156,81,177,,124,87,129,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,13,,33,
,,493200 - General Work Experience                 ,19,,17,,33,,39,,,,,,,,,,,
,Credit - Not Degree Applicable                     Total,,387,,331,115,625,,453,104,694,,241,57,400,,238,83,335,
,,010900 - Horticulture                            ,,,20,,47,,45,14,44,,25,,42,,23,,31,
,,051400 - Office Technology/Office Computer Applic,,,10,,,,,,,,,,,,,,,
,,070200 - Computer Information Systems            ,,,25,,28,,18,,15,,,,,,,,,
,,070210 - Software Applications                   ,,,25,,48,,34,,17,,,,,,,,,
,,083500 - Physical Education                      ,,,,,,,,18,,,,26,,,,22,,
,,083550 - Intercollegiate Athletics               ,14,,,33,24,,,29,8,,,15,18,,,14,26,
,,"090100 - Engineering, General (requires Calculus)",,,,,,,,,,,,,,,,22,,
,,094800 - Automotive Technology                   ,40,,,11,13,,23,11,56,,19,,17,,18,,39,
,,101200 - Applied Photography                     ,,,,,,,,,,,12,,,,,,,
,,101300 - Commercial Art                          ,28,,26,,,,,,,,,,,,,,,
,,123030 - Certified Nurse Assistant               ,,,,5,,,,,,,,,,,,,,
,,125000 - Emergency Medical Services              ,49,,50,,64,,55,,51,,,,,,,,,
,,150100 - English                                 ,,,,,229,,111,,220,,,,,,,,,
,,170200 - Mathematics Skills                      ,182,,140,66,119,,137,32,230,,136,16,232,,140,25,135,
,,213300 - Fire Technology                         ,74,,35,,53,,30,,53,,49,,77,,57,,104,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,14,,,,,
